name,rating,date,text
Ciput Saputra,4,54 menit lalu,Menyenangkan cocok untuk hiburan keluarga
fachlevi kottama,4,2 hari lalu,"kursng rasanya kalo ke Batu gk mampir ke BNS ini, kali ketiga kesini udah ada yang berubah sih seperti taman lampion nya terlihat butuh diperbaiki, tapi overal masih layak untuk dikunjungi bareng keluarga"
Novi ayu indriani,5,2 hari lalu,"Ada berbagai macam wahana, yang paling suka gokartnya seruuuuu
untuk harga dan wahana worth it, aku seranin ambil tiket yang terusan karna banyak wahana yg ga akan terlewatkan"
Supri Yadi,4,4 hari lalu,banyak wahana outdoor..sehingga ketika hujan tidak bisa digunakan.
erick raditya,5,4 hari lalu,"Seru, sebaiknya beli tiket terusan lebih murah, beli via online lebih murah"
Yogi Indra yoka,2,4 hari lalu,"Pelayanan stafnya jutek, padahal cuma nanya 3 biji doang  langsung dijutekin 😟 …"
Dicky Zulfan Z,5,4 hari lalu,menyenangkan & keren
Sadella Evrita,2,seminggu lalu,"2018 kesini masih bagus banget,, januari 2026 kesini lagi udah kurang terawat, bau pesing, lampion udah banyak yg robek, ga worth it lagi utk dikunjungi"
Runik D Ekawati,2,seminggu lalu,"Tempat hiburannya sih tdk masalah, yg masalah adalah buku yg dijual, ternyata tdk ory, padahal kata kakak yg jaga ory, dan buku disegel jadi gak bs lihat, pas di rumah ternyata tdk ory. Pantas saja harganya 20 rb lebih murah dr yg ory."
Yunita Sukarno Putri,5,seminggu lalu,berkunjung kesini saat libur Nataru kemarin jadi lumayan ramai. salah satu wahana malam yang cukup terkenal di kota Batu. terdapat berbagai macam permainan seru dan menegangkan yg bisa di mainkan anak2 hingga dewasa
Adhitiya Saputra (Putra),5,seminggu lalu,"Permainan lebh ke yg pemberani sih
Tp smua bgs
Trmkash"
Giovanni Mellisa Soesanto,5,seminggu lalu,"Since we aren’t big on rides, it was great that the regular entry fee already included the Lampion garden and the show. I also liked that the layout is an oval track, making it very easy to explore without getting lost. Great night attractions—keep it up!"
Luluk Cahyo Wiyono POLIJE,5,seminggu lalu,Full colour full light
Eko krisdianto,5,seminggu lalu,Tempat liburan yang sangat ciamik dan spektakuler
Nur Khasanah,5,seminggu lalu,"Tempat wisata yg asyik banget, wahana nya menantang dan menarik, rumah hantu nya juga lumayan serem, tempat oleh oleh nya juga banyak, luas banget pas jalan keluar juga luas. Wajib coba semua wahana sih ini"
Hadi Wahyono,5,seminggu lalu,Sangat menyenangkan
Linda,2,seminggu lalu,"Yes there were some entertainment options available, but most of them were not worth the regular ticket price. I even got bored within 15 minutes. Such a waste of money"
Luh Gde Evayanti,3,seminggu lalu,"Ketika ada wahana di tiket regular ada yang rusak, tidak ada wahana penggantinya."
LS Hidayat (syawalleehid),4,seminggu lalu,"Pertama kali ke malang, bingung mau kemana lagi selain ke bromo. Nemulah rekomendasi tempat ini.
Lebih mirip pasar malam, karena tiket masuk blm termasuk tiket wahana. Jd setiap …"
AVRILLIA VICKY NILAM SARI,5,2 minggu lalu,"DISINI SERUU BGTTT MESKI AGAK AJSHSKSN KRN NYOBAIN WAHANA MEGA DISCO BUTTTT DISINI SUPER DUPER SERUUU, apalagi kesininya sama pacarku tercintaa hehe makin seru deh✊🏻😽🫶🏻 …"
frengky frengky,5,2 minggu lalu,Lumayan ramai
Devita Agya,4,2 minggu lalu,"Sudah beberapa kali kesini, terakhir Desember 2025, liburan dengan keluarga besar. Beli tiket dari Traveloka karna Desember itu Peak Season, dan bisa diperkirakan pasti antri loket tiketnya. Sepertinya habis ada renovasi, jadi layout lapak …"
Stevy Greashella,5,2 minggu lalu,"SERUUUUUU!! banyak bgt wahananya, harus sampe lokasi pas jam buka biar gak rugi dan bs cobain semau wahana"
Adila Syahidah,5,2 minggu lalu,"BNS menawarkan suasana wisata malam yang meriah dengan berbagai wahana seru dan lampu-lampu yang estetik. Cocok untuk liburan bersama teman atau keluarga, banyak spot foto menarik, dan pilihan permainan yang cukup beragam. Overall, tempat ini pas buat menikmati malam di Batu."
devy fian,4,2 minggu lalu,seruuu
Arda Dh,4,2 minggu lalu,Need some refreshment of theme& maintenance on lampion garden.
Malinda Anggraini,5,2 minggu lalu,Keren. Banyak spot foto dan wahan yang bisa dicobaa
devi fajar,5,2 minggu lalu,Seru dan menyenangkan
