name,rating,date,text
Teguh Hidayat,5,3 hari lalu,Bgus
Septarinn,5,seminggu lalu,Bagus tempatnya
Aditya Bp,5,2 minggu lalu,"Coban rais, coban yg cocok di gunakan untuk family time bersama keluarga di karenakan banyak wahana wahana seperti taman bermain begitu. Jalan yg menuju cobannya mudah butuh waktu kurang lebih 30 atau 40 menit untuk sampai ke cobannya. Jika …"
Kelik bramanto,5,4 minggu lalu,Suasana sejuk segar udara fres tempat nyaman di ketinggian 1057 mdpl cocok buat ngecam harga sesuai lah tinggal bawa bahan makanan jadi kita kemping
Samuel Choi,4,sebulan lalu,Aku suka angin sepoi-sepoi yang sejuk.
GHOST PSYCHOPATH,5,sebulan lalu,"Bagus untuk camping, santai, atau jelajah alam & cardio"
kina sulis,5,sebulan lalu,licin jalannya kalo hujan🙏🙏😁 bagus semua... …
feby eka,1,sebulan lalu,Kamu tahu
Feerenza,5,sebulan lalu,"COBAN RAIS, BATU.
Buat kalian yang ingin ke air terjun yang terkenal namun masih sangat alami, maka kalian bisa cobain ke sini. Berikut adalah reviewku : …"
Rita Rahmansyah,5,sebulan lalu,"2 kali glamping di sini bersama @Tentrem Glamping. Puas banget. Kamar mandi ada air hangat, bersih. Mushola bersih."
Syaifah Putri Diah Ambari.,5,sebulan lalu,"pelayanannya super duper baik, dan ramah"
puji astuti,5,sebulan lalu,"butuh perjuangan banget buat nyampek ke air terjun coban rais
tapi terbayar sama keindahannya"
Redian,1,2 bulan lalu,"peraturan ga makesense, mau ke area barat aja harus bayar tiket masuk 30K,
gatau area barat itu se management sama coban rais or not, tapi apapun itu akan merugikan area barat, karna banyak yg putar balik karna ogah bayar tiket 30K, …"
Amel,4,2 bulan lalu,"Jarak parkiran ke cobannya terlalu jauh, kalau bisa beri parkiran yang ga jauh dari track coban, karena jarak untuk sampai ke coban saja sudah jauh, apalagi kalau dari parkiran bawah sebelah loket. Sama untuk penunjuk jalan masih kurang, …"
Kuki Kiku,4,2 bulan lalu,"Bagus bgt, cuma kalian klo mau ke sini priper dulu ya jarak loket ke air terjun nya sekitar 5-6 kilo an, klo kalian gk pingin capek minta tolong aja sama satpam d situ buat nganter Sampek pos pertama, habis dari pos pertama jln kaki sekitar …"
vivo Official,3,2 bulan lalu,longsor
ndayu mendayu,5,2 bulan lalu,"Seru sekali tracking hutan dan susur sungai kecil menuju air terjunnya. Anakku hepi bgt dikasi petualangan kayak gini. Msh alami air terjunnya, sepi ga bnyak terjamah manusia, mantap."
Rizqoul Jabbari Milliardi Kusuma,5,3 bulan lalu,Joyful
Helmi Anwar,5,3 bulan lalu,"Tempat healing rekomendasi: HUTAN, TREKING TIPIS-TIPIS, COBAN, SUNGAI.

Tiket: 15K per orang …"
Erlangga Yusuf,1,3 bulan lalu,masa mau ngopi bayar 30 dulu
Suryaa Di,1,3 bulan lalu,karena mau ngopi harus bayar parkir mahal
Bule 666,1,3 bulan lalu,"terjadi pungli di loket pertama , awal masuk r2 5k,tapi ditarik 15k per orang,dan tidak dikasi struk"
Super Rahma,4,3 bulan lalu,Sebenernya bagus dan sangat asri.cuma kebetulan kesana waktu hujan jadi agak kurang bisa menikmati suasana nya
heddot 666,1,3 bulan lalu,Hati hati wisata paling mahal dan gak masuk akal harga makanan dan minuman!!! Banyak pungli
Londho Thook,5,3 bulan lalu,Asik juga rute pendek sudah nyampk coban rais cocok bagi pemula yg pingin lihat nuansa coban...
Fandhy Achmad,5,Diedit 3 bulan lalu,"Masih alam banget 😁, untuk masuk ke coban nya jalan jauh mungkin sekitar 2 km …"
Rifki Falefi Nurcahyo,5,3 bulan lalu,Wajib di coba untuk yang suka jalan kaki dr loket ke air terjun butuh perjuangan untuk kesana tp hal itu akan sangat terbayar jika kalian sudah sampai di cuban rais …
Kevlyn Dalu,4,3 bulan lalu,"Dari tempat parkir menuju ke Coban, perlu berjalan kaki sekitar 40 menitan (jalan santai). Jalur masih lumayan oke untuk pemula, meski ada sedikit naik turunnya. …"
Jhoo Nee,5,3 bulan lalu,Bagus cuma untuk menuju coban nya jalan kaki jauh
We Bearbears,5,3 bulan lalu,"Kalau mau nyantai di cafenya dr sore - malam, pakai jaket/ lengan panjang (banyak nyamuk)"
Risma Syarifawati,5,3 bulan lalu,Cocok buat yg doyan trail run. Jangan lupa bawa bekal air karna tidak ada yg berjualan.
Hari Kun,3,3 bulan lalu,"Butuh perjalanan sekitar 30 menit dari pintu masuk buat ke air terjun
View air terjunnya bagus, tapi batu flower gardennya udah terbengkalai tidak terawat …"
Aulia Suri Agung,3,3 bulan lalu,"Sudah tidak seperti dulu, spot2 foto lihat semua , banyak yang rusak, tinggal cafe saja"
arifa azizah,1,4 bulan lalu,Tempatnya dan akses ke terjun tidak terawat sehingga terkesan horor dan seram
LongMalin_,4,4 bulan lalu,"Keren, sayang tapi tempatnya nampak lumayan sepi saat berkunjung di hari kerja dan kelihatan tidak terurus. Untuk ke air terjunnya sendiri siap2 jalan agak jauh"
Suci Hati Fatmawati,4,4 bulan lalu,"Lagi cam di sekitar sana, paginya sebelum balik mampir ke air terjun. Untuk pemandangannya baguss bangett. Untuk perjalannya sendiri Harus hatihati karna, jalannya masih bener bnr alami …"
gims mbul,5,5 bulan lalu,"Ademmm, klo mau ke cafe tolong tanpa tiket dunks pakkk"
blub tief,4,Diedit 5 bulan lalu,"Taman bunga ini rupanya sudah tutup beberapa waktu, tapi sayangnya tidak ada informasi di mana pun.
Air terjunnya bisa ditempuh dengan berjalan kaki sekitar 2-3 km, tapi tidak ada …"
Agus nurdin,5,5 bulan lalu,"perjalanannya memakan 1 jam
titik awal perjalanan di tower tv sctv"
Alexander Farrel,5,5 bulan lalu,"Pemandangannya bagus, suasana alamnya masih sangat asri banget. Cuma, buat yang jarang olahraga saya sarankan olahraga karena lumayan jauh jalanya dan agak nanjak jalannya."
Aryo Taryoto,3,5 bulan lalu,"Harusnya Tiket Masuknya Bisa Di Tukarin Snack/Air Mineral Begitu...
Naik Motor 2 Orang 30K
Ini Saran Saja,Biar Hal Tersebut Bisa Di Benahi. …"
JONE GAMING,2,5 bulan lalu,"Tiket masuk kebalik ,mau masuk ke flower garden doang harus beli tiket 2 buat ke coban rais jg ,hrusnya tiket pertama buat ke flower garden bukan buat coban rais"
sita wati,5,5 bulan lalu,"Tempat glamping yang recommended.
Akses jalan menuju ke lokasi bagus dan mudah untuk di jangkau , baik kendaraan roda dua maupun roda empat. …"
Dian Pratama,3,5 bulan lalu,Dulu bagus rame sekarang kok jadi gini.. hampir terbengkalai 98% cum ketolong ada 2 cafe ... akses ke coban udah jarang dijamah orang 😥 …
franda reza14,5,6 bulan lalu,"cocok banget buat nyegerin pikiran, pemandangannya bagus poll, pengen kesini lagi"
denny lesmana,5,6 bulan lalu,"Air Terjun Coban Rais adalah salah satu destinasi alam yang indah dan menyegarkan di Batu, Malang. Akses menuju air terjun relatif aman dan mudah dilalui, bahkan untuk anak-anak di atas 6 tahun maupun lansia yang masih aktif. …"
Boy Abdillah,1,6 bulan lalu,Coban hama
Ugandan Knuckles,5,6 bulan lalu,Bilbo Baggins melaporkan
Ade Syarifudin,5,6 bulan lalu,menakjubkan....
Rizky Maulidia,2,6 bulan lalu,"sayang bgt tempat nya sekarang kurang terawat dan jadi terkesan seram. ada tiket masuk juga di awal, di eduplay ada tiket masuk lagi. untuk batu flower garden honestly i don't recomend it. semoga ada perbaikan kedepannya"
Thoriq Alfajar,5,6 bulan lalu,"Air terjun yang menurut ku bagus, track ke airterjun dari parkiran lumayan 3km an, saya sangat menikmati,di tambah cafe dengan view pemandangan hijau,"
Zainul Choiri,5,7 bulan lalu,Top
Wafda Nadhifah,4,7 bulan lalu,"Saya hanya sampai area parkir saja tidak naik ke Coban.

Dia area parkir ada tempat yang cukup luas, bisa digunakan untuk outbound. …"
dwi ratna,5,7 bulan lalu,"Tidak menyangka jalan pagi dadakan ketika menginap di batu campsite dengan bocils bisa sampe ke air terjun coban rais. Memang butuh energi ekstra, tp worthy."
Adhi Mega,5,7 bulan lalu,"Tempat Bagus  pake banget, perjalanan beneran 60 menit dari tempat parkir, walau pada awalnya tersesat, pada akhirnya terbayar oleh pesona alam yang indah, yang penting mengikuti arus sungai, serta di lengkapi oleh petunjuk arah dah sampai tujuan"
Irvan S,4,7 bulan lalu,"Ngga jadi ke air terjun, kadinya cuma ke kenz cafe. Di dalam juga ada wisata alam batu flower garden tapi sayangnya sudah tidak diurus alias terbengkalai. Sangat disayangkan sekali. Padahal banyak spot² buat foto sangat bagus pemandangan …"
