name,rating,date,text
siskaaaw wi,5,1 hari lalu,tempat yang paling cocok buat seru² an
Destri Ana,5,2 hari lalu,"Tempatnya ternyata cukup luas dan terdapat banyak wahana untuk dewasa maupun anak-anak, fasilitasnya lengkap, waktu tunggu di beberapa wahana bisa sampai 30 menit jika ke sana saat high season. Kalau mau cari makan atau minum, di sini …"
Bagas Prima,1,4 hari lalu,pelayanan kurang ramah dan jarang tersenyum seperti malas melayani
farhan f,1,4 hari lalu,"Bad experience, kobisa beda2in pengunjung"
rusma widuri,1,4 hari lalu,"Banyak yang ngerokok sembarang tempat. Kalo bawa stroler, siap² angkat turun itu stroler. Ada beberapa area g ada jalan miring nya. Beda sama jatim 2. Bawa anak 2 tahun ditanyain tingginya terkait wahana. Moon maap, itu wahana yg bisa buat anak saya cuma prosotan yg berdebu sama kolam renang doang."
Fasha Brina,5,5 hari lalu,"bagus gais tempat nya,teramat,murah,makanan nya disini juga itungan nya masih murah nasi ayam kremes 22k,cuman aqua nya si yang aga mahal 10k,buat yang mau kesini mending dari jam 9 biar ga rugi2 amat bisa Explore sampe sore🫶🏻 …"
Timothy Hofland,5,seminggu lalu,"Spend 5 hours here with a 4 years old, she loved it and we were entertained"
Suparman,4,seminggu lalu,Taman rekreasi dan edukasi
thomas dhifo,5,seminggu lalu,"wisata disana sangat menyenangkan dan banyak sekali taman hiburan,tempat parkirnya juga luas sekali,bayak tempat untuk membeli oleh-oleh atau makanan ringan.Jatim park 1 buka pada pukul 06.00 WIB dan harga tiket masuk juga terjangkau cocok untuk pergi berlibur disana"
Naura Meidia Rahmayanti,5,seminggu lalu,"Jawa Timur Park 1 atau yang disingkat Jatim Park 1 adalah wisata wahana dan juga museum bersejarah. Di dalamnya terdapat berbagai macam wahana permainan yang bisa kalian nikmati, seperti roller coster, sky swinger, sky ride, dll. Semuanya …"
Sri Agung Mulyono,5,seminggu lalu,Jadi tahu banyak perkembangan transportasi
Ramadhan Noor Islamy,4,2 minggu lalu,"cocok kalau bawa anak kecil kesini, selain ada wahana permainan, jg banyak spot2 edukasi penambah pengetahuan ..
saya saya kesini pas turun hujan, sehingga wahana bermainnya ditutup"
Ayrton Senna,5,2 minggu lalu,Keren saya main gokart di sini dan rumah hantu rollercoaster 2x 🗿🗿 …
Khusnul R,5,2 minggu lalu,"Bagus, anak2 suka.."
Bima putra Sakti,5,2 minggu lalu,Seru banget di sana
Diego Widigdo,5,2 minggu lalu,Menarik dan edukatif buat anak-anak
Natha Natha,5,2 minggu lalu,"Tawa kecil, dan kamu - kombinasi sempurna di tempat ini karena kita menikmatinya bersama 🔥 …"
Repin Randiansyah,5,2 minggu lalu,seruu
Diyah Grosir,1,2 minggu lalu,"seru bangett asli,wahana nya juga seru bangetttt,apalagi rumah keraton nya,tapi waktu itu aku dan temanku mau naik salah satu wahana,dan wahana nya itu posisi nya mau jalan,trus mas"" nya liat aku sama temanku mau naik dan bilang ""ini …"
Muhammad Nur Rofiq,5,2 minggu lalu,Cocok untuk anak-anak. Karena banyak sekali wahana untuk anak-anak.
Keksi Rahayu,5,3 minggu lalu,"Keseruan bersama keluarga, wahananya menantang, pelayanan sangat ramah, pokoknya seru bermain2 disini"
andik parianto,5,3 minggu lalu,"Banyak wahana² menarik, terbanyak ke-2 setelah WBL menurut saya wahananya"
Ari Parmiatun,4,3 minggu lalu,"Lagi Kondangan ke Malang sama keluarga,sekalian mampir ke wisata yang ada di Malang Salah satunya Jawa Timur Park 1. Disana ada banyak sekali hal yang menarik, mulai dari keragaman Indonesia, sejarah,wahana, kolam renang dan masih banyak …"
Anita Mardiana,5,3 minggu lalu,Baguss banget wajib datang kesini sih
Kilya KF,5,3 minggu lalu,"📍JP 1 🎢 SERUUU BGT!! 🙌🏻
jangan di rumah aja guys ayo cobain wahana senam jantung disini 🤣😵‍💫
Mumpung masih muda puasin main” dulu gais cari pengalaman yg menantangg 🌈 …"
Manusia Orang,5,3 minggu lalu,bagus tempatnya seru poll
Marista Dwi Jayanti,5,3 minggu lalu,"seruuu bangett, cuma naik satu wahana karena ga berani hahahahahah, dapet kejutan juga dari patung kw😭💗 …"
Muhammad Nur Riza Pahlevi,5,3 minggu lalu,Respect buat kru yang di gatotkaca coaster
Abiyyu 12,5,3 minggu lalu,"INI SIH COCOK BANGET BUAT LIBURAN KELUARGA, REKOMEN JUGA KE JTP 2,3,SAMA BNS"
Salsabila SKP,5,3 minggu lalu,"wahana nya seru², bisa pesen tiket online melalui tiktok"
Jukka A,3,3 minggu lalu,"Not many things to do, a bit boring place. We visited on Friday and there was a moment that seemed everything was closed. Bumber cars was nice."
Lailatul Fitria,5,3 minggu lalu,"ini kita ke jatimpark 1 bela”ni pp karena kita sama sama kerja jadi dikejar waktu, tapi di sana happy bgtt sii apalagi bareng orang tersayang 🫰🏼🫰🏼 …"
azizah prisma,5,4 minggu lalu,jatimpark 1 is a mustt!!!💗🥰☺☺ …
Ria Yudiantari,5,4 minggu lalu,"Amazing experience at JTP 1 💖
We had connecting access from Klub Bunga Theme Park which only cost us 40K/ pax including museum tubuh, really cheap and great offer 🥳 …"
Zackio Azhar,5,Diedit 4 minggu lalu,"amazing, bagus banget tempatnya, aku suka, kesini waktu outing class sekolahan. dapet pengalaman seru sama temen temen disini."
Rifda Tiara,5,4 minggu lalu,"Seru dan lengkappp, saran dari pagi ya kalo mau kesini"
Reniz Indra,5,4 minggu lalu,"Pagi itu aku main ke Jatim Park 1 bareng teman-teman. Begitu masuk, suasananya rame tapi seru. Kami langsung coba wahana ekstrem, teriak bareng sampai lupa capek. Habis itu lanjut ke zona edukasi, belajar sambil main jadi nggak ngebosenin. …"
Al Mubarak,4,4 minggu lalu,Alhamdulillah
ocktavia astuti,5,sebulan lalu,"So far so good. Dalam sebulan 3x kesini. Recommended buat healing tipis2, lebih seru kalo ga lg musim liburan, cukup puas dan harga terjangkau."
Budy Wuysang,5,sebulan lalu,Bagus tapi wahana outdoor dihentikan saat hujan.
Zainul Arifin,1,sebulan lalu,Tolong jangan mie instan juga yang makann Korea nya
febrina nikitaaa,5,sebulan lalu,"meskipun kesini pas public holiday, tp antrinya lebih manusiawi dibanding dufan😂 …"
"Ir Darmawan SPdT, MT",5,sebulan lalu,Luar biasa
Haliq Sby,4,sebulan lalu,Suasana enak asri kebetulan pas mendung
satria putra,5,sebulan lalu,Good
raka rafa,1,sebulan lalu,"Tgl 31 Desember 2025 kesana:
1. Tukang parkir yg orangnya sudah tua SANGAT KETUS  Mobil rombongan macet bukannya dibantu malah disuruh2 cepat pergi dan banyak alasan padahal disini kami …"
Fauzi Jabbar,5,sebulan lalu,"buat yang nyari wahana, Jatim Park 1 boleh dicoba, kalau makanan dan minumannya lebih baik beli di luar"
rramaeiliyazz_,5,sebulan lalu,"sukakk bgttt, apalagi darii atass keliatan view gunung cantiii bangett, harus kesana lagi sii krn canduu bgt😭😭 …"
ZAIZUM Production,5,Diedit sebulan lalu,"Harus dikunjingi, menyenangkan"
Nova Setiawan,1,sebulan lalu,"pelayanan sangat tidak bagus ,sudah beli tiket terusan museum tubuh,tapi tidak ada yang mengarahkan ,tempat memang luas tapi pelayanan NOL ,hanya ada information lewat pengeras suara saja,banyak juga wahana yang bayar sendiri,padahal tiket …"
oceana sejahtera mega octarina,5,sebulan lalu,"sudah lama ga kesini, waktu jaman kuliah. sekarang kesini lagi udah sama bocil. emang cocok buat semua hal mulai dari pembelajaran, arena wahana permainan, hingga pengetahuan semuanya udah all in. apalagi kolab dengan museum tubuh (walau …"
wahidah eka putri,5,sebulan lalu,Wahananya terawat dg baik. Kami sdh sering ke sini dan masih worth it dg harga 125 ribu
Chika Aulia,2,sebulan lalu,Pelayanan gocart nya tidak ramah ngegas teruntuk yang laki laki anak saya pendengaran nya tidak jelas jadi  anak saya kurang dengar membuat mental down
Aan Surdiyanto,1,sebulan lalu,"Males, jadwal pertunjukan gak sesuai. Banyak yg rusak pula permainan."
Apallo Sgr,1,sebulan lalu,Jadwal pertunjukan gak sesuai dengan yang diumumkan. Banyak yang mengeluh kecewa.
Krisdianto Susu Kedelai,1,sebulan lalu,Jadwal pertunjukan gak sesuai dengan yang diumumkan. Banyak permainan rusak.
Yuni Kusumah Ningsih,5,sebulan lalu,"Liburan akhir tahun 2025 memilih ajak anak aku ke jatimpark 1, beli tiket lewat tiktok dapat harga 116rb per orang (Jatimpark 1 + museum tubuh) kalau beli offline tadi sepertinya per orang 125rb. …"
Ulya Faudiyah,5,sebulan lalu,Semoga bisa kesini lagi dan main semua wahana 😁 …
Putra Tunggal,5,sebulan lalu,Di wisata Jawa Timur park 1 sungguh menakjubkan
Praymal Joys Shobiha,5,sebulan lalu,Asyik poll
Jefrry Wibowo,5,sebulan lalu,Cocok buat yg suka wahana extreme
yunan ali,4,sebulan lalu,Bagus dan cuacanya sejuk.
Angga Sektiawan,5,sebulan lalu,"Tempat cukup edukatif, bnyak wawasan ttg tubuh, ada musholla di dlm dan cek asam urat dan gula darah gratis..parkir luas bnyak pnjual oleh2 dan cemilan"
Suseno Adi,5,sebulan lalu,"Hari ini penuh
Pas masuk musim liburan"
Fadila Karunia Putri,5,sebulan lalu,"tempatnya seru mengasyikkan dan mengedukasi, tidak menyesal study tour disana👍🏻👍🏻 …"
Angga Baresky,5,sebulan lalu,"Jawa Timur Park 1 turned out to be a very satisfying place to spend a full day, especially for a family trip with children. At first glance, we thought the rides might be limited, but once we went deeper inside, we realized there were many …"
Ali Farshad,4,sebulan lalu,"Parknya sendiri bagus banget. Dan toiletnya dimana mana, barangkali muntah. Wahananya sangat bagus dan dalam kondisi baik. Paling komplain saya itu, saya tidak suka suara kencang, dan dimana-mana, suara nya kayak sound horeg. Tolong, jangan ada musik kera dimana mana, minimal dikecilin. Saya mual cuman karena suaranya keras banget"
Riza Fahruddin (Fahruddin_Riza),5,sebulan lalu,"Mantap,, kurang ramah buat lansia dan bumil"
fafa patria ummah,1,sebulan lalu,"mininal kalau rombongan lebih dari 30 orang itu dipisah si, beli online sama offline ga beda ini rasanya"
Ana Budiarti,5,Diedit sebulan lalu,Great place 😍 …
Nasywa Putri,5,sebulan lalu,Visiting Jatim Park 1 felt like stepping into a place that perfectly combines fun and education. The cool atmosphere of Batu made it comfortable to walk from one attraction to another. I was most impressed by the educational zones that …
Hafiz Atmaja Ilhamsyah,4,sebulan lalu,agak mahal sih
faizzz,5,sebulan lalu,Saya saat ke sini sangat senang sekali apalagi saya Menaiki. Wahana yang bernama golden coaster itu sangat seru sekali dan saya juga mencoba wahana bom bom Cars nya sungguh seru sekali 😀 …
Firmansyah Ibnu Ali,5,sebulan lalu,"Seru, Amazing"
shenna,1,sebulan lalu,"wahananya kurang seru. kurang cocok buat orang dewasa. kebanyakan utk anak2. apalagi kemarin hari Sabtu, 13 Des banyak wahana yg maintanance. kecewa sii, jauh2 motoran ke jtp1 tp cmn bisa naik bbrp wahana saja."
Budhai Prakoso,5,sebulan lalu,Liburan seru
bambang setiawan,2,sebulan lalu,Wahana banyak undermaintenance. Kecewa pengunjung 😂 …
NK,5,sebulan lalu,"Udah gak keitung berapa kali kesini,dari jaman kenaikan SMP sampe punya anak 2,bener"" menyenangkan,wahananya juga banyak,terakhir kesini family gathering sama teman pabrik"
ario yudhi prasetyo,5,sebulan lalu,Sudah kelima kali ke JTP 1..selalu terawat dan diperbaharui wahana2 baru..mantab...
Siti nur azizah Azizah,5,sebulan lalu,Bagus tempatnya luas... 😅 …
Anjas Triono,5,sebulan lalu,Cocok untuk liburan bersama keluarga. Rekomendasi datang dari jam awal2 buka. Agar bisa menikmati semua wahana yg ada didalam.
Kayla KafanaHehe,1,sebulan lalu,pelittt  masak yang sualnya tebal gak boleh renang
Ahmadin Fabian.R,5,sebulan lalu,"educational and entertaining theme park with many rides and attractions for all ages. The facilities are good, and the mix of learning and fun makes the visit really worth it. Highly recommended for families and students!"
Revalina Reva,5,sebulan lalu,"Jatim Park 1 is a vibrant and engaging recreational destination that combines education, entertainment, and adventure in a way that appeals to visitors of all ages. The park offers a wide variety of attractions, from interactive science …"
Antoni Yohansa,1,sebulan lalu,"udah di bela in cape2 & jauh' datang dari jbg ke malang 2 orang, tujuan jatimpark 1 dgn pembelian tiket online. pas sampai sana, gabisa naik wahana sm sekali karena banyaknya wahana yg sedang dalam perbaikan + banyak wahana yg harus meminimalkan jumlah org yg mau naik. bener' kecewa. kita beli bukan dapet tiket gratisan!"
anisa dn,4,sebulan lalu,"Wisata jaman masi kecil, akhirnya bisa balik lagi kesini gara2 gathering kantor. Bikin flashback bgt🥲 Dulu belom bisa coba wahana, sekarang kesampaian bisa nyobain beberapa karena kehalang hujan😩 …"
Dwi Jayanti,5,Diedit sebulan lalu,"Tempat bermain dan belajar yang sangat bagus, cocok buat segala umur, tempat luas dan edukatif juga. Pelayanan ramah dan cepat, udah banyak tempat sampahnya juga, toilet dimana-mana, akses buat kursi roda juga ada."
Dwi ratna Definta sari,5,2 bulan lalu,"Seruu pollll, view nya cantik banget, tapi sayang waktu kesana wahana banyak yg perbaikan"
Siswo Prayitno,5,2 bulan lalu,Sehari nggak cukup buat nyoba semua
tony wahyu irawan,5,Diedit 2 bulan lalu,mantap
Mayang Panca Irawan,5,2 bulan lalu,"JAWA TIMUR PARK 1
BERMAIN DAN BELAJAR SAINS
Jatim Park 1 merupakan tempat rekreasi yang memiliki konsep taman bermain yang dipadukan dengan taman edukasi, cocok buat kalangan anak sekolah belajar tentang sejarah dan Sains"
Faisal Anwar,5,2 bulan lalu,"Sayang kesini waktumusim penghujan
Banyak wahana yang tutup
Tapi sepi pengunjung, jadi enak santai"
Setiyadi Putranto,5,Diedit 2 bulan lalu,"Makin banyak wahana nya, makin bagus."
Choirul Andik,4,2 bulan lalu,"Lumayan penglman prtama kondisi hujan jd gk maksimal wahana dttup. Ada lg pnglaman bingung cari jln keluar, maaf mnrtku tnda penunjuk arahnya yg kurang strategis atau kurang besar. ."
Mahardika Dewangga,4,2 bulan lalu,"Cocok untuk kalian yang ingin merasakan wahana yang memacu adrenalin dan juga pembelajaran terkait biologi, fisika, hingga teknologi yang bisa kalian akses di museum tubuh/museum Bagong"
Bagus atmojo,1,2 bulan lalu,Pengamen bisa sembarangan masuk di jalan setelah parkiran!!
Vanessa Linares Sanchez,5,2 bulan lalu,Sangat direkomendasikan
Afifa Koesnandar,5,2 bulan lalu,sebenernya banyak wahana tapi karena kecapekan jalan jadi ga semua bisa dlihat..mungkin karena pas siang jadi panas😁😁 …
