name,rating,date,text
berdua ajaa,5,17 jam lalu,"ini tahun 2022 waktu kita study tour SMK, izin share dokumentasi tempat yang pernah kita kunjungi, semoga kita bisa bareng” kesini lagi dengan status baru (walaupun gatau kapan nikah nya wkwk)🥹🫶🏻 …"
SIndi Hermina,5,1 hari lalu,"Disini gak bosen bosen soalnya banyak banget tempat bagus, kaki aja sampe pegel saking banyaknya 🥺😭💖 …"
Hugo Hardianto,5,Diedit 1 hari lalu,"Museum yang mampu mengedukasi sekaligus menghibur. Konsep yang ditawarkan benar-benar bagus. Tidak sekadar menunjukkan kualitas tepat sebagai spot selfie demi edgy, Museum Angkut juga mampu mengenalkan perjalanan waktu yang terekam dalam perkembangan teknologi transportasi."
Harsiwi Andriani,5,1 hari lalu,Banyak hal menarik..
Pranowo Susanto,5,1 hari lalu,Alhamdulillqh kesini lagi setelah 10 tahun.
fachlevi kottama,5,2 hari lalu,wajib kesini lah kalo lagi trip ke Batu
Farel Jaya,5,3 hari lalu,👍 …
arya nizar,5,3 hari lalu,Tambah luas dan slalu tampak beda
clover tour and travel,5,3 hari lalu,Amazing Museum
Rudy Cleo,5,3 hari lalu,Bagus bgt
Silviana frasvika,5,4 hari lalu,Seharian keliling dunia tanpa perlu paspor? bisa dong di @museumangkut! tiap sudutnya estetik 😍 …
Vic Galung,5,5 hari lalu,Bagus
Tika Waode,5,seminggu lalu,"Sngt recomendedd, utk melihat atraksi mobilnya star dr jam 15.30"
Hariyanto Yanto,5,seminggu lalu,Musium angkot kota dingin
virgia sita,5,seminggu lalu,Tempat yang menarik
Alya Margareta,5,seminggu lalu,"Seruu poll, next kesini lagi yaaa"
M Ali Machrus,5,seminggu lalu,Keren untuk wisata yang bertahan lama
Fairus Sista Anya Anindia,5,seminggu lalu,"baguss sangat recommended buat liburan, seruu jugaa dan banyak spot foto baguss"
Laila _kusuma,5,seminggu lalu,bagusss bangetttt apalagi kl ada aku
Andre O,5,seminggu lalu,"Selalu keren, 15.15 WIB pertunjukan keren. kalau mau masuk bareng drivernya, harus cepet²an"
Nur Khasanah,5,seminggu lalu,"Bagus banget, sangat mengedukasi, informasi dan sejarah zaman dahulu tentang kendaraan dari zaman penjajahan. Kulinernya juga enak enak dapat voucher makan juga setiap pembelian tiket. Ada pertunjukan mobil jadul juga dengan driver yg sudah …"
