name,rating,date,text
Devin Rosid,5,6 jam lalu,"Cantik, keren."
Eko Wahyudi,5,11 jam lalu,Mantap jiwa
M. Hariez Maulana,5,1 hari lalu,suasana dingin sejuk i lovee uu nanad🤍 …
Dewi Inaroh,5,1 hari lalu,"pemandangannya indah tempatnya juga bersih, sebenernya mau cari sunrise tapi keburu pagii jafi gadapet sunrise disini,tapii indahh dan baguss bangett❤️"
Marshanda Paulina Tana,5,2 hari lalu,100/10
Cahyaa Ilmawatii,5,2 hari lalu,"pas kesana waktu hujan deras, wajib diulang kesana lagi"
Rista W. Jelita,3,2 hari lalu,"Tiket masuk update Februari 2026 HTM 30K (weekday dan weekend sama) parkir motor 5rb.
Dari 2019 ke sini sebenernya udah tau ada penitipan helm tapi ga wajib di …"
fachlevi kottama,5,2 hari lalu,nyore disini memang ga ada obat
076_Nizar Ali Hasan_ B,5,3 hari lalu,"21 November 2025
Bersama teman hidup
Nuansanya sejuk, meskipun gerimis ber embun, tapi cukup puas"
Sulistyawan Dwi Prasetya,5,3 hari lalu,bela belain dari rumah berangkat belum subuh buat liat sunrise emang secakep itu viewnya🥰😍 …
Aura Riska Arianti,5,3 hari lalu,"pemandan city light nya batu emang gaa ada obatt, baguss bangett ke sini habis tahun baruu masih musim hujan, kabut di perjalanan sama di taman banyak nya tapi pas mau pulang untung kabutnya udah hilang ga nyesel deh kesini🥺✨ …"
Zahrotus Sa'diyah,5,3 hari lalu,Indah bgt ini mah❤️❤️❤️
Regina Okta romadhianti,5,3 hari lalu,Pp sby-malang hehehe capek nya terbayar sama view secantik ini🤩🤩 …
mersy fitria,5,3 hari lalu,"It is a very memorable place for me because I went there with someone special. We enjoyed the beautiful view and talked about many things together. The weather is very cold at dawn, so you need to wear a jacket. The city lights before sunrise are also amazing."
Haidar Faisol Abu Siroj,5,3 hari lalu,Maa syaa Alloh pas cerah dan tidak hujan. Indah banget dan bisa memanjakan mata untuk mengingat Alloh.
Risqi Fitrianaa,5,4 hari lalu,"kesini niatnya mau sunrisean tapi kesiangan, walaupun kesiangan viewnya ttp cantikk🫰🏼🤩 …"
Nadia Ainia S,5,5 hari lalu,"first time diajakinn perjalanan jauhh ke paralayang, mungkin kalo ga diajakin gabakal pernah tuh ke paralayang (waktu mini mini nya)😄 zuzur aku suka sama city light, best bgttttttttt pemandangannya dari atap sini😍 btww disini duinginn …"
Igycnd,5,5 hari lalu,First time kami menikmati citylight disini 😍 …
sheril anastasya,5,5 hari lalu,viewnya bener” baguss polll
Andi Kriswanto,1,6 hari lalu,"paralayang makin kesini makin mahal deh jalannya juga masih banyak yang rusak di perkampungannya....
dan minum kopi aja sampek 20K/gelas.... …"
Apipah Aulia,5,6 hari lalu,"Salah satu destinasi yang wajib di kunjungin kalo ke malang melihat sunrise dan senja bareng teman keluarga atau pasangan cocok banget, ada tempat makan dan toilet juga jadi aman. Kalo mau liat sunrise sampe lokasi harus dari pukul 04.00 biar bisa bikin video dan foto menarik yang instagramable"
Achmad Muhajir,3,seminggu lalu,"tiket per orang 30k
parkir motor 5k
ngopi 8k …"
adrian delcano,5,seminggu lalu,masuk nya 30k per-orang dan 5k untuk motor dan 10k untuk mobil
Mas Andira Aprilia safira,3,Diedit seminggu lalu,"Mahaaalll ada biaya untuk memakai helm. Per orang 30 ribu, parkir 5 ribu, tip 2 ribu wwkwkk kios-kiosnya mahal, tapi pemandangannya sepadan. Beli susu sapi panas 2 cangkir kecil seharga 20 ribu."
Yayang W. Fadilah,5,seminggu lalu,"sangat dingin, sebaiknya membawa pakaian tebal dan sarung tangan kalau tidak tahan dingin. apalagi jika anda datang setelah jam 6 sore, makanan di kafe taman langit sangat enak"
i'isti,4,seminggu lalu,Pemandangan indahh
Agus Sudharnoko,5,Diedit seminggu lalu,"Lokasi yang digunakan untuk parayang ini, ternyata sangat menyenangkan ketika kami gunakan untuk memotret terbitnya rembulan. Dari jarak dan posisi tertentu, kita bisa memotret bulan dengan hasil yang mencengangkan. Apalagi jika tambahi dengan komposisi kegiatan manusia dalam kerangka nya."
Tialee Junki,5,seminggu lalu,Pertama kali kesini ma teman rame2
Ivanya Gebriella Vincy,5,2 minggu lalu,"Berhubung kesini kesiangan jadi yaa agak panas, tp gpp seru liatin orang-orang main paralayang🪂 …"
sayyidah miana,5,2 minggu lalu,❤
Repin Randiansyah,5,2 minggu lalu,baguss view nyaa
Abu Belakoly,1,2 minggu lalu,Sejuk.tenang.indah bahagia di atas punyaknya
AlfaElza Rosdenia,5,2 minggu lalu,wisata tengah malam yang syahdu.
Ma Dinni,5,2 minggu lalu,Seru meski hujan...
Shofia Melasari,5,3 minggu lalu,"kesini pas ga terlalu rame, viewnya cakeppp polll😍 …"
