name,rating,date,text
Esdegan Melati,5,1 hari lalu,Sejuk
JAWAD BAHONAR,5,3 hari lalu,Menambah literasi sejarah perjuangan bangsa
tono dzaky,4,seminggu lalu,"Bersih, terawat. Semoga bisa terus terjaga untuk anak cucu kita."
Aksanu Alfan,5,Diedit 2 minggu lalu,Kediaman bung karno sang proklamator
Cat holic,5,2 minggu lalu,"Pas masuk nanti dikasih tas untuk wadah sepatu, masuk nulis buku tamu kemuadian bisa foto"" di dalam nya. Namanya juga rumah, jadi isinya ya rumah, dengan model peninggalan dan vibes rumah embah di desa plus vibe merinding. di dalam juga ada …"
Evi Yuliati,4,3 minggu lalu,"Small, clean, humble place rich in history"
Sulistyoningsih aiyra,4,3 minggu lalu,"Sebelum ke makam sebaiknya ke sini dulu, tiketnya sepertinya jadi satu sama ini de kayaknya.."
W Unik,5,3 minggu lalu,"Istana Gebang luar biasa sarat akan sejarah bapak Proklamator kita Ir. Soekarno, dan masih terasa aura serasa ada bapak Ir. Soekarno ada di dalamnya"
Hary Wijaya,4,sebulan lalu,"Istana Gebang Blitar merupakan rumah masa kecil Ir. Soekarno yang kini menjadi museum bersejarah. Bangunannya masih terjaga dengan arsitektur klasik, suasananya asri dan tenang. Di dalamnya terdapat berbagai koleksi peninggalan, termasuk …"
Prisda Ayutt,5,sebulan lalu,Tempat bersejarah tempat lahir sang proklamator
Imam MJ,5,sebulan lalu,Sangat edukatif
hary tjahjono,4,sebulan lalu,"Info akhir Desember 2025, harga masuk per orang 4000 standar, parkir mobil kecil 12000..."
Edi Putra,5,sebulan lalu,bagus.
B15IKAN,5,sebulan lalu,"Tempat Bersejarah, dari jaman dulu, sekarang, dan masa depan"
Muhamad Nur,5,sebulan lalu,nyaman dan bersih
AnikS,5,sebulan lalu,Rumah kediaman pribadi tokoh proklamator Indonesia Bung Karno. Yang sekarang dibuka untuk umum seperti museum mini. Yang di dalamnya berisi barang-barang pribadi peninggalan dari keluarga besar Bung Karno. Mulai dari perabot rumah tangga …
Abida Fitriana,5,sebulan lalu,"Saya ke sini pertama iseng-iseng karena sedang menunggu waktu janjian dengan seseorang. Ternyata ketika memasuki rumah bung kecil pada waktu itu seluruh badan saya terasa dingin.. seperti membayangkan bung kecil pernah hidup di sini, tidur …"
Labib Rossi,5,sebulan lalu,tempat untuk kita bisa mengenal lagi sosok bapak sukarno dengan mengunjungi rumah beliau tempat nya bersih luas ada pertokoan juga ada toilet
Chung Chung,5,sebulan lalu,"Wisata sejarah, berkunjung ke rumah Presiden RI pertama Istana Gebang"
Bowo Ardianto,5,sebulan lalu,"Istana Gebang merupakan rumah keluarga Bung Karno yang berdiri diatas lahan seluas 1,8 hektar. Terdiri dari sebuah rumah induk dengan delapan bangunan rumah lain. Rumah ini awalnya milik pejabat Bellanda yang kemudian dibeli oleh ayah Bung …"
Jello Jumadi,5,sebulan lalu,tempat sejarah.
SURYANTO,5,Diedit 2 bulan lalu,BAGUS
dewi handadari,5,2 bulan lalu,"Rumah kecil Presiden perta ma RI..sekitar 2 km dari pusat kota..tempat nya bersih dan terawat,tersedia perabot dan benda2 antik yang dlu di gunakan pak Karno beserta keluarg ,Pengunjung tidak di pungut biaya dan masuk dengan melepas alas …"
Susilo Mahmud,1,2 bulan lalu,"Istana gebang tinggalan bangunan bersejarah akan lbh menarik tenaga pemandunya lbh humanis  dan ikhlas melayani, berikan petunjuk yg jls aturan pengunjung (sepatu hrs dilepas) dan cara negor lbh humanis jdi tdk nampak kethusnya... Ini hny masukan...."
Lilik Mutaharoh,5,2 bulan lalu,Hehe
Handoko Ja'far,5,2 bulan lalu,Rumah penuh cerita tentang Indonesia dalam pergerakan dan orde lama
Cak Pred,5,2 bulan lalu,"Pengalaman luar biasa dengan petugas yang sangat ramah dan membantu, semoga terus lestari, top"
Ipunk Sagita,5,3 bulan lalu,Agenda Hari Sumpah Pemuda bersama Pojok Nglinting..
Agus 333,5,3 bulan lalu,"Tempat bersejarah di Blitar, ada tempat nongkrong di area istana gebang"
Layla Farhan,5,3 bulan lalu,"Suka sejarah tentang Pak Karno di masa kecil! Bersih , petugas ramah dan informatif, terimakasih yaaa"
Aisyah Nawangsari Putri,5,3 bulan lalu,"Rumah yang pernah ditinggali Bung Karno. Penuh benda-benda bersejarah, lengkap dengan penjelasannya. …"
D.C.P 80,5,3 bulan lalu,Jangan melupakan sejarah.
Ferdyan alba,2,4 bulan lalu,Mantap
Agung Prabu,5,4 bulan lalu,Tempat yang luas..bersih..dan nyaman
Anna's Journey,4,4 bulan lalu,"Rumahnya sejuk, bersih dan rapi."
kokoreh cocooan,5,4 bulan lalu,"Wajib ke sini kalau suka sejarah, ilmunya banyakkkkk... nuansa tempo dulunya bener bener berasa, nikmat banget"
VC,5,4 bulan lalu,Rumah sejarah Indonesia yg wajib dikunjungi
Eddy Prabowo,5,4 bulan lalu,Tempat bersejarah
rdr paramita,5,5 bulan lalu,"Rumah kuno yg tetep terjaga kebersihannya, rapih, gedhe banget. Kliatan kl Bung Karno dari keluarga berada. Ya iyalah, secara beliau kan sekolahnya sampe insinyur. Maap ngga foto2, aslinya takut tp sebenernya ya aman jg sih."
Andreas,5,Diedit 5 bulan lalu,Masa Kecil Bung Karno pernah dilalui di tempat ini. Vibes nya sejuk nyaman looo. Visit and enjoy the history. Di sini bisa anda temukan juga ruangan tempat Bung Karno berunding dengan Sodancho Supriyadi sebelum pemberontakan PETA 1945 yang …
Tony K,5,5 bulan lalu,Menambah pengetahuan ttg sejarah pak soekarno
panji kurniawan,5,5 bulan lalu,"Bersejarah,👍👍👌 …"
Naaa Kurnia,5,5 bulan lalu,"Banyak orang yang berkunjung
Parkir luass dan nyaman"
Kang Din Fatkudin,5,5 bulan lalu,"Tempat mengenang masa kecil sang Proklamator Republik Indonesia, Rumah masa kecil Bung Karno"
Berkah Jaya,5,5 bulan lalu,Nostalgia
nvske,5,Diedit 5 bulan lalu,"Bagunan bersejarah setelah makam Proklamator RI.
bisa sambil ngopi santai dan kopdar di sini"
