name,rating,date,text
GALANGMDP,5,9 jam lalu,"""JASMERAH"" udah itu aja, minimal sekali wajib dikunjungi kalau lagi di Blitar."
Esdegan Melati,5,1 hari lalu,Ramah pegawainya
Ragi Tempe,5,1 hari lalu,"Mengenang bapak proklamator, meneladani jiwa nasionalisnya, bisa kita temukan di museumnya"
Lita Okta,5,2 hari lalu,"Makam Bung Karno
Tiket hanya 4rb/org
Lokasi bersih terjaga"
Mohammad Bayu,5,2 hari lalu,Disana tempatnya bagus dan banyak orang jualan makanan jualan baju
nasrullah balai80,5,4 hari lalu,Mengenang jasa pahlawan. Bapak Negara
Night Moon,5,4 hari lalu,Tempatnya bagus. Bersih
Ervin Van Line,5,4 hari lalu,Wisata murah meriah
Wahyudi Saputro,5,Diedit 5 hari lalu,"Pertamakali berkunjung thn 2015 & disusul thn 2017, tempatnya bersih & nyaman. Entah kpn akan kesana lagi, hanya sebuah foto kenangan sebagai bukti bahwa saya pernah menginjakkan kaki disana. salam Saya dari Lampung utk warga Blitar. 😁🙏 …"
Aina Fidda,5,5 hari lalu,"Sangat bersih, suasana sakral dan makanan murah"
Chandra Triar,5,seminggu lalu,Penuh sejarah dan megah
Suheri,5,seminggu lalu,"Ziarah, wisata edukasi dan sejarah, mantab!"
hendri perdana,5,seminggu lalu,Tempatnya bersih dan ramai pengunjung yang berziarah.
Alfa Tika,1,seminggu lalu,Benar
Arie Yuliastuti,5,seminggu lalu,Sayangnya kesana sdh kemalaman
Putra Dwi,5,seminggu lalu,Keren
SR Alumunium,5,seminggu lalu,Bersih
Alfinatun nashiroh,5,seminggu lalu,Outingclass anak² disini
Aris Setiawan,5,seminggu lalu,proklamator kita
Farkhan Bagaskara,5,seminggu lalu,Makam Proklamator Bung Karno Putra Sang Fajar. Kondisinya terawat dengan baik. HTM cukup terjangkau hanya Rp4.000 saja.
Dmitri Leonov,5,seminggu lalu,"Tempat yang nyaman dan sejuk, bisa mengajak keluarga"
Samsung M11ultrq,5,2 minggu lalu,Mempermudah bepergian karna saya yg minim pengetahuan lokasi
Dony Jaya,5,2 minggu lalu,mantap jiwa
Al fawzul Hadi,5,2 minggu lalu,"BLITAR Kota kelahiran saya, tempat favorit kalo jln jln bersama dia"
Wahyuni Ike,5,2 minggu lalu,Enak sekali
Arifi Z,5,2 minggu lalu,"Saya berkunjung ke Makam Bung Karno di Blitar dan suasananya terasa sangat khidmat. Tempatnya bersih, rapi, dan tertata dengan baik. Banyak pengunjung datang untuk berziarah sekaligus belajar sejarah tentang Presiden pertama Indonesia. …"
Yerf,5,2 minggu lalu,Lumayan ramai
Ah Syahlendra,5,2 minggu lalu,"Wisata religi yang tidak pernah sepi pengunjung, walupun kadang ada yang getok harga. Namun masih bisa di handle. Nanas dan belimbing selalu jadi komoditas utama wisata ini."
Darsehsri,5,2 minggu lalu,"Kota Blitar, Bumi Bung Karno, sepanjang jalan besar slogan itu terpasang dimana mana. Rasanya kurang afdol kalo ngga mengunjungi istana gebang atau makamnya. …"
donny handoyo,4,2 minggu lalu,"Pintu keluar berliku liku dan panjang, tidak disarankan bagi ysng kurang latihan jalan kaki"
Setyawan 90,4,2 minggu lalu,"Over all dari sekian banyak orang di area wisata makam bung karno . Hanya 1 bapak yg jaga tiket masuk makam GK enak banget mukanya waktu saya bayar tiket masuknya dan GK usa ngisi buku pengunjung . Beda dari yg lain disambut dengan baik.
Why salah saya apa bapak"
Aga Kartiko,5,Diedit 2 minggu lalu,mkm presiden RI pertama
Sayyid Jamal13,5,2 minggu lalu,Baik sekali
Pagutan Reload,5,2 minggu lalu,"Udah ke 3 kalinya ziarah ke Makam Bung Karno, banyak perubhan kusunya jalur masuk dan kekuar di pisah."
KELUARGA HALIM VLOG,5,2 minggu lalu,Seep
W Unik,5,3 minggu lalu,Alhamdulillah masih diberi kesempatan untuk berziarah di makam bapak Proklamator. Semoga mendapat syafaat dan maghfirah dari Allah
Imin Nurcahyani,4,3 minggu lalu,"Masuk tiket harga 4.000 perorang
Alhamdulillah sekarang semakin bagus tempatnya..."
Bambang Safril,5,3 minggu lalu,Tempatnya bagus dan selalu ramai pengunjung
Syaiful Mu'minin,5,3 minggu lalu,Tempat yang bersih
Safrudin Fauzan,4,3 minggu lalu,Sang Proklamator Kemerdekaan Indonesia
Ninis Kenes,5,3 minggu lalu,Sebenarnya sangat menarik untuk d kunjungi .. hanya saja saat keluar harus melewati labirin pasar itu .. sedikit memusingkan untuk org2 introvert sperti saya. Tapi overall syuka syekaliii berkunjung kesini ..
Rohmatul Hidayat,5,3 minggu lalu,"Awal datang saya lewat pintu samping pas hari libur dengan parkir Rp.5000 sepeda motor, lanjut masuk di arahkan untuk beli tiket dulu masuk ke makam Rp.4000"
Sulistyoningsih aiyra,4,3 minggu lalu,"Aku beli tiket 7 tapi di kasih 6.. pas masuk pemeriksaan tiket, teryata tiket juga gk di hitung sama penjaganya 😁 …"
Fatimah Alkatiri,5,3 minggu lalu,"Tempat lumayan bagus, banyak pengunjung dikenakan tiket 4000 rupiah, tempat parkir dan tempat makan lumayan jauh, naik becak PP Rp25. 000 bapak becak nya ramah ramah, banyak tempat makan, aneka buah blimbing dan nanas"
SAGIMIN U,5,3 minggu lalu,"Belajar sejarah tentang perjuangan presiden Republik Indonesia yang pertama
Bapak Soekarno is the best"
Andirasandy,5,3 minggu lalu,Tempat wisata religius
elvici,3,Diedit 3 minggu lalu,"Makam Bung Karno berada satu kompleks dengan Museum. Masuk museum gratis (hanya perlu mengisi buku tamu). Koleksi fotonya sangat terawat dan memberikan gambaran jelas tentang perjuangan Proklamator. Suasananya tenang, bersih, nyaman. …"
afifuddin _,5,4 minggu lalu,Bagus banget tempatnya apalagi museum ama perpustakaan nya is the best dah disana kalo jam 5 uda tutup ya guys
PATEMON,5,4 minggu lalu,Tambah bagus
Dbinti Binti,5,4 minggu lalu,"Habis ziarah bisa belanja pernak pernikahan khas blitar...bumbu pecel,nanas madu dan belimbing yg sll ready disana...tempat nya bersih dan nyaman"
Jam's miles,5,Diedit 4 minggu lalu,"Mengurus kartu perpusnya mudah dan informatif, pegawai perpus nya juga ramah2 banget jadi good mood :) koleksinya bagus2, tempatnya adem, nyaman, bersih, pw pol. Enak buat belajar, ngerjain tugas, ada study room nya yang per tempat ada colokannya. Enak buat belajar karna ga rame. 1000/10❤️"
Iwan Fah,4,4 minggu lalu,Bagus
andita tour,5,4 minggu lalu,Tempat bersih yertib dan nyaman
dikki ardiansyah,5,Diedit sebulan lalu,Sejuk
RIAN SEM MELEDAK,5,sebulan lalu,Terimakasih Olxmobbi gresmall
Romanza Martini,5,sebulan lalu,"Setelah berkunjung ke Istana Gebang yg adalah rumah masa kecil Presiden Soekarno, lanjut ke makam.
Jaraknya 2 km. …"
Khurotul Aini,5,sebulan lalu,Bersih dan penjaganya pun ramah.
NAID Visual_group,5,sebulan lalu,Keadaan yang damai dan aman tentram
Agus Santoso,5,sebulan lalu,"Alhamdulillah wasyukurillah, bisa ziarah di makam salah satu Pendiri sekaligus Presiden RI pertama yaitu Alm. Bpk Soekarno (Sang Proklamator). Makam terawat dengan bagus, tempat bersih dan cukup luas. Semoga ziarah ini mengingatkan kita …"
roziq khairurrozi,3,sebulan lalu,"Dilengkapi dengan perpustakaan yang modern dan koleksi bukunya lumayan lengkap. Masuk makan ada retribusi Rp4000 sepaket dengan istana gebang. Namun saat keluar area makam harus memutar-mutar area oleh-oleh yang sangat panjang dan jauh, …"
yuli ana,5,sebulan lalu,Saya belum pernah ikut travel 8ni tpi teman saya yg pernah ikut travel ini beliau bercerita katanya perjalanan nya dengan adam travel lebih menyenangkan dari yang dibayangkan
Sayo Yonasta,5,sebulan lalu,Tempat prioritas waktu sekolah di spgn Blitar 1982! Karena kos ku di sentul!
Prisda Ayutt,5,sebulan lalu,Bagus pengunjung tertib tukang dagang harganya standar
Imam MJ,5,sebulan lalu,Adem dan nyaman
Alfan Rachmadi,5,sebulan lalu,"Spbu semakin bagus dan bbm tidak pernah kehabisan, pertamina turbo juga ada. Jaya selalu"
arwan mahmuda,4,sebulan lalu,Sangat bagus
Fitria Ansori,5,sebulan lalu,"Tempatnya bersih. Anak² kalo ke sini suka ke perpustakaan anak, tempatnya nyaman buat anak²"
dayat nur kholis,5,sebulan lalu,Sang proklamator
Durrotun Homzah,5,sebulan lalu,Sangat dekat
Joko Supriyono,5,sebulan lalu,"Seperti pemakaman pada umumnya, tapi tidak ada nuansa mistisnya. Pas endyear, agak rame, tapi oke lah. Hanya sajaaaa, sebagai salah tempat yang DIBIAYAI OLEH NEGARA, rakyat HARUS BAYAR TIKET dan ke toilet HARUS BAYAR LAGI. Terima kasih. Semoga berbenah."
Sang Tio,5,sebulan lalu,Suasananya asri
Rahmawati,5,sebulan lalu,Mungkin kalo hari biasa nggak seramai ini yaaa pengunjungnya rame banget
Vend Mahend,5,sebulan lalu,Wisata kebanggaan warga kota blitar
Inaz Syaza Ayla,5,sebulan lalu,Sang Proklamator
Intan Tiwi,4,sebulan lalu,"Arah2 untuk parkir gratis di perpus kurang jelas lewat mana
Semoga petunjuk arahnya bisa diperjelas ya, saya bingung akhirnya parkir di luar …"
Dian Wardani N.,5,sebulan lalu,"Tempat ikonik yang wajib dikunjungi kalo kamu lagi ke blitar. Ada beberapa part di sini. Area perpustakaan, museum mini, dan area makam. Kamu cuma perlu bayar 4k saja kalau ingin masuk makam. Yang lain gratis. Pas ke sini masih pukul 8an. …"
Puguh Tiga,4,sebulan lalu,Di perpustakaan
Wahyudi Nugroho,5,sebulan lalu,"Alhamdulillah..setelah sekian lama akhirnya bisa kembali berziarah ke makam Sang Proklamator Bung Karno, …"
Ervina,5,sebulan lalu,"Makam Bung Karno di Blitar bukan cuma tempat ziarah, tapi juga spot yang bikin kita mikir dan ngerasa lebih dekat sama sejarah Indonesia. Begitu masuk area makam, vibes-nya langsung beda. Suasananya tenang, adem, dan bikin otomatis lebih …"
dony novy,5,sebulan lalu,Ziarah ke makam Bung Karno
Yus Ayra,5,sebulan lalu,Kesini waktu liburan jd ramai sekali
Hilmi Kanzul Faizi,5,sebulan lalu,Nyaman untuk mempelajari sejarah. Utamanya buat anak dan nyaman untuk jalan jalan
Ahmad Murtadho,5,sebulan lalu,Mengasyikkan
Ima Nooryana,5,sebulan lalu,"Tempat yg penuh info sejarah tentang Bung Karno serta perjuangan para pahlawan dalam memperjuangkan kemerdekaan NKRI, sangat edukatif buat para penerus bangsa...👍 …"
Haryadi Haryadi,4,sebulan lalu,Suasana bersih dan aman
Happy W. Lauwrenthioes,4,sebulan lalu,Bersejarah
Rifki Darmawan,5,sebulan lalu,rame
Agustinus Sudiyono,5,sebulan lalu,Nice place to learn historical figures
JNR Shop,5,sebulan lalu,Baguss
Muhamad Nur,5,sebulan lalu,Sangat nyaman dan bersih
Ganyong Jeli,5,sebulan lalu,Tempat paling bersejarah di Blitar yang mengesankan
Yelli Kusuma,5,sebulan lalu,Tempat yang sangat bersejarah dan saran saya untuk ke sini dimulai dr istana gebang lanjud lewat perpustakaan bungkarno dan diahkiri di makam agar sejrah dan cerita runtut
Tri Winarni,5,sebulan lalu,Sejarah ke makam bung Karno..seneng Krn hari libur banyak pengunjung dari luar daerah.semakin bersih & asongan tertata rapi.
Erlina Indriasari,5,sebulan lalu,"Tempat utk rekreasi lumayan bagus, kanan kiri byk wiskul yg bisa dinikmati"
Andrew Kirsten,4,sebulan lalu,"A worthwhile pilgrimage to Indonesia's late first president, it was nice seeing people paying respects and praying from around the country! …"
Kapal Air,5,sebulan lalu,Cuaca lagi panas 🥵 …
SITI MASITOH,5,sebulan lalu,tempat bersejarah... bagus buat memperdalam wawasan
dwi saptianingrum,5,sebulan lalu,"Masuk ke museum & perpustakaannya gratis dan dapat belajar ilmu sejarah kembali. Bisa sekalian ziarah ke makam Bung Karno, dengan tiket masuk ke makam per @4000 didepan makam juga udah banyak yg berjualan bunga 10rb udah dapet 3 pack untuk tabur bunga di makam. MasyaAllah ❤️🤍 …"
Jamal Mubarok,5,sebulan lalu,Tempat edukasi dan ziarah berkah
Roy* Man,5,sebulan lalu,Semoga jadi berkah.
fransisca aurora,5,sebulan lalu,"Tempat literasi budaya yang banyak dikunjungi wisatawan untuk nyekar di makam mantan presiden Indonesia dan juga terdapat perpustakaan, musium sejarah
Untuk tempat parkir sekarang agak jauh terus dari tempat parkir ke makam bisa …"
lalo kodok,5,sebulan lalu,Alhamdulillah bisa ziaroh di makam Bung Karno.ramai sekali buanyak pengunjung nya ...matur nuhun
Wa ti,5,sebulan lalu,"Banyak sekali toko suvenir, perpustakaan dan galeri yang keren."
louis febriano,1,sebulan lalu,"Parkir ny mahal banget, bisa buat makan gyukaku 😛😛😛 …"
lisa rani,5,Diedit sebulan lalu,Ramai.....
Salman Choiri,5,sebulan lalu,Sambil liat2 museum langsung ziarah ke makam Presiden pertama Bapak Soekarno...semakin rapih dan bersih...berkah menyertai..
Candra Dewi,5,sebulan lalu,"PERPUSTAKAANNYA LENGKAP BAGUS BANGET, PELAYANAN BAGUSS"
Sulton Lamp,5,sebulan lalu,"Perpustakaan Blitar
Fasilitas yang disediakan bagus untuk menambah wawasan dan ilmu Ribuan buku ada disini mulai anak anak sampai dewasa, …"
Agus Supriyadi,5,sebulan lalu,Pengalaman pertama lihat Makam sang Proklamator - Soekarno Hatta....
Narto Susanto,5,sebulan lalu,harus pinter cari moment untuk masuk biar dpt tempat didepan
SFN SFN,5,sebulan lalu,Bagus dan bersih..mantap
HAMBALI SIGARANTANG,5,sebulan lalu,"Saya datang pagi jadi masih sejuk suasananya, juga didalamnya ada yang jualan pernak pernik, buat kaum pejiarah dan selvi saya merekomendasikan untuk datang ke tempat ini 🙏😅 …"
Nicha Ksid,5,sebulan lalu,"Sudah sekian tahun tidak kesini, alhamdulillah ditakdirkan kesini lagi dengan suasana yang berbeda"
Juanda Afrori,5,sebulan lalu,Enak
Yusuf Efendi,4,sebulan lalu,"Tempatnya adem, nyaman, asri dan bersih. Harga makanan dan oleh-oleh sangat terjangkau, recommended."
Fadil Sheva,5,sebulan lalu,sangat bagus dan menambah pengetahuan
Dwi Sulistyoadi,5,sebulan lalu,Menyediakan berbagai kebutuhan rumah tangga
Kemas Verryan Nizar Zakky,5,sebulan lalu,Top
Suko Andriyani,5,sebulan lalu,Memorial
Dwi SB,5,sebulan lalu,Sewa elf long giga Hiace dll
Mas Srudono,5,sebulan lalu,Mantap dalam layanan
Diana Forisanti,4,sebulan lalu,"Tempat yg indah , baru pertama kali ke blitar dan langsung ke tempat ini"
Geger Kuncoro,5,sebulan lalu,Blitar rasa Jogja
Heru d'Santos,5,sebulan lalu,Bersih rapi dan sangat menarik untuk selalu di kunjungi
Wahana motor,5,sebulan lalu,Mantap
Jello Jumadi,5,sebulan lalu,tempat sejarah.
Satiwan Sh,5,sebulan lalu,Saya sudah lebih dari 5x berkunjung ke makam bung Karno tapi tetap berkesan karena beliau adslah tokoh pendiri bangsa yang tak bisa dilupakan
Arik Mojo,5,sebulan lalu,"Menyenangkan sekali bisa ziaroh ke makam presiden RI ke 1 ini..
Sejarahnya penuh heroik dan intrik"
zamzam akhmad,3,sebulan lalu,"Mengecewakan, karena lokasinya sekarang tidak boleh dikunjungi alias ditutup entah sampai kapan"
Agung Setyo,5,sebulan lalu,"Terbayang baktimu, terbayang jasamu, terbayang jelas jiwa sederhana mu... Iwan Fals - Bung Hatta"
