name,rating,date,text
Achmad Dimas,5,4 hari lalu,bersih
Cynthia Dewi hartono,1,Diedit 4 hari lalu,"fun park tp plisss tukang parkirnya nyebelin banget...
Suka ngehadang di tengah jalan, ga semua orang yang lewat situ itu mau parkir... Kudu ta tabrak ae... Menyebalkan dan menyusahkan.."
Edwin Surjopurwanto,1,Diedit 4 hari lalu,Tukang parkirnya ganggu banget.. orang cuma lewat jalan di depan bonrojo masa disuruh parkir.. pake ngehadang di tengah jalan..
Naura Maurent,4,Diedit seminggu lalu,Bagus
Alma Lintang,4,seminggu lalu,"Tempat pelarian stress kuliah ter-bestttt ever. Kulinernya lengkap. Parkirnya ramah, hewannya lucu imut. Bau hewan juga gak terlalu ganggu. Yang ganggu itu bau komposnya sama gazebo yang banyak eek gak di bersihin"
gatot joko triyono,3,seminggu lalu,Mulai ada tukang foto ilegalyang biki kita yang berkunjung tidak nyan
Us Suwarjans,4,2 minggu lalu,"Mampir mesjidnya aja, adem,,lumayan luas parkir mobil agak susah,mesti pinggir jalan"
Bambang Setiyoko,5,2 minggu lalu,Cocok untuk bermain anak
Laila Hidayana Mufida,5,2 minggu lalu,Edukatif dan cocok untuk wisata keluarga
Lina Purnamasari,5,3 minggu lalu,Tempat wisata yang murah dan ramah anak
Ilham Turniawan,5,3 minggu lalu,Nyaman buat liburan kluarga
Chandra Novitasari,5,3 minggu lalu,"Tamannya bagus , hewan hewannya juga Mayan lengkap. Padahal masuk tanpa htm tp ga expect hewannya lengkap dan sehat sekali. Belum nyoba toilet nya tapi wahana main anak lumayan banyak . Patungnya bagus baguss ga kaya yg anggaran Gede-gede 🤣🤣 …"
Siti kumariah,5,3 minggu lalu,"Luas banget banyak hewan yg bisa dikenalkan pada anak² untuk menambah wawasan. Ada arena bermain juga, banyak pedagang kaki lima jadi jika ingin jajan banyak pilihan☺"
Yogi Reginleif,3,Diedit 3 minggu lalu,Bagus untuk yg ingin cari tempat adem di tengah kota
Fahriza Afdal,4,3 minggu lalu,"Taman kota yang sudah ada sejak zaman Belanda, yang penuh dengan variasi pepohonan. Tempat yang rindang, banyak area bermain anak, ada tempat penyewaan mainan anak, kadang setiap weekend ada Flying Fox di sebelah selatan,dan ada juga kebun …"
Teknisi Bejo,5,4 minggu lalu,Ada apa disini
