name,rating,date,text
Ahmad Kakim,5,11 jam lalu,Mantab dan ekonomis
Lutfi Mohammad,3,1 hari lalu,"• Tempat parkir terpisah (sebrang jalan)
• pintu masuk dari lorong bawah
• Ada jasa foto (perfoto 5.000 RB)"
Amazia Bintang Channel,5,1 hari lalu,"Spot foto di tengah kediri, ikon ikonik kabupaten kediri, tempat parkirnya banyak dan luas. Untuk akses dari tmp parkir ke lokasi slg bisa lewat underpass nya saja biar aman"
Mas Rizky,5,2 hari lalu,Okelah buat foto-foto tempatnya sangat luas
Mixuegii,5,2 hari lalu,"tempat nya bagus guys cocok buat santai dengan keluarga atau pasangan kalian, udaranya juga sejuk meskipun di tengah² jalan raya yang padat.
toilet nya pun juga bersih dan terawat, terus di tempat parkiran banyak juga …"
Sudarto Udin,5,3 hari lalu,"PARIS NYA KEDIRI.....
enak buat Santay....sama kerabat dan keluarga"
Roqib Mudji Wibowo,4,3 hari lalu,"Tempat bersantai bersama keluarga, utamanya di malam hari"
arrachman novianto,5,4 hari lalu,Favorite place
Reva Inara,5,4 hari lalu,Cerah ceria
Prisma Suganda,5,5 hari lalu,Tempat yang nyaman untuk bersantai
Chisna Aditya Dewa,5,seminggu lalu,Kota ini tak sama tanpamu
Rakai Pikatan,5,seminggu lalu,"Spontan aja main kesini padahal biasanya cuma lewat kalau mau ke tulungagung
Parkir standar, untuk motor 3 ribu rupiah
Suasana cukup ramai mungkin karena weekend yah"
Bejan Pujiantoro,5,seminggu lalu,"Tempat Bagus,,Bersih,, Sayangnya Mushola Sangat Kecil,, Parkiran 3 Sama juga Mushola Sangat Kecil bahkan tidak ada Kran untuk air wudhu,,Parkir Bus Medium 15rb,,kita Harap Pemkab Kediri Melebarkan Mushola Karena Sebelah Parkiran 3 ada …"
Hanifa Sabila,5,seminggu lalu,Enak buat family time sekedar duduk². Tempatnya jg super bersih dn ga penuh sama pedagang krna uddh ada spacenya sendiri.
Sukoco Slamet,5,seminggu lalu,Spot foto wajib jika ke Kediri
MOH. QOMARRUDDIN,5,seminggu lalu,"Tempat luas
Makanan murah
Banyak pilihan"
Arshaka Wijaya,5,seminggu lalu,Baik
Ira Wahyoe,5,seminggu lalu,Tempatnya teduh
Gracy Andarista,5,seminggu lalu,"Simpang Lima Gumul adalah destinasi wajib kalau kamu berkunjung ke Kediri — bukan hanya karena arsitekturnya yang megah, tetapi juga karena suasana publiknya yang hidup, fasilitas yang mudah diakses"
Happy W. Lauwrenthioes,4,seminggu lalu,Kerennn 🥳🥳🥳 …
ADI HARIYONO,5,seminggu lalu,Rest area ternyaman
Yusup Sujimat,5,Diedit seminggu lalu,"Tempatnya seperti monomen + taman
Buat foto²
ok aja"
Davi LaVida,5,seminggu lalu,"Tempat nyaman biat healing,cari udara segar,jalan2 cuci mata,kulineran maupun tempat nyaman buat anak2."
Chessie Liviia,5,seminggu lalu,"18/08/24

First time ke kediri melipir ke simpang lima gumulll. Keren bgt bangunannya bagus poll. Salut sama pemerintah kotanya😍 …"
Raya Al,5,seminggu lalu,Susana nya mantap
Berlin Sitepu,5,seminggu lalu,Tempatnya nyaman idah dan sejuk tapi banyak lampunya yang mati pada malam hari
Captain Mugiwara D,5,seminggu lalu,"Enak pol buat santai sama keluarga
Full AC alami .."
Santri Ban,5,seminggu lalu,Tempatnya menyenangkan
Mariana Luzardi,5,2 minggu lalu,bagus bersih nyaman buat duduk santai sore2
Hanim Zuhraida,4,2 minggu lalu,"Pertama kali kesini, mau ke toilet tapi toilet nya kotor."
Allysa Lailul Mukaromah,5,2 minggu lalu,Baguss
nurrohmah abduljamil,5,2 minggu lalu,"Ikon Kediri buat foto atau sekedar hiburan bisa lewat bawah tanah dari perkiraan ke area bangunan,angin sepoi2"
Cah Kediri,5,2 minggu lalu,Ada nomer hp kak
Adhi Saputra,5,2 minggu lalu,"Simpang Lima Gumul (SLG) benar-benar ikon Kabupaten Kediri yang wajib dikunjungi. Arsitekturnya sangat megah, mirip dengan Arc de Triomphe di Paris, sehingga sering disebut sebagai 'Paris-nya Jawa Timur'. Tempatnya bersih, luas, dan gratis biaya masuk (hanya bayar parkir). Fasilitas umum seperti toilet dan mushola tersedia dengan baik."
lailya rani syahputri,5,2 minggu lalu,Cocok untuk beriwasata bersama keluarga
Misliani Amoy,5,2 minggu lalu,"Tempat yang cocok dikunjungi karena sangat iconic, bersantai sore disini enak karena tempat berada di tengah kota kediri"
KANG SANTO,5,2 minggu lalu,👌👌👌 …
Novita Wulandari,5,3 minggu lalu,Gumul dan perjalanan jauh kita 🍃 …
nanang yugo santoso,5,3 minggu lalu,"Tempat cari inspirasi dan rekreasi gratis..,"
faiqul akmal,5,3 minggu lalu,Bagus terawat
