name,rating,date,text
Densa_densa,5,2 hari lalu,"Taman brantas andalan bermain sama anak anak saat gabut dirumah hehe 🥰
Semoga ada penjual makanan yg real food biar anak2 juga enak bisa bermain sambil jajan …"
Armin Hawk,5,2 minggu lalu,Enak buat santai
Riski Isnani,5,2 minggu lalu,"Tempat yang asri dan nyaman untuk bersantai dengan keluarga
Kesini mengantar anak sholih ambil foto kenangan bareng teman sekelasnya 🥰 …"
Boedy Santoso,5,3 minggu lalu,"Tempat bersantai,olah raga"
King Pedhow,5,3 minggu lalu,Klo malem nongkrong enak
Misbakhul Munir,5,sebulan lalu,"Taman Brantas Kediri: Oase di Tepian Sungai

1. Daya Tarik Utama …"
Hisaki '`,5,sebulan lalu,"Sejuk, Bagus, Nyaman buat jalan & bersantai"
Dodo Cs82,4,sebulan lalu,Kurangnya petugas jaga utk kendaraan keluar masuk area
Etty Yus,5,sebulan lalu,Taman untuk jalan bareng keluarga terutama sama anak ya. Seru banget buat main anak
tri hartoyo,5,sebulan lalu,"Nyaman untuk berbagai aktivitas olahraga, tempat ngobrol, suasananya tenang, parkirannya luas."
ukie rampage,5,sebulan lalu,"Taman brantas cukup menarik, tempatnya berada di pinggir sungai brantas yg berpadu dng jemban yg gaga"
zidar f,5,sebulan lalu,Artistik
ARSP Ozzora46,5,2 bulan lalu,"Sejuk,,
Lokasi enak buat santay santay dan menenangkan pikiran"
Apriyanti Sekarningrum,5,Diedit 2 bulan lalu,"Recomended

Taman Brantas Kota Kediri – Ruang Terbuka Hijau Terbaik untuk Keluarga! ☀️ …"
budi agen 007,5,2 bulan lalu,anak saya senang main disini
Budi Ari Setya,5,2 bulan lalu,asik seru anak saya suka saya ajak kesini
Lucky Rivanto,5,2 bulan lalu,Ok
Annisa Bintangfp,4,2 bulan lalu,"tamannya bagus, tanamannya selalu dirawat, toiletnya bau, banyak burung merpati, ada playground cocok buat anak tk"
Mazid_ Abrory,4,2 bulan lalu,Jalan-jalan sehat sambil menikmati alam hijau di tengah kota
Aksa Kumara,3,Diedit 2 bulan lalu,Ramai
Ady Wanaboyz,5,3 bulan lalu,Tempatnya Adem
fardin aryandra,5,3 bulan lalu,ini bagus sih buat healing tempat terbaik ke 2 setelah surga
