name,rating,date,text
ibnu ichsan,5,2 minggu lalu,Salah satu tempat mencari oleh2 di kota madiun
Moch Guzolli,5,3 minggu lalu,"Makanan recomended
Pelayanan kurang"
Hakam Abdul,2,sebulan lalu,"Pelit tip sopir, mohon sopir pariwisata jangan kesini, penumpang saya belanja ull bagasi tip cuma 35 rb, padahal kalau dibandingkan dengan nusantara kira2 udah dapat 200 rb an"
Adi Hidayat,5,2 bulan lalu,Oleh olehnya lengkap
Aang Junaremania (Nanang Junaedi),5,Diedit 2 bulan lalu,Sayang belum pakai QRIS...
Agung Sedaju,5,2 bulan lalu,Pusat jajanan dan oleh2 khas Madiun yang menyediakan berbagai jenis jajanan khas dengan harga murah dibandingkan yang di pusat kota
Ruseno Seno,5,2 bulan lalu,Lengkap oleh2 khas Madiun murah harga merakyat
Aulia Julaika,1,2 bulan lalu,"Karyawan / kasir nya pelayananya sangat buruk sekali contohnya  bersikap jutek tidak ramah melihat konsumen seperti melihat musuh kali ya,tidak bisa saya diskripsikan terlalu panjang lebar karena memang tidak ramah, padahal sikap seperti …"
Mas Dan,1,3 bulan lalu,"Jenis Snack cukup banyak dan bervariasi, pelayanan pegawai sangat buruk, melayani pembeli tidak ada ramah nya, banyak ngobrol dengan rekan²nyq, ditanya tidak ramah responnya"
Ivonne Hadisubroto,5,3 bulan lalu,cari oleh” di madiun paling lengkap disini tempatnya. Brem sm krupuk terigunya enak bangeettt
RR DYAH MUKTI KRISTIANI,5,3 bulan lalu,Oleh2 terlengkap
Gloria Maria,5,3 bulan lalu,oleh oleh yang begitu enak untuk di bawa pulang dengan rasa terbaik.
heri awan,3,3 bulan lalu,lumayan
Konsultan Pajak,5,Diedit 4 bulan lalu,"Murah, lokasi strategis, banyak macam... Brem favorit 😋 isinya full 5 batang, utuh gak ada yg patah …"
Anjar Prasetyo,5,Diedit 4 bulan lalu,Brem nya enak
Fortress Madiun Raya,5,4 bulan lalu,Pusat oleh-oleh terlengkap di kota madiun
Spiritual Sambernyawa (Hengkyanasamudro),5,4 bulan lalu,Alhamdulilah baik dan memuaskan
lòesy triana,5,4 bulan lalu,pilihan makanan sangat beragam dan si mbak sangat ramah memberikan info bahkan dikonfirmasikan ke toko taman sari lainnya jika makanan yang kita perlukan kosong
taufiq hidayat,5,5 bulan lalu,Murmer enak komplit
Chokybim_ the cats,4,6 bulan lalu,"Langganan kesini stiap ke Madiun ya. Meski berkali2, tetap aza lwt jalan beda n ga hapal2 🤣🤣🤣
Suka sama lantingnya, peyek, abon ayam, dan bumbu pecel khas madiunnya.. …"
Erlia Puji Yanitasari,5,6 bulan lalu,"Banyak pilihan oleh², untuk harga relatif lebih murah drpd toko oleh² lain. Setiap kesini tujuan utama beli sambel pecel cap cabe, top banget"
