name,rating,date,text
Pak Jemono,5,Diedit 1 hari lalu,"Sangat menarik dan gratis dg view yg cukup bagus,bersih nyaman.menjadi salah satu ikon yg perlu dikunjungi saat ke kota madiun. Tempatnya yg strategis mudah dijangkau.banyak kuliner dengan  harga ramah di kantong"
Alvin Ramadhan,5,Diedit 2 hari lalu,"Tempat yg bagus banget. Masuknya gratis. Banyak tempat menarik serta icon populer dri beberapa negara di dunia, sprti patung Merlion, patung Liberty, Menara Eiffel, Ka'bah, dll. Sidewalknya juga ramah pejalan kaki dan tunanetra, apalagi ada petugas yg bantu menyebrangkan para pejalan kaki. Sip bangt lah pokonya.👍 …"
luluah hamidah,5,2 hari lalu,"Madiun sekarang bagus ya, tapi iconnya hilang
Di sana banyak jajanan dan bisa buat referensi jalan jalan yang belum bisa jalan jalan ke luar negeri langsung"
syafitri sidik,5,2 hari lalu,"Cantik, lebih cantik waktu malam 💙 …"
merry sukma,5,seminggu lalu,"Kota yang bersih, terkonsep dan rapi. Setiap sudut kota estetik dan instragamable, tempatnya nyaman buat jalan2. Mau kuliner juga banyak pilihan dan terjangkau baik harga maupun lokasi. Bisa menikmati miniatur icon negara2 seperti patung …"
M Febri R,5,2 minggu lalu,"wisata gratis yang tertata sangat rapi dan bersih, berdampingan dengan mall ✨ madiun kerenn"
Mami Kelvin,5,2 minggu lalu,Bagus banget view nya .. apalagi kalau malam...bikin nagih mau kesana lagi
rudi yanto,5,2 minggu lalu,Bagus banget
yunita mustikawati,5,2 minggu lalu,"Saya kesana pas pagi hari di hari libur, suasananya ramai, tapi tempatnya bersih..."
Wiji Santosa,5,Diedit 3 minggu lalu,Tempat bersantai yang nyaman
Mono,5,3 minggu lalu,Drifer amanahh
A. M. Marfianto,5,3 minggu lalu,"Malam minggu rame banget dengan para pengunjung. Spot foto nya keren. Area kuliner nya juga lumayan banyak pilihan. Sayangnya saat ke sana, kondisi hujan. Jadi tidak bisa eksplore lebih banyak."
Toko Kasur Origin,5,3 minggu lalu,Bagus dan tertata rapih
Faeznur Jaafar,5,4 minggu lalu,"Tempat yang indah..
Banyak tempat untuk mengambil foto lawa2..
Banyak fasilitas..
Aku sangat menyukainya..❤️"
Resmana Ade,5,4 minggu lalu,siap ndan
Ratih Andriani,5,4 minggu lalu,"Madiun kota nya bersihhhhhh banget, dini hari sampe Madiun sama ibu aku buat nyekar ke makam mbah, aspalnya kaya baruu-bersih banget ga ada sampah disetiap sudut, jalan kaki pun enakkk, bener-bener kota idaman, siangnya ke Pahlawan street center, jalan kaki dari Pasar Gede, gak terasa lho jalan kaki, seruuuu"
hisyam masykur,4,sebulan lalu,Saat hujan kota ini semakin romantis
Sri Wuryanii,5,sebulan lalu,sekarang ada kano sama kapal bebek ada pelampung nya juga air nya bening  ada gambar gambar di bawah ada lampu nya juga
Bagus Raditya,5,sebulan lalu,"Pahlawan City Center (PCC) Kota Madiun terasa seperti wajah baru kota yang ingin tampil lebih modern tanpa meninggalkan identitas lokalnya. Begitu tiba di kawasan ini, kesan yang langsung terasa adalah ruang publik yang rapi, terbuka, dan …"
Ratna,3,sebulan lalu,Suami saya kehilangan sandal waktu sholat di ikon kakbah.  Kebetulan  sandal nya baru. Sedih ..bukan karena harganya.tapi iti hadiah dari anak anak.  Sebaiknya ada himbauan agar sandal dimasukkan kantung kresek dan dibawa sendiri oleh pengunjung.
much ismail,5,sebulan lalu,Mantap
Hafiz Rafi,5,sebulan lalu,Alhamdulillah bangga jadi warga Madiun. Keindahan kota Madiun jadi tumpuan wisata kota. Ada berbagai macam replika simbolik baik dari Asia sampai Eropa...
Tail De,5,sebulan lalu,"Bagus tempatnya, bersih dan penduduknya juga ramah2, banyak replika ikon2 dunia, yang bisa dijadikan spot foto.
Ada jasa fotografi dengan dslr dari penduduk setempat,dengan harga yang cukup …"
Christiana Trijayanti,2,sebulan lalu,"Areanya bagus utk umum,tp yg bikin gak pakai mikir klo yg berkunjung bisa ibu2 geriatri pakai kursi roda atau balita pakai stroller..semua tangga..mengecewakan bgt,kurang ramah disabilitas dan ibu2 berstroller"
Bayu Adi Perwito,3,sebulan lalu,"Bisa dikunjungi,cukup bagus untuk setingkat kabupaten tp ekspektasi jangan terlalu tinggi,karena banyak yg tidak sesuai yg dibicarakan orang-orang"
Say GBD,5,sebulan lalu,Tempatnya bagus & bersih
Rostyand Dondik,5,sebulan lalu,"Ini semua dibangun berkat Dr. Drs. H. Maidi, S.H., M.M., M.Pd., dan F.Bagus Panuntun dan (PJ) Eddy Supriyanto S.STP., M.PSDM yang memimpin kota madiun menjelang kegiatan PEMILU 2024"
eka septyaningrum,5,sebulan lalu,Tempat healing keren di madiun. Gratis dan lumayan buat cuci mata ya gaes.
