name,rating,date,text
Aatindo Sarengat,4,1 hari lalu,"Bagus utk relax di sore hari sambil olahraga,
Cm namanya sungai baunya krg sedap di sekitaran Mushola"
Victoryst,5,2 minggu lalu,"Nyaman buat jogging sm ngopi sore, kalo minggu banyak jual makanan jd tambah seru sih. Madiun oke bgt fasilitas umumnya"
Satmiko Supraptono,4,Diedit 3 minggu lalu,"SESUAI namanya, lokasi di pinggir Bengawan Madiun ini awalnya merupakan taman bermain dengan tema lalu lintas. Bahkan ada sirkuit balapnya juga. Seiring berjalannya waktu, tempat ini menjadi Sunday Market atau Pasar Minggu. Sesuai namanya, …"
Denis Moerty,5,3 minggu lalu,"Tempat bagus,suasana nyaman"
SYAFRIL HIDAYAT,5,Diedit 4 minggu lalu,Bagus
Jtwo 963,5,sebulan lalu,Taman Kali Bantaran Kota Madiun selain Buat Santai Juga Biasa di gunakan Masyarakat sebagai Sport Center.
Dadang Abdurahman,5,sebulan lalu,Enak untuk nongkrong santai
Deamor Kusuma,5,sebulan lalu,Keren bersih
sarita Andhini,4,2 bulan lalu,"Enak olahraga pagi disini
Cuma polPP nya bertugas sambil ngrokok.. sumpah ganggu bgt.. org olahraga biar sehat malah nyium asap rokok"
Segogoreng madhioen,5,2 bulan lalu,Tempat paling nyaman buat olah raga...
Maharani Amalia,5,3 bulan lalu,"Taman lalu lintas yang dekat bantaran sungai ini memiliki daya tarik terutama saat hari Minggu yang super ramai untuk CFD alias Car Free Day, banyak pengunjung dan orang berjualan disini. Tinggal pilih dan harga bersahabat. Cuman untuk …"
sultan syopian,5,3 bulan lalu,Sangat bagus buat santai
reni anggraeni,5,3 bulan lalu,"Makanannya enak-enak parah, tanpa msg sehat nikmat, murraahh buanyakk, kenyang tempat nyaman adem wajib kesini. Klo udh sekali kesini pasti ingin datang lagii nyamaann.. 🥰 …"
Wartini Wartini,5,3 bulan lalu,Tempatnya luas...bs utk aktifitas apa saja
Aa Kim,5,3 bulan lalu,"Kalau kalian CFD an di sini, padi hari full pedagang, sambil jalan kaki sambil makan jajan 🤣 …"
SUMIJAN KRC,5,3 bulan lalu,Parkir luas nyaman tempatnya
Zaidaan Ali Wirayudha,5,3 bulan lalu,"joging, lari, bersepeda, sepatu roda dll cocok bgt 👍🏻 …"
Rizki Akbar,4,3 bulan lalu,Dulu tempat ini yg selalu saya datengi waktu covid..karena ada trail track  untuk sepeda anak2...sekarang malah diganti ajang burung...karena mungkin lebih menghasilkan uang dibanding track trailnya..
Adrian Puide,5,3 bulan lalu,taman yang begitu indah untuk di kunjungi dan menjelajahi keindahan luar biasa.
Wahyu Santiko,5,4 bulan lalu,"Setiap hari Minggu ada aneka macam yang jualan mulai makanan, minuman, accesoris dll"
Pelaut Indonesia,5,4 bulan lalu,"A fun place to gather with family, especially on Sundays to enjoy various culinary delights of Madiun. ❤❤❤"
Yuni,5,4 bulan lalu,"Setiap hari minggu ada care free day pasar murah,sambil olah raga rame seru bnyak penjual aneka sarapan ,baju,macem macem.pokok nya seneng deh.."
Dimas Anil,5,Diedit 4 bulan lalu,"Enak untuk jogging, running bahkan untuk refreshing kan diri. Trek enak banget, view juga bagus (view sungai dan taman). Panas juga pas!"
Rizki Rs,5,5 bulan lalu,Tempatnya ramai sekali
Alfiah Fitryanisa,5,5 bulan lalu,Tempat yg nyaman buat nyantai dan nongkrong sore²
