name,rating,date,text
rukayah fahima,5,1 jam lalu,Suka banget jogging disini...
Fandi Akh,5,23 jam lalu,Heritage
Christo Sanjaya,4,Diedit 1 hari lalu,"Tugu ikonik kota Malang, instagrammable ,walau relatif kecil tapi terawat dan banyak spot foto menarik di berbagai angle ,bisa keliatan gedung balaikota,gedung DPRD, sekolah SMAN, Aula Skodam dan hotel legendaris Tugu..."
Sayyid Official,5,3 hari lalu,Nyaman untuk santai sore di tengah kota
Scarlet Panorama Joefrie,5,Diedit seminggu lalu,Bersyukur...
Onye Onye,4,seminggu lalu,STMJ setiap jumat..
Nelwan Hermawanto,5,seminggu lalu,Mantap
Wira Rasyid,5,seminggu lalu,"Akhirnya ke Malang lagi setelah 13 tahun. Suasananya masih sama. Dingin, cerah tapi engga begitu panas, ada kalanya gerimis tapi ringan banget. Alun-alun tugu juga masih sama seperti yang dulu. Mungkin beberapa bagian ada yg diubah, seperti …"
wan tiara,5,seminggu lalu,Alun Alun nya bagus . Indah . Malang kota nya bersih . Dingin . Penduduk nya ramah . Tempat wisata nya juga bagus
fitri azizah,5,seminggu lalu,Hijau asri...
Widya Aprilia Kurnia,5,2 minggu lalu,Tempat yang asyik buat jalan-jalan atau menikmati kota Malang. Ke sini pas ada event Malang 10k. Keren acaranya. Mbois berkelas
Reza Chandra,5,2 minggu lalu,Tempat yang keren
Uncle Sim,5,2 minggu lalu,Seriusan malang kota yang keren. Salut sama pemda setempat.
Kristin Bahrul,4,2 minggu lalu,Asik buat foto² sm sekedar keliling jalan sehat ya teman teman...
MU Bothokan,5,2 minggu lalu,"Alun alun bundar  berupa taman yang cukup luas, rapi dan bersih.
Sangat nyaman untuk jogging serasa ""THOWAF"" karena berputar melingkar.
Baru pertama kali berkunjung dimomen th baru 2026 karena alun alun Merdeka sedang direnovasi."
Grand MASTER,5,2 minggu lalu,Bagus
dimas prasetyo,5,2 minggu lalu,Santai
wenny sejatie,5,2 minggu lalu,Semakin cantik dan cocok buat jalan jalan sehat
CINDY WE,4,2 minggu lalu,"Ada banyak acara di akhir pekan dan hari libur.

Pada hari maraton, …"
Halim Kusuma Setyawan,3,3 minggu lalu,"Biasa sekarang, cuma penataan taman aja sam ornamen2, klo ada demo taman di ijak2.
Cm nambah lambu2 mirip Jogja SDH hilang ciri khas dr kota malang sendiri"
dio sulfan,5,3 minggu lalu,Menyenangman
XNA ZHU PRODUCTION,5,3 minggu lalu,"Aslinya indah penuh pagar yg mewah, cocok untuk berfoto foto"
Afriana Ajeng Nur Latifah,5,4 minggu lalu,"Jalan kaki dari Kayutangan kesini, hihi. Selalu suka kalau muterin kawasan ini, kek vibe malangnya tu dapet banget Zizi"
Nadie Shanty,5,4 minggu lalu,"Seru tahun baruan di alun-alun tugu malang..brgkt naik kereta sampai stasiun malang jam stengah 12 ,jalan kaki ke alun2 karena dekat, sesampainya di alun2 dpt view kembang api menyambut pergantian tahun..diselimuti hawa adem khas malam hari✨"
aswar sunusi,5,4 minggu lalu,bersih dan rapih
Tyas Santoso,5,Diedit sebulan lalu,Sangat nyaman dsn asik buat ngilangin penat. Sukakk
Noer Abdee,5,sebulan lalu,Masih dalam renovasi
Ummu Madina,5,sebulan lalu,"Tempatnya bersih, enak banget kalo buat jalan n joging"
YRS Keliling-keliling,5,Diedit sebulan lalu,Salah satu ikon heritage kota Malang.
Sarles Sihombing,4,sebulan lalu,Melipir sebentar
Alea Ardhitya,4,sebulan lalu,"Tempatnya bersih
Minus ngga ada toilet"
Ir Setiyawan,4,sebulan lalu,Untuk rekreasi dan nambah pengetahuan kota Mlg
Ikkun Kaitothesea,4,sebulan lalu,Lokasi nya mudah d akses dipinggur jalan. Rasa dan harga pun masih affordable yaa. Ketersediaan juga oke mau take away atau dine in juga tersedia. Mau duduk atau lesehan juga bisa
For Fun Gaming,5,sebulan lalu,Tugu Kota Malang view bagus untuk foto foto
Danny Widyakusuma,5,Diedit sebulan lalu,"Alun-Alun Tugu Malang ini dibangun pada masa pemerintahan kolonial Hindia Belanda. Awalnya taman ini dinamai JP Coen Plein, untuk menghormati Gubernur Jenderal Jaan Pieterzoen Coen yang juga dikenal sebagai pendiri Batavia (Jakarta). …"
