name,rating,date,text
Guntur Irawan,4,18 jam lalu,Klasik bgt
CINDY WE,4,2 minggu lalu,"Tidak ada biaya masuk.

Desa Tridi di seberang jalan mengenakan biaya masuk yang mahal, …"
Alpan Leo,5,sebulan lalu,Baik
Louis Morgan-Durand,5,3 bulan lalu,"Such a different place to visit. Once in a lifetime experience, there’s nowhere like this place! The art is incredible."
Jenny Wijaya,5,3 bulan lalu,Rumah ibu disitu
Fan,5,3 bulan lalu,"Nice to walk around here, though there are less things to see than the rainbow village. The blue village is completely free though!"
Jan Verbruggen,5,3 bulan lalu,"Nice view, good pictures"
Jelita Nur rahmah,5,4 bulan lalu,bersih
Fatty cat,5,5 bulan lalu,No entrance ticket for the Blue Village (FREE) - Both the Blue Village and Rainbow Village are fun and cute places for photography. I really enjoyed the colorful parts of Malang. …
Eunike Oktavina,5,6 bulan lalu,"recomended  bagi fans arema, bisa napak tilas sejarah arema, tempatnya bersih,nyaman dan banyak spot foto yg menarik"
Miss Ferlyn,3,7 bulan lalu,"Warna birunya kebanyakan sudah mulai pudar, ada beberapa spot tidak terawat. Kesana karena mau lihat mural yang di lantai, tapi mutar - mutar tidak ketemu. Maps nya banyak yang tidak sesuai. Tanya ke anak - anak warga sana, mereka juga …"
Bram W,1,8 bulan lalu,"A slum is still a dirty slum if you paint it blue. Don’t go, just don’t."
Zaidan Zlatan Ibrahimovic,5,Diedit 8 bulan lalu,Bersih dan nyaman
Anais Ptm,5,8 bulan lalu,"Desa tetangga, yang rumah-rumah birunya menawarkan pemandangan unik dari jalan raya utama. …"
Lukas Gosling,5,9 bulan lalu,Minuman lezat dan staf yang ramah
Muhammad Syaiful Anwar,5,10 bulan lalu,Luar biasa
Max WEBER,4,10 bulan lalu,"Tempat yang menarik, sangat istimewa"
David Vincent,3,10 bulan lalu,"Take a section of the city, paint the houses blue, and create a tourist attraction. I think the real attraction is speaking with the people who live and work in the area. Like the colorful village next to this area, it needs some TLC. It's great to visit if you have time and are close by."
Hello Susie,5,10 bulan lalu,cakep bersih dulu kesini gratis
Kaito H,5,11 bulan lalu,"Kampung Biru. Desa biru.
Seluruh desa dicat biru dan indah.
Ada banyak patung dan ilustrasi singa Singasari."
Lukmanul Hakim,5,setahun lalu,"Memang asyik menyusuri sepanjang lorong Dari kampung warna warni melalui  jembatan yang menjulang tinggi, berdebar debar jantung Karna ketinggian jembatan, naamun inilah yang mrmbuat pemandangan semakin indah dengan latar sungai, jembatan kerea api, semajin seru ditempat INI."
Lars Kamsteeg,3,setahun lalu,"Baiklah, tidak ada yang istimewa. Tapi warna birunya sangat indah! Kamu tidak bisa benar-benar menghibur diri di sana terlalu lama, mungkin paling lama 20-30 menit. Kombinasi ini cocok sekali dengan Rainbow Village."
mo jeong,5,setahun lalu,"Di dalam desa, yang dinding dan atapnya dicat biru, anak-anak bermain di gang-gang, menawarkan sekilas kehidupan penduduk yang semarak. Gang-gang tersebut beraspal indah, sehingga memudahkan berjalan kaki."
Hanik Fauziyah,3,setahun lalu,"Fasilitas yang ada perlu di perbarui jarno tambah kipa, maju terus semoga tambah keren"
Abkolik,5,setahun lalu,"salah satu kampung yang full biru karena emang kampung arema sih hehe !!
kampungnya rapi banget dan bersih.
ada patung macan aremanya juga hehe."
Lennard Meseck,5,setahun lalu,The Blue village Was even better than the rainbow Village on the other side of the road. Free entry and just a bit cleaner. We've seen so many cool streatarts and cute very Blue little Alleys. Conbined with the Rainbow Village definetly worth a shot and also a good photo Spot.
Annemiek Dekkers,5,setahun lalu,"Di seberang jalan dari Warna, Warni, dan Tridi. Seru sekali melihat ketiganya. Foto-fotonya indah!"
Edi Suharko,5,setahun lalu,Orang2nya ramah.nice place.
Ari Bowo Mukti,5,setahun lalu,Bagus asri
Debbie Balch,5,setahun lalu,"Very friendly people
Interesting to see the villiage and read about the history"
