name,rating,date,text
Roý,4,1 hari lalu,"If you’re in Malang, you have to visit this place at least once in your life. It’s a bit absurd, but that’s exactly what makes it so much fun. …"
Perly Salendra1,5,2 hari lalu,Bagus
RansMids,4,3 hari lalu,IRL Malang Just Dani
Yunita Susanti,5,4 hari lalu,Penuh warna
Julia Passelima,3,seminggu lalu,"Senang bisa melihatnya, tidak ada yang lebih dari itu. Ini adalah dua desa yang dihubungkan oleh sebuah jembatan. Hati-hati, Anda harus membayar biaya masuk dua kali."
Shinta Rahayu,5,seminggu lalu,"Saya sering berkunjung ke sini karena selain murah, warganya ramah dan bagus untuk foto sosmed."
Sulistiyanto nunik,2,seminggu lalu,"Sudah lama sekali saya di sini... Saya sudah menunggu setengah jam untuk makanan yang datang Jumat malam lalu... Maaf, semoga keadaan segera membaik 🙏🏻 …"
Afkhil Hasŕi,4,2 minggu lalu,"Kampung yang diberi cat warna warni, masuk berbayar 5000 per orang, ada tempat shalat dan toilet untuk pengunjung"
Ranii,1,3 minggu lalu,Awal datang ke malang sangat amat pagi sekitar jam 3. Langsung otw ke hotel lanjut ke cafe sekitar yg buka 24 jam lanjut ke pasar Oro Oro. Setelah itu pergi ke sini ke 'Tempat yang ga akan pernah di kunjungi lagi' karna apa? Karna di sini …
YJ,1,3 minggu lalu,"Dari kejauhan tampak seperti komedi, tetapi dari dekat terasa seperti tragedi.
Biaya masuknya tidak mahal, tetapi tidak sepadan. Desa ini tidak terawat dengan baik, jalanannya tidak higienis, dan bangkai kecoa berserakan. Di dalam, tidak …"
Daniel Russell,5,3 minggu lalu,Definitely worth a look if you are visiting Malang. Very interesting place
Egor,5,3 minggu lalu,"Unbelievable place in 5 minutes walking from city centre!
If you go there please support local peopl with some tips or you can buy some candies from small stores there and give it away for kids who are living there!
Please support locals they are doing their best!!!"
Salsa Lena,5,3 minggu lalu,Banyak gang enggan bertanya muter²😁 …
