name,rating,date,text
Igna Tia,5,3 jam lalu,"Kampoeng dengan konsep keren. Di dalam gang-gang banyak spot foto, banyak jajanan."
Afiz Avengedx7,5,Diedit 11 jam lalu,Bagus banger murah meriah
Laila Natasya,5,12 jam lalu,❤️❤️❤️
Devin Rosid,3,17 jam lalu,Kampung dengan beberapa warga jualan
Roý,5,1 hari lalu,"If you're in Malang, a night stroll through Kampoeng Heritage Kajoetangan is a must. The vintage vibes and glowing lights make the whole neighborhood feel special. …"
fairus suci,5,1 hari lalu,"kita jalan-jalan ke Kampoeng Heritage Kajoetangan. suasananya tenang, enak buat muter pelan-pelan.
jadi lebih asik karena dinikmatin bareng, obrolannya ngalir dan langkahnya ikut santai 🏘️🤍 …"
Rafika Yuka,5,1 hari lalu,Seneng banget bisa kesini sama suami semoga kita bisa kesini lagi bisa explore kesemua tempat dan nyobain banyak kulinernya 🤎 …
21_Cinta Annisa Zhafiratuz Zahra Hanifah,5,2 hari lalu,Mayan
Lestarsri store,5,2 hari lalu,"Kampung estetik susana jadul, bisa ziarah juga ke makam mbah honggo , menikmati jajanan yg bermacam2 yg kekinian juga"
pratiwi maulina,5,2 hari lalu,"kemaren kesini kurang puas, karena kurang lama kelilingnya wkwk, next harus keliling lagi sih, overall makanan dsini cukup terjangkau dan enak²"
Dyah Alifda,4,2 hari lalu,"Cukup bayar ongkos pemeliharaan 5000 di ujung depan gang, nanti dikasih 1 lembar kartu pos vintage. Di dalam kampungnya banyak kedai makanan macam², ada juga yang jual jajanan/gorengan di pinggir jalan gang. Mungkin yang disayangkan sedikit …"
Na_ biiir,5,2 hari lalu,Kampung wisata yang keren dan banyak tempat nongkrong
Aris Hits,5,3 hari lalu,"[Positif]
> Vibes heritage-nya kerasa banget, berasa nostalgia jaman dulu 🏘️✨
> Banyak bangunan tua yang masih terawat, cocok buat jalan santai dan foto-foto …"
Sayyid Official,5,3 hari lalu,"Perkampungan yg di sulap jadi keren, bagus untuk di kunjungj"
Necacaa,5,4 hari lalu,"Kesini pas libur nasional, sore dan selepas hujan, jadi kebayang kan ramenya seperti apaa, beli es serut di dalem, antrinya oke gak terlalu lama, juga banyak spot foto, cafe, atau tempat lain yang bagus untuk dikunjungi"
Ninis Azizah,4,4 hari lalu,Muter-muter capek juga. Tapi lucu dan vintage2 klasik.
Silviana frasvika,5,4 hari lalu,"main ke kampoeng Haritage Kajoetangan, banyak spot foto estetik dan vintage :D"
Agus Cahya,5,5 hari lalu,"Heritage yang wajib anda kunjungi, bersih, ramah eksotik dan instagramble, kuliner mantoel 👍👍 …"
Maulida Nailul,1,5 hari lalu,"Kesini beli cookies es krim enak bgtt rasanya 🥰
TAPII
Jalan lurus dikit, trus ujan deres, finally berteduh di samping warung ibuk ibuk …"
Ekyan Hamzah,5,6 hari lalu,"tempat asik buat jalan""dan nongky,,banyak live music,parkir mobil murah,dan banyak depot makanan,snack,dll."
rizki wijaya,5,6 hari lalu,"Bagus, tapi parkir lumayan susah juga"
Ift,5,seminggu lalu,"Keren. Banyak coffe shop, jajanan yg variatif dan bisa jalan-jalan santai sambil disuguhi rumah-rumah jadul. Tiket masuk 5k."
Dini Lestari,5,seminggu lalu,Menarik untuk wisata sore sampai malam. Makanan rakyat juga ada.
rahilatul jannah,5,seminggu lalu,"Murah tiketnya 5 ribu
Cuma kayaknya bagus kesana sore hari kemaren pagi tapi enaknya sepi"
Wendi Utomo,5,seminggu lalu,"Agak bingung kalau masuk, kampungnya luas, banyak gang, gak cukup eksplor 3 hari. Banyak UMKM kreatif. HTM 5k per orang."
Septarinn,5,seminggu lalu,"Tempat bagus, banyak spot foto"
Fanidya Rahmadhani,5,seminggu lalu,"mau nongkrong, wfc, bahkan prewed pun oke oke aja kalo di tempat ini 🙂🤙🏻❤ bisa mampir ke coffeshop kecil atau cuma jalan jalan aja. sekarang sudah ada parkir motor yang lebih nyaman dan tertata. kalau masuk kampungnya ada bayar 5rb ajaa …"
Satriyo Adi,5,seminggu lalu,It's really heritage and very beautiful. Rumah2 penduduk di gang dirubah dan dimodif sedemikian rupa supaya mereka bisa menghasilkan dan area dibuat sangat bagus utk para turis. Seandainya ini dilakukan di banyak kota di Indonesia maka turis tidak berpusat di satu daerah saja.
Wawan,5,seminggu lalu,"mungkin karna saya datang malam sekitar jam set 8 jdi banyak penjual yg sudah tutup, tapi untuk di pinggir jalan masih buka semua, citylightnya juga ga mengecewakan"
Rokim Uddin,5,seminggu lalu,Beautiful
Fairus Sista Anya Anindia,5,seminggu lalu,sangatt recommended guyss untuk di kunjungi
ema herlina,5,seminggu lalu,"salah satu tempat/wisata di Malang yang akhir akhir ini memang lagi hits banget, buat yang suka keliling atau jalan jauh ini pas banget ya. tapi buat kalian yang ngga suka jalan jauh tetap oke kok, karena banyak banget tempat duduk, selain …"
