name,rating,date,text
21_Cinta Annisa Zhafiratuz Zahra Hanifah,5,2 hari lalu,Mayan
Syil4zahra,5,5 hari lalu,"Museum Brawijaya yang berada di pusat kota Malang, Provinsi Jawa Timur . Di Museum ini kita bisa melihat foto-foto bersejarah yang memiliki hubungan dengan perjuangan kemerdekaan bangsa. nama Brawijaya di ambil dari nama salah satu Raja …"
Dony Siswandi,5,Diedit 6 hari lalu,Bagus
Malinda Anggraini,5,2 minggu lalu,Cocok banget buat yang suka sejarah
wenny sejatie,5,2 minggu lalu,Untuk mengingat jasa para pejuang
Kholid Barkah,4,3 minggu lalu,Tingkatkan kebersihan
Nur Hidayati,5,3 minggu lalu,Alhamdulillah tempatnya nyaman. Dengan banyak edukasi yang didalamnya. Banyak sejarah yang digambarkan.
Anisa Ae,4,Diedit 4 minggu lalu,"Museum Brawijaya Malang adalah tempat yang tepat untuk mengenal sejarah perjuangan bangsa, khususnya di wilayah Jawa Timur. Koleksi yang ditampilkan cukup lengkap, mulai dari senjata, kendaraan perang, hingga dokumentasi perjuangan para …"
Hasan Pranoto,5,Diedit sebulan lalu,"Makin rame aja, selalu ada kegiatan di aula dan pujaseranya juga rame,.
Lokasinya strategis, nyaman dan asri."
Andika Hari,5,sebulan lalu,"Museum ini menyimpan banyak koleksi bersejarah yang berkaitan dengan perjuangan dan perjalanan TNI di Jawa Timur. Tempat ini diresmikan pada 4 Mei 1968 pukul 10.00 WIB oleh para pinisepuh Brawijaya, sehingga memiliki nilai sejarah yang kuat …"
Andri anto,5,sebulan lalu,"Museum Brawijaya merupakan salah satu museum sejarah penting di Kota Malang yang menyimpan jejak perjuangan TNI dan rakyat Indonesia. Museum ini menghadirkan koleksi senjata, kendaraan perang, diorama, hingga dokumentasi peristiwa …"
Ziyad Striker,3,sebulan lalu,"Tempat nya bagus, tapi kurang tempat sampah"
Christo Sanjaya,3,Diedit sebulan lalu,"Museum di tengah kota Malang, strategis di jalan Ijen, koleksinya ya jaman perang, revolusi gitu...jujur kurang up to date juga penataannya, informasi juga ala kadarnya, jd terkesan jadul....kebanyakan orang datang foto2 di depan ga sampai masuk trus kulineran deh...Krn di belakang ada kantin apalagi kl Sabtu Minggu ada warung tenda.."
Rosaning Harum Mediansari,5,sebulan lalu,Ide jalan jalan bareng bocil menghabiskan waktu jalan kaki keliling kota malang. Rute 1 museum  brawijaya
Sam Tian,4,2 bulan lalu,Museum yang letaknya strategis di kota Malang
Bijak A. Sukmawan,5,2 bulan lalu,"Museum Brawijaya di Malang adalah tempat yang menarik buat dikunjungi kalau kamu suka sejarah, terutama sejarah militer Indonesia. Lokasinya strategis di kawasan Ijen, jadi gampang dijangkau. Begitu masuk, kamu langsung disambut tank, …"
Bang Ophie Channel,5,2 bulan lalu,Minggu pagi jangan lupa mampir di lapak kami yaa! Menjual berbagai macam kerajinan kulit asli. Terimakasih
Thebluepez _,5,2 bulan lalu,Saya sedang minum kopi.
Noordani,5,2 bulan lalu,"Lokasi museum mudah dijangkau.
Bersih
Cukup informatif"
Muchamad Irfan,4,Diedit 3 bulan lalu,"Museum Brawijaya yang berada di pusat kota Malang, Provinsi Jawa Timur . Di Museum ini kita bisa melihat foto-foto bersejarah yang memiliki hubungan dengan perjuangan kemerdekaan bangsa. nama Brawijaya di ambil dari nama salah satu Raja …"
Nao Yama,5,3 bulan lalu,"Saya bisa belajar tentang sejarah Indonesia. Ada pameran-pameran yang belum pernah saya lihat sebelumnya sebagai orang Jepang, jadi sangat mendidik."
loker adi,5,3 bulan lalu,Masjidnya memadai untuk beribadah
Mardea Mumpuni,4,3 bulan lalu,"Sebetulnya bisa lebih oke jika kebersihan di area halaman depan lebih terjaga, ada guide, ada narasi jelas bahasa Indonesia dan Inggris. krn pas kami datang, ada rombongan mahasiswa Filipina datang lihat2 dengan antusias, akan lebih baik …"
Mohammad Frisma Suganda,5,3 bulan lalu,Belajar sejarah perjuangan bangsa di museum ini
Agung puji 12 Nur abidin,5,3 bulan lalu,"Museum Brawijaya ada banyak peninggalan sejarah perjuangan bangsa Indonesia di wilayah malang jawatimur, tempat untuk belajar sejarah dan mengenang para pejuang bangsa Indonesia. {jangan lupa kirimkan doa untuk para pejuang}"
Anang Priadi,5,3 bulan lalu,"Museum menjadi salah satu tempat yang memberikan manfaat banyak, sekedar tempat rekreasi bahkan lebih.... rekreasi sambil belajar sejarah. Sayang nya kalo hari Minggu sering dipakai kegiatan di halamannya, selesai sampah mesti berserakan dimana-mana, jadi terkesan kumuh"
Malang Kota,5,3 bulan lalu,"Tempat bersejarah,enak dekat masjid BS sholat dekat pujasera"
Prasdi antoro,5,Diedit 3 bulan lalu,Museum jaman penjajahan 👍 …
Pisang coklat,5,Diedit 3 bulan lalu,Musium brawijaya tempat terkumpulnya sejarah dan cocok untuk pengetahuan bagi seluruh rakyat Indonesia
Usaha Bawang,5,3 bulan lalu,Sangat sempurna dan indah
M. Noor Hidayat,5,Diedit 4 bulan lalu,"Joss, oke."
rendah Jaya,5,4 bulan lalu,Tempat ini sangat sempurna dan nyaman buat menikmati dunia malam
Nick Zubov,4,5 bulan lalu,"Pameran ini memang sudah tua dan usang dimakan waktu dan iklim. Namun, sebagai ilustrasi perjuangan rakyat Indonesia untuk kemerdekaan, pameran ini informatif..."
Furkon Mudzakir,5,5 bulan lalu,Lengkap untuk beristirahat... rekomended kuliner masjid lengkap
Lingga Thansa,4,5 bulan lalu,Sayang kolam didepan agak kotor sampah dari pedagang/pengunjung CFD
SUGA Prawiro (S u g a),3,Diedit 5 bulan lalu,Musium ini sdh lama tdk ada perubahan interior yg layak untk dikunjungi para generasi muda.. apalagi anak2 dan terkesan angker dan mistis.. cobalah berbenah.!!
MIA MODE,1,6 bulan lalu,Tidak rekomended untuk pesan catering nikahan di pak apri / penanggung jawab gedung aula serbaguna. Menu yang dipesan dan yang dibihidangkan saat acara pernikahan tidak sesuai dengan yang dipesan. Dan Katanya ready tapi sampai menjelang …
