name,rating,date,text
Prowol,5,2 bulan lalu,Cukup menarik untuk mengenal tradisi dan warisan budaya keyakinan lain
Eko Santoso,5,3 bulan lalu,"Pengalaman pertama ke sana, merasa ada yg tak pernah tahu langsung tersaji di depan mata indah banget"
Budianto Tejo,5,6 bulan lalu,Vihara satu ini bisa jadi buat wisata juga. Tempatnya asri. Tiket masuknya dewasa 5000 dan anak 3000. Pertama kali kesini sekitar 2007 dengan sekolah. Yang kedua sekitar tahun 2012. Sekarang datang lagi dengan keluarga. Tempatnya makin …
Kura Yui,5,8 bulan lalu,"Akhirnya salah satu wish list kalau ke Mojokerto terpenuhi yaitu berkunjung ke Patung Buddha Tidur yang berada satu lokasi dengan Maha Vihara Mojopahit.
HTM sangat ramah kantong. …"
Dondup Sherab Дондуп жарма шрп,5,Diedit 9 bulan lalu,nama budha
Yanika Yanika,5,Diedit 10 bulan lalu,"Tempat ibadah umat Budha sekaligus tempat wisata bagi siapapun yang ingin berkunjung walaupun bukan umat Budha. Disini kita bisa menemukan patung Budha Tidur yang bagus yang berdampingan dengan kolam teratai, replika Candi Borobudur versi miniatur, patung-patung Budha"
Agth Elisa,5,Diedit 11 bulan lalu,Kala itu saya datang kesini sendirian dengan menaiki bus dari Caruban-Trowulan. Saya turun di  depan indomaret Trowulan yang tidak jauh dari balai pelestarian kebudayaan. …
Venusrentcar Surabaya,5,setahun lalu,Walau banyak pembaruan tapi sejarah dan keadaan masih terjaga
Har Yatun,5,setahun lalu,Suasana oke
Realino Aditya,4,setahun lalu,"Salah satu Vihara di Trowulan yang merupakan tempat ibadah bagi umat Buddha, tempat nya bagus terdapat banyak pepohonan yang rindang, sayang nya banyak nyamuk. Juga yang menarik disini terdapat Buddha tidur yang merupakan Buddha tidur terbesar di Indonesia."
Indah Yuliatin,5,Diedit setahun lalu,Saya hampir lebih dari 3 kali kesini. Tapi tetap suka untuk datang kembali kesini.
haruwan pesud,4,setahun lalu,Mantap broo sangat indah 🤭🙏 …
galih akademik,5,Diedit setahun lalu,"Patung Sleeping Budha ini terbesar se Indonesia. Panjang 22 m da tinggi 4,5 m. Ada di Maha Vihara Majapahit, vihara yg didirikan thn 1987 dan resmi dibuka 1989, sedangkan patung budha berdiri tahun 1993. Lokasi vihara di tanah warga yg …"
Mohammad Zainudin,5,setahun lalu,"Simbol Kesempurnaan Hidup Tapa Brata, Menjalankan Dharma Kebaikan, Mari Saling Menjaga Dan Bertoleransi Antar Umat Beragama, Sebab Simbol Bangsa Indonesia PANCASILA,,"
Wu Anthony,5,setahun lalu,"Halo Halo, kembali lagi dengan saya, salah satu Contributor di Google Maps dari Indonesia. …"
Sarful Mudawam,5,setahun lalu,"Maha Vihara Mojopahit sebenarnya tempat beribadah umat budha. Namun dibuka untuk umum, siapa saja bisa berkunjung. Jadi tolong dijaga sikap dan tindakanya. Tiket masuk untuk perawatan, Dewasa Rp. 5000,00 sedang untuk anak-anak Rp. 3000,00. …"
eka prijanta,5,setahun lalu,Maha Vihara Mojopahit  { Budha Tidur }
Stevi Marlen Simangunsong,5,setahun lalu,"Tempatnya luas dan bersejarah, senang bisa menambah pengetahuan, kebudayaan dan bisa saling menghargai.. bapak guide juga sangat fasih dalam menjelaskan dan sangat toleran.. bersih, adem, ada juga tempat makan di area ini.. area parkir juga …"
yudan pranoto,5,2 tahun lalu,"Mungkin ada ikatan di antara kita...jika waktu sanggup untuk bertahan

Hanya engkau yang tahu
Nammo budaya"
Departures De Chain,5,2 tahun lalu,Bersih.. Good Perawatannya sangat bagus..
mr maroon,5,2 tahun lalu,"Tempat bersih adem ,, dengan 10 k  udah bisa masuk"
SUHU AGUS,5,2 tahun lalu,"Aura positif Vihara kerajaan Majapahit masih terasa kuat disini, cocok untuk healing batin."
Cah Rantau,5,2 tahun lalu,Budha tidur
cah suwong,5,2 tahun lalu,Deket dg jalan raya utama antar provinsi... Penghuninya sangat ramah
S L Chong,5,2 tahun lalu,"Kami merasa aula kuil begitu damai, dan terdapat banyak patung Buddha di sekitar taman. Patung Buddha berbaring adalah objek wisata yang wajib dikunjungi di sini."
