name,rating,date,text
Dwi Putra,5,2 bulan lalu,👍 …
firnanda eka06,5,3 bulan lalu,okee
Mambo Konco lawaz,5,3 bulan lalu,Bersama dengan keluarga sering kesitu
Athur Sajjo,4,5 bulan lalu,Sangat seru dan anak saya sangat suka
Ratih Nur Azizah,5,7 bulan lalu,"taman nya teduh, adem.
ada wifi gratis.
ada playground gratis. …"
INDOMY,5,8 bulan lalu,"Bisa buat tempat jogging, meskipun areanya kurang begitu luas. Tempatnya terawat & rada rame kalau sudah siang"
yusrizal yafie,4,Diedit 9 bulan lalu,Tempat yg nyaman untuk bersantai sambil ngajak main buah hati
Diandra Dewi Safitry,5,9 bulan lalu,Banyak arena bermain nya
12 Fitri Nur Azizia,5,10 bulan lalu,"bagusss banget tempatnya adem ada tempat jajan dan belanja di samping nya. parkir mobil motor luas, trus ada kayak candi di depannya bagus buat spot foto"
Betran Firdaus,3,setahun lalu,Banyak sampah
EnderboysID,3,setahun lalu,bangku buat duduk sering kotor
Sukono Slamet,3,Diedit setahun lalu,Tempat bermain ank
Dayat Cctv,5,setahun lalu,Tempatnya seru
Brow Dika,5,setahun lalu,Tempat yang aman nyaman asri dan damai cocok buat kalangan masyarakat indonesua maju terus kota mojoketo
Keke myarin,3,setahun lalu,"Taman benteng sebenarnya tempat yg nyaman untuk keluarga, banyak kuliner dan cocok untuk qtime bersama anak.
Yg bikin gak nyaman adalah terlalu banyak pengamen"
Aiziah Ayu P,4,setahun lalu,Ramai dan lumayan bersih
hubaib Sudru,4,setahun lalu,Lumayan bagus untuk bersantai dengan keluarga
rudi hartono,5,setahun lalu,Bagus tempat.ny
oktania yefa putri,4,setahun lalu,"Tempatnya cukup rindang, cukup asik buat bersantai, parkir motor 3 rb, ada tempat bermain anak, mau ke toilet lokasinya di pojok belakang tapi waktu itu tutup, akhirnya ke toilet sebelahnya(masuk area pasar)"
ABDILLAH AKHSAN,5,setahun lalu,Tempat yang asik
sobirin jendol,5,setahun lalu,Suasana nya cocok untuk hiburan anak² dan keluarga
muhammad arwani,5,setahun lalu,"buat hiburan anak"" juga enak...
mantul laah"
Devano Ramadhanto,5,setahun lalu,"Taman ini merupakan salah ruang terbuka hijau yang dapat dimanfaatkan oleh masyarakat umum untuk berbagai kegiatan seperti bermain, belajar, piknik, ataupun hanya melepas lelah …"
M Rozi. Mr,5,setahun lalu,"Ramai sekali wwktu mapam hari.. apalagi malam minggu. Dan hari2 libur nasional..
Jika pagi hari ada aktivitas senam dan olahraga.. …"
Laila Istighfaroh,4,setahun lalu,Lumayan bersih. Tempat favorit anak-anak buat main. Tapi keselnya ada parkir liarnya 3rb
Sinta Salsabila,4,setahun lalu,Panas klo siang
Udia Wati,4,setahun lalu,Pas kesini masih sepi jm 9nan
arif setiono,5,setahun lalu,"Tempat santai pagi hari setelah jalan2,, dekat pasar banteng jika perlu membeli sesuatu kebutuhan"
rahmandani novita,1,2 tahun lalu,"pengamen"" nya tolong banget ini mahh, masa nongkrong sejam pengamennya bisa ada 6 yg minta, sekali dua kali masih dikasih, pas lainnya ga dikasih malah ngata""in padal udah nolak baik"""
Ahmad Saifudin,4,2 tahun lalu,Cocok gawe momong anak
Fina Nurlaili,5,2 tahun lalu,Cocok untuk anak² bermain
kaffah channel,5,2 tahun lalu,Tempat bermain untuk anak-anak yang sangat nyaman
Ihank Jangkie,3,2 tahun lalu,Kurang nyaman
Noub King ML,5,2 tahun lalu,Bagus tapi kurang nya wahana nya
PROYEK MODE HEREX,5,2 tahun lalu,Cocok buat momong anak
Andi Rahman,4,2 tahun lalu,Tempat yang nyaman untuk bermain anak anak .dan tersedia aneka macam kuliner yang enak
Andreas Sospriandi,5,2 tahun lalu,Gratis nyaman
Sumaryo,5,2 tahun lalu,Tempatnya sejuk dan ada ruang bermain anak
Tri Yohan Mukti,5,2 tahun lalu,Bagus
Putra Mojopahit,5,2 tahun lalu,"Tempatnya cukup nyaman, arena bermain anak juga ada cocok untuk hiburan keluarga yang murah meriah"
nasywa shireen ghassani,5,2 tahun lalu,bagus
Suminto Minto,5,2 tahun lalu,tempat yang cocok untuk hiburan anak2
Deddy Candra Wijaya,4,2 tahun lalu,Belanja sambil refreshing
Kholid,4,2 tahun lalu,"Salah satu taman kota di Mojokerto, yang cukup ramah keluarga. Ada area bermain yang berbayar seperti mobil remote dan area bermain gratis. Ada musholla dan toilet. Sayangnya di beberapa titik, penerangannya agak kurang. Jadi ada sedikit rasa was-was untuk pendatang yang baru pertama kali ke sini."
Andhrean Yanto,5,Diedit 2 tahun lalu,Tempat bermain
Dedi Eko,4,2 tahun lalu,Tempat yg penuh kenangan sebelum dikuasai bangunan mewah² seperti sekarang
Yusaq Kristian,4,2 tahun lalu,Area bermain anak-anak dapat ditambahkan.
JOKO PURNOMO,2,2 tahun lalu,Bagus
Wahyu Yuniyar,5,2 tahun lalu,Bagus
Novi Eko H Santosa,3,2 tahun lalu,Agenda rutin si kecil main mobil mobilan
karina Ina,5,2 tahun lalu,Cocok banget utk yang punya anak kecil.. Jadi wahana bermain yang ramah dikantong
Muthaharussayidun Kusnanuddin,5,2 tahun lalu,Bersih dan rapi
nani rosianingsih,4,2 tahun lalu,Keren... tempat istirahatnya 😀 …
Tya Shashie,5,2 tahun lalu,Enak buat nongkrong
Feri Wibowo,5,2 tahun lalu,Beli pentol bakar
riduwan barkowi,5,2 tahun lalu,"Taman yang selalu ramai dikunjungi,terutama sore hari sampai malam akan semakin ramai, recommended untuk anak anak"
r' end dy,3,2 tahun lalu,"Coba datang ketika sore sampai malam jam 8 sungguh gila pengunjungnya padat sekali, belum lagi penjual yang tidak tertib dan parkiran semrawut dengan lokasi taman yang luasnya kurang memadai. …"
Mukhamad Andika,5,2 tahun lalu,"Tempat yang cocok untuk bersantai disaat malam hari, tempatnya juga bersih dan juga terdapat taman bermain di sebelah belakang, terdapat toilet juga disebelah pojokan belakang, cocok pokoknya dipakai bersantai dimalam hari saat sudah hampir tengah malam karena agak sepi tidak ramai😁👍 …"
Sanjung Nayusari,5,2 tahun lalu,Di sini ada 2 spot playground. Enaknya bisa sambil nonton kereta api lewat! Kalau malem banyak mobil remote. Betah lah
oyik maru,4,2 tahun lalu,Makanan jalanan nya yang dijual sama semua
Ardha Noey Cynk Anindya,5,2 tahun lalu,Taman keluarga & kuliner lesehan Mojokertoan
RIO GITA ARDHIANSYAH,5,2 tahun lalu,"Taman Benteng Pancasila di Mojokerto
Sebagai tempat nongkrong dan melepas penat ataupun belanja keperluan keluarga... …"
Rina,3,2 tahun lalu,"lebih cocok buat anak"",trus tempat duduknya kurang penerangan 🥲 ditambah sering bgt ada pengamen,duduk gasampe sejam pengamen dateng 5x,bahkan ada yg ga dikasih malah melototin,sumpah ga nyaman bgt. udh rada kapok kesini huhu …"
dodik fatul,5,2 tahun lalu,"sekarang lebih nyaman, tempat bermain anak sekarang lebih baik,,"
toto pratomo,5,2 tahun lalu,"Nyaman, bersih, dan cocok untuk anak-anak mainan."
Yordan Nagara Y T,5,2 tahun lalu,"Rame poll kalau malam, tempat ternyaman untuk kuliner jajanan kota mojokerto"
Budi Afriyanto,5,2 tahun lalu,Makin bagus ada Playground nya
Priyadi Warsito,5,3 tahun lalu,"Senam pagi,tiap Minggu pagi"
Colis Print,5,3 tahun lalu,Ramai..
Amelia Dee,5,3 tahun lalu,Kesini pas tahun baru...ruame poll..deket pasar deket mall.
Pungki Kurniawati,4,3 tahun lalu,Ada taman bermain anak-anak yang baru
Zani Wahyudi,4,3 tahun lalu,Mengesankan
Dik Fahrah,5,3 tahun lalu,"Tempat bersantai, klo minggu asa senam umum."
Ricchan Auliya,4,3 tahun lalu,"Setelah direnovasi sudah semakin bagus.
Taman ramah anak dengan playground keren.
Sayang sekali tukang parkirnya suka ngajak berantem. 😹 …"
bambang irawan,5,3 tahun lalu,Ok
salwa aulia,1,3 tahun lalu,"sering ke benteng,tapi baru kali ini pulang dalam keadaan hati tidak senang. makanan disana enak, beragam, tukang parkir juga kerjanya bagus. tapi ada satu hal yang bikin saya terganggu dan merasa risih. beberapa pengamen disana (tdk semua) …"
D W,4,3 tahun lalu,"Kalau kesini mending pas malem aja pasti rame
kalo siang kesini panas trs agak sepi. kalo malem ada mobil2an kereta2an odong2
di sebelah taman ada juga semacam pasar oleh2, ada yg jual baju, mainan, makanan,sandal,sepatu,tas lengkap pokoknya"
Una Renata,5,3 tahun lalu,Tempat bermain di taman gratis...bayar parkir aja.sepuasnya
Moh Dwi Mahsuni,5,3 tahun lalu,Ok
falaq falaq,1,3 tahun lalu,Parkiran gk teratur
samsul hidayat,5,3 tahun lalu,Bagus tempatnya bersih
Rizqy Halal,3,3 tahun lalu,Masih banyak pengamen yang mengurangi rasa kenyamanan
