name,rating,date,text
nidya lutfi,5,6 hari lalu,"Kalau ke alun-alun Pasuruan pasti terlihat masjid agungnya. Besar, megah dan terlihat memukau apalagi saat malam hari, cahaya warna-warni masjid  menambah keindahannya."
Suganjar Asrori,5,seminggu lalu,"Masjidnya bersih, termasuk toiletnya."
Isa Ikbalul Surur,4,seminggu lalu,"Masjid nya di depan alun alun kota Pasuruan, tempatnya ramai pengunjung khususnya peziarah makam KH Hamid, tempat ini juga menjadi destinasi wisata religi dan agenda tahunan haul, tempatnya bersih, masjid ini punya fasilitas tempat wudhu …"
Khoirunnisa Arifiani,5,2 minggu lalu,"DESTINASI SANGAT TIDAK DISARANKAN BAGI YANG INGIN SHOLAT ROMBONGAN. sebagai wanita saya merasa sakit hati ketika sholat disana sangat dibedakan dengan para kaum laki"" karena tempat bagi wanita di lantai 2 cukup kecil tidak ada interior …"
Vadjar Jesjes Channel,5,3 minggu lalu,Nice
achmad kenzie,4,4 minggu lalu,"Pernah kesini mumpung anak habis outbound mampir sholat maghrib disini, kita nyampe sekitaran jam 16.30 bwh mobil parkir yg dekat situ, dari awal emang ada tukang parkirnya, kita mikir nya dari jauh sekalian santai2 dlu nggu sholat isya …"
Agung Pribadi,5,4 minggu lalu,"Masjid Agung Al-Anwar, atau yang lebih dikenal sebagai Masjid Jami Pasuruan, kini tampil memukau sebagai ikon wisata religi utama Jawa Timur dengan fasilitas 12 payung raksasa otomatis di halamannya yang memberikan nuansa menyerupai Masjid …"
Satmiko Supraptono,5,Diedit sebulan lalu,"ALHAMDULILLAH sempat mampir dan beribadah di masjid termegah di Kota Pasuruan ini. Tipis tipis serasa di Kota Suci Madinah Al Munawarah, Arab Saudi."
Psu Pendi,5,sebulan lalu,Alhamdulillah
LKP DQ Optima,5,Diedit sebulan lalu,"maasyaa allaah, Pasuruan, Jawa Timur"
Ali Bahrudin,5,sebulan lalu,"Masjidnya luas,
Toilet bnyak dan bersih.
Nyaman sekali untuk tempat ibadah dan istirahat ketika lewat Pasuruan."
jejak mbah Wali,5,sebulan lalu,Berziarah
kusuma prabowo,4,Diedit 2 bulan lalu,"lokasi di tengah kota, sisi barat alun-alun. di belakang masjid terdapat makam KH Abdul Hamid. ulasan dari penulis tentang makam sudah diposting sebelumnya.
pada bagian luar masjid terlihat ornamen menyerupai payung besar dan masjid …"
ahmad ali,5,2 bulan lalu,Mantap di tengah teriknya kota pasuruan terdapat tempat yang dapat menyejukkan lahir&batin
Dhaffa Putra,5,2 bulan lalu,"Masjid Agung Al-Anwar Kota Pasuruan berada di Jalan Kh. Wachid Hasyim No.104, Kebonsari, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur 67116. Masjid yang selalu ramai oleh jamaah maupun wisatawan yang ingin ziarah, selain itu di depan Masjid …"
Yurike Widya,4,2 bulan lalu,"Tiba di Parkiran Bus jam 9.05 dan mencoba berjalan kaki k Masjid. Yg katanya cm 10 menit. Nyatanya harus menempuh 30 menit berjalan kaki. Smp di Masjid pagarnya msh tertutup, kami kira Krn blm masuk waktu sholat. 15 menit sblm waktu dhuhur, …"
Agus Ismail,4,2 bulan lalu,Masjidnya bagus ada payung seperti d Madinah
