name,rating,date,text
Isa Ikbalul Surur,5,seminggu lalu,"Taman Kota Pasuruan tempatnya bersih, penataannya juga rapi satu area dengan area heritage kota Pasuruan, depan gedung harmoni, dan sebelah taman makam pahlawan. Ada kursi untuk duduk duduk, dan banyak pepohonan yang rindang ditengah kota. …"
Rizqi Dwi Setiawan,4,2 minggu lalu,"Taman Kota Pasuruan merupakan ruang terbuka hijau yang nyaman dan tertata dengan baik. Tempat ini cocok untuk bersantai, berolahraga ringan, maupun berkumpul bersama keluarga. Suasananya asri, bersih, dan cukup terawat, sehingga menjadi salah satu paru-paru kota yang memberikan udara segar di tengah aktivitas perkotaan."
Rental Mobil Pasuruan,5,2 bulan lalu,"Taman kota yg sekarang lebih bersih dan aman..  Fasilitas Wifi nya kencang, kita dijaga Satpol PP jadi aman tidak ada anak2 brandal atau pengamen di dalam area Taman Kota Pasuruan"
Santoyan Channel,5,3 bulan lalu,Bagus dan cocok untuk santai dan chill
Abdul malik,5,3 bulan lalu,Taman kota adalah tempat umum yang banyak fasilitas bermain dan duduk santai. Tempat ini sangat enak buat refresing denga teman .pacar atau keluarga. Karna tempatnya bagus dan nyaman.
Sukarseno Sukarseno,4,Diedit 4 bulan lalu,Bagus
Kelik bramanto,5,6 bulan lalu,Bagus asri enak untuk nongkrong sambil bernostalgia dulu ada lapangan tenisnya
Ananda Firmansyah,5,6 bulan lalu,Taman nya bersih dari sampah. Cocok untuk anak anak bermain
Bud's Abuibrahim,5,7 bulan lalu,Menikmati CFN di sepanjang jalan depan taman kota. Ada beberapa jajanan dan souvenir dijual di sini.
Spriynt,5,7 bulan lalu,"Buat nongki2 anak muda di malam minggu joss, buat ngopi atau sekedar jalan2 malam"
Agus Arianto,5,Diedit 8 bulan lalu,Mantap Pasuruan
Aris Hits,4,8 bulan lalu,"[Positif]
- Lokasi Strategis
Berada di Jalan Pahlawan, taman ini mudah dijangkau dan dekat dengan pusat kota. …"
Zull Fakri,5,9 bulan lalu,Indah
Novita Putri Lestari,5,9 bulan lalu,"Bersih, sejuk, enak banget buat nenangin pikiran"
agus hariono,5,10 bulan lalu,Taman di tengah kota pasuruan cocok untuk bersantai melepaskan lelah
Andi Sofyan,5,setahun lalu,Itulah
Indriati CR,5,setahun lalu,Tempat yang nyaman untuk cari inspirasi
Cynthia Pratiwi,5,setahun lalu,"Tamannya luas, bisa buat main badminton meskipun anginnya besar."
Fatah A,4,setahun lalu,"Cukup panas, mainan tidak terlalu banyak. Cocok main kesini di waktu pagi, buat jalan2 atau joging ringan.
Ada warung bubur dan es campur yang enak di sebelah area taman."
