name,rating,date,text
Yuli Rasyid Tula,5,1 hari lalu,Not bad
Ageng Tri Leopansa,5,5 hari lalu,"Baguss sih, apalgi di rumah kaca nya. kalo sore keknya lebih bagus. Cumn kalo malem msih terlalu gelap tuh. Hampir tersesat wkwk"
eca shafatyas,4,seminggu lalu,"bagus, bersih"
David Anggara,5,Diedit seminggu lalu,Pantai dengan pemandangan yang indah
Agus Sudharnoko,4,Diedit seminggu lalu,"Pada malam hari BJBR terlihat keren sekali dengan lampu2nya yang temaram. Indahnya cahaya lampu menjadi lebih spektakuler lagi karena dipadukan dengan properti resort, berupa patung2"
IBU KOST (PEMlLlK),4,2 minggu lalu,"BEE JAY BAKAU RESORT Info kontak
𝘞𝘢 𝐎ꐪƼ𝐥ᖗᖗႡꐪᖗႡỽႡ (booking) …"
Agung S,5,4 minggu lalu,"Tempatnya bagus, enak untuk jalan-jalan, lumayan private krn agak sepi"
Umar Alifudin,2,4 minggu lalu,Kondisi tidak terawat. Waiters kurang ramah padal sepi tp lama bgt menyajikan makanan.
Alvira Rinjani,1,sebulan lalu,"Tolong jembatan kayu nya di perbaiki!!!! Siang ini saya kejeblos dari jembatan nya. Untung nya tidak sampai tercebur ke dalam, tetapi paha kanan saya baret semua karena tergesek kayu!!!! Mohon di cek kondisi jembatan serta bangunan kayu …"
ATAMIRA Propertindo,4,sebulan lalu,"Akses dr kayu pohon kelapa, beberapa tampak keropos sehingga sedikit khawatir waktu melintas, apalagi berbadan besar seperti saya, apa tidak sebaiknya diganti kayu Ulin yg lebih kuat"
Khanifaa,1,sebulan lalu,Menyeramkan
Erich Irmanto,4,Diedit sebulan lalu,"Masya Alloh tempat yang keren, terutama di malam hari"
Ulum Sofiah,5,sebulan lalu,Kak mohon info dompet suami saya atas nama Saiful Rahman ketinggalan kak klu Ndak salah terakhir kita sholat magrib d musholah kmrn tgl 13 Desember 2025 kak
arinidwi safitri,5,sebulan lalu,"Tiket 15k
Tiket kereta 3k
Parkir motor gratis
Staff ramah"
Peter Mohler,4,2 bulan lalu,"I was not in the Hotel
The whole place is a must on sundays with various activities. Ask your way around and enjoy the family tables at the seaside where you can swimm 😃 …"
atika shakila,5,2 bulan lalu,Tempat e okey
Agus Hariyanto,5,3 bulan lalu,Bagus dekat sama kota probolinggo
Habibatur Rahmah,4,Diedit 3 bulan lalu,"Tempat yang asik untuk berakhir pekan. Kita bisa melihat pemandangan laut beserta bakau-bakau. Kita bisa berfoto ria. Banyak spot foto yang bagus, seperti di benua beruang. Ada juga cinema 6D, cinemanya seru. Hanya saja, untuk makanan terlalu mahal. Dan kita tidak boleh membawa makanan dan minuman dari luar"
Dianita Yuanti,4,3 bulan lalu,"Tidak cocok untuk yg bawa anak kecil, bahaya kl gak dipegangin"
Kiara Imoet,5,4 bulan lalu,Bjbr itu taman bermain ku yang dulu sumpah dingin sejuk dan gk panasssssss
Renaissance Man,4,4 bulan lalu,"Tempat resort di Probolinggo pinggir pantai, view langsung ke laut, makanan lumayan enak, tempat luas di kawasan bakau"
Satriyo Adji Pamungkas,5,4 bulan lalu,"Tempat liburan buat sekeluarga dengan nuansa diatas Laut, keren dah tempatnya sambil foto atau habiskan waktu dengan keluarga"
Agus Supriyadi,5,4 bulan lalu,Tempat yang layak dikunjungi di kota Probolinggo
Ong Handjito,5,4 bulan lalu,Rencana pingin nginap disini bisa langsung mancing
Chusnul Istiqomah,5,4 bulan lalu,"kamar tipe: junior suite 2..
oke banget, begitu masuk kamarnya luas, ada corner2 bisa buat taruh koper, buat sholat, kasur bersih, TV nyala normal, ada balkon, AC dingin, kamar mandi air …"
Lee Saolung,4,5 bulan lalu,"Bisa untuk keluarga yang tidak bawa anak kecil. Krn jalan jauh.
View laut bagus, waktu air pasang, bawah bungalow berisik , seperti ada benturan kayu. …"
FEA. AtGmail,4,5 bulan lalu,Slightly annoying access to the hotel/resort by road because you go through a road toll 50m before the turning into the resort. The next booth you come to wants IDR30k per person because you are being charged for day use of facilities which …
Lilin Cahyani,5,5 bulan lalu,"Menginap di kamar junior suite4. Kamarnya luass, bersih, view laut indah banget. Malam hari lampu2 nyala semua buaguss banget. Semua staff ramah. memang bau amis sedikit namanya jg deket laut dan banyak nyamuk juga klo malam2 duduk diteras"
santri mhu,5,6 bulan lalu,Bagus
Fani Fariedah,4,6 bulan lalu,"Untuk kawasan bakaunya bagus sih, tapi ya bakau aja.. tersedia jalan unt sampai ke resort. Unt cafe minimalis banget, tp tersedia unt karaoke."
Angelica Putri,1,6 bulan lalu,"Resepsionisnya ga banget, ga sopan"
Siti Khotijah,4,6 bulan lalu,"Sy asli Jember, yg memang niat dr rumah penasaran bgt sama BJBR yg di gadang2 keren banget. Luamayan bgt sih perjalanannya kurleb 3 jam an dr rumah. Tp pas sampai alhamdulillah sedikit terbayar lelahnya dengan pemandangannya. Sy berangkat …"
Rizal Fyper,5,6 bulan lalu,"Lumayan walau tidak sehype dulu, btw naik kereta aja kalo mau ke kudanya soalnya lama jalanya jauh + murah lagi"
Ticka Ayu Novitasari,5,6 bulan lalu,"bagussss banget, kesana jam 4 sorean, air udah surut, tapi tetep cantikkk, banyak spot foto, tapi karena udh mau gelap kurang terlalu explore seluruhnya"
Faisal Rahayu,1,6 bulan lalu,"Satpam kurang ramah. Kalo TDK bsa bawa makanan setidaknya tegur baik2 jgn nyolot 🤬 maaf sya kasih bintang 1
Tolong satpamnya di ajarkan sopan santun yah …"
Ahmad Fanani,5,Diedit 6 bulan lalu,"setelah 10 tahun yg lalu kesini, sekarang balik bersama ayang"
Keiko Perfecta,1,6 bulan lalu,"pegawai ny g ramah, tempatnya banyak yg rusak, pelayanannya kurang"
Firdausy Alyaa,1,6 bulan lalu,"Tempatnya banyak yg rusak, pelayanan kurang"
Shima Ainur Rofi,5,7 bulan lalu,bagus apalagi kalau perawatannya ditingkatkaan
SPX EXPRESS CO ID,5,7 bulan lalu,Tempat nya sangat bermanfaat untuk kita semua..
君の名は?!,4,7 bulan lalu,Bagian dalamnya agak rumit; saya mencarinya berjam-jam.
fenny Nenes Febrianti,5,7 bulan lalu,View-nya bagus banget...tiketnya juga sekarang sudah relatif terjangkau
crew krisna,4,7 bulan lalu,"Sudah banyak renovasi sejak terakhir saya kesana tahun 2018 , lokasi mudah diakses , pelayanan juga bagus , cocok untuk liburan bersama keluarga"
Anindya Naurah,2,7 bulan lalu,"layananny jelek, resepsionisny jual mahal. bad bgt... bnyk fasilitas yg g d perbaiki/terawat.. dan cafeny jg kliatanny sepi. mahal bgt buat masuk sini, mo nnya nnya penginapan trnyata resepsionisny mls ngeladenin. ikutan mangkel dan bad …"
ANEKA TRANSINDO,3,7 bulan lalu,Baru masuk pelabuhan bayar trs Masuk wisata nya bayar lagi per org 30 RB. Tempat wisata nya ga bisa menghargai sopir pengantar nya kasihan
Hari Purwandi,4,7 bulan lalu,Bagus
Irfan Rafa,5,7 bulan lalu,"Tempat Wisata ditengah Kota Probolinggo
Konsepnya Bagus memang banyak Kerusakan karena Faktor Alam"
Julyana,5,7 bulan lalu,"Kesini pas weekday atau hari biasa. Retribusi yang tertera Rp30.000, tapi karena kesana pakai sepeda motor jadi dapat harga Rp15.000 sudah include parkir. …"
Halimatun Nafisah,4,7 bulan lalu,Bagus cuma karna kesini pas masih terang jadi vibes nya masih kurang
Islah Chudin,5,7 bulan lalu,"Mau lihat ubur-ubur, adaaaa 😄
Track sepeda sambil lihat pantai, adaaaa
Penginapannya juga ada, tepat di pinggir laut di area hutan bakau. …"
Samsul Arifin,5,7 bulan lalu,Tempatnya enak buat refresing.asri suasanya
iim salam,5,8 bulan lalu,"Gk pernah nginep jadi gk bs komen kamar dan layanan, tp cottage nya asik kok"
Dinda Chrisma,1,8 bulan lalu,Tolong di ganti jam operasionalnya. Tertera di google jam 22 tp kok jam 21 sudah close
regine desca audria,2,8 bulan lalu,"Kesini sore"". Sebenernya lumayan menarik tp sayangnya manajemen kemanan dan kenyamanannya kurang. Jembatan kayunya kurang safety bahkan cukup membahayakan KL tidak hati""Krn tidak ada pegangan jembatan. Trus bbrp jembatan kayu lapuk . …"
Herman Gidion,5,8 bulan lalu,"Menginap untuk 1 malam di sini, mendapatkan pengalaman paling menyenangkan untuk keseluruhannya. …"
Mazidah Ulfah,4,8 bulan lalu,"Baik, kesana pas surut jadi ga terlalu cantik. Waspada bau amis ya karena memang laut lepas gais.  Untuk fasilitas toilet dan musholla mohon diperbaiki lagi ya, untuk kayu pijakan juga sudah banyak yang patah."
Agus Aviantara,5,8 bulan lalu,Tempat yang mengesankan.. dari sebelumnya sbg tempat limbah sampah2 yg terdampar dipinggir pantai dan skrg menjd tempat wisata yg mengesankan. Disarankan SORE HARI utk berkunjung kesana
Acyam 99,5,Diedit 8 bulan lalu,Privat banget
Dian Heri,3,8 bulan lalu,"Salah satu wisata pantai terkenal di probolinggo

Tapi sayang secara kualitas sudah menurun dibanding sebelumnya, pengunjung juga …"
N S,5,8 bulan lalu,makin byk spot foto..
Silent Skuy,4,9 bulan lalu,"Saya menginap semalam, pengalaman baru di resort yang ada di tengah laut, menarik tetapi agak seram jalan menuju kamarnya, jembatan cukup luas tetapi tidak ada pagar pembatas sehingga berbahaya untuk anak anak, untuk tempatnya sendiri …"
Satyawati Narda Sepriarum,5,9 bulan lalu,Tempatnya bagus sekali
Mudofir Hadi,4,9 bulan lalu,Nice cottage in mangrove beach
widie wijaya,5,9 bulan lalu,Tempatnya bagus pwlayananya ramah dan bersih
Muhammad Nabil Dhiaul Haq,5,9 bulan lalu,"Bagus, worth it keliling2 dari sore sampai malam disini.. ada banyak tempat estetik. cocok untuk anak muda sampai orang tua, utk biaya masuk 30rb per orang, dan keretanya 2 rb sampai patung kuda d sebelah kincir angin.. …"
Cahaya Lestari,4,9 bulan lalu,"Lumayan untuk salah satu tujuan di probolinggo
Sebaiknya dilakukan perawatan berkala agar semakin menarik, sayang sekali jika harus mangkrak"
ahmad hafidul ahkam,5,Diedit 9 bulan lalu,Amazing ecotourism
gentho sativa,4,10 bulan lalu,Layak d coba.. terhitung murah..
Alfiyan Rizki M,4,10 bulan lalu,Cocok untuk wisata edukasi keluarga namun sudah perlu banyak renovasi setelah kendala covid 19
Septiana Shinta,5,10 bulan lalu,"Pertama kali ke sini malam hari. Baguuss bangeeettt. Pengen nginap tp apa daya. Kesini yang ke 2 kali tahun 2023, siang hari. Panasnyaaa fiuuuhhh.. trus juga kosong ga ada apa2. Kering kerontang. Entah apa mungkin mau direnov. Tapi yg jelas seperti tempat wisata yg lama tidak dikunjungi dan tidak terawat."
Awalia Rahmawati,4,10 bulan lalu,Ga nginep di resortnya..hanya main di BJBnya..tempat cukup bersih..hati2 yg bawa anak kecil..dtng ke sini siang tp pas nggak panas..masuk bayar 5rb..tp ada tambahan di kawasan bjbnya 30rb/orang..tempatnya enak g terlalu rame..klo yg g kuat jalan bisa naik kereta laut
dwi arini,3,10 bulan lalu,"Sedikit review untuk kolam renangnya :
(+) kolam luas
Air bersih …"
Rorry Dorilana,5,10 bulan lalu,"Tempat yg sangat asri dan tenang,cocok buat liburan bersama keluarga,tp jgn sampai ada barang yg tertinggal di mobil,krn lokasi kamar dan parkiran lumayan jauh."
Ellennoer Hasana,3,10 bulan lalu,Banyak yang tidak dirawat jdi sangat disayangkan sekali
Nolianto Ananda,4,10 bulan lalu,"Good resort in the middle of Mangroves. The room is good, spacious, nice atmosphere, reasonable rate. Good fecilitiesb (restaurant, souvenir shop, photo spot, board walk through the mangrove forest. Good for mangrove education."
pravitasmara dewi,3,11 bulan lalu,I visited for lunch and paid twice to enter the restaurant. The first entry was for the harbor and second for the venue.
Faizatin Istiqomah,5,11 bulan lalu,"Bagus, luas, tenang, exclusive"
Inessa Amelia,5,11 bulan lalu,"Jalan untuk ke kamar lumayan jauh, pagi habis berenang mau ke kamar ternyata kereta belum tersedia, saya pribadi tidak apa apa. Tapi kalau bawa toodler 2 lumayan 😂 …"
Andara Maulana,5,11 bulan lalu,"Bersama kawan² kader tim penanganan stunting desa Sudimoro kecamatan Bululawang,kabupaten Malang"
Muhammad Bahrudin Zuhri (Zuhri),5,11 bulan lalu,"Waktu ke sana awal bulan Februari tahun 2025 bersama teman-teman PPS dan PPK se-kecamatan.
Sampai sana sudah sore karena siangnya sudah dari Gili Ketapang. Dari segi …"
Diczen ambon,5,11 bulan lalu,Nice resort
adil siswanto,5,setahun lalu,"Kami tidak menginap disitu, jadi cuma ngasih bintang lokasinya aja yg bagus..
Tentang kamar & layanan nya kami blm tau."
Miftakhul Jannah,5,setahun lalu,"Kamar ga ada gantungan buat baju sama sekali, untuk pemandangan bagus
Resepsionis ga ada senyumnya, jutek"
Cahaya Abadi Travel,5,setahun lalu,Ok
Dumami Hadisumitro,5,setahun lalu,Jalan diatas laut
onieyuanita suwito,4,setahun lalu,"Kalo tidur di kamar yg atas bawah, harus mikirin yg d kamar bawah gak bisa tidur Krn gembrodok langkah kaki  rumah kayu"
Sumi Hartono,4,setahun lalu,"Visite 2 tahun suka banget , view bagus. Sayang see pie penunjung.
Mungkin tiket masuk lokasi kemahalan."
Dewi mufita,5,setahun lalu,Nice place.... Kesini bagus waktu senja atau malem
Agus Triwibowo,5,Diedit setahun lalu,Oke
Kopral Jabrik,4,Diedit setahun lalu,Nice view
Dimas Sufyan,1,setahun lalu,Tidak terawat
Rhiana Micheel,2,setahun lalu,Rooms were dirty especially the bathroom. Very expensive for low quality. Mangrove area smelt really bad. Had to pay a toll/tariff every time we went to and from the town. Do not recommend
Wicaksono Yoga,3,setahun lalu,"Dari Pantai Utama Raya malamnya ke BJBR Mmg bangus saat malam karena lampu hias tampak indah cuma ada beberapa daerah yg bau Pesing, bukan daerah toilet bukan bau bakau Mohon ada himbauan jangan buang air kecil disembarang tempat"
Andri Santosa,1,setahun lalu,"Terasa hidup di pedalaman  nginap dsini.... Pas check in masuk kamar hujan deras kilat, kamar bocor kena kasur & bantal. Mana bantalnya kecil & kempes sekali, gak sesuai dengan harganya. Masih bagus sekelas capsule hotel yang harganya jauh …"
Amira Nuur naima,5,setahun lalu,Its very funn!! Seru banget di sini! Makanan nya worth it !
Xplode Tan,3,setahun lalu,"Tempatnya bagus, dengan pemandangan laut yg luar biasa.
Naik odong2 hanya 2000/orang.
Harga makanan tidak terlalu mahal …"
Azizah Sukmawati,4,setahun lalu,"Banyak nyamuknya,"
moh noor,3,setahun lalu,"Untuk masuk lokasi harus bayar di pos depan 5000/orang terus masuk ke area bjbr bayar 30000/orang.  Untuk jalan keliling ke area ada kereta, bayar 2000/orang. Beroperasi sampai jam 20.00 wib. Jadi diatas jam tsb mesti jalan +/- 1km dr ujung …"
pak d yoyon,4,setahun lalu,"Lumayan buat santai bersama kluarga.
Cuma sayangnya gak ada pembatas di teras kamar, takutnya anak kecil terjatuh di laut"
Siti Romlah,5,setahun lalu,"Tempatnya cozy banget , cocok buat hangout bareng BESTie"
Joel Chin,1,setahun lalu,The resort's laundry service mixed up our clothes and returned it dirty and wet. They charged us per clothing piece and didn't tell us until the laundry came back. …
Sokip Slamet,4,Diedit setahun lalu,pengen kesini lagi😘😘😘 …
Afdhol Basil,5,Diedit setahun lalu,"Bagus tempatnya, dan ternyata si dalamnya luas juga. Bisa buat jalan-jalan. Terdapat kendaraan juga kalau agak males jalan. Pemandangan sunset cukup terlihat dari sini, agak hati-hati aja sih karena jembatan kadang tidak rata & tidak ada …"
rizQ Reza,5,setahun lalu,"review jujur, semalam stay di griya hinggil 2 suasana mlm tenang bgt ditemani deburan ombak waktu air laut pasang. utk kamar cukup bersih, tp area balkon atas maupun bawah dan kamar mandi berdebu tebal bgt. ac living room mati, udah laporan …"
moonlight sonata,4,setahun lalu,"Loving the view.. Staff were helpful and friendly enough. Great view. I booked the 3BR bungalo, and its a good decision if you go with family. Good room. Its so spacious. There was living room with smart tv and karaoke also a small pool …"
Muslimatul Faiqoh,5,Diedit setahun lalu,Tambah nyaman sejak disediakan kereta 2000 an
Ricky Alvianto,4,setahun lalu,"banyak nyamuk di lokasi BJBR nya sekali nemplok lgsung banyak banget heran....tapi oke karena disana bagus tempatnya n sekali bayar masuk bebas pilih wahana yg mana aja alias gk ada pungli lain kyk tempat wisata dilain tempat ygy""....."
Ajuz JABOC,4,setahun lalu,"Pengalaman pertama menginap disini saat check in sampai resort skitar jam 8 malam dr parkiran kekamar cukup jauh walau sdh memakai kereta yg disediakan karena dpt kamar yg Junior Suite 7 posisi bawa bayi kecil, jalan kekamar harus hati hati …"
neneng kurniasih,5,setahun lalu,Kami berkunjung kesini pas weekend❤️ Seru sih pengalaman baru liburan di wisata mangrove.. syahdu di malam hari.. indah banget di siang hari.. cm kl bawa baby baru jalan kayaknya kurang recommended ya hahaha apalahi kl tingkahnya kayak …
Iwan Karnadi,4,setahun lalu,"Hanya berwisata saja berdua bersama istri tidak menginap, tempat nya lumayan enak cuman sepi sekali dan terkesan tidak terawat. Mungkin bila sedikit dipercantik lagi akan mengundang banyak wisatawan. Tiket masuknya saya kira juga terlalu …"
Qurrotul A'yun,5,setahun lalu,"Bjbr tempatnya bagus sekali, apalagi pas Sunset an di KCW sangat indah.. jalan2 di sore hari jadi sangat menyenangkan.. lingkungannya masih asri 👍🏻 …"
Agus Yusron,3,setahun lalu,Pelayanan harus lebih ditingkatkan
Irfan Triandrianto,5,setahun lalu,Bgus...
Arnanda Ajisaputra ꦄꦂꦟꦟ꧀ꦝꦄꦗꦶꦯꦦꦸꦡꦿ,3,setahun lalu,"Indah pemandangannya
Sayangnya retribusi lumayan mahal fasilitas biasa saja.
Namun bagi pecinta wisata bakau akan menyenangkan."
Mohamad Zainal Arifin,5,Diedit setahun lalu,Nyaman sekali disini
Wisnu Primarhasono,4,setahun lalu,"Tempatnya enak, resort nya bagus, pelayanan jg bagus, SAYANG sekali....

Sampe jam 9 MALAM PAKE FASILITAS UMUM RESTAURANT KARAOKEAN LUMAYAN GANGGU …"
putut bela sakti,5,setahun lalu,Wisata berbasis lingkungan khususnya hutan bakau...asik....saran mau kesana saat sore hari ga terlalu panas
