name,rating,date,text
laylifa 82,5,5 hari lalu,Syukak banget sama tempat ini
Rahma Fiqi,5,2 minggu lalu,Tempat favorit untuk hiburan gratis anak sayang tidak ada fasilitas bermain anak
Elen Iglesias,5,sebulan lalu,"tempat untuk belajar sejarah kota Probolinggo. tiket masuknya free, tetapi kita nggak boleh mengambil foto ataupun video saat berada di dalam. tempatnya rindang, banyak orang jualan juga dan biasanya banyak orang yang nongkrong di sini."
Agung Ekananta Santoso,4,sebulan lalu,Nyaman tenang rindang untuk istirahat
Fery Indriyanto,3,2 bulan lalu,Butuh penataan dan pengecatan ulang biar TDK kusam dan gelap
chanyeol baekhyun (Dtsy),5,2 bulan lalu,"Lokasi edukasi untuk anak PAUD/TK
Di sekitar museum banyak yg jual cemilan dan minuman
Lokasi strategis di pinggir jalan"
aqib Jawara Putra,5,3 bulan lalu,"Tempatnya strategis, nyaman, bersih, jossjiss pokoke bolooo
Cocok untuk istirahat makan siang sendiri maupun ramai"
yusrizal yafie,5,Diedit 3 bulan lalu,Museum
kevin learmonth,3,3 bulan lalu,"Visited Propolingo museum today. Parking for cars onsite. Free Entry. …"
nataaa,5,4 bulan lalu,🙌🏻 …
Sofi Toptenmusic,5,4 bulan lalu,Udah gak fungsi lagi
dewi shomarahmawati,5,7 bulan lalu,Indah
revan ereta,5,9 bulan lalu,Cocok buat pacaran kalo sange langsung cus sebelah tampiarto
Gen Soerdja,5,setahun lalu,Tempat yg bagus
Sri Hariyanti,5,setahun lalu,Enak free wifi disini
Eko Santoso,3,setahun lalu,"Kesana sekitar jam 11 siang, tidak ada yg jaga tutup. Kata orang2 sekitar memang tidak buka."
Heri Santoso,5,setahun lalu,Bagus cm krg terawat
Della Rahma Rosita,5,Diedit setahun lalu,Hanya skedar lewat aj
ridwanzah spd,5,setahun lalu,Tempat istirahat jika ke proling
Okadimas KH,1,setahun lalu,Kotor
Muhammad Zubair,5,setahun lalu,Lokasinya adem
OKtar Oye,4,setahun lalu,"Gratiss, Bagus bersih terawat, ruangan sejuk ada ac, sayangnya tidak boleh ambil foto, Jadi tidak bisa upload foto"
Enik Dwi hartatik,5,setahun lalu,Sangat bagus dan ank bisa mengenal semua yg ad d musium
Axl Dylan Laksono,5,setahun lalu,Kurang bersih
Budi Susanto,5,setahun lalu,This good house
Rizal Kurniawan,5,setahun lalu,"tempat yang harus di kunjungi jika berkunjung ke kota Probolinggo karena banyak hal sejarah yang harus diketahui cocok untuk berkunjung bersama anak untuk memberikan pengetahuan kepada anak agar mereka selalu ingat tentang sejarah kota Probolinggo"
Axl Dylan Laksono,5,setahun lalu,"Anda bisa mengenal sedikit sejarah Probolinggo di sini. Mulai dari peninggalan kerajaan, zaman kolonial, dll. Gratis... tempatnya bersih."
mas huda,5,setahun lalu,ajib
Max Danie's,5,setahun lalu,Terbaik
Dwi Malang,5,setahun lalu,Selain tempat bersejarah juga bisa sebagai sarana tempat tujuan pembelajan anak2 sekolah
Edwin Gitamark,5,setahun lalu,"edukasi kita semua, sering ngopi disebelah musium"
Melina Heri Indarwati,3,setahun lalu,Lumayan lah...perlu nambah koleksi lg biar lbh menarik
muhammad yanto,5,setahun lalu,Tempat berkumpul paling keren sejuk dan menyenangkan untuk spot foto kekinian
Tari Nch,5,setahun lalu,Untuk saat ini museum Probolinggo masih dibuka untuk umum kah?
Yukie Safrin,5,setahun lalu,"Menyenangkan, dipandu dengan ramah, dijelaskan tiap detil yang ada di dalam.  Gratisss"
Nindy purnama,4,setahun lalu,tambahkan permainan atau kegiatan apa gt agar orang tertarik main d halaman musium.... Isi musium juga sdh g ada minimal anak2 bs bermain aman d halaman Musium... penataan PKL nyabsdh rapi dan bersih ...
Hendra Arief Pratama,5,setahun lalu,Tempat Favorit 👍 …
Nila Triwidyani,5,setahun lalu,"Cocok untuk outing class siswa, dan halaman depan juga cocok untuk kegiatan anak-anak. Barang koleksi terawat dengan baik. Dan pelayanannya pun ramah-ramah."
Laili,5,setahun lalu,"Semoga makin banyak lagi fasum untuk bersantai keluarga sepeeti ini, seneng karena sekarang museum udah steril dari penyewaan mainan, titik tempat sampah makin banyak, temaptnya lebih terawat."
Agoenk Top Plus,4,setahun lalu,Tempat Ngopinya Asyik ... murah merakyat
CV. Break-Kay,5,setahun lalu,Selamat pagi
wawan mukhlis setiawan,4,setahun lalu,Bagus tapi perlu di tata lagi seperti parkir kendarannya
Andik Tw,5,2 tahun lalu,Cocok untuk bawa bocil main
Veliana Ningrum,5,2 tahun lalu,Menjadi salah satu tempat wisata di Kota Probolinggo yang patut di banggakan
Violita ayu novianty,5,Diedit 2 tahun lalu,"Bagus si kalau dibuat duduk"" santai smbil ngbrol gitu anggap lah nongki deh di museum hihi"
Lies Tria Permana,5,2 tahun lalu,"Saya belum pernah masuk, tapi cukup menikmati area luar.. sejuk dan rindang, di samping jg ada bakul kopi yang enak.."
Fuad Ashofi,3,2 tahun lalu,Walikebunya kurang ramah
Doni Tri Prasetio,5,2 tahun lalu,Mesum probolinggo mengkoleksi arca ganesha dan Nandi peninggalan dr kerajaan terdahulu dan budaya probolinggo seperti kerapan sapi dan budaya tapal kuda khas masyarakat probolinggo
Kevin Pokhan,5,2 tahun lalu,Entrance is free
Abd RASAD,5,2 tahun lalu,bagus
Bomo Musdi,5,2 tahun lalu,Mantap
Mohammad Faris Himawan,5,Diedit 2 tahun lalu,Ada tank dan pesawat terbang
Anta Family,3,2 tahun lalu,"Jauh dari kesan museum, kebersihan kurang"
Sulung Teguh,3,2 tahun lalu,Bertempat di sebuah bangunan yang dibangun oleh Belanda pada tahun 1814. Museum ini menyimpan koleksi barang-barang yang terutama berkaitan dengan masa kolonial. …
bambang ariyanto,4,2 tahun lalu,Lebih ditata lagi
rpm jember,4,2 tahun lalu,"Tempatnya asik dingin ,sejuk, parkiran aja Kurang Luas, overall menghibur"
