name,rating,date,text
Kody S,5,18 jam lalu,I was a bit worried by reading some of the reviews that this place was animal abuse central but im glad to say that this was not the case and all the animals looked to be in reasonable condition and that it was good to walk around and see all the animals
Aldo Widodo,5,19 jam lalu,Lebih menarik
213_dina ayu puspita,5,20 jam lalu,"ternyata KBS date okee jugaa, jalan pelan, lihat-lihat, ngobrol ringan. Sederhana, tapi bikin suasana jadi akrab sama dia apalagi dia yang selalu beri wawasan baru buat aku😙🤍🤏🏻 …"
Angelia Umi Anggun Ceria,5,1 hari lalu,"suasana pas saya kesana hujan, saya ditawarin foto sama fotografer jalanan 1 foto 10k cetak + kirim file, membantu pejuang rupiah, mas dan mbak nya juga effort fotoin pas lagi hujan deras. so far tempat nya luas dan ramai tapi tetap bersih
bintang 5 ⭐⭐⭐⭐⭐"
Ayunina,5,2 hari lalu,"Luas & menyenangkan...
Saya masuk lewat lorong & salah pintu keluar, diberitahu sama Bpk fotografer masuk lagi dgn menunjukan foto ke petugas, akhirnya bisa masuk & keluar lagi …"
indira wardani,5,2 hari lalu,"Seru
Cocok untuk tempat edukasi"
Sinta Wahyuniati,5,2 hari lalu,"cocokkk bgt yamg mau healing tapi murcee, tiketnya kl gasala 15k onlyyy

hewannya lengkappp bgttt, yang punya anak bs healing sekalian edukasiiii,,,,"
Iqbal Ismail,4,3 hari lalu,"Overall bagus. Sayangnya masih banyak pengunjung yg merokok & vaping, padahal banyak anak-anak. …"
Sofwan Rohman,5,3 hari lalu,"Kebun binatang yg jadi referensi wisata alam dan pengenalan jenis-jenis hewan sejak saya kecil. Terakhir kesini 3 tahun yang lalu, sekarang semakin berbenah dengan pengelolaan yg lebih profesional"
Erica Sotelo,1,3 hari lalu,Look at these poor animals conditions. They are not happy or healthy. CLOSE THIS ZOO AND FREE THESE BABIES!
Findy Artha,5,Diedit 3 hari lalu,"Bagus sudah banyak renov, tiket harga rakyat, banyak track jalan baru yg green banget …"
Prabu singa,4,4 hari lalu,"Hewannya terlalu dikit , tiket 15k ."
D D,1,4 hari lalu,"Shut it down! Animals a dying painful deaths do not support!!
If you attend you are causing the DEATH!!!
So many beautiful things to see in Surabaya do not go!!"
Wahyu Tri Cahya,5,4 hari lalu,"Seru kesini tapi capek jalannya pengennya digendong😂, mau naik gajah juga nggak dikeluarin🥹padahal pengen banget naik gajahnya …"
Fikri123 Supikri,5,4 hari lalu,FAHMIAHMADELFIKRI
Eka Wijayanob,5,5 hari lalu,"Lagi di sini ya Guy's &  Girl's, ini KBS, SDH lama berdirinya pingin ke sini lagi, ayo kita explore"
Rian Surya Putra,5,5 hari lalu,"alhmdlillah, semakin bagus. Walau ksih makan k jerapah jdi lbh mahal skrg dg segala kelebihannya 😅 …"
Maria A L Lokang,5,6 hari lalu,ngedate di kebun binatang seru!
Arzha Ali Rahmat,4,6 hari lalu,"Secara umum pengalaman yang saya rasakan memuaskan, hewannya cukup lengkap, petugasnya ramah (saat saya beberapa kali bertanya mereka menjawab dengan baik). …"
Mr Jack SII,3,seminggu lalu,Pungli masih aja di lestarikan. Toilet berbayar semua. Tolong ini di tertibkan. Itu fasilitas umum bukan bisnis. Baunya sangat menyengat. Harus di kontrol dengan penyemprotan Disinfektan berkala. 30 tahun makin jelek pengelolaan nya.
Camelia Ivanka,5,seminggu lalu,Oke sih.
Fathur Rohman Rizky,5,seminggu lalu,Pagi ke sini lebih seru
Adit Phone,2,seminggu lalu,"kasihan harimau nya kurus2, kasih makan yg cukup min, jgn di siksa"
Muchammad Ainur Rofiqi,5,seminggu lalu,seruuu
abdi Gusti (Masruri),4,seminggu lalu,Tempat yang nyaman dan ramah anak
deraa,4,seminggu lalu,"Hewannya lumayan lengkap, mungkin bau dikandang pelikan yang cukup menyengat. Tapi itu juga makanan untuk mereka sih.."
Mifta Manukwari,5,seminggu lalu,"KBS bersih dan keren, saudara laki-laki Aurel senang."
Uwik juristy,4,seminggu lalu,"Jangan ke sini pas musim liburan!!! Puanaasss dan ruameee. Dan sebagai orang malang yg udh terbiasa ke JP group, dateng ke sini mumet gaiiisss. Gak ada arah jalannya dan cuapek jalan krn emng luas bgt areanya."
Lodewijk Zwarenstein,2,seminggu lalu,"Banyak burung, tetapi tidak dirawat dengan baik."
Dimas Agus Abrianto,1,seminggu lalu,"Serba Mahal
Beli sayur buat makan hewan harga ga masuk akal sama sekali.
1 gelas 25 ribu isinya sedikit pula. …"
Mesidah Devita S.,5,seminggu lalu,kesini diajakin pacarkuu seruuu bgt liat hewan” tiketnya murah cocok buat quality time
arum kusumaning pertiwi,5,seminggu lalu,Hewan2 lengkap.. biaya masuk 15k.. naik kapal 15k.. masuk area kidzoo 5k.. banyak tempat jualan makan & minum.. toilet bersih.. buat pendatang yang bawa koper2 & banyak barang bawaan bisa dititip di tempat penitipan barang yaa.. pegawai ramah2 & informatif..  next bakal kesini lagi ❤️
Hanindya Pramesti,4,seminggu lalu,Baguus. Cuma lebih ketat lagi utk pengawasan wisatawan yg masih merokok. Lalu bisa disediakan tempat utk menggelar  tikar biar pengunjung nggak menggelar tikar sembarangan krn ganggu bgt. Mksh
Muhamad Amin,5,Diedit seminggu lalu,"Turun dari stasiun pasarturi. Terus naik angkot kisaran 6K-7K perorangnya Tiket umum masuk KBS 15K. Harga paket ada yg 45K, 65K"
Indar Ae,3,seminggu lalu,"Kalau jalan dibuat satu arah mungkin wisata ini jadi recommended untuk didatangi 2x 3x dst untuk wisatawan luar kota. Terlebih lagi wisatawan yg belum pernah kesini jadi tahu semua fauna tanpa ketinggalan.
Terimakasih SBY zoo untuk pengalamannya 👍 …"
