name,rating,date,text
Yoga Tri Ardiansyah,5,seminggu lalu,Taman terbaik di surabaya . Letaknya agak seramm. Dekat dengan TPU keputih
Erna Mariyana,5,seminggu lalu,Spot foto paling keren
Prasetyo Adi,4,2 minggu lalu,Byk wahana dan spot foto tp sayng bgt byk org yg buang sampah sembarangan
faradina azelia,5,3 minggu lalu,tempatnya bagus cocok buat foto yearbook tema jumanji
Hery,5,sebulan lalu,Gowes minggu pagi meski jauh dari rumah buat mencari dimana tempat Hutan Bambu Keputih
Nova Dina,5,sebulan lalu,"Tambah bagus, pantes aj skrng ramai pengunjungnya. Karena membludak pengunjungnya gk jd mampir.."
Ariev Kurniawan,5,sebulan lalu,"Tempatnya sejukkk, ada tmpt buat ngopi dan makan di dlm, untuk masuk free cuma ada biaya parkir 5 RB  saja"
Astry Handayani,5,sebulan lalu,Rekreasi gratis seru tempat nya bersih dan menyenangkan recommended buat yg budget low tp PGN nyenengin anak2...
ahmad hanafi,5,sebulan lalu,Taman hutan bambu yg asri di surabaya
nia rizqi,5,sebulan lalu,"Taman nya bersih, asri cocok untuk liburan keluarga, hanya bayar parkir untuk sepeda motor 2000"
Drew Patton,5,sebulan lalu,"Kwetiaunya ga berminyak berlebihan, ada resto yang kwetiaunya sampe ngambang minyaknya tapi disini pas ga bikin enek."
ashar boy,4,2 bulan lalu,Kalau bisa toiletnya ditambahin
Kulo Santri,5,2 bulan lalu,Bagus tapi panas
Ngagel PYI,5,2 bulan lalu,Tempatnya adem
PINK SAFIRA 19 PINK SAFIRA 19,5,2 bulan lalu,"Good...
👍🏻 …"
Muhammad tactur Rohim,5,2 bulan lalu,Bagus kok tempat e dan asri banget
yolanda tesa,5,Diedit 2 bulan lalu,"Recomended buat photo"".
Apalagi pas waktu musim kemarau , jadi bambu"" nha keliatan gersang, dan itu unique bgt buat foto"". …"
aiem matuz,5,2 bulan lalu,"Taman Punya Pemkot Surabaya
biaya masuk Gratis
Banyak spot foto
tempah bermain anak yang friendly"
aris sugiarto,5,2 bulan lalu,Muantab buat healing
Resthy Wulandari,5,2 bulan lalu,Sangat cocok untuk liburan atau piknik bersama keluarga
Advan Neo,4,2 bulan lalu,kurang papan penunjuk dari jalan raya...sering orang kesasar
Nadhifatul Mutrofin,5,3 bulan lalu,Bambunya sudah tidak ada yang hijau ya hehe
netizen pd,5,3 bulan lalu,Asri dan mari lestarikan
Sentot Efendi,5,3 bulan lalu,"Pas kesana pengunjung sangat ramai,makanan dan jajanan ok. Area taman bersih."
Ika Silviana,5,3 bulan lalu,Sangat sangat rekomended
Nikmatul Rizkiyah,3,4 bulan lalu,Aku sih yes
Andi Sofyan,5,4 bulan lalu,Lumayan bagus dan ramai
chusnul Maulana,4,4 bulan lalu,"Masih ada tempat yg kotor dan penuh sampah
Sebaiknya dibersihkan supaya lebih asri
Tempat nya teduh kesini karena ke taman harmoni yg lagi viral dah lama ga kesini"
Purwiono,5,4 bulan lalu,Suasana sejuk ditengah Surabaya yg panas...
Juhai Riya,5,4 bulan lalu,Nabila sandal
Diandraajengalifya 16,5,4 bulan lalu,tempatnya adem banyak bambunya jadi ingat di desa belakang rumah banyak bambu juga
the_Lycons Architecture Interior Surabaya,5,4 bulan lalu,Bagus sekali tapi sayangnya udara Surabaya ya tetep panas ☺😁. …
didi junaidi,5,4 bulan lalu,Adem banget kayak didesa
Haikal Abrori,5,5 bulan lalu,"Suaranya kalem dan adem, cocok banget buat ngisi waktu luang sepulang kerja atau sekolah.😊😊 …"
Dian Prakoso,5,5 bulan lalu,Teduh.
maghfur wahyu,1,5 bulan lalu,"Ini pengelola ga ada yg update jam operasional kah!?!?!
Hal yg sangat basic ga di perhatiin! …"
