name,rating,date,text
Maria A L Lokang,5,2 jam lalu,"tempatnya lumayan ramai, tapi seru!!!"
Riris,5,2 hari lalu,Cocok buat selfie aja sih. Banyak orang yg menawarkan bunga di jalan. Kurang kafe aja nih biar ala² semarang.
Eva Diane,5,3 hari lalu,Where we first started peeling back the layers
Fiqri Yusup,5,4 hari lalu,"Jalan² disini vibes nya tenang banget. Banyak tempat yang di datengi. Posisi saya kesini pagi hari sih, cenderung sepi tapi ada anak² Pramuka SD yang sedang berlatih bersama pelatihnya"
Giovani Fernando,5,4 hari lalu,"estetik dan vintage, banyak spot foto"
Lailil Farokhah,5,5 hari lalu,best idea for saving good memories with beloved partner. ga cuma dapet estetiknya tp dapet momen yang istimewa di kota tua bersejarahnya surabaya
diana yuniar,5,6 hari lalu,kesini cuman foto foto sama nyobain kopi (fyi ini kopi pertama kita😁) …
Auliya Rahman,4,6 hari lalu,Sangat berkesan
jufry jerry,5,seminggu lalu,"They bought my house as is, mold and all"
Gani Kurniawan,5,Diedit 2 minggu lalu,"Kota Tua Surabaya tidak hanya menjadikan Surabaya dikenal sebagai kota bisnis dan jasa, tetapi juga destinasi sejarah arsitektur kuno yang sarat nilai sejarah, keberagaman, dan toleransi antarwarga. Ada 3 zona untuk Kota Tua. Zona Eropa, …"
Kamalia Karina,5,2 minggu lalu,ramai
Revin erere,5,2 minggu lalu,lucu
Aldino Matthew,5,3 minggu lalu,"pelayanannya cepat, pegawai ramah, dah harganya murah"
Marista Dwi Jayanti,5,3 minggu lalu,"ga sengaja lewat sini yaudah manpir, ternyata seru, rame, dan bagus buat foto foto pas malem gini, banyak fotografer juga💗 …"
Alia Gsm,4,3 minggu lalu,"Nice place to visit to learn history of surabaya, just like braga in bdg"
Ari Supriyono,5,3 minggu lalu,Bagus ramah anak
kayla putri,5,3 minggu lalu,"bagus,kayak serasa di malioboro,spot foto nya juga bagus+banyak,ada banyak orang jasa nge foto hasil nya bagus,murahh bisa diulang kalau ngga cocok dan kalau ngga bisa gaya diarahin sama mas' nya.pokonya the best"
Dina Sari,5,4 minggu lalu,"Kadang ke kota Surabaya tanpa foto2, tapi kali ini bisa menikmati kota tua dengan naik jeep wisata, diajak keliling dan bisa foto2"
Adi Iswanto,5,4 minggu lalu,Tempat yang sangat indah dan bagus
Wiwin Willy,5,sebulan lalu,Tempatnya bersih dan sejarahnya sangat kerasa suka sekali keliling di kota tua ini
Arumssi,5,sebulan lalu,"suka banget sama tempat yang heritage begini ❤️
letaknya tengah kota, gampang diakses dengan public transportation. kurangnya mungkin kalau siang panas pol better datangnya soreee"
Siddik M. Zain,5,sebulan lalu,"Kesini malam hari, lumayan luas buat di explore."
Huer ga,5,sebulan lalu,"Amazing place. So many colonial (albeit delapitated) buildings, a lot of venues."
arrya catur,5,sebulan lalu,Seru jalan berdua mantan pacar
Anton Eko Haryadi,5,sebulan lalu,Menyusuri heritage di surabaya jaman kolonial. Memakai mobil wagen berkeliling melihat lihat ke kanan dan ke kiri bangunan peninggalan Belanda jaman dahulu. Ada berbagai macam penampakan yang mungkin bisa Anda temui kalo anda jeli.
Yuniar Qurrota,5,sebulan lalu,"pertamakasi ke sby dan gatau mau main kemana jd kesini aja dulu,seru sih ada photoboothnya juga hihi"
Adi Susanto,3,sebulan lalu,"Melihat sejarah masalalu,kuliner dan bersantai"
Tonny Gunawan,5,sebulan lalu,Tempat yang penuh dengan sejarah dari pahlawan pahlawan
Akiya Qidam Hayya,4,sebulan lalu,Rekomendasi ke kota tua malam-malam
Septa Libra,5,sebulan lalu,"Kota Tua Surabaya saat ini bertransformasi menjadi kawasan yang sangat nyaman dan estetik untuk dinikmati sambil jalan santai, terutama setelah penataan ulang trotoarnya yang kini lebih ramah pejalan kaki. Perpaduan antara kemegahan …"
April Lina,5,sebulan lalu,"Kesini pas malem minggu ..
Lumayan rame karena waktu itu juga ada event music dll ..
Ini suasananya pas malem lmyan asik buat nongkrong .."
Sriyanto,5,sebulan lalu,Tempat belanja yanh lengkap dan nyaman
Farhan Fatur.R,5,sebulan lalu,"Vintage,datang pas malam jadi lebih estetik."
hillarion. ep,5,2 bulan lalu,"Kota menarik yang wajib di kunjungi kalo ke jawa timur. padatnya mirip jakarta & banyak gedung tinggi, banyak kuliner menarik"
mosseck hunter,5,2 bulan lalu,Mantap
Hendra Krisdianto,5,2 bulan lalu,"Bagus ramai cuma penasaran sm mall yg sdh ndk terpakai, serem parkir disana"
Adi Lazuardi,5,2 bulan lalu,"Kota tua Surabaya berhasil menampilkan sejarah heroik perjuangan rakyat Surabaya melawan Dunia, melawan tentara Sekutu pemenang perang Dunia ke-2, perjuangan mempertahankan kemerdekaan RI"
Pijar bara Gita,5,2 bulan lalu,-kurang penjual
Syakila,4,2 bulan lalu,"Tempatnya lumayan, kalau kata driver saya, kota tua yang tua tuh bangunannya saja, lalu beliau ketawa, haha. Di sana ternyata tidak se-wow itu, agak tidak sesuai ekspektasi, tapi lumayan lah. Cenderung lebih banyak cafe, jadi lebih cocok …"
Putri Cindy Claudya,5,2 bulan lalu,Bagus banget juga santai misal pen duduk duduk atau ngerjain tugas
Via,5,2 bulan lalu,Seru
Mrezaade Saputra,5,2 bulan lalu,Suasana seperti di jogja
Cafa Trakanala,5,2 bulan lalu,"bersih, tertata, fasilitas oke. vibes kota tua surabaya trnyt mirip-mirip dengan kota lama semarang😻 …"
Syanabil,5,2 bulan lalu,Woooow
Fitri Andriyani,5,2 bulan lalu,Kota lama surabaya buka dari jam berapa sampek jam berapa min??
zozor,5,3 bulan lalu,tempatnya keren bgt jadi dejavu masa sma
Yasin Yasin,5,3 bulan lalu,RME SEKALI HARI MINGU
dannis yaniari,5,3 bulan lalu,"Parking AREA rapi, bersih, nyaman utk jjs sore - malam hari,"
Wasilatur Rohmah,5,3 bulan lalu,"Iconic place nya Surabaya. Lokasi nya ada di pinggiran jalan diantara bangunan tua nya Surabaya, lingkungan nya bersih & adem krn banyak pepohonan. Banyak tempat duduk, cocok buat nyantai di sore hari."
Arif Rochman,5,3 bulan lalu,Saya harap ada peta yang menunjukkan lokasi lokasi menarik
Riz,1,3 bulan lalu,"Ini titiknya salah, jangan sampai terkecoh. Titik yang benar adalah ""kota lama"""
syarifah zahra,5,3 bulan lalu,bagus dan keren
Brillian Mikhael,5,3 bulan lalu,Kerennnnnnn
De,5,3 bulan lalu,Salah satu tempat rekomendasi buat kalian yang cinta sama hal-hal tempo dulu dengan nuansa sejarah belanda bisa banget jalan-jalan disini. Tempatnya cukup luas jadi sangat cocok untuk jalan-jalan. Suasananya sejuk dan nyaman ditengah …
Jiko,5,3 bulan lalu,"penuh dengan kenangan, dan terlihat maju"
ikaans,5,3 bulan lalu,"bagus buat foto foto, nyantai sambil jajan"
Soebianto_anw,5,3 bulan lalu,"Kota tanpa masa lalu adalah kota mati, bagus ini buat destinasi wisata baru"
Sofian As'ary,5,4 bulan lalu,There are many old buildings that hold stories from the Dutch colonial era and make us feel like we are in an old European city.
Bety Triwahyuni,5,4 bulan lalu,Seruuu...
lulanii secondd,5,4 bulan lalu,"kata aaron sama ace bagus, cocok untuk foto menggunakan"
fannilla latte,5,4 bulan lalu,"Bagus aja sih dari dulu, lebih bersih juga"
Tegar dwi widianto,5,4 bulan lalu,👍👍👍 …
Sri Wahyuni Agnes Bago,4,4 bulan lalu,Baik
Agus Supriyadi,5,4 bulan lalu,Daerah yg penuh sejarah
DeNY,4,5 bulan lalu,"Bisa diperbaiki lebih baik lg, cb belajar dari t4 atau negara lain jg"
Alzam Trans (Sewa Mobil Surabaya),5,5 bulan lalu,Nice and Aesthetic
A Basri,5,5 bulan lalu,Para pemuda pemudi biar tau bangunan bersejarah
Ahmad Fitri Zakaria,4,5 bulan lalu,Nyaman dan menenangkan
яэเžэl,4,5 bulan lalu,"Ga ada apa apa di kota tua, selain hotelnya"
Edo Wardo Malaysia,4,5 bulan lalu,Bagus
Vito Yin (Vito Dharmawan),4,5 bulan lalu,Bagus tapi gak seluas Kota Tuanya Jakarta atau Kota Lamanya Semarang yang gede banget.
Arief Bijaksana,3,5 bulan lalu,Moral maret hk terawat ada bulr fr Rusia dn Belanda gk tau arah jalan wes gk karuan pelayanan perkotaan butuh pelayanan wisata
Retna Cintia,5,6 bulan lalu,Bagus. Kuliner enak. Tempat santai. Spot foto indah. Bangunan zaman penjajahan yg kokoh
ItsThat Alfira,5,6 bulan lalu,"Tempatnya asik, vibesnya kayak bukan di Surabaya, dan wajib banget mampir ke sini🤗 …"
Salsa 2023,5,6 bulan lalu,Sangat indah
Vivi Vivi,5,6 bulan lalu,Vivisephia
Marshal Muchtadin,5,6 bulan lalu,Seru naik mobil keliling keliling kota tua sambil diceritain bangunan bersejarah di sana
Anisa Ae,4,Diedit 6 bulan lalu,"Kota Tua Surabaya adalah kawasan bersejarah yang menjadi saksi bisu perjalanan panjang kota Pahlawan. Terletak di sekitar Jembatan Merah, Jalan Rajawali, dan sekitarnya, kawasan ini menyimpan banyak bangunan bergaya kolonial Belanda yang …"
Ekky Salsabila,5,6 bulan lalu,"cantik sekali, banyak tempat foto"
Ghanis Rahma Winanto,5,6 bulan lalu,Bagus
lariz mansion,5,6 bulan lalu,"Kota bersejarah,bangunan kuno penuh kenangan"
Ervin Kawekas,5,6 bulan lalu,"Kota Tua Surabaya punya pesona tersendiri dengan bangunan bersejarah yang masih terjaga dan suasana klasik yang membuat serasa kembali ke masa lalu. Cocok banget buat hunting foto, jalan santai, atau sekadar menikmati vibes tempo dulu. …"
Holy,5,6 bulan lalu,Tempat nya vintage banget cocok buat foto fotoan
