name,rating,date,text
Lailil Farokhah,5,5 hari lalu,"kesini selalu ada event, ga pernah bosen karena spot fotonya unik bonus liat drama kolosal tiap wekeend"
Kebon Alam Ecoprint Surabaya,5,seminggu lalu,Monumen menceritakan tentang perjuangan para pahlawan Jawa Timur melawan penjajah Belanda.
Matteo Zausa,5,seminggu lalu,"Museum yang bagus tentang sejarah kota dan kemerdekaan Indonesia, dengan harga (15.000 IDR per orang) sangat layak untuk dikunjungi."
Junaidin Sirzam,4,seminggu lalu,"Pelayanan bagus, trus pemandunya didalam museum juga interaktif 😊 …"
Gery Faliandra Marthadiraja,5,seminggu lalu,Tempat liburan untuk keluarga sambil belajar ttg sejarah indonesia
Pamela Normalia,5,seminggu lalu,"bersih
nyaman
bayar masuk murah"
Chessie Liviia,5,seminggu lalu,"19/10/23

Banyak pengetahuan baru yang kami ketahui tentang Sejarah pahlawan pahlawan yang ada di surabaya. Sesuai dengan namanya Surabaya adalah kota pahlawan😍 …"
OKBみちる,4,seminggu lalu,"Sebagai seseorang yang lahir di Surabaya, tempat ini benar-benar membuat saya berpikir."
Satria Prasetya,5,2 minggu lalu,Terbilang sepi saat weekday namun suasananya nyaman
Mr. Irawan,5,Diedit 2 minggu lalu,"Museum tugu pahlawan sangat indah dan megah. Akses masuk nya mudah. Parkirnya luas. Didalam suasananya sangat ""heroik"" sekali. Sampai dalam museum sejuk, banyak benda benda bersejarah. …"
Pradika Anugerahr,5,2 minggu lalu,"saat berkunjung ke Monumen Museum 10 November di Surabaya, saya merasa sangat bangga dengan sejarah perjuangan bangsa Indonesia. Museum ini menyajikan kisah heroik Pertempuran 10 November 1945 dengan sangat detail dan interaktif. …"
35.Vanella Putri Giyartiningtiyas,4,2 minggu lalu,Panas ya kalo pagi. Kalo masuk museumnya si ngga wkwkwk. Keknya bagus sore tapi kan dia tutup sore hiks. Kalo masuk tugu pahlawan ada parkir 5k buat motor sebenernya aku rada bingung parkirnya wkwkwk tapi ya pas di samping itu emang kayak …
Muhammad Arifin,5,2 minggu lalu,"Suroboyo kota pahlawan
Wani segala²nya👍👍 …"
Zull,5,Diedit 2 minggu lalu,"masuk ke museum harus beli tiket via web dengan dipandu petugasnya..
tempatnya bersih, nyaman"
Muhamad Rokhim,5,2 minggu lalu,"Monumen Tugu Pahlawan wajib di kenang semua warga Indonesia.Disini kita belajar sejarah Indonesia masa penjajahan Jepang & Belanda.Adapun pertunjukan teritikal saat penjajahan dulu di hari minggu.Museum juga berada area monumen Tugu Pahlawan.Area sangat luas,hijau, tertata rapi & bersih."
Hendry Arianto,5,2 minggu lalu,Bagus sebagai pengetahuan untuk generasi muda
Achmadi Saja,5,2 minggu lalu,Tugu Pahlawan merupakan tanda perjuangan arek-arek Suroboyo dalam mempertahankan kemerdekaan bangsa Indonesia yang tercinta
Chelsea Anastasya,5,2 minggu lalu,"respect for the heroes that fought for us, especially arek2 suroboyo at that time. Good to learn history about the colonialism"
Aksanu Alfan,5,Diedit 2 minggu lalu,"Tempat bersejarah untuk mengenang para pahlawan yang berjuang saat era kemerdekaan, mengingat perjuangan arek-arek suroboyo melawan tentara sekutu yang berakhir dengan kemenangan para pahlawan dan arek-arek suroboyo dalam mengusir tentara sekutu dan tentara penjajah"
Eka Septiyaningsih,5,3 minggu lalu,Cocok untuk memberikan edukasi sejarah Indonesia PD anak2 dan SMG dapt menambah jiwa nasionalisme
changwoo lee,1,3 minggu lalu,Very clear and polite
Occ Cell,5,3 minggu lalu,Monumen tugu pahlawan & museum parah pahlawan kota
Fitri Alfia Rahmawati,4,3 minggu lalu,Salah satu bangunan bersejarah di Surabaya. Tempatnya luas dan strategis di pinggir jalan raya dan dekat dari kota lama. Cocok dikunjungi oleh wisatawan mancanegara atau untuk edukasi anak-anak terkait sejarah Surabaya sebagai kota Pahlawan. Tiketnya juga affordable.
Randy Boyd Official,5,3 minggu lalu,Ini dia 😁👍🏻 …
Boby Roswantono,5,4 minggu lalu,"Ke sana tapi sayang tdk ad tempat parkirny...jd cuma skdr mengelilinginya saja,,cm d videokan...harusny pemerintah stmpt menyediakan tmpt parkir pengunjung yg dtg dr luar kota...🤭 …"
Yeni Safitri,5,4 minggu lalu,"Wisata edukasi yg menyenangkan untuk kelompok maupun pribadi. Ditengah kota padat penuh polusi, masih terdapat lapangan rumput yg cukup menyegarkan. Tiket masuk museum anak 10rb.dewasa 15rb. Museum berada di bawah tanah, krn jalannya turun …"
Abigail Ulil Albab Affendi,5,Diedit sebulan lalu,dip banyak banget yang harus dikunjungi di sini
Gio Prayogo,5,sebulan lalu,"Sangat senang dan ingin rasanya kembali lagi ke tugu pahlawan,sumpah gak nyesel deh ke tugu pahlawan,museumnya banyak yang dipamerkan,ada senjata dan aksi perjuangan2 arek2 suroboyo pada jaman dahulu kala."
bayu kurniawan,5,sebulan lalu,Tempat yg bagus untuk mengetahui sejarah  perjuangan arek2 Suroboyo
