name,rating,date,text
alma hikyun,5,21 jam lalu,"bagusss , pemandangan liat laut dan kapal , cocok datang saat sore hari buat liat sunset✨"
Anggie girl,2,1 hari lalu,Pelayanan lama...
Na_ biiir,5,3 hari lalu,Tempat bersantai melihat laut dan banyak makanan
Michael Lodowik Raya,5,Diedit 3 hari lalu,"This good for educational,for ship sea"
Ria Puspayanti,5,5 hari lalu,"So far oke lah buat sekedar liat laut, awalnya agak bingung untung udh banyak yg review di tiktok jadi tau harus kemana2nya. Kalo cuma mau liat laut aja cukup bayar tiket 10k. Tp kalo mau yg isi makan bisa beli tiket terusan yg 50k"
Maruf Khudori,5,6 hari lalu,Bagus dan luas
Wiwik Andayani,5,6 hari lalu,Parkir kurang luas
Muhammad Indra Cahyono,5,seminggu lalu,"Tempatnya bagus luasss dan juga tanpa antri bisa langsung naik keatas , akses mudah , harus sedia kartu e Toll untuk masuknya
Berkunjung hari rabu tempat tidak begitu ramai , harga makanan lumayan murah meriah"
marten ndona,5,seminggu lalu,tempat yg indah
widya,5,seminggu lalu,cocok buat cari sunset
Ady Setyawan,1,seminggu lalu,"Dua kali datang kesini, pengelola harus memperhatikan hospitality para pegawainya thd pengunjung north quay"
Dhedy Apr,5,seminggu lalu,Sangat istimewa
Naila Syifa,3,seminggu lalu,"Arrived around 5 PM to see the sunset, but it wasn’t visible. Only got to see the Sirena cruise ship. …"
Difa' Qoniatur Rohmah,5,2 minggu lalu,"kesana waktu weekend, rame bangettt 😭😭 aku beli yang teras tepi pantainya, wort it sih, untung dapet tempat yang pw …"
Joko Nugroho,5,2 minggu lalu,"pelabuhan bersih dan modern, memakai barcode tap menjamin transparansi dan kepastian pelayanan."
Khansa Maharani,5,2 minggu lalu,"the best spot to watch sunset in surabaya. alur masuknya, sebelum naik ke eskalator barang bawaan kita akan di crosscheck sm petugas karena disini ""No outside food/drink allowed""  HTM 10-15k/orang (dapet stempel di tangan) buat ke terasnya …"
restu Sayur dan RESTU KOST,5,2 minggu lalu,"Pingin lagi k sini, karena cuma mampir g stay"
Michael Ijen driver,5,Diedit 2 minggu lalu,"Minta tolong jam kunjungan kalau bisa di majukan,sebab kalau pengunjung dari luar kota masak suruh tunggu sampai siang lagi.seperti saya ini."
Isnantony Riau Wibawa,4,2 minggu lalu,"pelayanan ramah, informatif dan akurat. suasana cukup nyaman. parkiran cukup luas. kekurangan hanya masih ada bocor saat hujan."
Sinta Wahyuniati,5,2 minggu lalu,"Indah sekali, pemandangan matahari terbenamnya, meskipun hanya terlihat kapalnya, tapi sangat menenangkan....."
Tedi Irwanto,5,2 minggu lalu,Tempat yang tepat untuk melihat view. Sunset dan lihat kapal2 laut. Ada juga kapal pesiar
Giovanni Steven,2,2 minggu lalu,"Masuk untuk parkir 20rb. Eskalator dan Food Court akses 10rb per org. Untuk akses ke view North Quay 50 ribu per orang (diberikan Voucher 40 ribu untuk makanan). Buat saya pribadi, untuk Paywell cukup mahal hanya untuk view pelabuhan dan Suramadu, Ditambah dgn tenant makanan yang jujur terlihat kurang menarik"
Devi Anna,5,2 minggu lalu,"We accompanied our children to see the ferry docking assisted by a tugboat. With an entrance fee of 10,000 rupiah per person, we could enjoy the seaside and relax in the afternoon among various food and beverage vendors. It was truly a fun and unforgettable experience for my children."
iwajay,3,2 minggu lalu,"Info petunjuk-petunjuk jalan masih kurang, sempat kuatir terlambat masuk kapal ferry karena tidak ada petunjuk jalan menuju dermaga ferry DLU"
Hadiyus Salam,5,3 minggu lalu,10k untuk tiket masuk
Reni Reni,5,3 minggu lalu,Tempatnya bersih dan enak
Satria Utama Channel,5,3 minggu lalu,Tempat yang tepat untuk mengenalkan tranaportasi laut pada anak-anak.
Fitriyan Rupito,5,3 minggu lalu,Di atas kapal Kirana VII...
Sales ivanaxis Aista Prima,5,3 minggu lalu,Nice
Darel Putra,1,3 minggu lalu,Makanannya tidak enak
Nurhayati Marbain,5,3 minggu lalu,Ok
Siswanto Elha,5,3 minggu lalu,Hot
Wahyu Setyawan,5,3 minggu lalu,Bagus sekali
mohamad Barokah,4,3 minggu lalu,Ok
Irish Adrian,5,4 minggu lalu,"Rameeee bgt pas akhir pekan Pelabuhan. Di dlmnya byk tkg makanan, paling enak yg di bagian ruang tunggu dkt Alfa express ada warung nasi soto ceker, enak rasanya, harga 15rb"
manusia akhir zaman,5,4 minggu lalu,Mantap
Cak ta'in,3,sebulan lalu,"Dermaga Tj. Perak, tempat yg nyaman utk wisata klrga dan pendidikan anak². View lgsng laut 🌊atau selat Madura dgn pemandangan di seberang P. Madura. Melihat kapal🚢 yg sandar, muat penumpang dan brg lalu brgkat berlayar mengarungi lautan, …"
Age Nila,4,sebulan lalu,Di pelabuhannya kurang nyaman utk tempat tunggu
Vira Maulinda,5,sebulan lalu,tempat buat sunsetan htm 10k ruangan ber AC Toilet bersih
Bintang Nirtara,4,sebulan lalu,"Menurut saya tempat yang paling proper di Surabaya untuk menikmati laut adalah Surabaya North Quay, soalnya bisa didatangi di waktu menjelang maghrib hingga pukul 7 malam. Selain itu banyak stand makanan minuman dan tempatnya bersih …"
Hasbi Condet,4,sebulan lalu,Hanya lewat saja..lain kali makan di sini
Fandy Turangga,5,sebulan lalu,View sore hari sangat bagus
Windi Yudanto,5,sebulan lalu,"Jl. Jamrud Utara, Perak Utara, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60165"
yuda perdanak,5,sebulan lalu,Bagus
Desy Yanuarita Wulandari,5,sebulan lalu,"Tiket masuk murah, cuma 10k per orang. Viewnya bagus, apalagi klw ada kapal pesiar bersandar🤩. Anginnge berhembus kenyang sekalih …"
Aldi Sahputra,4,sebulan lalu,Lumayan bagus suasananya disini
Aziz Ahmad,1,sebulan lalu,"Beli voucher di cafenya, terus ujan dan ga ada canopi, terpaksa masuk kedalam food court lagi,  mending beli makanan aja langsung"
Waipu Tsumugu,4,sebulan lalu,"Ke sana pas kondisi hujan. Jadi nggak bisa mendekat di deket laut
Masuk lokasinya emang 10rb per orang
Tapi parkirnya 33.000
Jadi lumayang kalo ditotal"
Dwi Utafiana,5,sebulan lalu,Cocok banget untuk santai refreshing
Kharul Anwar Johari,5,sebulan lalu,"Surabaya North Quay is a pretty chill spot if you’re looking for a relaxed place to hang out by the sea. The highlight is definitely the view — you can sit back and watch ferries slowly move in and out of the port, which is surprisingly …"
Yogi Setiawan,3,sebulan lalu,"kemaren habis dari sana, tgl 25 desember, agak kecewa, soalnya yang bagian luar itu kayak nggak keurus, belum lagi ditipu bapak"" grab karna nggak punya etol, aku kira mau dibantu tap etol disuruh bayar 22k, ternyata cuma dianter lewat pintu sebelahnya, habis itu ditinggalin"
Edwin Koh,3,sebulan lalu,Nice view with cafe but 20k entry fee to go up
Mustafa Bin Madin,5,sebulan lalu,Ngopi indah
Abdul Aziz,4,sebulan lalu,"Tempat wisata unik
Sayang pujasera banyak yg tutup, dan kurang variasi menunya"
hadi Papinekhanza,4,Diedit sebulan lalu,aksesnya mudah. dan dilengkapi fasilitas untuk pengunjung maupun penumpang kapal.
syarif syafwan,5,sebulan lalu,Nice
Wa ti,5,sebulan lalu,Tempat keren buat bengong sambil liat kapal sandar atau pergi. Langitnya bagus juga di jam-jam tertentu. Cukup ramai tapi masih nyaman
R. Mariyana Indra,5,sebulan lalu,Asik buat santai sambil lihat2 kapal
setio suwarno,5,sebulan lalu,Tempat yang aman dan nyaman
Inagatha Setyarahma Pangastuti,5,sebulan lalu,"Kesini pas selesai wisuda banget sm keluarga, view bagus banget tapi lebih cocok sm temen disini nongki sorey"
Nanasss,5,sebulan lalu,Recommended buat ngelamun
Timothy Chandra,5,sebulan lalu,Great view but the weather is hot...
Fic,5,sebulan lalu,Beautiful view
Lamiya,3,Diedit sebulan lalu,"Pengalaman pertama naik kapal September 2021🛥

Perjalanan Surabaya - Lombok🧭 …"
indra warseno,5,sebulan lalu,Tempat nya enak buat nongkrong
TEGUH BUDI W,1,sebulan lalu,"Satpam nya nyebelin, waktu masuk g punya atm khusus situ, minta tolong di talangi dulu g di bolehin karena kita laki2, ada cewe2 malah di pinjamin sialan. Pilih kasih"
inge natalie,5,sebulan lalu,"Semua petugas helpful, cuma untuk ojek online jika tdk bawa kendaraan pribadi agak jauh keluarnya"
Aiyra Aiyska,5,Diedit sebulan lalu,Nomor 1
Moh Hadiningrat,5,sebulan lalu,Unik seninya
Ganis Hernawan,5,sebulan lalu,"Pelabuhan surabaya, dimana saya biasanya kerja untuk mencari tamu di kapal pesiar. Disini kita juga kita bisa makan dan melihat kapal pesiar dekat dengan membayar 50k."
Bambang Pujir,4,2 bulan lalu,"Tempat yang bagus untuk melihat Pelabuhan Tanjung Perak dari dekat. Bongkar muat barang, naik turun penumpang."
Jonatan Almanza V.,5,2 bulan lalu,"Impressive and will never think that this port is so prepared to welcome people as it is now, apparently it has recently been built, as ships use to dock, but now they can receive 2 ships at the same time.  One thing, just follow the …"
Intan Zahirah,1,2 bulan lalu,Kasir di bagian food court pelayanannya sangat buruk.
Nathalie Wagner,5,2 bulan lalu,"Kami tiba di sini dengan kapal. Proses imigrasinya mudah dan lancar. Awalnya kami ingin naik taksi Grab, tetapi taksinya langka. Jadi kami segera mengunduh aplikasi ""My Bluebird"". Mendapatkan taksi Bluebird sama sekali tidak masalah. Pengemudi kami sangat baik dan ramah."
World Explorer,3,2 bulan lalu,It’s a port city not exactly for tourists or vacation. Not too much to explore or see except the busy local port traffic.
Eko Prasetyo Sugihartanto,5,2 bulan lalu,"Yang pengen relaks dari kepenatan Surabaya, bisa mampir kesini

Bengong2 sambil lihat kapal bersandar atau berangkat 😁 …"
S****i A*****,4,2 bulan lalu,"Masuknya bayar tiket masuk nanti dapat voucher potongan untuk makan atau minum. Kalau mau ke area yang tempat makan makan view laut itu bayar lagi, tapi nanti udah dapat makanan sama minuman (kalau tidak salah). Tempat makannya yang di …"
Aswar Hakiem,5,2 bulan lalu,"Aturannya parkir di dalam dermaga tdk jelas.

Sudah ada Tulisan dilarang Parkir masih banyak yang parkir sembarangan. …"
jendri jay,5,2 bulan lalu,"Alhamdulillah pendangan menyenangkan di alun"" kota surabaya"
Nirani29,1,2 bulan lalu,"Jelek ndk ada apaa-panya, panas, bau minyak kebakar, makannan mahal dan tidak rekomend"
oca widiara,1,2 bulan lalu,gedung tunggu sementara terlalu jauh dengan gedung boarding. front liner terlalu arogan dan kadang tidak membantu. selebihnya oke aja. terimakasih
Wahyudi Lumakso,5,Diedit 2 bulan lalu,"Tempatnya bagus, tapi masih kurang kursi untuk duduk di area outdoor-nya"
ana istighfarisma,2,2 bulan lalu,"Ribet banget, antri lama"
Supriadi Adi,1,2 bulan lalu,"Mau makan d foodcourt aja ribet,,,
Pesan dulu di gerai terus pindah ke konter bayar terus dapet tiket balik lagi gerai nya nunggu lagi masik d masak. Keburu kenyang yg nunggu"
muchammad maliki,5,2 bulan lalu,Great place... 👍 …
Sugianto Okoh,4,2 bulan lalu,Cuacanya panas sekali
Alvin Kyoko,5,2 bulan lalu,Tempat melihat kapal berlabuh dan berangkat
Edi Prayitno siaren (Wieryo),4,2 bulan lalu,Asik
Jhon Britis,5,2 bulan lalu,cocok bersantai disni
Nova Dewi,4,2 bulan lalu,👍 …
hafsah eliya farah,5,2 bulan lalu,Lebih tertib dan bersih. Sudah sangat berubah penataannya.
Antun Ariestyono,5,3 bulan lalu,Tidak terlalu lama di sini karena ada urusan yang lain
Richie Andri,4,3 bulan lalu,"Bersih, tiket masuk 10k per orang dewasa petugas tiketing sangat ramah. Pembayaran bisa qris …"
Fredi Dwi,5,3 bulan lalu,Tempat bagus bisa lihat kapal bersandar dan berangkat. Nyaman dan bersih juga. Bisa lihat sunset
Muhammad Bagus Nahwi Rosul,1,3 bulan lalu,"Kamis 30 okt 25. Oknum Buruh yg rampas tiba"" koper utk d angkut kedepan pelabuhan. Lalu mintak.y 150k tanpa ad kesepakatan di awal.
Mohon di tindak lagi buruh yg model gini. Jatuh.y malah pemerasan.
Nomor Baju.y 038"
RAMA LOLONG,5,3 bulan lalu,Oke
Yoshinro Zahcryi,5,3 bulan lalu,keren
A. M. Marfianto,5,3 bulan lalu,Pengalaman pertama ke sini. Petugas nya ramah2.
Catur Setiawan,5,3 bulan lalu,"Tempat nya bagus dan nyaman, makanan lumayan. Harga standar tempat wisata"
medha koesoema,5,3 bulan lalu,Tempat sentral di Surabaya
Rosa Ph,5,3 bulan lalu,Mantapp
juventus fc,5,3 bulan lalu,"Pelayanan sdh lebih baik, adanya perjalanan di luar kapal pelni membuka banyak peluang dan masyarakat terbantukan, akan tetapi, pola petugas dalam menutup pintu area penumpang itu mempersulit penumpang lain, dan terlihat kumuh, smoga pihak pelabuhan memikirkan bgmn agar masyarakat tdk menumpuk lagi"
Rara Muberra,5,3 bulan lalu,Datang kesini sore2 sambil lihat sunset. Biaya masuk per orang 10 ribu termasuk voucher makan 4 ribu. Dari tempat parkir langsung aja jalan menuju gedung Surabaya North Quay. Tempatnya nyaman untuk bersantai berdua atau beramai2. Di sini …
Allan ard,5,3 bulan lalu,Tempat dan partner yang asyik buat nyunset. Tempatnya boleh kalian kunjungi tapi partner satu ini tidak akan dibagi. Bisa naik suroboyo bus direct dari Terminal bungurasih
Nabsat 19,5,3 bulan lalu,Lumayan cakep buat sekelas pelabuhan yg bnyk maduranya
Dafiqi Syarif,1,3 bulan lalu,"SNQ
Mohon maaf untuk pengelola,,
tiketnya terlalu mahal untuk kalangan masyrakat,, …"
ilham arif firmansah,5,3 bulan lalu,"mantap sih, buat yg menikmati perjalanan. kalo mau urusan bisnis naik pesawat aja wkwk. beli tiket langsung lewat aplikasi aja, gak ribet."
sekai adip,4,3 bulan lalu,"Tempatnya bagus, nongki sore pas disini. Hanya utk VIP harus bayar 50k per orang apa worth it?"
