name,rating,date,text
AY Agus Soeb,5,Diedit 1 jam lalu,ok bgt
Lailatul Istiqomah,5,4 hari lalu,"selalu rame saat CFD
jajanannya buanyakkkkkkk"
ika Maulidah,5,6 hari lalu,Kesini senang CFD an dan beli bazar makanan yg beraneka ragam murah lagiii...
BUDI SEHAT BERKAH Surabaya & Pacet Mojokerto,5,seminggu lalu,Sowan eyang Bungkul dll
Arijo Damar,5,seminggu lalu,"Lokasi strategis, tengah kota, parkir luas, kuliner ok"
Aswar Hakiem,5,Diedit seminggu lalu,"Bagus, bersih, tertata rapi. Cuman kalau pas weekend atau CFD agak semrawut parkiran. Wajar kok."
Yoga Tri Ardiansyah,5,seminggu lalu,"Tempat bersih, cocok buat healing saat lelah .
Setiap minggu ada car freeday disini"
Dedi Iskandar,5,seminggu lalu,Keren
Dylan Zywicki,5,seminggu lalu,"Taman bagus, suasana enak 👍🏼 …"
R Sidik Permono,5,seminggu lalu,Asyiiikk
Iryan Nuswantoro,5,seminggu lalu,"Kawasan tengah Surabaya yang tak pernah sepi, apa lagi Minggu Car free day Pasti menyenangkan"
Rizal Misbah Andrianto,3,seminggu lalu,"Sayang banget taman sebagus ini masih bisa masukin orang jualan dan meroko di dalam area taman, tambah banyak orang makan di area tempat main anak dan lupa bawa sampahnya hemmm"
Akangallan Tandiono2017,5,2 minggu lalu,"Tempat jalan-jalan, (olga ) cukup baik."
Dalallul Hanan,5,2 minggu lalu,suasana sejuk dan bersih
widi satrio,5,2 minggu lalu,"Lokasi Strategis, Tempat Ngopi nya Cukup Banyak, Kulinernya Cukup Banyak, Ada Soto Rawon Yg Terkenal, Ada Juga Makanan Warteq, Ada Juga Mie Ayam, Ada Juga Lumpia dan Masih Ada Lainnya, ... Jangan Lupa Bisa Disempatin Berziarah ke Sunan Bungkul ..."
reki doang,5,2 minggu lalu,"Taman bungkul suatu komplek bersebelahan dengan makam sunan bungkul, kebetulan jogging perdana di kawasan ini yang jalannya diberlakukan car free day tiap hari minggunya, setelah jogging mampir di kulineran Surabaya yang lokasinya bersebelahan dengan taman bungkul"
Mohammad Ahnaf,2,2 minggu lalu,Kamar mandi jorok banget
Risky Arisandi,5,Diedit 2 minggu lalu,Rawon Kalkulator tempatnya Disini enak Banget
YUSUF EFENDI,5,2 minggu lalu,Enak klou buat nongkrong  tempat nya ramai
een suherdianto,5,Diedit 2 minggu lalu,Mantap
cahyadi maulana,1,3 minggu lalu,"Ongkos parkir nya mahal banget...ga ngotak
Habis gitu....tukang parkirnya terkesan menyepelekan"
asfa eka prasetya,5,3 minggu lalu,Bagus dan sejuk ramai berjualan dan tertip
Pu Ry,5,3 minggu lalu,"Hotel baru
Kamar dan kamar mandinya bersih
Suka banget
Next pingin kesana lagi"
khairul anas,5,3 minggu lalu,"Cuma lewat, tapi lupa"
Ahnafi fichal,4,3 minggu lalu,"Fasilitas oke lah, tapi ada yang harus ditingkatkan"
tun abdul razak,5,3 minggu lalu,Tempat para wali
Seno Purwanto,5,3 minggu lalu,"Jalan-jàlan di momen CFD, sambil belanja dan menikmati aneka jajanan yg murah meriah."
eqi setiawan,4,3 minggu lalu,Seru
Endi Sudiyana7,5,4 minggu lalu,Ziarah kemakam mbah bungkul dan Buat joging plus kuliner juga bagus setiap hari minggu pagi👍 …
