name,rating,date,text
Farida Nurhayati,5,6 bulan lalu,"Tempatnya sangat luas,,, gak perlu antri deh buat masuk... Hrg tiket tiap permainan relatif murah"
Enny Tbn,4,3 minggu lalu,"Kalo kesini harus bareng sama temen rame rame lebih seru, dan tiket yg terusan aja lebih hemat"
Rony Putra,1,5 bulan lalu,"Dari pintu masuk petugas judes. Mau naik wahana gokart harus antri, padahal yang satunya kosong, dibilang rusak. Naik wahana lain juga ada batasan tinggi badan. Jadi tiket terusan tidak berfungsi bagi kalian bawa anak kecil dibawa 120cm yang akan berkunjung digofun. Selamat menikmati jebakan tiket terusan jika anda membelinya."
Tinuk Septia,5,setahun lalu,"Tempatnya nyaman, bersih, harga tiket juga masih terjangkau, banyak wahana permainannya juga. Kalo untuk anak” lebih baik beli tiket yg terusan saja, biar gak bolak balik beli tiket lg ya."
powpow miau,3,setahun lalu,Update terbaru Go Fun tiket terusan themepark 50rb aja tapi sayang wahana nya makin dikit bnyk yg udah hilang terakhir pas kesana jaman corona wahana nya banyak memang tiket nya masi 70rb tp puas. Buat arena main anak momikuland htm 40rb …
Humada Alfian (Ardiansyah),4,2 tahun lalu,"1. Sangat susah diakses masuk jika anda menggunakan transportasi umum, karena tidak disediakan jalan khusus pejalan kaki untuk masuk kedalam dari jalan raya utama. Jadi ya mudah sekali masuk menggunakan motor atau mobil …"
Susana Ssn,5,Diedit 2 tahun lalu,GoFun Entertainment Complex di Bojonegoro merupakan tempat wisata malam berkonsep tematik. Wisata Modern yang menawarkan wisata seru dan menarik dengan berbagai atraksi dan wahana di dalamnya. Selain itu disini pengunjung juga dapat …
Geumbi Chambali,5,setahun lalu,"Seru tempat cocok untuk anak anak, harga tiket yg bisa main seluruh wahana 50k, untuk bunda” yg menemani hanya 10k (tidak bisa naik wahana)"
BAHARI,5,2 tahun lalu,"Lokasi dekat dengan jalan lintas Bojonegoro suarabaya, untuk harga tiket terusan kmarin saya sapat di 40000 cukup worth it dengan permainan yang ada, salah satu wahanan permainan termurah sih dengan harga segitu bisa main 23 wahana sepuas …"
Sandi Backpackerz,4,6 tahun lalu,"Tempat seru buat kumpul keluarga. Wahana nya kurang lengkap. Tidak ada roller coaster nya. Meskipun wahana nya biasa saja, tapi tetap bisa ditingkatkan, apalagi di Bojonegoro pada proses pembangunan wisata nya. Harus lebih ditingkatkan lagi …"
Faizatul Muna,5,6 tahun lalu,"Tempat liburan keluarga yg seruuu.. Harga terjangkau banget untuk semua kalangan. Bagus, tempatnya menarik. Arena wisata yg menampilkan warna warni lampu hias yg sangat menarik. Anak anak suka. Orang dewasa pun jg suka. Tempatnya luas, kalo …"
Dika Indarto,4,2 tahun lalu,"harga : - Terjangkau masyarakat menengah kebawah keatas
,Kondisi : -Bersih terawat
,Suasana : - Ramai - …"
Bocah Klampra'an,5,setahun lalu,"27 Juli 2024
Tiket terusan themepark 50k free 21 wahana
Murah sihhhh …"
Farah Nurazizah,5,6 tahun lalu,Tempatnya bagus buat anak2 permainannya banyak lots of fun beneran banyak wahana dan tiketnya murah recomended banget tempanya bersih luas klo kesana weekend pasti smua available dan food nx dian terjangkau harganya g nyesel dech kesana 😂 …
Wiwik hariyati,5,4 tahun lalu,"Alhamdulillah anak2 terhibur,,rekomend banget,byk permainannya,,,semoga pandemi cpt berlalu,,dan go fun bisa rame seperti dahulu kala"
Julian El Sanjaya,4,7 tahun lalu,Sangat indah sekali spot aneka lampu malam hari di tempat ini. Tapi masih ada yang kurang yakni tempat duduk dan brsantai kalo pas ramai sering gak kebagian jadi berdiri terus keliling😂 …
Nikola Advenisia,5,7 tahun lalu,"Setiap datang ke Bojonegoro pasti main di tempat ini. Wahananya seru, food court nya banyak, kolam renang nya juga luas. Harga tiket lumayan sesuai lah dengan fasilitas yang disediakan. Banyak artis-artis yang pernah mengisi acara di tempat ini."
Laningtyas A.R,4,Diedit 4 tahun lalu,"Banyak wahana baru, baru buka tgl 17 Maret kmrn setelah tutup lamaa..  instagramable, anak2 suka, tempat dan lampu2 nya indah"
nofita sules,2,sebulan lalu,Sdh tidak seperti dulu...banyak wahana yg Sudah tdk beroperasi
Tatit Dharma Wiryawan,1,2 tahun lalu,Wahana sudah banyak yang rusak terutama water park. Air kotor. Perosotan sudah tidak berfungsi. Staff sangat tidak ramah. Tidak ada senyum selama pelayanan. Menjawab pertanyaan dengan nada datar dan tidak ada senyum sama sekali. Mungkin ini jawaban kenapa saat weekend datang kesini tapi sepi.
Indriana Wijayanti,5,6 tahun lalu,Kita ke sini 17 februari 2019... Arena bermain  anak yg asyik enggak terlalu jauh juga dr tempat kami tinggal.. Spot foto 3D juga seruuuuu
Khrisnu Ade,4,6 tahun lalu,"Banyakan tenant jualan ny drpd wahananya.. saran bayar tiket yg tiap wahana saja drpd bayar tiket terusan, krn bnyak permainan yg msh hrs bayar sendiri"
REGAR BAN CHANNEL,5,setahun lalu,Tempat rekreasi indoor keluarga di kota bojonegoro yg rekomended
Naomi Sharpe,4,6 tahun lalu,Wisata terbaik di Bojonegoro . Dengan warna warni lampu yg indah sangat menarik perhatian pengunjung. dengan fasilitas yg cukup memadai dan tiket yg lumayan murah sangat cocok untuk wisata keluarga.
andi kurniawan,4,2 tahun lalu,"Terbaik untuk kelas kabupaten, bangga dengan pesatnya bojonegoro.

Bupati anna muawanah semoga terus istiqomah membangun bojonegoro"
Lufena Fitra Krisma,5,7 tahun lalu,"Tempat yang keren banget terdapat spot"" foto, permainan, tempat belanja, cafe, dll gak rugi dateng ketempat ini"
87 Farm,1,8 bulan lalu,Kami sudah berulang kali ke sini baru kali ini bikin gedek sama petugas yang jaga di gokart.. BLAS gak ramah.. anak saya gak boleh naik katax belum cukup tinggi badan. Padahal belum di ukur setelah saya komplain baru di ukur.. setalah di …
Arie Pradana Putra,5,3 tahun lalu,Tmp yg menyenangkan utk bermain brsma anak2. Tiket masuknya jg relatif terjangkau. Mgkn perlu d perhatikan lg kebersihan di tmp mainan mandi bola 👍 …
Mia_29,5,3 tahun lalu,"Tempatnya sangat cocok untuk liburan keluarga, tempatnya yang indah, sejuk,  bersih wah mantap pokoknya"
Alfaqir min Rohmatillah,5,setahun lalu,"Tempatnya enak nyaman terutama buat anak-anak kecil, wahananya juga sangat mendukung buat anak-anak kecil"
Muhammad Aldi,5,3 tahun lalu,Tempatnya bagus dan banyak wahana yang bisa dicoba. Cocok untuk berlibur bersama keluarga atau teman.
Muhammad Kusaini,3,Diedit 5 tahun lalu,tambah bagus..bisa menambah wawasan anak sekaligus hiburan liburan keluarga
Mitha Blora,5,7 tahun lalu,"Tempat bermain yg dapat dijangkau dari tempat tinggal, banyak wahana2nya dan cocok buat menghabiskan waktu bersama keluarga"
Wahyu Budi,5,8 tahun lalu,"Tempat wisata yang asyik di kota Bojonegoro tempatnya nyaman ada kolam renang juga, tiket tdk begitu mahal"
Tutik Mariani,5,7 tahun lalu,this place is recommended to visit especially for a night sight. we can enjoy the beauty of thousands lights here and take selfies or wefies. the cost is inexpensive with a memorable experience that will be difficult to forget. visitt this place and enjoy!
Fitria Ulfah Masykuri,5,Diedit 7 tahun lalu,"Go Fun Bojonegoro adalah salah satu wahana wisata yang hits di Bojonegoro. Letaknya di Bojonegoro kota. Lokasinya sangat strategis serta luas banget. Tempat parkirnya aman dan mudah dijangkau. Terdapat banyak fasilitas seperti musholla, …"
Laili marifatum,5,2 tahun lalu,"Harga tiket terjangkau, asik untuk berlibur bersama teman dan saudara, sayangnya kolam air nya banyak yang mulai rusak"
Mokhamad Gunawan,4,3 tahun lalu,"Nyaman wahana permainan indoor jadi kesersihannya cenderung terjaga dan lengkap,,"
Syu Jhon,5,6 tahun lalu,"tempatnya asyik lo buat selfie, banyak spot foto yang bagus.. pokonya fun buat jalan jalan with family.."
Nelson Yunanto,1,8 bulan lalu,Di gofun memang seru tapi pas mau main gocart kita disuruh main yang lain dulu padahal tiket saya sudah terusan terus gak ramah
Kang Dolan Kang,3,7 tahun lalu,Rekomended buat wisata anak2.  Banyak wahana permainan.  Lebih asyik di kunjungi malam karena terdapat lampu yang indah.  Dan tidak panas
Veri Riyanto,4,2 tahun lalu,"Tempatnya tak terlalu luas dan pas, banyak permainan dengan harga paket yg murah dikalangannya"
reni handayani,4,5 tahun lalu,"Bisa jadi referensi buat jalan2 malam di Bojonegoro, banyak spot foto dan wahana permainan yang menarik"
Nurma Dwiyanti,5,6 tahun lalu,Tempat rekreasi dan hiburan yang nyaman dan bersih. Fasilitas cukup lengkap dan cocok untuk semua umur serta harga tiket yang lumanyan terjangkau
Aliyy Safa'at,5,7 tahun lalu,Bagus nyaman indah bersih mainannya banyak .berfto2 bersantai
Alfian ghozali,5,5 tahun lalu,sangat rekomend sekali buat para kalangan nongkrong disini dan berbalnja... ada juga buta bermain.. ada banyak wahana yg asikk untuk dikunjungi...
Yohanes Marsudihono,5,setahun lalu,Wahana buanyak. Ada 21 wahana dengan  tiket terusan 55ribu. Sayangnya wahana bianglala nya sudah sepi banget & gak ada petugasnya. Kecewa banget padahal mau naik tidak bisa.
Deny Gendut89,5,7 tahun lalu,"Tiket masuk mura
Wahana lengkap
cocok untuk liburan Low Baget"
Herlin Millenia Yustika Ardy,4,6 tahun lalu,"Tempat rekreasi keluarga yang harganya terjangkau, serta banyak wahana permainan dan ada pula waterpark di dalamnya"
dina hafni,5,6 tahun lalu,"Sarana hiburan yang menyenangkan, semakin tahun semakin bagus"
Rochmat Sudiarjo,4,2 tahun lalu,"Asik sih, masuknya juga gratis. tinggal bayar kl waktu mau main wahana saja. Overall kids friendly. Tp utk wahana orang dewasa masih kurang. Sayangnya juga bianglalanya gk nyala. Saya berharap someday bisa terus berkembang menjadi lebih …"
Sylvia Windha,3,setahun lalu,Tempatnya bagus tp Sayang sekali..wahana bnyk yg off..pelayanan jg kurang ramah..mau beli tiket saja nunggu kryawan  tidak dijdwal dg baik..spertinya perlu adanya evaluasi untuk kryawannya supaya bisa lebih baik kedepannya..
Dio Rastra,4,6 tahun lalu,"Tempat nyaman untuk wisata keluarga, jajanan yang tersedia lumayan enak dan komplit, tiket masuk terjangkau"
Sastia Putri,4,6 tahun lalu,Tempatnya tidak terlalu ramai permainan lumayan harga tiket terusan weekend 55rb
sucipto Nabila,4,6 tahun lalu,"Kolam renangnya unik
Tematik"
Ali Robbani,5,7 tahun lalu,Tiket Terusan Rp. 75.000 dan berupa gelang di tangan. Dilarang membawa makanan dan minuman dari luar. …
AGUNG PRIYONO,5,6 tahun lalu,Tempat wisata keluarga yang menarik
Na Hyunita,5,3 tahun lalu,"Banyak yg berubah 3x kesini,, tapi makin kece sih,,, bagus lah 👍👍👍 …"
rizky na,4,6 tahun lalu,Tempat main yg cocok untuk keluarga. Kebeneran kemarin datangnya weekend. Tiket masuknya 20ribu/orang. Anak dengan tinggi diatas 85cm sudah dihitung bayar tiket. Kalau mau main sepuas nya bisa langsung bayar tiket terusan seharga 55ribu. …
