name,rating,date,text
Bagas Saputra,5,1 minggu lalu,"Datang pas penghujan, serasa di hutan beneran. Hijau semua, udaranya seger, tapi jangan lupa jas hujan."
TM_Rafi Putra Bahari,5,5 bulan lalu,Air terjun kedung maor ini terlihat masih alami dan belum banyak dikunjungi. Potensi besar jadi destinasi wisata baru di Bojonegoro.
123_24C_ Ibrahim Muhammad Aziz Salam,5,5 bulan lalu,"Josss, beri tahu saya lokasinya."
Salsabilla Chandraningtyas,4,5 bulan lalu,good
32_bungaauliasetyarachmawati_akuntansi,5,5 bulan lalu,sangat bersih dan udara di alamnya masih segarrr
Sigit Pramono,5,3 tahun lalu,👍👍 …
emanuella van de Livia,5,3 tahun lalu,Ya ampun
FARID ARIADY,5,3 tahun lalu,Wonderful Place😍😍 …
Mario Kalalo,3,3 tahun lalu,"One of many waterfall in Bojonegoro region, although the route to reach this place was challenging but the scenery looks quite pleasant. Didn't recommend to go here if you're using normal family car, the road was very poor and when arrived you have to take a water way to reach the waterfall with no other access or path."
Roelgan Paldeng,4,4 tahun lalu,Alami
wasikin Ikin,5,4 tahun lalu,Cluster TJR 1 ciatayem Depok 390 Juta Rumah keren
Ardi Setya,4,5 tahun lalu,"Syang nya akses mnuju lokasi,jalan nya mmprihatikan."
Ubil Fadha,5,5 tahun lalu,😍 …
Sinta Maharani,4,3 bulan lalu,"Musim kemarau lebih ramah buat keluarga, asal kendaraan kuat. Airnya nggak sederas musim hujan, tapi tempatnya tetep cantik."
papa ilona,5,5 tahun lalu,"Di ajak teman ngebolang ke air terjun pucang,,,  lumayan lah mantep,  buat ngumpulin imajinasi dalam otak 🙏 …"
Widagdo 1986,5,7 tahun lalu,Buat pecinta motocross dan pecinta gowes MTB jalanan ke objek ini cukup untuk menguji adrenalin 🙏😹 …
KHABIB IKHSANI,4,7 tahun lalu,Perjalanan membutuhkan perjuangan.
Mr Awa,4,7 tahun lalu,"sebenarnya sangat berpotensi sebagai salah satu andalan tujuan wisata kota Bojonegoro, yang perlu diperhatikan fasilitas dan akses jalan ke lokasi agar lebih nyaman dan menarik pengunjung dari luar kota, masyarakat sekitar juga sangat …"
Bayu Gunawan,5,Diedit 7 tahun lalu,Salah satu wisata di bojonegoro yang belum tersentuh  tangan manusia sangggat alamii ....
Teguh Wahyudi,4,8 tahun lalu,Tempat wisata dengan nuansa alami...
Cikgu Nomi,5,8 tahun lalu,Exotic place...
ANFZ Channel,5,9 tahun lalu,Sejuk.nyaman dan air terjun yang indah
Nisa Aulia Rahma,5,2 minggu lalu,"Kemarin pas musim hujan airnya deras banget, tapi tetep cakep. Cuma jalan licin, jadi wajib hati-hati ya."
Rizky Prasetyo_27,4,1 bulan lalu,"Datang musim kemarau enak, jalurnya lebih aman dan nggak becek. Airnya agak mengecil tapi masih segar."
Dewi Kartika,5,3 minggu lalu,"Pas penghujan suasananya adem parah, kabut tipis bikin vibes-nya keren. Sayang sinyal susah 🤣"
Agus Mulyono,3,2 bulan lalu,"Musim hujan bikin perjalanan agak PR, banyak kubangan dan licin. Pemandangannya mantap sih, tapi jangan bawa mobil ceper."
Lukman Hakim Bojonegoro,5,6 hari lalu,"Kemarau gini paling pas buat trekking, nggak terlalu licin. Bawa air minum ya, soalnya panas di jalan."
Intan Puspita Sari,4,4 minggu lalu,"Waktu musim hujan air terjunnya lebih rame dan bunyinya kenceng, puas lihatnya. Tapi mending pakai sandal gunung biar nggak kepleset."
Hendra_Adventure,5,5 hari lalu,"Habis hujan semalem, alirannya jadi keren banget! Track-nya menantang, tapi worth it banget sih."
Yuni Lestari,4,2 bulan lalu,"Kemarau airnya jernih, enak buat foto-foto. Cuma beberapa titik jalannya berdebu, jadi siapin masker tipis."

