name,rating,date,text
adjie cool,4,Diedit 4 hari lalu,Cukup bersih dan terawat
Didik Septiawan,4,seminggu lalu,"Lesehan banyak, parkir cukup luas, cuma air nya kalau pas musim huja kadang agak keruh. Tapi kadang bening"
Paimin Min,5,2 minggu lalu,"airnya jernih,aman,dan bersih di dander"
bagus lukito,4,3 minggu lalu,"Bening , tp klo bnyk org renang ya resiko keruh sih"
Amry Atreides,5,sebulan lalu,Tempat rekreasi berenang di sungai.
aji pangestu,5,sebulan lalu,Rame sih cuman airnya keruh
Shobirin Nur A,1,sebulan lalu,"Bakul e ga ramah blass
Pemerasan bakul eee"
M KenCannavaro,5,sebulan lalu,Murah parkir luas air jernih makanan murah mantap poll lah cocok untuk bermain air anak2
TJ Grey,5,2 bulan lalu,"Airnya segar dan jernih dan tidak dalam, banyak pohon. cocok untuk rekreasi bersama anak-anak"
Amalia Ihda,5,2 bulan lalu,"Wahana air mengalir alami, tiket masuk murah, suasana sejuk"
Muji Ana,5,2 bulan lalu,"Wisata kampung yg lumayan
Murah meriah"
HENNI RAHAYU,2,2 bulan lalu,"Tempatnya biasa saja
Banyak nyamuk .dan kotor
Krena HRI Minggu lokasi penuh bgt dan air keruh bgt"
Sahrul Albukhori,5,2 bulan lalu,Sangat menyenangkn bermain d sungai yg dangkal
Dodik Setiawan,5,3 bulan lalu,Indah di pagi hari
Sumawan ROG,5,3 bulan lalu,Hari minggu sangat ramai.
Mita Febrianti,4,4 bulan lalu,Bagus tempat nya adem
Linuri Hidayati Rohmah,4,4 bulan lalu,"Airnya bening, disarankan kalau kesini weekday aja biar bisa melihat air yg bening sekali karena jika datang weekend akan agak keruh krn di buat berenang anak² kecil. Di tepi² kali ada banyak warung. Semoga pemilik warung juga ikut menjaga kebersihan"
Nisa Amalia,5,4 bulan lalu,"Dengan panasnya bojonegoro kita bisa menyejukan di tempat ini
Tempat asri sekali, banyak orang jualan dipinggir sungai
Mulai dari mie cup kopi berbagai macam minuman gorengan rujak snack dan masih …"
Jubiyono Sujito,5,5 bulan lalu,"Hari minggu terlalu rame pengunjung..
Tapi asyik buat anak anak...
Menuju lokasi bingung, karena minim petunjuk /Plang di pas  jalan/gang mau masuk …"
Anwar Nareshwara,5,5 bulan lalu,"Pemandian alam yg luar biasa , airnya jerni murni dari pegunungan"
Sahrul Muhtarom,5,5 bulan lalu,Josss
Dwik Nur,5,6 bulan lalu,"Tempatnya sejuk
Ramai …"
Jay Story,5,6 bulan lalu,"Liburan yg murah meriah,penting bahagia"
Septica Tiara Indah Permatasari,5,Diedit 6 bulan lalu,"Sudah sering ke tempat ini dari sejak belum dikenal banyak orang sampai sekarang sudah dibuka sebagai tempat wisata. Airnya jernih, cocok kalo yang mau berenang. Sekarang sudah banyak warung yang buka dan ada tempat penyewaan ban. Tempat …"
Nuruddinshoope,1,6 bulan lalu,Tidak tepat untuk anak - anak
Nuruddin Ahmad,1,6 bulan lalu,Kurang baik dan sehat
Nuruddin Ahmad,1,6 bulan lalu,Airnya kerung kurang jernih
Boedyz,5,7 bulan lalu,Tempat menyendiri yang nyaman
