name,rating,date,text
Wenang Paramartha,5,sebulan lalu,"Tempat rekreasi menarik. Ada ditengah kota Bojonegoro. Parkir luas, banyak jajanan.
Toilet tidak terlalu bersih, tapi airnya melimpah. …"
Zhanty Susanty,5,10 bulan lalu,"disi biasa digunakan pameran ..kadang pasar murah..atau kegiatan lainya..disini tempatnya luas
toilet parkir semua tersesia diaini"
Eka Denisya Putri,4,setahun lalu,"Tempatnya kalau diatas jam 3 sore mungkin lebih enak dan tidak panas untuk beristirahat..
Jadi kalau mampir pagi sekalian atau sore sekalian ,banyak pohon rindang ada tempat anak2 bermain toilet juga ada, jual makann dan minuman pun juga ada 🙏❤️ …"
Winda,5,2 tahun lalu,"Taman dengan fasilitas yang cukup family friendly. Terdapat area bermain pasir dan permainan anak. Terdapat akses untuk stoller/kursi roda. Tersedia pula jalan batuan untuk terapi. Taman rindang, bersih, dan terawat. Ada pula sentra kuliner …"
Agung Bjn,4,setahun lalu,"taman kota bojonegoro
sebelum nya merupakan terminal bus antar kota
setelah dipindahkan ke terminal baru, lahan nya sebagian dialihfungsikan sebagai …"
agung joko santoso,5,setahun lalu,"Taman referensi untuk bermain baik anak-anak dan orang dewasa. Bisa untuk bermain, olahraga dan juga open space. Fasilitas banyak : ada taman pasir, jungkat jungkit, prusutan, tempat duduk yang nyaman, toilet, tempat aprkir dan di belakang taman ada taman mobil mainan serta foodcourt yang menyediakan berbagai jenos masakan"
Satriyo Arif Wicaksono,5,3 tahun lalu,"Taman Rajekwesi Bojonegoro, Lokasinya tepat di pinggir jalan, Parkiranya luas, disini cocok untuk bermain anak, banyak permainan yang disediakan, seperti jungkat jungkit, prosotan, dan ayunan. Tempatnya juga bersih asri, jadi sangat nyaman …"
sugeng samodra,4,3 bulan lalu,"Lumayan bersih,parkiran luas
Masuk gratis,cuma bayar parkir aja"
Heldy D Luffy,4,8 bulan lalu,"Enak buat main sama anak², tempatnya sejuk dan makanannya murah².. sayang toiletnya kotor bangettt, kurang terawat"
MELT,5,3 tahun lalu,"Taman rajekwesi ini berada di lokasi yang dulunya adalah terminal bis Bojonegoro
Setelah tidak terpakai bertahun-tahun akhirnya dibuatlah taman yang cukup indah …"
Nofika,4,Diedit 3 tahun lalu,"Tempat ini merupakan wisata umum ( taman terbuka ) , jadi masyarakat bebas berkunjung kesini.
Lokasinya ada di jl. Rajekwesi atau bekas terminal lama. …"
B Eskha,4,2 tahun lalu,"Fasilitas taman cukup baik trutama toilet yg ckup bersih, dan terpisah antara male dan female, terdapat stone path track untuk jalan sambil merefleksi kaki untuk kesehatan, tempat sampah tersedia banyak dan tersortir sesuai jenis sampah, …"
Nyonya Niken,5,7 tahun lalu,"kunjungan pertama ke taman ini. suasananya sejuk, bersih dan rapi.

berbagai pohon dan bunga tumbuh subur. …"
Bahrul Efendi,5,setahun lalu,"Rekomend untuk rest area saat mudik, tempat nyaman bersih rapi gratis cman bayar parkir aja kendaraan aman. Toilet juga bersih nyaman ada yg njagaain pula 🤣 PKL juga ada murah² …"
Alfiani Nurfitrotin,5,3 tahun lalu,"baru bener bener kesini sekarang, setelah beberapa tahun dibangun. kayanya ini udah lama yaa. tapi masih sangat layak buat jadisdestinasi berlibur keluarga yang terjangkau secara jarak dan kantong. cuma nih tadi toilet di masjidnya antri banyak yaa, jd agak terpaksa saya wudhuu di kamar mandi. but overall good sih."
Adhitya Mahardhika,5,Diedit 7 tahun lalu,"Tempat publik di kota Bojonegoro yang menurut saya sangat bermafaat sebagai playground dan sarana untuk bermain, olahraga outdoor buat manula,anak2 juga.. …"
Fergie Witora,4,7 tahun lalu,Banyak fasilitas yang disediakan untuk tempat bermain anak2. Kalau malam hari g terlalu ramai. Tempat yang teapat untuk bersantai bersama keluarga menikmati indahnya malam di bojonegoro. Ada banyak tempat makan disekitar area taman. Tempat parkir juga luas.
Devi Ayugi Rukmana,5,2 bulan lalu,Tamannya cocok untuk bermain anak2. Sering ada acara seperti pasar malam atau hiburan lainnya
Sun Shine,4,7 tahun lalu,"Taman rajekwesi bojonegoro,  terdapat tempat bermain, mushola (sekalipun disebrang jalan ada mushola dan masjid dengan adanya muahola di area taman ini sangat2 membantu) toilet yang bersih dan nyaman ( sediakan uang 2000 untuk fasilitas toilet dekat mushola) , banyak pedagang jajanan, makanan dan minuman, warkop , toko baju dsb."
Rico Ady Sya'bana,5,10 bulan lalu,"Taman yang bagus,rindang,terawat, dan sejuk.....cocok untuk bermain bersama keluarga...."
Wahyu Aditya,5,2 tahun lalu,"Tempat nyaman, ada tempat bermain juga untuk anak, ad sentra makanan dan minuman, parkir ada, toilet bersih"
Yekti Indah,4,4 bulan lalu,"Bersih, dan seru kalau untuk anak²"
Darsono Pesek,5,Diedit 6 bulan lalu,"Taman Rajekwesi lebih sejuk skrg
Taman pohon makin rindang terawat kebersihan toilet dan parkir luas"
jian toro,4,8 tahun lalu,"Berlokasi di pusat kota, taman ini dulunya sebuah terminal bus. lalu alih fungsi menjadi sebuah taman kota di Bojonegoro. tempatnya yg sejuk banyak pohon dan permainan anak. jadi cocok untuk bersantai bareng keluarga, temen, pacar, dan …"
Sheila Annisa,4,4 tahun lalu,"Taman rajekwesi yg untuk area beramain anak cukup luas...ada pasir laut nya yg kebersihan cukup terjaga, banyak pohon jadi lumayan dingin,lokasi yg mudah terjangkau,bersih, berbagai macam tempat permainan anak tersedia, ada tempat nongkrong …"
