name,rating,date,text
Hadi Irmanto,5,5 bulan lalu,Tempatnya asik buat liburan saya belum buka untuk Umum
Shatria Radhenningrat,5,9 bulan lalu,Bojonegoro jatim
Tito Raharjo,5,setahun lalu,Tempat yang asri teduh dan indah tuk dikumjungi
Astri Nur Khofifah,5,setahun lalu,"Serasa waduk privat, dtg kesini pas hari sabtu. Bagus pollll, bisa santai di bawah pohon rindang sambil menikmati hamparan waduk. Tersedia warung,musholla,tempat parkir luas. …"
Adimas Ario Afrilando,5,setahun lalu,"Waduk Pacal adalah sebuah waduk yang dibangun di Kedungsumber, Temayang, Bojonegoro untuk menampung air dari salah satu anak Bengawan Solo, yakni Sungai Pacal yang berhulu di Gunung Pandan. Bendungan dari waduk ini adalah bendungan beton …"
Jiwo Solo,5,setahun lalu,Mancing dedel duel waduk pacal sak jose
sugeng wahyudi,5,setahun lalu,Estimasi wisata perahu dan spot mancing
Siswanto Prasetyo,4,setahun lalu,Enak buat mancing yang lagi bt merapat aja
Nga Diran,3,2 tahun lalu,Sejuk
L,5,2 tahun lalu,"Sejak 1933.
Sekarang bangunan sudah direnovasi jadi modern"
Lilik Novita,5,2 tahun lalu,"Enak sekali bisa naik perahu di waduk pacal. Angin sepoy2, bisa keliling waduk naik perahu (kalo mau naik perahu bisa ngmong sama penjga warung disekitar)
Ada musholla, ada toilet. Masuknya per org 5rb. Kalo parkir belakangnya loket ada parkir mobil n motor."
Oky Sptraa,4,2 tahun lalu,"Bagus,oke"
pujianto namaku,5,2 tahun lalu,Wisata favorit Bojonegoro selatan❤️❤️
Azkhayrabocil Senja,1,2 tahun lalu,kurang di kelola. kesannya masuk sana kyak gaada hiburannya apa2
Farikha,5,2 tahun lalu,"Bagian depan (tempat parkir, warung, masjid, dll) masih dalam tahap pembangunan. Pemandangan di waduknya bagus, hanya kurang di akses jalan yg cukup jauh dari jalan raya dan ada beberapa sampah di air waduk"
Ridwan Arma Subagyo,5,2 tahun lalu,Lebih enak kalau ke sana waktu sore dan cuaca cerah
Aisyah Nur,5,Diedit 2 tahun lalu,"Syahdu dan tenang suasananya, pemandangannya juga indah, waktu kesini juga sepi. Pgn naik perahunya tapi gaada bpk yg punya. Alhasil cuman fto2 dari pinggir. Tiket masuk nya juga murah 5k/org, anak kecil ga kena hitung. Jalanan kesini juga …"
Chorey Faried,3,2 tahun lalu,"Pertama kesini waktu ada acara aniversary Boomerang band,
Tempatnya sebetulnya bagus, cuma dulu disana TANPA SINYAL, pake apapun gakda sinyal, …"
Ninik Kusmiati,5,2 tahun lalu,Waduk yang indah alami
ANNI EGAISARMOO,3,2 tahun lalu,sepi
Yochanan,5,3 tahun lalu,bersih dan tempatnya enak
Pur Wanto,3,3 tahun lalu,Tempatnya panas..kurang sejuk penak d kwasan hutan...terus tukang parkirnya kyaknya seperti pungli..Padahal saya ngak parkir hanya mutar aja...tolong dperhatikan .
Zenlouwise,5,3 tahun lalu,cocok untuk penggila mancing
Satriyo Arif Wicaksono,5,Diedit 3 tahun lalu,"Tempatnya bagus. Kurang lebih 40mnt dari pusat kota bojonegoro.
Bisa menyewa perahu dan berkeliling waduk.
Pemandanganya juga sangat menyenangkan, cuman agak sedikit panas. Ada beberapa warung dan penjual ikan wader, nila, penyetan, sambelanya enak banget. Wajib cobain kesini."
Putri Junita,5,3 tahun lalu,Suka
04 MUHAMMAD HILMI EKA SYAH PUTRA WIJAYA,5,3 tahun lalu,Sangat Menarik
Fathol Bari,5,3 tahun lalu,Fishing memories 2020
