name,rating,date,text
ABDILAH IRSYAD,5,3 jam lalu,"Pemandian sumber mata air panas yang menyegarkan, apalagi setelah dari kawah ijen
Capek dan penat langsung hilang"
Zero zephyrum,5,seminggu lalu,"kebersihannya lumayan, untuk perjalanan ke blawan memang lumayan lama, tapi masih worth untuk dikunjungi.
harga tiket masuk dan parkir relatif murah untuk tempat pemandian dan harga jajanan dan minuman di blawan masih terjangkau."
El Maulidy El Madury,5,sebulan lalu,Aku Anga' 🥵 …
Rumah Bisnisku,5,sebulan lalu,Sngat bagus untuk trapi
Purwadhi Purwadhi,5,4 bulan lalu,Cenderung sepi pengunjung padahal di akhir pekan. Bisa dipengaruhi oleh spot air terjun blawan yg ditutup padahal dekat dg pemandian ini.
azzam kpa,5,4 bulan lalu,Nice
Ara matahari,5,4 bulan lalu,"Sukakk bersihhh, tiket 10k/org"
Jaroslav Veselka,5,5 bulan lalu,"* Pemandian air panas yang indah dan sangat nyaman di rute dari Taman Nasional Gunung Eljen ke Taman Nasional Gunung Bromo
* Suasananya terasa seperti kekeluargaan …"
Stefan Strobl-Santos,4,6 bulan lalu,"Nice place, but most of the water way too hot. We drove more than an hour to this place and I guess I wouldn't have done it if I had known how hot the pools are."
Siswo Gun,5,7 bulan lalu,"Wuihhh.. perjalanannya menuju ke blawan asri banget, relaks banget meski gk bisa berendam lama.."
Wahyu Tri Ananda,4,8 bulan lalu,"Pemandian air panas dengan suhu air dan kandungan belerang yang cukup tinggi (airnya sampai hijau). Cukup nyaman dan tiket masuk juga murah. Petugas ramah. Jika tidak tahan dengan air belerang, maka jangan berendam terlalu lama karena bisa menyebabkan pusing dan muntah akibat keracunan belerang."
Fajar Subekti,5,8 bulan lalu,Alami dan menawan.
Remo,5,8 bulan lalu,"Great place, well maintained.
Entry fee is 20k"
ali sobri,5,11 bulan lalu,"Tempatnya dingin, perjalanan menyusuri jalan yang melewati hutan hutan bondowoso"
MOCH RIDHO YANUAR ENDIRESTA,5,setahun lalu,"izin bertanya, untuk tgl 27 nov 2024 apakah tetap buka ya? mohon petunjuk dan infonya"
Rifqi Anam,5,setahun lalu,"Berkunjung di hari kerja kena tiket masuk
Rp.60.000 untuk 6 orang dan 4 sepeda motor. Kalau mau berendam di air yang agak hangat pilih kolam di sebelah selatan. Tersedia mushola dan kamar mandi serta …"
Kenneth Cheng (KingyoHouse),4,setahun lalu,Nice local natural hot spring complex. Not very popular with tourist. We almost had the place to ourselves with only one or two other visitors in the afternoon.
Hare Joelianta,5,setahun lalu,"Enak banget bro, buat pegel pegel suasana dingin pedesaan uang masuk 10 rbu terus parkir mobil 5 rbu. Istimewa emang"
Mbah Wahid,3,setahun lalu,"Fasilitas oke, sayangnya waktu bayar sering kali gak dikasih tiket masuk. Entah uangnya masuk ke mana.. eman aslinya demi pembangunan pariwisata bdws"
Furuha,5,Diedit setahun lalu,"Tempatnya sangat bagus untuk refreshing sekaligus merawat tubuh. Bisa mandi air panas sambil lihat pemandangan. Alhamdulillah, sekarang akses jalan ke pemandian sudah memadahi. Sayangnya suhu air waktu saya berkunjung (28-9-2024) menjadi …"
Lorenzo Orticochea,3,setahun lalu,Bagus tapi kurang bersih
Holifatul Hasanah,4,setahun lalu,Keren keren
Fahrur Rosi,4,setahun lalu,❤️❤️👍👍👍 …
