name,rating,date,text
Fitriani Fitriani,5,sebulan lalu,Cukup menyenang kan berkunjung walopun lewan beranda lokasi
Yus Priyatna,4,sebulan lalu,"Akses jalan rusak, kalau diperbaiki bisa dilewati sepeda motor"
Novendra Fattah Sakuru,4,2 bulan lalu,Keindahannya masih terasa walau sudah sedikit perawatan
M Agus,5,2 bulan lalu,Tancak kembarr itu di Andungsari saya asli orang andungsari
miss icha,5,2 bulan lalu,Wisata Alami tampa buatan tangan manusia.
Bagus Ramadhani,5,2 bulan lalu,"Lokasinya jauh dari jalan raya jadi tempatnya sepi, akses jalannya juga agak sulit karena jalannya banyak yang rusak, tapi nggak rugi datang kesini karena tempatnya beneran dirawat, cuma toiletnya sudah rusak jadi disarankan buang air dahulu sebelum kesini. Nggak ada tiket alias gratis."
Agus Supantiaji,5,2 bulan lalu,"Suasana sangat tenang, namun sayang fasilitas yg ada tidak terawat, seperti toilet yg tidak bisa digunakan & pintunya rusak.
Jalan ke lokasi agak ekstrem, jika pakai mobil tidak bisa sampai lokasi, harus lanjut naik motor atau jalan kaki kurang lebih 2km."
lailiatul badriah,1,2 bulan lalu,g rekomen pakai sepeda matic dan bagus rekaman nya pakai sepeda gunung karna jalannya banyak batu² seperti sungai.
Retno Puspa Dharma,5,4 bulan lalu,Tahun 2021 kesini bareng temen-temen dan PPL ✨
Lailatul Qodariya,5,6 bulan lalu,Buka 24 jam
Sholihin Fiqri,5,8 bulan lalu,Akses Butuh Perjuangan Ketika Hujan
Faishal Abrari,5,11 bulan lalu,"Salah satu tempat Yang Sejuk di aliran Air gunung Argopuro

Bondowoso Explore"
Fz Putra,4,Diedit 11 bulan lalu,"Bagus sih, cuma akses jalannya bikin kapok"
RAZKW,3,setahun lalu,bagus
Afifatun Nisak,5,setahun lalu,"tempatnya bagus, asri dan enak di pandang. Tidak terdapat sampah yang dibuang sembarangan disana. Rekomendasi bangett untuk orang yang suka wisata terjun"
Filemon Ariyeri,5,setahun lalu,Ok
Rudi Anshari,5,setahun lalu,Luarbiasa view alamnya indah banget
Muhammad Khotibul Umam,5,setahun lalu,"Keren tempatnya, sejuk, air terjunnya cantik dan segaaaar."
Agustinha Risdy,5,setahun lalu,"Kalau datang di musim kemarau airnya nggak banyak, tapi batu2nya jadi nongol semua. Jauh dari jalan utama jadi sepi, banyak monyetnya juga hahahaha. Tapi monyetnya masih yang takut sama orang, jangan dikasi makan yaaaa…"
Julian Rahmadi Rasdianto,5,2 tahun lalu,Wahananya indah & cantik...
Ferdi Ansyah313,5,2 tahun lalu,"Saya sebagai akamsi merasa bangga sampai jalur untuk sampai ke tancak kembar ini sudah di aspal ,
Tapi tidak di rekomendasikan musim hujan dikarenakan longsor berkepanjangan, …"
Wahyu Hidayat,5,2 tahun lalu,Sangat disayangkan tempat wisata yg indah seperti ini terbengkalai alias gak terawat. Dalam hal ini Perlu perhatian dari pemerintah daerah terutama Dinas Pariwisata & Dinas yg mengelola. perlu adanya perbaikan jalan sebelum tempat Loket …
H K,4,2 tahun lalu,Hanya perlu perawatan. Tempatnya indah sejuk
Afdal Om,5,2 tahun lalu,Nice
IRWAN ALISBAH,5,2 tahun lalu,𝕊𝕖𝕓𝕒𝕘𝕒𝕚 𝕕𝕣𝕖𝕧𝕖𝕣 …
Yo Nathan,5,2 tahun lalu,"Pemandangan yang sangat indah, tapi perjalanan menuju kesana sangat sulit. Siapkan mental dan kendaraan anda."
Willi Pradita,5,2 tahun lalu,Saya menciumnya.
Zainul Anwar,5,2 tahun lalu,Healing pistipis
Catharina Linda,5,2 tahun lalu,Nice place to go. Exciting and tiring. You need to walk along the way to waterfall or you can go by motorbike.
ivan cahyono,5,2 tahun lalu,Pemandangan yang indah sepanjang perjalanan menuju puncak keindahan Tancak Kembar..recomended banget pokoknya..dijamin pengen kembali lagi
Rafi Purwadi,5,3 tahun lalu,Nice
Misbahul Munir,5,3 tahun lalu,Sebaiknya bawa spd motor biar langsung ketujuan. Kalau bawa mobil dari parkiran mobil -+ 20mnt ke air terjunnya. Tempatnya bersih. Saran sediakan tempat sampah di parkiran spd motor.
Ade Putri,5,3 tahun lalu,"Akses jalan sudah lumayan, ada bbrp jalan yg masih dlm proses perbaikan."
eko saputra,5,3 tahun lalu,i was here in 1998
Zahri N.A,4,3 tahun lalu,Wisata sangat alami da fresh
fathul25,5,3 tahun lalu,Air terjun yg sangat bagus
Retno kumala Chandra dewi,5,3 tahun lalu,"Pengalaman yang sangat menabjubkan.. medan dan tanjakan mantap untuk para gowezser😎. Tiket masuk murah.. penjagax ramah sangat bersahabat. Tempatx adem, sejuk dan sangat alami …"
Anwar Hidayat,5,3 tahun lalu,Tempat nya sebagai tempat wisata air terjun sangat bagus dan benar benar alami. Suasana alami dan sejuk dengan nuansa hutan pegunungan dataran tinggi. Pelayanan petugas di portal masuk luar biasa bagus nya. Portal nya masih baru dengan …
Ncpf Gaming,5,3 tahun lalu,Sip
Inspirasi channel,1,3 tahun lalu,Tancak kembarnya bagus banget dan alami sekali. Tiket masuk nya murah meriah hanya 5rb sudah bisa menikmati ke asrian alam dan suasana yg sejuk
