name,rating,date,text
Fauzan Afandi,5,6 jam lalu,Mantap buat ngedaki yg sdng lelah hati
intan lutfiah,5,2 hari lalu,"kawahh ijenn gapernahh gagalll keindahannya , tapii yang nemenin sampe puncakk jugaa ga kalahh indahh dengann keindahannyaa ijenn, thank u buatt daniii yang suudaa nemenin di perjalan yang aku rewell, dikit dikitt berenti, muntah di …"
Apriliautami Utami,5,2 hari lalu,"Kawah Ijen meninggalkan kesan yang menakjubkan sekaligus kontradiktif: dari satu sisi, keindahan alamnya luar biasa—danau kawah biru kehijauan, tebing tinggi, dan fenomena api biru yang langka—memberikan nuansa mistis dan dramatis. Dari …"
William,5,3 hari lalu,Spektakuler
Toto Dwi,5,4 hari lalu,Belerang merah
Brian dan Adik Bermain,5,seminggu lalu,Pengalaman yg luar biasa tdk bs diungkap lengkap dgn kata2 .. star awal naik jam 2 pagi sampai puncak jam 4 subuh .. lalu turun ke bluefire .. semoga alam ini selalu terjaga ..
Jeff,5,seminggu lalu,Bagus sayangnya ga bisa liat kawa nya kabut tebal🤣 …
Oktavia Brianita,5,2 minggu lalu,"MasyaAllah cakepnyaa, wajib pakai masker yaa guyss!!!"
Salsabila SKP,5,3 minggu lalu,"ketinggian ±2000 mdpl, kawah nya bagus pol, blue fire nyaa cakep"
Agus Sudharnoko,5,Diedit 3 minggu lalu,"Karena indahnya pemandangan di Kawah Ijen, mau turun rasanya males sekali. Akhirnya aku 11 kali sudah datang kesini untuk menikmati pemandangan alam yang yang sangat indah"
fahritzz0512,5,3 minggu lalu,"kawah pertama yang kita kunjungi.
kawahnya cantik sama kaya yg lagi ulang tahun 🎂❤ …"
Robert Kerrigan (rak5664),5,3 minggu lalu,Yento was a great tour guide. He had our safety in mind during the whole hike. He brought gas mask for everyone in my group. Yento was also fun to talk to as it was easy to carry a conversation with him. If I ever come back I will ask for Yento as my tour guide and I recommend you do the same.
Shinta Asfarina,5,3 minggu lalu,"Pengalaman pertama ndaki ke kawah ijennn , seruuu banged , capenya kebayar pas udh diatass😭🤍 …"
suka jalan :3,5,3 minggu lalu,"kesalahan naik di musim hujan dan naik kesiangan grgr temen sakit di trek wkwk alhasil dapet tembok dan gagal sampe spot hutan mati spot pohon, karena kabutnya udah naikk, next naik lagiii🫰🏻😆 …"
Haneef Sumsudeen,5,3 minggu lalu,Really miss this trip so far!!!
