name,rating,date,text
Ulfiana Az Zahra,5,1 hari lalu,"suasananyaa sejuk enakk, temen saya aja ngemil terus🌟🌟 …"
Agus Sudharnoko,4,Diedit seminggu lalu,"Sudah 6x kesini, gak ada bosannya, walau jalannya agak sulit. Pemandangan khas bukit2nya yang indah"
N Arif,5,2 minggu lalu,"Hidden gem banyuwangi. Tempatnya sepi, banyak tokomakanan sudah tutup karena jarang wisatawan kesini, but the view is the best, sunrisenya terbaik sebanyuwangi"
ERWIN ZP,5,3 minggu lalu,👍👍👍 …
suka jalan :3,5,3 minggu lalu,"kesini 2024 bln januari, cantik bangett, tapi perjalanannya lumayan jauh dari kota bwi, apalagi naik motor, naik tangga ke atasnya juga rada gempor wkwk tapi worth it bgt🫰🏻🫰🏻 …"
Maulana Dzaaky Ridho Madani,1,3 minggu lalu,Pelayanan buruk sudah rela bayar 100k ke sini namun tidak ada inisiatif dan pertanggung jawaban. Saya kecewa sangat pertama kali ke sini
Zulaihatuz Zahro,5,3 minggu lalu,"dari kawah ijen langsung ke kawah wurungg, abis mendaki eh disini juga masi harus naik tangga duh cuapekk tapi diatas bagus bgt tapi spot foto cuma di bagian atas sampai pos pantau doang kahh ato lainnya bisa eksplor krn sayang bgt secakep inii"
Padi Homestay,5,3 minggu lalu,"Akses jalan agak susah untuk mobil kecil, karena banyak jalan berlubang dan bergelombang, untuk View saya rasa biasa saja, hanya safana dan bukit2 kecil, area kurang di kelola dengan Baik, jalan setapak banyak yang rusak, sehingga tidak terlihat nyaman untuk di lalui, begitu juga dengan tempat peristirahatan yang tidak memadai"
Febri Baik,5,sebulan lalu,Cocok untuk yg galau
Yuniar Qurrota,5,sebulan lalu,"ini kedua kalinya kesini,kali pertama takut bgt karena hutan panjang banget dan gaada permukiman,kedua kalinya udh ga takut lg wkwkw"
Rahmat Kurdiyanto,4,sebulan lalu,"*Growth mindset adalah pola pikir yang percaya bahwa kemampuan dan kecerdasan dapat berkembang melalui usaha, dedikasi, dan ketekunan*. Pola pikir ini juga dikenal sebagai pola pikir berkembang. …"
Tiara Hills,5,sebulan lalu,Indah polll
Muhammad Syahrul Munir,4,sebulan lalu,"Sebuah view hamparan padang rumput yang luas dan cantik, namun ada isu mau dirubah ke kebun alpukat"
Wayan Mardiano,5,sebulan lalu,Savana kawah wurung... asik maen motor trail
Mikha Setiyawati,4,sebulan lalu,"Kawah Wurung itu cantik tanpa ribet, cocok buat solo trip, bestie trip, atau quality time bareng pasangan. Datang pagi atau sore paling juara karena cahayanya lembut dan gak terlalu panas. Fix, ini tempat yang bikin hati adem dan galeri …"
Andrew Ennio,5,sebulan lalu,Menikmati indahnya Kawah Wurung didampingi Raung Ijeng Overland. Jalur menantang dan disuguhi pemandangan yang cantik alami
Nurlita Permata Dewi,5,sebulan lalu,"Kereenn banget tempatnyaa, semoga semakin banyak orang yang tau & bisa melihat keindahan kawah wurung!"
Abdillah,5,sebulan lalu,Butuh sedikit beban
ONik SR,5,2 bulan lalu,"Perjalanan dari kota Banyuwangi 1,5 jam menuju tempat ini, terbayar dengan pemandangan yang sangat indah.
Untuk mencapai puncak hanya naik 200 anak tangga dan jalan beberapa meter tanpa tangga."
Rachmat Wijaya Mukti,5,2 bulan lalu,"Medan jalan menuju ke lokasi menantang, kalau sewa Jeep buat nge TRIP SUNRISE lebih bagus beud, kalau mobil sendiri tidak bisa ke kawah nya karena jalan nya sulit apalagi mobil ceper. Kebesaran Allah swt nampak..  banyak sapi warga yg memang dilepas disitu, ada yg dipasang tali pasak.. kabut bisa datang tiba tiba. Asik degh.."
Muhammad Nurfurqon,5,2 bulan lalu,Mantab
Bagus Ramadhani,5,2 bulan lalu,"Tempat wisata yang cocok karena beneran bagus banget pemandangannya, untuk fasilitas ada mushola dan toilet. Hanya saja akses jalannya banyak yang rusak dan tidak ada lampu sama sekali sepanjang perjalanan. Untuk harga tiket 10 ribu per orang dan harga parkir sepeda motor 2 ribu."
Agus Mukhlisin,5,3 bulan lalu,"Pemandangan yang sangat indah sekali,"
Yudo Hardianto,5,3 bulan lalu,Nice view
vikri zahir,5,3 bulan lalu,Tempat yg sangat indah
Endhika Haries,1,3 bulan lalu,Akses jalan menuju kesana rusak parah tidak layak untuk dilewati.
hendra manto,5,3 bulan lalu,"Alhamdulillah......
Semoga terjaga selamanya keasrian kawah wurung....."
R9edmi 123,5,3 bulan lalu,Anginnya segerrrr …
Amalia Anjar,5,3 bulan lalu,"hihii pengalaman yang mengesankan walaupun banyak capeknya menempuh perjalanan -/+ 8jam pp motoran, hufttt.
tapi terbayar sama cantiknya view kawah wurung⛰️"
