name,rating,date,text
Cak Uuk,1,2 hari lalu,Ada pungli mengatasnamakan masjid yg bagian jual tiket. Kami ber 4 beli tiket kamudian dipaksa beli 5 dengan alibi yg satu donasi masjid dengan nada tidak ada etika cara bicaranya. Benar2 kecewa sy lihat manusia macam itu. Besok akan sy video sebagai bukti ke dinas pariwisata. Tolong ditegur keras bagian tiket masuk
Erico,4,4 hari lalu,"Informasi tentang tempat makan, haha."
Cheryl Cheryl,5,seminggu lalu,Jangan lupa mampir ke toko Arjuna Yach kalau ke pantai dalegan
Zia Hanum,5,2 minggu lalu,Ma0s sangat membantu perjalanan menjadi lancar
Agus Sudharnoko,3,Diedit 2 minggu lalu,"Pernah kesini, suasana pantainya lumayan bagus"
Warong Opaapa,5,2 minggu lalu,Pas hari libur ramai sekaliiiii
Bincar Priambodo,1,2 minggu lalu,Seharusnya untuk fasilitas umum seperti toilet disediakan oleh pengelola wisata bukan berbayar
The Master,4,2 minggu lalu,"Pantainya lumayan bagus. Hanya saja terkendala area parkir yg kurang luas. mungkin karena bersamaan dengan momen liburan tahun baru,Sehingga jika datang agak siang, nampaknya harus cari alternatif parkir di luar ."
Ali Syah,5,3 minggu lalu,Tempat nyaman harga umum...harga makanan sesuai...mantab
Shilvia Edwinda,5,4 minggu lalu,sangat indah
imoet sekali,3,4 minggu lalu,"-banyak sampah,tolong dijaga kebersihannya"
antonia putri,5,4 minggu lalu,"Datang waktu hari libur, kondisi ramai sekali.
Tiket mobil 15.000
Tiket masuk perorang 10.000 …"
Arief Alviyan Rahman,5,4 minggu lalu,Bagus dan mantap
lukman hakim,5,sebulan lalu,"Pantai kurang luas, untuk kebersihan cukup, banyak yg jualan dan harga nya gak terlalu mahal, apalagi di tempat wisata. Biaya masuk 4 orang+parkir mobil 50.000."
nuris aditya,5,sebulan lalu,bersih
Dzikri Imaduddin (Dzikri),5,sebulan lalu,Bags tempatnya
sarif fudin,5,sebulan lalu,Recommended untuk wilayah pesisir Gresik
Rizky Prameisela,5,sebulan lalu,Tempat duduk banyak untuk santai dan kumpul keluarga banyak..
Ayu Mirnah,1,sebulan lalu,Tempat wisata yang saat wudhu dan sholat harus bayar
Adam Eka Syahputra,5,2 bulan lalu,Pantai nya bersih
Alex Hartono,5,2 bulan lalu,"Tempatnya bagus, mudah dijangkau, pasirnya putih termasuk bersih, datang ke sini waktu pagi, udara masih sejuk, ada toilet juga, menikmati udara pagi sambil sarapan"
Richie Andri,4,2 bulan lalu,Wisata pantai utara yg cukup baik. Ada gazebo gratis bisa di manfaatkan pengunjung. Tiket masuk sekitar 10k per orang belum termauk kendaraan. Di beri stiker gratis per kendaraan …
Ilham Habibulloh (Hamz),4,2 bulan lalu,"Cukup bagus, makan masih affordable but tiket masuknya harga 25rb tergolong mahal untuk pantai tersebut"
Oky Andiraih,5,2 bulan lalu,"Pelayananya bagus dan ramah, tempat parkir juga luas
Makanan juga standar murah
Pantainya bersih
Recomd buat keluarga"
Marcelino Andrianto,5,Diedit 3 bulan lalu,View nya bagus dan ada yang jual es dll juga
Luqmanul Hakim,5,3 bulan lalu,"Spot mancing,sekalian anak anak main pasir 😁 …"
FADIL LUKMAN,5,3 bulan lalu,"Cukup bersih tempatnya,cuma agak panas
Harga tiket masuk termasuk murah"
Maya Diana,4,3 bulan lalu,"Baru pertama kesini okay leh rekomendasi buat liburan
Tp jangan di hari weekend rame bangett tp okay lah tempatnya luas
Sayangnya lautnya banyak bebatuan/karang keruh karna pasirnya bukan yg putih …"
Niken Ayu,5,3 bulan lalu,pertama dan terakhir kali kesini sekitar tahun 2015an itu pas saya masih tk. waktu alm bapak (kakek) dan mbah buyut masih ada. jdi kangen 🥲 …
Naufal Raka,5,3 bulan lalu,"Pelayanan nya sangat ramah, untuk perlengkapan sekolah nya juga sangat"" Lengkap"
Yanisa Aulia,5,3 bulan lalu,pantai sangat bagus dan harga makanan murah
Ratih Mulia Sari,5,3 bulan lalu,"Ga nyesel sih ke sini.
Pantai bersih
Tiket murah, 10 ribu per orang …"
evelee,5,3 bulan lalu,lumayan baguss. pasirnya putih
tety Ayuntina,4,4 bulan lalu,"walupun panas sekali ya, tapi pantai ini cukup bersih, banyak tersedia gazebo2 juga untuk berteduh / bersantai. cocok untuk piknik bersama keluarga, banyak warung penjual makanan juga. tiket masuk terjangkau 10rb per orang, parkir motor 5rb"
sutrani rani,5,4 bulan lalu,minta tolong dikasih ayunan dong di pantainya supaya foto lebih asteticcc plissssss buat pengelolahh
Rslna_,5,4 bulan lalu,"Pantainya sih oke2 aja, ga sebagus di pantai selatan tapi cukup lumayan untuk refreshing karena jalan aksesnya ga seekstrim ke pantai selatan. Sayangnya di pantai ini bener2 yang panas bangettttt, ga betah lama2 kalo ke pantai delegan. Dulu sih bagus ya, gatau kalo sekarang. Weekend aja ramai, apalagi pas hari libur nasional"
Dicha Putri Desviani,2,4 bulan lalu,"tolong penjual cek dulu makanan/minuman masih layak dijual apa tidak. saya beli minuman rasanya gaenak, uda basi tapi masih dijual."
Nobel Rizkiyono,5,4 bulan lalu,"Tiket masuk per tanggal 03-09-2025 per orang 10 ribu ,parkir motor 5ribu ,parkir mobil 10 ribu Tempatnya enak buat bersantai,harga makanan dan minumannya lumayan murah , fasilitas nya lengkap ,jalan ke lokasinya juga bagus dan mudah akses nya"
Galang Syah,5,5 bulan lalu,Kalo mau menikmati kawasan ini dengan pelayanan full dan berbagai fasilitasnya saran saya kesini waktu hari libur atau weekend. …
Rasyad 123,5,5 bulan lalu,Sangat seruuuu
Antok Adi Saputro,4,5 bulan lalu,"Pantai pasir bersih, cukup oke untuk refresing di akhir pekan… minus untuk pengunjung tidak ada kesadaran untuk buang sampah pada tempatnya padahal tempat sampah cukup banyak 😏 …"
Wawan Purwanto,5,5 bulan lalu,Wajib dikunjungi
Salman Ahmed,4,5 bulan lalu,lumayan buat nyore
Andrianna Photo,5,Diedit 5 bulan lalu,"Mau mantai di sekitaran gresik atau lamongan yg deket, bisa ke delegan sini..

pasir putih view bagus, dan banyak yg jualan makanan dan minuman disini, …"
mohamad fanani,5,5 bulan lalu,"Tempatnya bersih. Tiket masuk 10 ribu per orang parkir motor 5 ribu. Tadi beli kelapa muda utuh 1 biji Rp. 15 ribu popmie 10 ribu
Banana boat 25 ribu per orang …"
Ronald Haliem,4,5 bulan lalu,"pantai di sekitaran gresik, lumayan bagus dan bersih, cuman dirusak orang yg buang sampah sembarangan, waktu main air nemu popok bayi di buang sembarangan di pasir. untuk pengunjung: sampahmu buak'en nde tempat sampah, wes ono tempate"
Abdul Rokhim,5,5 bulan lalu,"Untuk wisata disini masih terbilang cukup murah per orang di weekend 10rb. sayang parkir tertulis 5rb mobil tapi ditarif 10rb, untuk harga makanan di area wisata juga terjangkau ada persewaan ban dan bisa naik banana boat juga."
Rahda Ivenny Hemarinda,4,5 bulan lalu,"Ada banyak sekali penjual makanan di sini, saya beli es dawet siwalan di warung yg warna kuning pojok arah kiri (maaf tidak terfoto) asli pakai gula aren dan sangat segar, menu yang ditawarkan juga banyak dari makanan ringan sampai berat …"
Adit Akek,5,6 bulan lalu,"Pantai yang selalu ramai meskipun hari biasa apalagi di jam sore. Termasuk nyaman, area parkir luas, cuma kurangnya kesadaran pengunjung untuk buang sampah pada tempatnya."
Oktavia N,4,Diedit 6 bulan lalu,Pantainya lumayan ramah buat pengunjung. Tapi airnya ga biru (atau karna rame aja kali ya). Jujur di sini emang rame bgt karna mungkin searah sama rombongan peziarah kali ya. …
Suripto,4,6 bulan lalu,"Pantai bagus sayang perawatan terhadap kebersihan lingkungan kurang terawat perlu perawatan ekstra.
Lumayan untuk rekreasi keluarga.
Tersedia jet ski dan pelampung. Ombak kecil"
Muji Ana,3,6 bulan lalu,"Pantainya kotor keruh
Pengaturan tmpat parkir yg kurang pas
Krn hrs melewati pedagang jd gk bs simpangan antara yg masuk & keluar
Trus tiket buat 9 org 90 rb cuman dikasih 2 gelang + 2 stiker"
Romi Sugio,5,6 bulan lalu,murah meriah
Suganjar Asrori,5,7 bulan lalu,"Pantainya pendek tapi bagus, harga tiket masuk terjangkau."
Rio Effendi,5,7 bulan lalu,Klo kesini jangan weekend biar sepi
Dinda Putri,5,7 bulan lalu,"Pantainya lumayan bersih, view nya bagus. Banyak toilet dan kamar mandi juga bersih. Yg jual makanan dan minuman juga banyak, untuk harga standart nya di tempat wisata yaaaaa. HTM 10.000 ."
Oktavia Mutiarini,3,7 bulan lalu,Lumayan murah lah ...
Joz Kutik,4,7 bulan lalu,"Pantainya rame
Bisa sewa ban main sampe tengah laut 😁 …"
Chintia Hidayanti,4,7 bulan lalu,"Lumayan kalo mau cari² suasana pantai sekitar gresik..
Walaupun airnya sering kotor.."
Sang Petualang,5,7 bulan lalu,"Pantainya lumayan bersih, harga tiketnya terjangkau, parkir mudah. Mantap dan rekomended liburan disini."
Abimanyu Kenzie (Ayunnanda),5,8 bulan lalu,"Udah lama banget GK kesini tau2 udah bagus aja,harga makanan dan minuman terjangkau.sangat kids friendly"
Christina Solideo Gultom,4,8 bulan lalu,Lumayan lah buat nge pantai terdekat aja.
Ibad Penceng,5,8 bulan lalu,Pantai ter baik di lamongan
hartanto eka,4,8 bulan lalu,"Pantai di Indonesia sebenarnya bagus bagus tapi tidak dikelola dengan baik, dan pengunjung juga tidak menjaga kebersihan waktu berkunjung. Karena tidak ada sangsi tegas untuk menjaga kebersihan di tempat wisata.
Alasan petugas kurangnya petugas pengawasan"
Tri Kuswardhani,5,8 bulan lalu,"Enaknya kesini pas hari biasa, supaya mobil bisa masuk sampe dalam
Sekarang lebih bersih sih menurut aku pantai ini
Harga makanan dls terjangkau"
ISWANTO KCS220,5,8 bulan lalu,"Pantainya indah
Cocok buat liburan dan bermain buat sikecil.
Lebih indah dan nyaman lagi bila Pantainya bersih Batu - batu Karang"
zainal arifin,5,8 bulan lalu,lumayan lah
moh choirun nasichin,5,8 bulan lalu,Sejuk dari Surabaya tidak perlu jauh2 ke malang dalegan jd solusi
Fani Adelia,5,8 bulan lalu,"Nilai 99 untuk keseluruhan,minus minim wahana 🙏🏻
Nilai plus untuk bermain anak balita,bisa di bawah pohon atau sambil panas2an di dekat air laut. …"
Short Kocak,5,8 bulan lalu,"Yuk, healing tipis-tipis ke Pantai Dalegan! Pasirnya putih, anginnya sejuk, vibes-nya cocok banget buat ngilangin penat. Bawa temen, gebetan, atau keluarga juga asik banget! Jangan lupa bawa kamera, sunset di sana gak ngotak, bro! …"
Denni Imanuel Prihantono P,5,Diedit 9 bulan lalu,Siip
Jocko Suwarno,5,9 bulan lalu,Good scenery
Nanie Wardani,4,Diedit 9 bulan lalu,"Tempatnya lumayanlah untuk helling , sayang sampahnya berserakan. Kurang petugas kebersihannya."
ainurahmaa,4,9 bulan lalu,"8 April 2025

Pantainya bagus, adem, kerangnya banyak banget. Sayang banyak sampah, banyak kayu dipesisirnya, sampah pampers anak, plastik, sampe softex."
joe Vian,4,9 bulan lalu,"Pantai yang seru untuk di kunjungi tapi harus tetap hati hati ya dimanapun kita berada.
wassalamualaikum"
ariyadi asahan,2,9 bulan lalu,Apa yang membuat menarik pantai ini hampir tidak ada selain kecil kebersihan juga sangat tidak terjaga. Sampah berserakan dimana2. Harusnya ada petugas yang rutin membersihkan. Agar pengunjung lebih  nyaman
Ayuu Tries,5,9 bulan lalu,Pantainya bagus kalo pas sepi😁 …
zdn. ua,5,10 bulan lalu,Bananaboats nya oke seru dan harganya sangat jauh murah sama pantai lain cuman 30 rebuan 1 orang
ifalus sholicha,4,Diedit 10 bulan lalu,"Waktu kesana tempatnya ramai banget, jadi tidak leluasa mau berenang."
