name,rating,date,text
Harisuddin,5,Diedit 5 bulan lalu,Indah
Aprilia izzatunnisa,5,6 bulan lalu,Itu rumah nenek saya sapiyeh dan kakek saya Lumrih kemarin habis pulang liburan sekolah
Syueb Jakfar,5,8 bulan lalu,Cafein afalah tempat ngopi dengan suasana yang menrik dan nyaman
Mohamad Hidir Abdul Aziz,5,8 bulan lalu,"Beautiful island with much more to be explored, land of my forefathers. Will be there again, soon"
Game 8bit,1,8 bulan lalu,Warganya strees
Iskandar “Iskandar” Z,5,Diedit 11 bulan lalu,pulau yang sangat indah
M. Adam R,4,11 bulan lalu,Pulau bawean mantap
Abdilla Alfito,5,11 bulan lalu,Belum pernah kesana sih tapi keliatannya adem ayem disana dan sepertinya bagus alamnya jadi pengen kesana😊 …
Ippank Dcc,5,setahun lalu,MasyaAllah pulau yang indah
sopian syah,5,setahun lalu,Orangnya Rama rama baik baik masya allah luar biasa Bawean
chamim93 1917,5,setahun lalu,"Sebuah pulau yg hanya ada 2 kec
Pulau elok subur pula Masuk kab Gresik
Layak dibuat refreshing"
tyas khafi,5,setahun lalu,sangat bagussss....
Abdul Halid,5,setahun lalu,Pulau indah aman Damai
Kv'S Kv'S,4,setahun lalu,"Ada yang busa bantu jawab?
Rute kesana naik motor dari Surabaya naik lewat mana?
Kapalnya apa setiap hari ada jadwal?
Naik bersama motor tiket kapalnya berapa?"
Muhammad Fajar,5,setahun lalu,"Saya berkunjung ke pulau ini tanggal 02-03 Agustus 2023
Terletak di sebelah Utara Kab. Gresik sekitar 96 mil laut
Pulau cantik bisa dikeliling kurang dari 1,5 jam …"
Anisa Mayunda,5,setahun lalu,Eksotis
BAWEANIS,5,Diedit setahun lalu,"Stunning greenish island, BAWEAN ISLE

Bawean Island well known as Bhebien is taken from the Sanskrit word meaning …"
Muhammad Musa Maricar Maricar,5,setahun lalu,"Baweean pendudukannya tenang damai dan bersahabat, pulaunya indah"
Mamah Kiky,5,setahun lalu,Indah nan permai zob
dian23 harry,5,setahun lalu,bagus sekali alamnya
Ana Dias,5,setahun lalu,Wisatanya bgus bgus banget
Genter Tandemand,4,setahun lalu,Pemandangan Nya Indah Suasana Alami
yus mita,5,setahun lalu,Aset Gresik
ALFIAN,4,2 tahun lalu,Lanjut ke Pulao Noko tambah bagus
ARIS Mustopa,4,2 tahun lalu,Top
Nadya Kph,2,2 tahun lalu,Pulau Bawean terkenal marmer batu.onix saya lamanerja di batu onix di pulau bawean
Melvrin Sangkilang,5,2 tahun lalu,𝑷𝒆𝒍𝒂𝒖𝒕 …
Ajiyono Yono,5,2 tahun lalu,Bagus
michael thierry,5,2 tahun lalu,"Best Beauty Island, Somewhere My Dad Belong"
dirman fauzi,5,2 tahun lalu,Satu satunya pulau icon Jawa Timur yg enak untuk dikunjungi dg berbagai tempat wisata laut dan pantai dg aneka ragam jenis terumbu karang yg masih perawan dengan kejernihan air lautnya hingga dapat menikmati dan melihat berbagai jenis ikan …
Beni Arjo,5,2 tahun lalu,Pulau bawean yg bagus. Pengalaman tinggal disana sangat menyenangkan. Warganya sangat ramah sama pendatang. Terdapat pulau gili n giliNoko yg sangat bagus. Patut untuk di jadikan tempat wisata
M. Nur Iskandar Fajri,5,2 tahun lalu,Pulau yang sangat dirindukan
Agiel Ariel,5,2 tahun lalu,Bautifull
Roemah Djampee,5,2 tahun lalu,Pulau eksotik yg belum banyak di explore
Tekanis Vera,5,2 tahun lalu,Pulau yang sangat indah dan menakjubkan
zainul arifin,5,2 tahun lalu,Pulau kecil yang sangat indah dan banyak tempat wisata yang belum banyak di kunjungi wisatawan
Jamali Gili,5,2 tahun lalu,Dermaga itu dekat dengan rumah saya .
