name,rating,date,text
Nisa Ninis,3,seminggu lalu,Banyak pengemis di sepanjang jalan. Lokasi makam bersih. Kurang kipas jdi agak pengap
farrij abdillah,5,sebulan lalu,Dari ngipik #memohon berkah dari sunnah 🤲 …
putri kharisma dwi cahyunia,5,sebulan lalu,"Tempat ziarah, sudah sering kesini sejak kecil sekarang udah direnov lebih bagus lagi.. semoga tempatnya terus terawat"
Wijanarko Muflich,5,sebulan lalu,"Kompleks Makam Sunan Giri, yang berlokasi di atas sebuah bukit di daerah Kebomas, Gresik, merupakan salah satu destinasi wisata religi yang paling penting dan ramai dikunjungi di Jawa Timur. Sebagai makam dari salah satu anggota Walisongo, …"
Wishnu E. W.,5,Diedit sebulan lalu,"Makam Sunan Giri terletak di dalam cungkup bangunan tersendiri.

Karena merupakan makam wali Allah dan merupakan salah satu Wali Songo, makam Sunan Giri ini pada hari-hari biasa cukup ramai dikunjung peziarah."
Tri Wiyati,3,2 bulan lalu,"Lumayan bersih kecuali hari² tertentu.banyak pedagang yg tdk menjaga kebersihan seputar makam dan terkesan ""arogan"" dg pengunjung"
Candra Prasetyo,5,2 bulan lalu,"Kepada suku Majapahit..... Saya ucapkan assalamualaikum warahmatullahi wabarakatuh, semoga Allah memberkahi kalian.... Kami mohon syafaat Nabi Muhammad SAW dan para leluhur kami.... semoga Allah memberikan kesehatan lahir dan batin kepada kami.... kami mohon kebersamaan kalian di akhirat nanti"
fah iffah,5,2 bulan lalu,"Salhsatu Wisata religi di Gresik. Lokasi diatas bukit, naik tangga. Bisa juga naik ojek menuju puncaknya.
Parkiran bis cukup jauh, bisa jalan kaki, naik ojek 15k 2 orang atau dokar …"
Dapur Ayu,5,3 bulan lalu,MasyaAllah
Efan Adian,5,3 bulan lalu,"Seru klo mlm 25 bln puasa dsini, sebelum kt lanjut kemakam ya...."
Raffa,5,3 bulan lalu,Tambah taun makam nya makin terawat dan bagus.sekarang kalau.jiarah gak kepanasan alhamdulillah
Rachmat Noor,5,3 bulan lalu,"Alhamdulillah dari Tangerang bisa silaturrahmi & berziarah kesini
#Barakallah"
Hendro Wahyono,5,3 bulan lalu,Bintang 5 karena dia eyang aku ini asli bukan hoax aku kertas yang gambarin garis sunan Giri sampai kakek uyut aku
