name,rating,date,text
Ayuu main yuk,5,sebulan lalu,"- Tiket masuk gratis
- Harga Parkir (kurang tahu karena naik gocar)
- Banyak orang jualan di depan masjid …"
jait bae jeh,5,sebulan lalu,"Pengalaman kami waktu itu beserta rombongan,setelah dari makom sunan giri dari terminal bus,menuju makom sunan gresik dengan mengonakan transfortasi lokal angkot mini bus,dari turun angkot ngga begitu jauh dilanjutkan dengan jalan kaki ,ada pedagang sufenir,oleh oleh,makanan,menuju makom"
Bintang Nirtara,4,8 bulan lalu,"Kompleks makamnya tidak sebesar Sunan Drajat, denahnya pun agak membingungkan karena seolah² ada dua pintu masuk yang ternyata pintu masuk pasar. Harga parkir hanya 3000 rupiah untuk motor. Disitu terdapat masjid, pasar, sumur yang dapat …"
Muhammad taufik Taufik,5,3 bulan lalu,Alhamdulillah...atas rahmad dan hidayah_MU Engkau masih memberikan kesempatan saya untuk berkunjuk dan berziaroh di malam MAULANA MALIK IBRAHIM(GRESIK) malam jum'at pon kemarin...Dengan suasa tidak terlalu ramai dari hari biasanya.
KENDIL IRENG,4,5 bulan lalu,"Salah satu makam wali songo, dengan batu nisan corak timur tengah yang bisa langsg kita lihat secara dekat,parkir motor dan mobil luas"
Alif Faishal Farras,5,4 bulan lalu,Situs wisata religi yang harus dikunjungi. Lokasi dan informasi mudah didapatkan. Tempat luas dan nyaman utk ziarah
Sabila Putri Ramadhani,5,4 bulan lalu,"tempat bersih dan terawat, akses sholat sangat mudah dan ramai"
Azizah 3003,5,4 bulan lalu,"Pertama kali kesini ketika ikut kajian ustadzah halimah alaydrus..tempatnya di tengah kota,akses mudah"
Naura Kamalia,5,9 bulan lalu,"Makam Sunan Maulana Malik Ibrahim (Sunan gresik). Wali pertama dari sembilan wali (walisongo) penyebar agama Islam di pulau jawa.  Menuju ke makam ini sangat mudah, cukup ikutin google maps aja, lokasi tepat di jantung kota Gresik. Untuk …"
Lina kris79,5,9 bulan lalu,"Lumayan bersih,,nyaman,, kondusif _ cm lokasi ny muepett pett bingits ya ?? Sm jalan sama makampahlawan,,emg pemkot gresik ga da wacana gitu buat memperluas area/ apalah gitu"
welvin bal,5,6 bulan lalu,"Sangad ramai, yaa seperti tempat wisata religi pada umumnya"
Kana Wulantari crystal X lamongan,5,6 bulan lalu,"Tempatnya bersih dan sejuk banget . Buat istrht sangat cukup . Lokasi dekat alun"" juga jdi bisa mampir ke tempat wisata"
Moh Nasir Jazuli,5,8 bulan lalu,"Merupakan tempat Bagi Pecinta Wisata Religi Sunan Gresik (Syech Maulana Malik Ibrahim) di Makbaroh ada 3 Kijing yaitu yang paling Timur Makbaroh Kanjeng Sunan Gresik, yang tengah Sayyidah Siti Fatimah dan yang Barat Syech Maulana Maghfur. …"
vita nata,5,sebulan lalu,"Ziarah pas Dzuhur, bisa langsung shalat di masjid area makam yang bersih & rapi. Fasilitas toilet oke. Parkir motor/mobil lumayan mahal (±10rb) karena area religi, tapi nggak ada antrean jadi nyaman."
Rohayati Yati,5,2 bulan lalu,Walisongo yg berasal dari daerah gresik jawatimur penyebar agama islam yg termashur
Surya Purnama Adjie,5,9 bulan lalu,"28 Februari 2025

Assalamu'alaikum. …"
Dwi Wahyuni,5,sebulan lalu,Karna deket bgd sama rumah jadi ajakin anak2 plng ngaji ziarah ke sini
Rizki HE Satria,5,2 bulan lalu,Masya Allah. Semoga Allah mengizinkan mengunjungi tempat ini lagi. Aamiin
Dina,5,11 bulan lalu,"Makam Syekh Maulana Malik Ibrahim (Sunan Gresik) berada di lokasi yang mudah dijangkau oleh kendaraan pribadi maupun umum, untuk parkir motor ada di lahan seberang makam tsb sedangkan untuk angkutan umum/minibus bisa didepan aula. Disebelah Makam Sunan Gresik ada makam Kyai Tumenggung Poesponegoro (Bupati Gresik)."
Pratams Ykc,5,6 bulan lalu,"Akses ke lokasi harus beli tiket minibus 10k PP,, kalo jalan kaki bisa tp lumayan jauh😭 …"
Tim Nusantara,5,sebulan lalu,Ramai lancar walau ramai pengunjung peziarah dari luar kota
ahmad hid,5,sebulan lalu,Keluarga Besar GPAI Kec. Jombang Kab Jember dalam acara Tasyakuran lulus PPG dan PPPK PW
galih akademik,5,setahun lalu,"Makam Sunan Gresik atau Maulana Malik Ibrahim, salah satu Walisongo yang tertua, berada di dekat Alun Alun Gresik. Dari Surabaya sekitar 40 menit. Nisan khas disini dari marmer. Makam tidak berdinding hampir sama seperti Sunan Ampel, bersih …"
Muhammad Busroni,5,setahun lalu,"Wisata Religi Makam Maulana Malik Ibrahim (Sunan Gresik)
Salah satu Wali Songo yang berperan dalam dakwah penyebaran agama Islam di Pulau Jawa …"
Nizar Ali,5,sebulan lalu,Waktu pertama menginap di sebuah hotel di jogjakarta lumayan pusing karena kebetulan pas hujan. Tapi melalui app ini bisa nyari warung terdekat untuk sekedar minum kopi dan mencari makanan hangat.
Faizal Faiz,5,11 bulan lalu,"Tempatnya deket banget dengan pusat kota Gresik, parkiran Mobil dan Motor sangat dekat dengan kompleks Makam, sangat mudah dijangkau. Kesini pas Magrib sekalian sholat di  sebelah selatan Makam."
Alief Athoillah,5,2 tahun lalu,"Berada di pusat kota gresik, bagian dari wisata religi yg cocok untuk mencari ketenangan, datang kesini diniatkan meminta kepada Allah melalui wasilah kepada kanjeng sunan maulana malik Ibrahim. Area maqbaroh nya juga luas, jadi aman kalau …"
Reza Rizqi Fauzi,5,8 bulan lalu,"Makam Sunan Maulana Malik Ibrahim adalah salah satu situs ziarah penting di Gresik, yang menyimpan nilai sejarah dan spiritual tinggi. Suasananya sangat tenang dan cocok untuk berdoa serta refleksi diri. Area makam cukup bersih dan tertata, …"
Andi Kusnadi,5,setahun lalu,Pengajian Malem Jumat Majelis Kanzul Hikam rombongan dari Kp Kober Kembangan Selatan Jakarta Barat wisata religi Jawa Tengah Jawa Timur dan Madura. Alhamdulillah sudah ziarah ke Makam Sunan Gresik (Maulana Malik Ibrahim)
Nazilatus Sa'idah,5,8 bulan lalu,"Pengalaman saya berkunjung di Makam Sunan Gresik, alhamdulillah sangat memuaskan. Tersedia lahan parkir yang cukup luas, lingkungan makan bersih rajin, tempat wudhu lantainya juga bersih."
Me,5,6 bulan lalu,"Salah satu makam wali songo yg ada di Gresik Jawa timur
Dan kalo kesini jangan lupa ziaroh juga ke makam habib abu bakar yg ada disebelah masjid jam', hanya berjarak kurang lebih 600m dari makam Maulana Malik Ibrahim"
Anhar Mustafid,5,setahun lalu,"Tempat makam sunan maulana malik ibrahim, tidak jauh dari alun2 gresik. Untuk kendaraan pribadi bisa parkir dekat dengan masjid atau makam sunan gresik, tetapi kali bus parkir jauh. Disekitar makam terdapat penjual jajanan riangan, seperti pentol, es dll. Untuk mobil parkir 10rb."
Fakhrul Anam,5,3 minggu lalu,"Akses mudah. Parkir standar, lokasi parkir banyak."
rahmat mulyadi,5,setahun lalu,"Syeikh Maulana Malik Ibrahim dianggap termasuk salah seorang yang pertama-tama menyebarkan agama Islam di tanah Jawa, dan merupakan wali senior di antara para Walisongo lainnya. Beberapa versi babad menyatakan bahwa kedatangannya disertai …"
Muhammad Farid,5,sebulan lalu,"makam waliyullah pertama sebelum Walisongo, tempatnya bagus,adem, dan ada free wifi dari pemerintah Gresik, ada penginapannya juga bagi yg mau bermalam."
gaguk arena wijaya,5,5 bulan lalu,"Datang saat pagi, jadi lumayan tenang dan sepi"
Imroatush Sholihah,4,3 tahun lalu,"Makam Sunan Gresik (Maulana Malik Ibrahim) penyebar islam tertua terletak tepat di pusat kota gresik sangat dekat dengan alun2, makam bersih luas , disarankan bawa mukenah sendiri supaya lebih nyaman kalau mau sholat,  tempat parkir …"
Rain Ran,5,3 tahun lalu,Tempatnya parkiran cukup luas. Saat ziarah pada siang hari terasa sangat panas karena kurangnya tumbuhan di sepanjang jalan. Tapi tadi siang (2 Juli 2022) Jalannya sudah mulai diperbaiki dan di perbagus. Suasana di tempat ziarah saat hari kerja lumayan ramai. Disini juga ada tempat untuk foto.
Septya Slamet,5,2 tahun lalu,"Makam Sunan Gresik.
Lokasinya sangat mudah dijangkau.
Tempatnya luas. Bersih. Nyaman. …"
marcha,4,2 tahun lalu,"Akses antara parkir motor dan malam cukup dekat dan tertib, kebetulan saat tidak banyak pengunjung, jd lebih nyaman saat ziarah"
Rslna_,5,4 bulan lalu,"Wali tertua di Jawa Timur, Sunan Maulana Malik Ibrahim. Untuk tempatnya sendiri bersih dan nyaman, tempatnya juga luas jadi ga perlu berdesak-desakan di hari biasa, kecuali di hari libur nasional yang emang bener2 banyak peziarah dari berbagai daerah jadi agak sesak kalo mau ke makam"
bambang ekalaya,5,setahun lalu,"Makam salah satu Walisongo yang tertua.
Lokasi di dekat alun-alun, atau bersebelahan dg makam Pusponegoro, bupati Gresik pertama."
Hera Dyah Fatmawati,5,setahun lalu,"Tempatnya bagus, bersih, ngga terlalu banyak pedagang. Diarea makam Sunan Gresik juga ada beberapa makam orang penting lainnnya, seperti maulana ishaq, makam bupati pertama gresik, dll. …"
Dian Heri,5,setahun lalu,"Bismillah, semoga dapat berkahnya. Lokasi makam sangat dekat dengan jalan, sehingga memudahkan peziarah terutama yang sudah sepuh untuk ziarah …"
ChoY Yaqin,5,2 tahun lalu,"Belajar sejarah Wali Songo, salah satunya berkunjung ziarah ke makam sunan maulana malik ibrahim. Parkiran cukup, motor 5rb dan mobil 10rb."
I'm Co,5,2 tahun lalu,"Saya suka tempat seperti ini, tempat ramai dikunjungi banyak orang untuk Ziarah tapi nyaman tertib, tidak ada istilah pungli atau gepeng, bersih terawat , jadi lebih tenang"
putri kharisma dwi cahyunia,4,sebulan lalu,"Masih banyak orang yang berkunjung, bersih tempatnya.. tapi sayang kamar mandi tidak terawat.. pas kesana kamar mandinya bau pesing.."
hadi ruslani,5,2 bulan lalu,Wisata religi...bikin hati jadi sesjuk
Charif interisti,5,11 bulan lalu,"Makam Sunan Maulana Malik Ibrahim yg  salah satu wali songo yang lokasinya dekat dengan alun² Gresik. Lokasi parkir kendaraan R2 tepat di dpn area makam
Untuk R4 terbatas di sepanjang jalan."
Channel Inspirasi Bersama,5,setahun lalu,"Ke sana malam hari pas bulan puasa
Mobil ada tempat parkir yang cukup luas depan makam pas
Makam cukup ramai peziarah …"
Rachmat Noor,5,3 bulan lalu,Alhamduliĺlah ...jauh² dari tangerang bisa datang silatilurrahmi & berziarah kesini
Moh Aminulloh,5,5 tahun lalu,"Salah satu makam dr wali 9 yang ada di kota Gresik. Tempatnya luas dan bersih, sangat cukup untuk banyak rombongan. Kendalanya mungkin untuk kamar mandi bisa diperluas juga, soalnya dengan pentakziah yang semakin hari semakin banyak akan …"
Mufti Kusuma Adi,5,3 tahun lalu,"Selalu ramai peziarah, bisa parkir langsung di depan aula, lingkungan makam sangat ramai, banyak warung yang penuh pengunjung, buka terus 24 jam, hanya saja menurut saya pengelolaan kurang baik, karena setelah hujan lantai sekitar makam …"
Athaya Dieu,5,2 tahun lalu,"Fasilitasnya lengkap,ada tempat istirahat dan kamar mandi.suasananya tenang karena saya ziarah pada malam hari"
rUdi_est 99,5,3 tahun lalu,"alhamdulilah bisa ziarah kesini ..lokasi dekat pantai .. parkir luas .. ke tempat makam sunan gresik harus naik angkot lagi sekitar 5 menit .
tempatnya nyaman adem bersih. .
semoga berkah berkah .."
Putri nailul Muna,5,6 bulan lalu,Tempatnya sedikit kotor untuk Alun-alun Gresik kurang luas. Tidak seperti Alun-alun pada umumnya hehe :)
Sefila Osie Arzani,5,2 minggu lalu,"Alhamdulillah, sampai juga di makam Sunan Gresik. Lokasi mudah dijangkau."
Anis Mu'awanah,4,setahun lalu,"Makam sunan gresik maulana malik ibrahim merupakan lokasi makam sunan gresik yang berada di kota gresik. Lahan parkir bagi motor, mobil dan elf luas dengan tempat makam, musholla serta toilet yang bersih dan nyaman bagi peziarah untuk mengunjungi lokasi makam ini."
uviex chan (Uviex),5,7 bulan lalu,"bagi yang bawa kendaraan pribadi, bisa banget parkir di area depan makam, lansia friendly...soalnya bisa langsung turun passss depan pintu masuk"
H Muhammad Lutfi Albanjari,5,2 tahun lalu,temapt pemakamanan yg tenang. bersih dan nyaman... baru perdana ke sini. yg menjaga ramah... mungkin karena sore agak mau magrib jadi sejuk pas duduk di pendoponya
Shafrida Miliani,5,7 bulan lalu,Alhamdulillah bisa ke sini lagi..mudhn terkabulkan hajat baik kami sekeluarga berkah karomah beliau 🤲🤲 …
