name,rating,date,text
Khikma Faizah,5,Diedit 1 hari lalu,"Perlu trekking santai dari parkiran Rimba Camp sekitar 1.5 jam, medan landai. Titik lokasi terawat dan bersih, ada taman mini, musolla, dan warung. Worth it bangett dateng dari jauh, apalagi pelanginya hampir setiap hari muncul"
Kayla Farahdiba,4,sebulan lalu,"bagus sih tapi kayaknya ad yg salah sm tiketnya. masa weekday kenanya di 7.500? harusnya 5.000
tp overall bagus sih, bersih juga. yg mau kesini harus siapin amunisi dlu ya, karena jalannya jauh dan makadam sama agak sedikit nanjak. tp seru bangetttt"
siti zahrotus,5,sebulan lalu,bagus bangettt
Muhammad Ikhwan Nur R.,5,2 bulan lalu,"Suasananya masih sangat alami, udara sejuk, dan pemandangan air terjunnya luar biasa indah. Perjalanan menuju lokasi cukup menantang tapi sepadan dengan keindahan yang menunggu di sana. Suara gemericik air dan hijaunya pepohonan bikin hati …"
EGEST UNTSA SALSABIILA,5,2 bulan lalu,"Wisata ini bisa dikatakan underrated... keliatannya biasa aja awalnya tapi pas udah nyampe langsung. Benar-benar memberikan pengalaman yang seru, memorable, dan menantang. Air terjunnya tinggi dan indah, ga nyangka jember juga punya tempat …"
doels gembelz,5,3 bulan lalu,"Tempat yang sangat asri, pohon Kopi,karet dan cemara masih banyak dijumpai."
Mansyur Setiawan,5,4 bulan lalu,"Bagi yang jarang mendaki memang ini merupakan objek wisata yang perlu tenaga untuk mencapai kesana, tidak ada jalur sepeda motor untuk mencapai ke air terjun, harus parkir di sekitaran Perhutani. Air terjun yang indah dan pemandangan yang …"
Siu Lie Lie,5,4 bulan lalu,"Track nya lumayan landai kok.. melewati kebun kopi.
Waterfall nya biutipul. Ada warungnya dan ada toilet."
erina sudrajad,5,5 bulan lalu,Salah satu tempat wisata yang masih dengan trek nanjak-bonus
sate kuyang,4,5 bulan lalu,"jauh banget ege pp 4 jam,ngoss² an,jangan lupa bawa air dan bekal kawan²"
teguh zhafran wydo,5,6 bulan lalu,Air Terjun Tancak di daerah suci panti kabupaten Jember
Erina Sudrajad,5,6 bulan lalu,"Beneran simulasi mendaki gunung wkw
Dari rimba camp ke air terjun sekitar 1,5-2 jam, tergantung kondisi fisik jugaa. Jalur makadam, apalagi abis ujan licin wkwk"
Budi Raharjo,5,6 bulan lalu,"jember pada umumnya wisata alamnya luar biasa,hanya pengelolaannya yg sangat kurang.
untuk tancak sendiri,orang2 yg mengelola spt parkir dan karcis sudah baik,tidak menekan pengunjung.ramah juga memberikan informasi yg baik."
kinder joiii,5,6 bulan lalu,"masyaallah indah sekali
cukup menguras tenaga bagi kaum rebahan tapi keren sihh 👍🏻👍🏻👍🏻👍🏻 …"
Diah YunitaW,5,7 bulan lalu,8 tahun lalu pernah kesini dan Minggu lalu baru balik ke sini lagi. Masih Sama indah cuman batuannya skrng dah berubah.
Keluarga Kahuripan,3,8 bulan lalu,"Bagus tapi minim pengelolaannya..
Semoga pihak Pemkab Jember lebih peduli ..!!"
bintang prasetya,5,8 bulan lalu,"Indah bangeet, kalian kalo mau naik better jam 06.00/ 07.00 udah naik biar ngga kesiangan. Alam nya masih asri banget, keren banget lah Hiddengem nya jember satu ini"
Chara Buinei,4,8 bulan lalu,"Kalau mau ke sini, siap' jalan kaki +- 2½ jam klo banyak istirahat. Tapi capeknya terbayar dengan air terjunnya dan keseruannya. Lebih seru lagi klo rame' soalnya kayak simulasi mendaki gunung hehe :)"
inayatul karimah,5,9 bulan lalu,"Bagus untuk pendakian lebih enak pagi,jalan kaki 1,9 KM aku tempuh dari jam 08.18-10.14
Start mendaki dari lokasi camping karena parkir sepeda motor dan mobil di situ. …"
nanang hadi putro,5,9 bulan lalu,"Seru, alam begitu indah, tinggal pasang akses jalan"
Amier Nadia,5,11 bulan lalu,"rute lumayan buat kardio..
pemandangan luar biasaa...😁 …"
Alansyah Albar,1,setahun lalu,"Buruk aksesnya hancurr jalan batu bukan makadam lagi tapi ini batu! Lobang lumpur batu dan licin. Kalau naik motor siap2 balik kanan deh, saya mau nyampe tapi dah nyerah mending balik. Mungkin spotnya memang bagus tapi kalau mau kesana naik motor pikir2 lagi atau jalan kaki kalau kuat jalan sekitar 3 km. Mobil gabisa masuk"
Niss Nissha,4,setahun lalu,keren lol
nabilla silviani,5,setahun lalu,"Kalau parkir dibawah aja soalnya jalannya makadam. Dari parkiran jalan 1 jam baru sampe loket. Yang suka tracking boleh banget, tracking dari parkiran ke air terjunnya 1,5 jam. Kalau misal PP jalan 3 jam. Weekday kesini pagi pagi gaada yang …"
Khozin PMII Komisariat UNEJ,5,setahun lalu,Bagus banget rekomendasi buat yang pengen ke tempat tenang tapi turunnya minimal jam 16.30 karena pasti gelap di jalan
Siti Anisyah,5,setahun lalu,treknya lumayan menguras tenaga apalagi yg ga pernah olahraga 🗿 …
Agusta HEP,4,setahun lalu,I don't need much effort as the location was not too high. We only walked for around 12 km return to reach it
TAUFIQUR RAHMAN,5,setahun lalu,Tempat yang dingin dan tenang
