name,rating,date,text
Cecep Syam,5,15 jam lalu,"Alhamdulillah, perdana ke Puslit kakao dan kopi , diajak pa yodi walsantor Jember"
Lisa Whitaker,2,1 hari lalu,"Found this place on Google maps, though it sounded interesting. I went to the cafe first for a coffee (which was very good), and pasta carbonara. …"
febri ana,5,seminggu lalu,"tempat edukasi kopi dan kakau, mulai dari persiapan benih, pembibitan, perawatan tanaman dan panen"
subur santosa,4,3 minggu lalu,"Sebenarnya bagus tempat ini tapi sayang kurang terawat, untuk gerai kopi dan coklat sebaiknya diperluas,kopi di sini lumayan enak.. untuk coklat se aku memang gak begitu suka..tapi kalau coba ke sini bolehlah...👍 …"
Akhmad Farisy,5,3 minggu lalu,"Tempat edu wisata murah meriah untuk keluarga. Dengan 10rb per orang bs berkeliling di kebun coklat dan kopi dengan kereta keliling. Di tengah kebun bisa memberi makan rusa, dan membeli gorengan hangat beserta kopi untuk bersantai. Kita …"
Andre Abednego,5,sebulan lalu,Domestic Products 👍👍👍 …
Yuni Prastika,5,sebulan lalu,"Anak berlibur bersama teman-teman dan gurunya. Melihat proses pembuatan coklat dan melihat pohon coklat di pabriknya langsung. Ada taman bermain, kolam renang, dan rusa yg bisa diberi makan oleh anak-anak."
Malikmensa,5,Diedit sebulan lalu,Asri Sejuk menyenangkan dan menenangkan
Xewin Xewin,5,2 bulan lalu,"Kopi dan coklatnya enak.
Atmosphere nya mendukung
Ada pelatihannya juga... …"
Abid Yanuar Badharudin,5,2 bulan lalu,"Kebun kopi dan coklat, untuk kebutuhan bibit Nusantara, wilayahnya di dalam Pusat Penelitian Kopi dan Kakao Indonesia. …"
nur aini,4,2 bulan lalu,"Tempatnya asri banget. Krn ini tempat wisata lbh baik jika keramahan, salam sapa dari team yg di kantin, resto lbh ditingatkan .
Keramahan team di sana akan menambah rasa nyaman pengunjung"
Rochyan Firmansyah,5,3 bulan lalu,Alhamdulillah tugas negara mjd tim ambulan pengawalan rider legend
Triyoga Setyawan,5,3 bulan lalu,Pusat edukasi kopi dan kakao juga visa beli produknya josss
