name,rating,date,text
Agus Sudharnoko,5,Diedit 9 jam lalu,"Pantai di daerah Jember, yang sangat bagus untuk kegiatan fotografi. Pemotretan Sunrise, sunset, maupun kegiatan masyarakat disekitar. Kita bisa camping maupun menyewa hotel yang ada disekitar pantai"
Rahayu Sulistyowati,5,21 jam lalu,"Tidak terlalu ramai, hanya saja kebersihan kurang terjaga. Selebihnya nyaman untuk healing"
Lisa Whitaker,4,1 hari lalu,"As a tourist, you pay 44k IDR just to get to the beach. While it is absolutely stunning, there is a lot of litter on the beach. Is the entrance fee not there to maintain the place and keep it clean? …"
Desi Indah sari,5,5 hari lalu,"Pemandangan yg masih alami, warna pasir putihnya jernih ditambah dengan karang karang masih terjaga. Kalo kesini jangan lupa cobain rujak buahnya juga asli mantulll😋 …"
Della Rahma Rosita,5,seminggu lalu,Ksini krn cuma rindu makan ikan bakar & lobsternya 😂 Enak smbari nnton pmandangan pantai. Tiket msuk per orang kalo motoran 25rb. Udh gak ad pungli lagi. Kcuali ke kamar mandi atau nitip barang di dlm area pantai. Ksini pas siang2 krn klo sore takut hujan. …
Anita K,5,seminggu lalu,"Cantik, tp ombaknya besar . Jajan dipinggir pantai papuma..  Cumi 1 porsi , udang 2 porsi , esjeruk 1 ,popice 1 , nasi 1 bakul(30k) , smua total 289.000"
Ryan Mayer,5,seminggu lalu,Hidden gem in Southern east Java. Visited it once and i presume that you Will loved it very early.
Adi Prasetyo,5,2 minggu lalu,"Salah satu rekomendasi pantai di di jawa timur tepatnya di jember, ada surga tersembunyi yang dlu harga tiketnya mahal 2 orang 1motor bisa sampai 80k tapi sejak awal tahun 2026 ini cuma 12.500 per orang dan untuk parkir cuma 5 ribu. Dijamin …"
Green White,4,2 minggu lalu,"Pantainya itu benar-benar bagus banget, apalagi view dari atas bukitnya, kalau kamu datang berkemah dan cuacanya lagi cerah, kamu bisa melihat hamparan bintang yang indah dan sunrise di pagi harinya, sayangnya ketika saya berkunjung, cuaca …"
Bibah Jazilah,5,2 minggu lalu,pemandangan bagus
Kin Aozora,4,2 minggu lalu,"suasana sangat enak, reco.endwd banget buat yang cari tempat berlibur bersama keluarga, teman, maupun pacar"
Azahranur Yuliawati,5,2 minggu lalu,"Pemandangan yang sangat bagus, udara terasa sejuk"
Achmat Kevin,5,3 minggu lalu,Good
Karepe Wes,1,3 minggu lalu,"Jauh² dari Probolinggo, ternyata sampai sini masih tutup"
Pak Murtada,5,3 minggu lalu,Nuansa alamnya indah sekali
enik ngalista,5,3 minggu lalu,"Pantai papuma tidak diragukan lagi keindahan nyaa.. ini pertama kalinya sy bawa anak2 kesini sebelumnya pernah kesini waktu masih gadis,, hehehe.. pantai nya sangat bersih berwarna putih mungkin ini bukan pasir namun serpihan terumbu karang …"
Hati Patah,1,3 minggu lalu,Penjaga parkir di area  pantai sangat arogan  dan sombong tidak menghormati  beberapa tamu kecuali anda pekek mobil dan kaya pasti di hormati
Hendik barbershop,3,3 minggu lalu,"Pengalaman buruk ditempat ini adalah saat aku lagi darurat,,mungkin toilet disini adalah tempat langka.adapun satu toilet yg gag layak sama sekali"
Fani Febrianti,1,3 minggu lalu,percuma harga tiket turun kalo masih ada pungli nya
Putri Susanti,2,4 minggu lalu,Pantainya indah cuman disana tukang parkirnya yang bintang 2. Tiket masuk 12.500/orang 2 pantai ditambah 3.000 buat parkir di loket jadi di tarik 28.000 terus pas masuk dah jelas jelas ada tulisannya parkir gratis ehhh malah di tarik 5000 …
Defri Yudiyan,5,4 minggu lalu,Tempat bagus. Bersih. Area pantai luas. Bisa untuk camping dan acara outbound lainnya
Yoga Syahputra,1,4 minggu lalu,"Jangan kesini banyak pungli, soalnya kebanyakan warga plat M di situ mending ke banyuangi"
