name,rating,date,text
Rhendra Rhendra,3,3 minggu lalu,istirahat sambil pesan ikan bakar menikmati ombak tepi pantai watu ulo jember
Arfila Maulana,1,sebulan lalu,"Habis dari papuma, rencanaya mau langsung ke payangan lewat jalan  watu ulo, sama petugasnya diwajibkan bayar. Apakah memang jalan  aspal di watu ulo ini yang buat pengelola watu ulo?"
Septian Sangga,5,sebulan lalu,Pantai dengan pasir hitamnya
Tatiana,4,sebulan lalu,"Beautiful scenery, need better management."
RIFQY ABIYYU WICAKSONO,1,sebulan lalu,"Entrance fee: Rp.15.000
Washing your feet/Bathe: Rp.3000
Note: you can't seat unless you order food from one of the store"
Mboh Ben,5,sebulan lalu,Mantab
Indri Yaningsih,5,sebulan lalu,Bagus kl pagi
Ady Candra,3,2 bulan lalu,"bagus, sayang fasilitas minim, layanan2 publik sangat kurang"
Yosepa Hore,5,3 bulan lalu,Sangat indah dan sekaligus kenangan terindah yang tak pernah terlupakan 🌸🥰 …
Miftachul Munir,5,3 bulan lalu,Bagus untuk refresing
Amin Ahmad,5,3 bulan lalu,Pantai watu ulo
Fence AB,5,3 bulan lalu,Indah
Nurdini fahira Hamidah,4,3 bulan lalu,"Bagus sih tapi
(''BANYAK SAMPAH,MINIMAL DIBERSIHIN KEK"")"
fahmi fadillah,2,3 bulan lalu,Penjaga tidak ramah
Ram Maulana,1,3 bulan lalu,Banyak punglinya
Reza Ms,4,Diedit 4 bulan lalu,"Lumayan bagus, tempatnya mulai terawat kembali dan karena kurangnya kesadaran pengunjung pantai sehingga pantai masih sedikit kotor dengan pemandangan² sampah yang susah terurai. Tetapi yang unik ialah dengan adanya Watu (Batu) yang …"
Rani Safira,4,4 bulan lalu,bagus banget tempatnyaa
zuhairinaa,4,4 bulan lalu,tempatnyaaa lumayann untuk ber wisataaa
Kebon Alam Ecoprint Surabaya,5,4 bulan lalu,"Pemandangannya indah, tempat lumayan bersih. Akses mnuju lokasi mudah"
Ahmad Habib,5,4 bulan lalu,Pantai nyak bersih dan nyaman tapi tidak bisa untuk berenang
eron,1,4 bulan lalu,"Tiket masuk 50rb,mana bapaknya yang kacamata jutek banget"
Noerfauzan R.M.,4,5 bulan lalu,"Lumayan lah, semoga sampahnya makin sedikit"
Felita Gutana,3,6 bulan lalu,"Pasirnya hitam, viewnya ya ga sebanding sama lain""nya bagus papuma yg dket sm ini. Tp ok pas dtg sepi. Gabisa liat sunset ya disini."
Edi,5,6 bulan lalu,"Bagus, bersih dan cocok sekali untuk menenangkan hati dan pikiranmu yang semrawut itu 😁 …"
