name,rating,date,text
Kyraaa,5,2 bulan lalu,"Kalau disini bisa lihat Sunset. Harus naik bukit dulu baru bisa lihat viewnya yang sangat indah. Pantainya pasir hitam ya. maaf lupa HTMnya berapa karena udah lama baru review sekarang🤭 minusnya masih banyak sampah di atas bukit, masyarakat Jember mohon kesadarannya🙏🏻 …"
Auladani Sausan,5,Diedit 4 bulan lalu,"Perfect place for a 'back-to-nature' vibe in Jember!

I would highly recommend you have a hike here. It's beginner-friendly. …"
rima benzema,5,2 bulan lalu,"Tempatnya bersih, jalur naik tangganya juga masih bagus dan aman banget, untuk pemandangan tidak perlu diragukan lagi. Tips ketika naik, usahakan tidak membawa camilan berlebih, kalo bisa bawa camilan yang bisa masuk kantong atau jaket, …"
laila iskandar,5,3 bulan lalu,"Perlu pembangunan utk tangga naik turunnya, Teluk yg msh asri dan msh bnyak monyet2 dan disana akan dibangun dermaga"
nazla azkaj,5,3 minggu lalu,"pas kesini udah kesiangan ga dpet sunrise deh, naik jam 06.00 turun jam 08.00 wkwk 🥹❤️‍🔥 …"
ian suhendra,5,7 bulan lalu,Aksesnya sudah cukup bagus dengan jalur track yang tidak begitu sulit kalau menurutku. Untuk jalan pintas ke spot teluk lovenya bisa langsung belok ke kiri setelah tanjakan pertama. Ke arah kanan kalian bakal memutar tp bisa dapat lebih …
Fiky Ahmad,5,6 bulan lalu,view 4/5. tracking ringan. kena tarif 10rb per orang. waktu kesana emang siang jadi panasnya kerasa. minusnya cuma banyak monyet yang sering ngerebut barang2.
Mey Rz,5,5 bulan lalu,"Kesini bareng bocilku..
Pantai cantik di jember..
Kesini pagi atau sore hari lebih enk...
Kalau diluar kota selalu rindu pantai ini..."
Elisa dcp,5,Diedit 4 bulan lalu,"Tempat paling bagus di Jember menurutku, betah banget pas di spot foto view teluk love nya.. jalan bukitnya juga ada ayunan, spot foto bendera.. masuk musim hujan biasanya rumput ilalang nya menghijau.. tiket masuk 10rb parkir 5rb, tapi …"
Bias Chika,5,2 bulan lalu,"Naik nya capek, tapi kalau udah sampe puncak kebayar banget rasa capek nya"
