name,rating,date,text
arek trowulan,5,4 minggu lalu,Tempat yg hening. Pemandangan indah.. Bersih
Tri Prasetyo Suroso,5,sebulan lalu,"Bersih tempatnya, taman rumputnya hijau dan terawat"
Le Atha,5,sebulan lalu,"Wisata Sejarah yang ada di Jombang, Candinya megah, aku suka ke sini, lokasinya bersih sekali, meski berada tepat di pinggir jalan raya, suasananya tenang, menyenangkan berada di sini. Parkir motor langsung depan candinya, parkir yang rapi ya.. Please jangan buang sampah sembarangan, supaya tetap terjaga kebersihan candinya."
Abdul. Munif,5,5 bulan lalu,"Asri ,,terawat,dn bagus banget"
Evita Rinda,5,7 bulan lalu,"Seru,tempat bersih"
Syamsu Dhuha,5,setahun lalu,Bersama konten kreator siswa jombang
Lereng tambora Outdoor Store,5,setahun lalu,Candi Rimbi terletak di bareng arah wonosalam
muhammad sugandik,5,setahun lalu,Rahayu rahayu
Newgrawhawk,5,setahun lalu,"Bagus, tenang, unik.
Satu-satunya candi yang krowak seperti itu. Justru jadi eksotis"
agus suher,5,setahun lalu,"Candi yang bangunannya dari batu andesit,  pondasinya dari bata merah, masih kokoh berdiri dengan relief candi yang masih terlihat jelas, walau jalannya agak menanjak,  candi ini mudah dijangkau, karena berada di pinggir jalan raya."
Zainudin (Bang Zen),4,setahun lalu,"Candi yang sip, udaranya sejuk."
Joni Pranata,2,setahun lalu,Sepi pengunjung dan tidak terlalu mencolok meski berada di pinggir jalan
Permana Andi,5,setahun lalu,Kandang sapi sebelah candi Rimbi
Rafie Nur,5,setahun lalu,"Bagus,bersih dan indah pemandangannya"
Agus Djava,5,setahun lalu,Tempat bersejarah...
Karma dalam doa,5,setahun lalu,oke boz legah
AR arfianti,5,setahun lalu,"Tempat yang indah,bersih,dan sangat terawat"
Febri Ansyah,5,2 tahun lalu,Sangat bagus
Konsultan Pajak,5,2 tahun lalu,Pinggir jalan arah wonosalam... Tiket masuk seikhlasnya utk biaya pemeliharaan
Josephine Monica,5,2 tahun lalu,"Baguss, cuma kurang tempat berteduh, HTM free"
Alma Yusilia Ulfa,5,2 tahun lalu,"- Salah satu wisata sejarah yang bisa dikunjungi di area Jombang buat nambah pengalaman dan pengetahuan
- Area candi bersih dan kalau pagi pasti sejuk …"
Elora D,4,2 tahun lalu,OTS dengan para pelukis
Rohma Lisa,5,2 tahun lalu,"Indah, bersih"
Zahwa Kayla_ A.,4,2 tahun lalu,Bagus sih dan nyaman tempatnya 💗 tapi banyak semut.. 🥰 Pulang pulang sdh bentol2🥲 Satpamnya ramah 🙏 …
imam ganteng,5,2 tahun lalu,"Salah satu tonggak sejarah majapahit yg ada di jombang, relief banyak menceritakan tentang kondisi masyarakat dan lingkungan pada masanya. Ternyata bagus juga buat foto prewed. Ingat tetap jaga kebersihan dan kenyamanan tempat bersejarah ini yaaaa"
adi,5,2 tahun lalu,Candi yang indah
Agi waterfilter,5,2 tahun lalu,"cantik sekali candinya... bersih ,pas mau pulang pamitan sama pak penjaga bau melati.... terimakasih saya di sambut dgn baik"
Moch. Taufiq Zulmanarif,5,2 tahun lalu,"Candi yang menarik, lokasi candi yang agak menurun kadang terlewati. Salah satu candi pendharmaan Ratu Tribuana Tunggal Dewi. Parkir agak kecil untuk bus/mobil. Toilet bisa ke warga sekitar.  tidak perlu tiket masuk cukup mengisi buku tamu"
adi purnomo,5,2 tahun lalu,Malam kesana tp tutup
Putri Maharani,5,2 tahun lalu,Masuk tdk bayar dan taman semakin bagus
Lxpras Adi,5,2 tahun lalu,"Tempat sngt nyaman dan bersih,juru pelihara ramah , terawat , bikin kerasan .... Lokasi pinggir jalan raya sngt terjangkau kendaraan... Peninggalan leluhur yg masih terawat semoga tetap terjaga, dan terhindar dari tangan jail .... …"
Weareone Exo,5,2 tahun lalu,Bagus
Azriel Hudansyah Putra,5,Diedit 2 tahun lalu,"Candi arimbi adalah candi peninggalan era Majapahit dan ditujukan sebagai pendharmaan Tribhuwana Tunggadewi, candi ini memiliki berbagai ragam motif mulai dari cerita Tantri(fabel kuna) Sri Tanjung dll sampai menggambarkan kehidupan masyarakat Jawa Kuna era Majapahit dengan  cukup detail"
prameswara 11,5,3 tahun lalu,Candi yang cantik dan megah
Budi Santoso,4,3 tahun lalu,"Perawatan area candi sangat terawat,rumput2nya bagus"
gita praswirasari,5,3 tahun lalu,"Tempat nya bersih dan terawat.. bahkan sampai lepas kaki, karena rumput nya bersih dan nyaman banget"
Iras ibetsetyawan,4,3 tahun lalu,"tempatnya bagus rapi dan terawat

sepi pengunjung cocok buat prewed😁
masuk bayar seikhlasnya …"
