name,rating,date,text
Kurnia Rahmawati,4,9 bulan lalu,Tempatnya sepi. Jalan ke gua banyak semak dan untuk naik katanya harus memanjat akar pohon. Lebih sering dikaitkan dengan klenik dibandingkan untuk wisata.
Irfan Mahfudzi,4,Diedit 9 bulan lalu,old
Farell Wirayudha,4,setahun lalu,"Wanawisata Gua Sigolo-Golo terletak di Sigolo-golo Eco Park, di area sawah/kebun di Panglungan, Kecamatan Wonosalam, Kabupaten Jombang, Jawa Timur. Tempat ini mungkin merupakan destinasi wisata alam yang populer di daerah tersebut, …"
Bennu Relief,1,setahun lalu,Petualangan menantang
Fika Dwi,1,setahun lalu,"Viewnya bagus tapi sangat tidak recommended untuk saat ini..
Dulu pernah hits pada masanya namun sangat disayangkan untuk saat ini terkesan tidak terawat.. …"
Roesmanto Anto,3,setahun lalu,"Pemandangan Cukup indah, tracking memacu andrinalin, tapi sayang banyak coretan alay khas Pelaku Vandalisme di diding Goa ....."
CMT'z Wiarkha,5,2 tahun lalu,Dulu ramai..sekarang sudah tidak terawat..sayang sekali..
Zainul 08,5,2 tahun lalu,tempat nya bagus
Ibu Suprihatin,4,2 tahun lalu,Inspiratif
WHd story,3,2 tahun lalu,Melalui pintu
Shella Wahyuningsih,3,2 tahun lalu,"Kesini pas hari minggu sekitar pukul 10 pagi tidak ada pengunjung sama sekali, hanya ada petugas parkir dan ibu warung seorang diri, warung lainnya tutup. …"
Nyantri Akhir Zaman,4,2 tahun lalu,"Secara resmi tempat ini pernah dikelola oleh Perhutani, namun Perhutani telah menyatakan tempat ini ditutup untuk umum. Akan tetapi masyarakat umum masih bisa mengunjungi tempat ini, dengan catatan resiko keselamatan ditanggung sendiri. …"
055 Sandy Hardisurya,5,2 tahun lalu,Bagus
Dukatutuka88@gmail.com Dukatutuka88@gmail.com,5,2 tahun lalu,"goa yg sulit dijangkau  naik dengan
merambat akar pohon . sahral"
ANDIKA AC,5,2 tahun lalu,Bakalan pen balik lagi .
Anita Rahma,4,Diedit 3 tahun lalu,Bagus cocok bagi anda yang suka kegiatan outdoor
Benuk Idris,5,3 tahun lalu,Tempat wisata alam yg murah
Pramudya Pramudya,5,3 tahun lalu,Tiap mingu kesana tapi ngak terawat jalanya becek.....mles turun
ita-yudis,5,3 tahun lalu,wisata alam yg kerenn. untuk sampai ke lokasi hrs menaiki akar pohon yg berusia ratusan tahun..
Rizki Mubarok,5,3 tahun lalu,Sangat suka suasana alami
Zain nur jati,1,3 tahun lalu,Acara pernikahan ms Putra...
SALMA DWI RAHMALDA,3,3 tahun lalu,perjalanan ke sungai cukup susah karena beberapa kali terpeleset dan terkadang mencium bau bunga di beberapa spot pohon
Eka Pramuda Wardani,5,3 tahun lalu,Lumayan susah buat foto disini
edy supartono,5,3 tahun lalu,Elok sekali
Jauwarotul Imamah,5,3 tahun lalu,Wisata alam yg menyajikan pemandangan pegunungan dan air terjun
Sinduro Saja,5,3 tahun lalu,Tempatnya enak sejuk asri dan alami
chiko chika,3,3 tahun lalu,"tempat wisata bagus sejuk, tapi masih perlu penyempurnaan di lokasi"
Febri Yanti,5,3 tahun lalu,Sejuk
willy yoga46,4,3 tahun lalu,Good vibes
Mohammad Syamsudin,5,Diedit 3 tahun lalu,Keren...
Rafael Ghani,5,Diedit 4 tahun lalu,"Wisata Alami poll.. 😁😁

Siapkan nyali dan tenaga untuk naik/turun dari sungai …"
Khusnia Rahma,4,4 tahun lalu,"Saran, Mungkin bisa di bersihin lagi aja untuk rute nya. Rumput liarnya agak mengganggu siih. Buat yang mau kesana pastiin pake sepatu yaa gaiss."
linda rini,1,4 tahun lalu,"Tempatnya sudah tidak terawat. Jalan-jalan sudah ditumbuhi semak belukar, tidak lagi bisa dilewati malah bikin kepleset"
Endon Siswoyo,4,4 tahun lalu,Sejuk dan indah
Agus Lukito,5,Diedit 4 tahun lalu,Lumayan lah...TPI kurang terawat aja.. view nya bagus...
Joes Lelono,4,Diedit 4 tahun lalu,"Goa Sigologolo merupakan Goa alami yang berada dikaki jajaran Gn. Anjasmoro, masuk Kecamatan Wonosalam kabupaten Jombang.
Bagi penggemar wisata Alam tempat ini cukup menarik, karena trek dan jalur …"
Abdul Rozaaq Muttaqiin,1,4 tahun lalu,tingkat
Pembayun Otsu Indiana,5,4 tahun lalu,"Akses jalan masuknya susah. Papan penunjuk hampir tidak kelihatan. Lokask di gmaps tidak sesuai dengan tempat sesungguhnya. Tempat parkirnya kurang luas, cenderung sembunyi. Tpi view yang didapatkan bagus, walaupun jalannya sedikit susah …"
Susanto Susanto,3,4 tahun lalu,Udaranya segar jalan menuju sampai  kedasarnya air sangat dalam tapi memuaskan
Indah Yuliatin,5,4 tahun lalu,"Kalau sumpek main deh kesini, di jamin mood jadi bagus lagi. Lihat pemandangan hijau."
faizal fachur,5,4 tahun lalu,Ok
Noviindah Sari,5,4 tahun lalu,"Makeupnya flawless, rapi top deh"
Benjhon Joe,5,4 tahun lalu,fress dan alami
Putra Andre Firmansyah,3,4 tahun lalu,Tolong bantu saya.
Abd Munip,5,4 tahun lalu,Menyenangkan
Arif Fauzi,4,4 tahun lalu,Menyenangkan
HK 57,5,4 tahun lalu,Bagus
Ramadzan Addinsyah,4,4 tahun lalu,"Lumayan tempatnya asik, namun akses menuju kesana masih perlu perbaikan lg"
Rahmat Giri,5,4 tahun lalu,Bagus. Tp harus lebih di tingkatkan lagi akses jalan msuknya. 😊 …
Moch Trianto,5,4 tahun lalu,Jossss
Yeni Irawati,5,4 tahun lalu,Tempat yg sangat sejuk dan indah
abdul rohim,4,4 tahun lalu,Hanya sekedar lewat jalan depannya
Wahjutjahjono Rediarso,5,4 tahun lalu,"Nyepedah ke Golo-golo, lumayan tinggi juga."
Akhmad Bagus,5,5 tahun lalu,"Bagus, sepi banget sekarang. Jadi hening tempat nya... Sejuk, suara air terjun nya kedengaran keras, suara burung kedengeran,. Hmmmm syahduuuu"
ahmad andik,4,5 tahun lalu,Pemandanganya apik
Ali Nur Ibrahim,4,5 tahun lalu,Sekarang masi buka g
Lee'No,5,5 tahun lalu,Tempat yg bagus dan alami
Amelinda Jennyfer Thorrel,4,5 tahun lalu,"Bagus, tapi gara² covid ngga keurus"
03. Ahmad Hadafi,5,5 tahun lalu,Bagus pemandangannya
Muhammad Ath Thooriq,5,5 tahun lalu,Tempat wisata sangat bagus
Rofiq aang (rofiq),3,5 tahun lalu,Sejuk dan santai. Yg kurang cuma akses  ke lokasi yg masih agak extrem.
Jun Ari,5,5 tahun lalu,ok
mafaza kids,5,5 tahun lalu,Tempatnya sangat indah dan menarik untuk dikunjungi
adit wijaya,5,5 tahun lalu,Bagus
Ria Anggara,5,Diedit 5 tahun lalu,"Tempat bagus,  nyaman,  air sungainya jernih bagus untuk spot foto juga"
Cevi Nurohman,4,5 tahun lalu,Dingin dan tenang
Prasetyo Hadi,4,5 tahun lalu,Lumayan bagus pemandangan e
Bintang_ Nation,1,5 tahun lalu,Kurang bersih dan jalan kurang aman
Sembako Njungkir Harganya,3,5 tahun lalu,Lumayan kalau buat ngopi
Yemima Silvia,4,5 tahun lalu,"Bagus, indah, tenang, dan juga asri..."
Afif Yogas,3,5 tahun lalu,"Mulai sepi, perlu peningkatan"
Mas Falaq,5,5 tahun lalu,"Howo uadem, asyik juga minum sambil merokok, medannya lumayan curam, tapi tetap indah dan sejuk. Parkirnya sepuluh ribu, kalau mau turun, siapkan energi ekstra, minuman ekstra, pasti akan ngiler."
iamz amin,4,5 tahun lalu,2 kali berkunjung ora ketemu goa ne..
nawi iwan,5,5 tahun lalu,Gua sigolo golo menarik untuk mencapai tempat ini rutenya sangat menantang dengan memanjat melewati akar akar pohon yang besar... Sangat menantang dan memberikan rasa yang lebih.. 👍👍👍 …
Van Helsink,5,5 tahun lalu,Tempatxa mantap
Arif Ardiansyah,1,5 tahun lalu,tidak terawat
Arie Wijaya,3,5 tahun lalu,Belum ke lokasi numpang lewat aja
yusslinggih fardanu,5,5 tahun lalu,Tempatnya indah
Yusuf SetiAwan,4,5 tahun lalu,Balikke Surabaya nyaras kesini dulu
Ahmad Iyadzalloh,5,5 tahun lalu,"Medan yang dilalui sangat sulit untuk menuju goa itu sendiri, harus sedikit berhati-hati"
Mita Krisdiana,5,5 tahun lalu,"tempatnya sejuk banget
pemandangannya bagus"
ArtDhan Saksono,2,5 tahun lalu,Goa nya diatas tanah... Naiknya dengan bantuan akar pohon yabng ada dibawahnya... Monggo silahkan mencoba..
badroni m,3,5 tahun lalu,sangat menantaaaang
