name,rating,date,text
lalo kodok,5,sebulan lalu,Alhamdulillah bisa ziaroh ke Makam Bapak Guru kita Gus Dur...
Hendri Siswanto,5,sebulan lalu,"Wisata religi,ramai, tempat ziarah hanya bayar parkir saja"
Ekkie exmor,5,sebulan lalu,Makam yang sangat megah dan bagus banyak berbagai penjuru yang mengunjungi.
Zaka Ardiansyah,5,2 bulan lalu,"Makam beberapa pahlawan nasional dan beberapa tokoh yang terkenal kekeramatannya.
Meski pengunjungnya selalu banyak, namun suasananya sangat tenang untuk bermunajat."
Mahany,5,2 bulan lalu,Parkiran sangat luas. Sampai sana jam setengah 10 malam. Sangat ramai pengunjung. Penjual makanan dan oleh2 banyak yang tutup. Pertama kali datang ke sini dan Sangat senang datang kesini karena sudah lama sekali ingin ziarah ke makam Gus Dur.
fah iffah,5,2 bulan lalu,"Tebuireng adl makam dari ulama besar, Hadratussyaikh Hasyim Asy'ari. Juga makam dari presiden ke 4 yakni Gusdur. Jarak dari parkiran bus ke makam cukup jauh. Sepanjang perjalanan banyak toko-toko. Tempat ziaroh luas dan bersih. Banyak toilet baik disekitar makam atau di parkiran. Disitu juga ada Museum islam yg sangat edukatif."
Diyanti,4,2 bulan lalu,"Niat hati akan berziarah dengan hikmat, tapi mood tiba-tiba berubah dan paling tidak nyaman pas ada tukang foto yg asal jepret pengunjung tanpa izin, modusnya ajak ngobrol terus jepret kita diem diem semacam candid, pas kita selesai ziarah …"
MOKHAMAD IMRON,4,2 bulan lalu,"Awal di resmikan dulu, sangat bersihhhh sekali, sekarang sudah agak kumuh, khususnya kamar mandi di area makam, tapi masih tetap semangat ke sana"
Dapur Ayu,5,3 bulan lalu,Subhanalloh
Arfah,1,3 bulan lalu,"Dengan berziarah, kita dapat mengenang orang yang sudah meninggal, bermusyawarah dengan para wali Allah, dan juga mendoakan seluruh umat Islam, khususnya kedua orang tua kita. Dengan berziarah kita dapat merasakan betapa luas dan indahnya alam ciptaan Allah ini."
Nuril Khusnia,5,3 bulan lalu,"Pas kesini saya bersama rombongan yah,, kalau dihari efektif/selain hari libur suasananya bisa lebih khusuk kalau ingin berziarah,, disini juga bisa kulineran sekaligus belanja oleh-oleh mulai dari 10 rb dapat 4 loohh,, dan oleh-oleh lain khas wali☺"
Aprilia Kartiana,5,3 bulan lalu,Rencana hari Sabtu 25 Oktober 2025 ziarah bersama rombongan Madin Al Hasan Banaran Geger Madiun Jatim.  YA Allah..mudahkan..lancarkan..selamatkan..lindungi kami ya Allah..
Roozee Nach,5,3 bulan lalu,"Dari pasuruan ashar, sampai d jombang isyak"
wahyu rohmah rohmah,5,3 bulan lalu,Pelayanan ramah dan cepat
Syamsul Hadi,5,4 bulan lalu,Alhamdulilah baik
Isah CR,5,4 bulan lalu,Menyenangkan
kholiqotul aliyah,5,4 bulan lalu,rombongan fatayat NU ranting kauman wiradesa pekalongan
Nature,3,4 bulan lalu,Area makam sebenarnya bagus dan bersih. Tapi tempat wudhu sebelum makam kotor seperti gak pernah dibersihkan
Surya Diana,5,4 bulan lalu,"Alhamdulillah dah 3x kesana, walaupun 2x diawal akan kesana gagal trs krn jam tutup makam.
Beliau merupakan mantan presiden ketiga yang pernah datang ke mimpi saya setelah …"
Nasrikun,5,4 bulan lalu,Alhamdulillah bisa tawasul ke makam gus dur
