name,rating,date,text
Bahrul ulum M.Pd.I,1,6 hari lalu,"Di google tutup jam 4 sore tapi setengah 4 sudah ditutup oleh satpam,

Mohon diperbaiki, security nya"
ju-eun,4,2 minggu lalu,"kecewa dikit karena museumnya lg direnovasi, pdhl niatny mau ke situ"
Rizal Alfarozi,5,2 minggu lalu,Tempat bagus.
Grant Guide,5,2 minggu lalu,bagus
afifuddin _,5,3 minggu lalu,Museum yang sangat bagus banyak sejarah-sejarah tentang islam
Endang Sulastri Ningsih,5,3 minggu lalu,MasyaaAllah foto pake background museum udah kayak lukisan ajaaa saking cantiknya 🥹✨ semoga next kesini dengan status baru (as a happy and sholeha wife) insyaaAllah. …
Mujib Asnawi,1,sebulan lalu,Di maps buka sampe lokasi tutup.
Sandy Wijaya,5,sebulan lalu,Interesting. This museum is closed in Monday
Rifnoviar Rivai,5,sebulan lalu,"**Kesan dan Pesan Santri

Pondok Pesantren Riyadus Solihin …"
Hassan Asyrori,5,sebulan lalu,Sarana prasarana sangat bagus dan baik dalam menunjang kebutuhan
Ekkie exmor,5,sebulan lalu,Tempat pendidikan
Yusuf Aja,5,sebulan lalu,Semakin mengenal perjuangan Islam di masa dulu
Sinuha94,5,2 bulan lalu,"Makam pahlawan, begitulah kata yang pantas menyebutkan trmpat ini.  salah satu tempat keramat di jawa timur yang wajib dikunjungi oleh kalangan ramai.
Tempat yang mengitu nyaman yang setiap harinya tidak akan pernah sepi dari …"
Laila Nur,5,2 bulan lalu,"Tempatnya sekarang enak banget, lebih banyak perkembangan dan lebih bagus  .
Banyak spot fotonya lagi hihi 🥰🥰🥰🥰 …"
Abdul Rohman F.,5,2 bulan lalu,Bagus cuma koleksi nya kurang banyak
Deni Bharata,5,3 bulan lalu,Silahkan di kunjungi
Feerenza,5,3 bulan lalu,"MUSEUM ISLAM INDONESIA, JOMBANG.
Buat kalian yang ingin tahu tentang bagaimana penyebaran islam dari jaman dahulu di berbagai tempat, maka kalian harus ke sini. Berikut adalah reviewku : …"
Zeddy90_ Anshory,4,3 bulan lalu,"Wisata religi,cuma ada tukang foto suka ambil gambar seenaknya saja dan meminta imbalan yang ga aku suka meskipun beli foto atau tidak terserah kita"
Muyassarah Muyassarah,5,4 bulan lalu,good vibes good ambience good knowledge.
