name,rating,date,text
Khayla Abrizam,1,2 minggu lalu,"Resto macam apa ini
Pesan makanan 2 jam lebih belum juga datang
## WARNING ## …"
Angga,5,4 minggu lalu,Wisata cakep daerah Wonosalam dengan view pegunungan
Rita Asade,5,sebulan lalu,Mantaap n nyaman tempatnya
SS JIEE,5,sebulan lalu,"Suasananya enak, makanan enak.."
Aizzi Ahmad Saputra,5,sebulan lalu,"Tempat liburan keluarga terbaik di Wonosalam,fasilitas lengkap"
Bilqis Danil,2,sebulan lalu,"Biasa saja masuk bayar 20 , mau renang bayar lagi gak rekomendasi"
Dhody Candra,1,sebulan lalu,"wahana sedikit,namanya duran duren tapi ngga ada duren"
Ifa Rose,5,sebulan lalu,Tempatnya asyik.. cocok untuk liburan bersam keluarga👍👍👍👍 …
Ika Indah,2,sebulan lalu,"Tiket masuk 20rb per orang, mau berenang bayar lagi 15rb yg nggak ikut renang (jagain anak) juga harus bayar, tiket masuk terlalu mahal dan tidak banyak yg bisa di eksplore"
Hendra Kurniawan,1,sebulan lalu,"Tiket weekend 20rb, masuk kolam bayar lagi 15rb (walaupun mendampingi tetap bayar)."
mei rinda,5,sebulan lalu,Udara sejuk... Pemandangannya bagus. ...
Muslim Kamil,1,sebulan lalu,"Tiket masuk dua kali..
Sangat mahal, tidak cocok. …"
titha a,5,2 bulan lalu,Suka vibes nya
Febri Kusuma Hati,4,3 bulan lalu,"Tempat wisata keluarga di Wonosalam, tersedua penginapan, kolam renang, mushola, cafe, pemandangan indah, tempatnya naik turun jadi hati hati bagi yg mengajak orang tua, tiket masuk weekend utk dewasa 20 rb per orang, parkir mobil 15 rb, ada beberapa pohon durian tapi saat kesana bln oktober masih blm musim durian"
Mochamad Ali,4,4 bulan lalu,Bagus utk wisata keluarga. Banyak fasilitas bermain utk anak.
Ani Anii,4,6 bulan lalu,Tempatnya bagus sejuk
Yuni Rahmana,5,6 bulan lalu,"Anak anak kalau di tanya jawab happy ya berarti mereka cocok
Makanan di resto semua enak, ayam n ikan bakar enak bocil ga bosen , bakso juga enak. Cuma memang tdk banyak pilihan. …"
Supriadi Tiyas,5,6 bulan lalu,"Tempat yang tenang buat liburan dan santai dengan keluarga, layanan yang ramah dari karyawan nya."
Efma Rery,5,7 bulan lalu,"Sangat worth it tempatnya 😍 hari jumat kemarin hbis menginap disana, untuk kamar tidur, kamar mandi sangat bersih.. Sangat puas.. Tp saran untuk kolam renang tolong di sedia in penyewa an pelampung dong biar makin lengkap aja ☺ untuk keseluruhan sangat memuaskan.. …"
Indira Martaa,5,7 bulan lalu,"sudah lumayan sering kesini, karena sekeluarga sesuka itu sama tempat ini heheheh, wahananya juga makin banyak aja nih, jadi seruu bangett ga bosen main disinii 🫰🏻🫶🏻 …"
Ilham Nur Abror Suparman,3,7 bulan lalu,Kurang worth it karena masuk bayar kolam bayar meskipun tidak renang jadi uang habis untuk membayar tiket
Soegiharto,3,7 bulan lalu,"Tempatnya biasa saja HTMnya bayar 2 kali, ticket masuk 20rb, masuk ke kolam renang bayar lg 15rb, lebih mahal dari wisata wonosalam yg lain, wisata wonosalam yg lain / wisata di trawas yg hanya bayar ticket sekali sudah ada fasilitas spot foto yg lebih bagus & ada kolam renangnya, pantesan sepi tempatnya"
likha ahemm,5,7 bulan lalu,Tempat wisata murmer lur da ada kolam renag.apv. reinbowslide.dan penginapan.kolam renag serasa milik pribadi saat berkunjung haxa ada 2 pngunjung saja.yuk berwisata ke duran duren
Pradita Arisgi,5,7 bulan lalu,Favorit keluarga. Sdh 3x ke Duran duren. Tempatnya Hidden gem gitu. Pengunjungnya ga begitu rame tapi selalu ada aja.. sehingga Bs menikmati penginapan. Sy selalu rekomendasikan ke keluarga dan teman2. …
Punjere Kopi,5,7 bulan lalu,Tempat keren 👍👍 …
Muhammad Efendi,5,8 bulan lalu,"Tempat nya sangat bagus banget dan suasananya nyaman banget. menu makanan nya juga enak"" ga nyesel pernah nginep di.duran duren wonosalam next time mau kesana lagi.salam hangat DRI saya"
Dharnis Oktaviani,2,8 bulan lalu,"Tempatnya bagus sejuk tapi mines di pembayaran tiket masuk 20k per orang, ini terkesan masuk cuma jalan2 aja bayar, belum lagi berenang aja per orang 15k, belum lagi prosotan rainbow jg bayar lagi , wisata yg kesannya murah tiket 20k …"
Biakto Wibisono,5,8 bulan lalu,bagus
Rudi Dwi Esthika,1,8 bulan lalu,"gak worth it. over price.
masuk cafe aja harus bayar tiket."
Renanda Dp,1,9 bulan lalu,"overprice sih, ini caffe dan penginapan tapi masuk doang bayar 20k/orang. Oke misal gak mau ada orang masuk secara cuma cuma bisa disistem bayar tiket masuk tapi bisa ditukar dengan makanan! itu make sense.. lah ini kaya caffe/resto biasa …"
Arief Elrasya,4,9 bulan lalu,"Adem,sejuk tempatnya, HTM terjangkau"
yulia mode,5,9 bulan lalu,Tempat nya luas  nyaman dan bersih.. Cocok untuk keluarga
Nova Sri Hartati,4,9 bulan lalu,Banyak permainan untuk anak dan healing
Cak Freddy,2,9 bulan lalu,"Tidak worth it sama sekali, baru masuk sudah dikasih tiket masuk, kemudian kalau mau ke kolam renang harus beli tiket masuk lagi, dan kolam renangnya airnya perih dimata banyak kaporit padahal dataran tinggi tapi air kolamnya tidak dingin sama sekali"
Azizah Sukmawati,4,10 bulan lalu,Parkir nya mayan eh ada kecelakaan penyok deh mobil nya
Ima Aureva,4,11 bulan lalu,Bagus tp masuknya lumayan
Channel Inspirasi Bersama,4,11 bulan lalu,"Tempat ini merupakan cafe, cottage dan kolam renang.
Harusnya jika masuk cafe tidak perlu tiket masuk. Yang perlu diberi tiket adalah kolam renang saja. …"
Rido N,2,11 bulan lalu,"It just a name agrowisata duren, but same as common duren seller"
Anita Rahayu,5,11 bulan lalu,"Cottage luas sangat bisa untuk tambah extrabed, pemandangan instragamable sangat cocok untuk ambil koleksi foto
Akan lebih asik jika mini zoo nya masih ada koleksi hewannya, juga wahananya …"
Adhi Wahyu,5,setahun lalu,Sangat dingin
NUR HAYATI,5,setahun lalu,Tenang dan bersih
Debby Maharani,5,setahun lalu,"Suasana asri lereng gunung Anjasmoro. Ada kolam renang, ATV dan rainbow slide. Harga tiket dan makanan minuman terjangkau."
Wied Man,5,setahun lalu,Cocok untuk wisata keluarga
makhrus john,5,setahun lalu,Asri
Puput Silviana dewi,5,setahun lalu,Suka alam dan suasananya..tp untuk makanan msh kurang..mgkin bisa lbh baik
Lita Nuari Yanti,3,setahun lalu,Kecewa banget. Rencana cari duren eh malah durennya kosong. Pdhal namanya aja Agrowisata duren. Masuk kolam renangnya msh bayar lg15.000. Tiket masuk 15.000. Parkir mobil 20.000 . Iyuuuhhh mehong 🙈 …
Niko Andriani,5,setahun lalu,"Pengalaman luar biasa di duran duren. Pelayanan bintang lima, tempat luas bersih. Fasilitas lengkap. Tempat menginap cottagenya juga bersih full AC & TV 😍❤️ …"
rahmat wijaya,4,setahun lalu,"Keren... Cocok liburan anak... Rainbowslide atv swim, cottages,,,.cullinary.. Welldone"
Ellen Graciana,5,Diedit setahun lalu,"Senang sekali berkesempatan berkunjung dan menginap di Duran Duren.
Layanan prima top manajemen beserta tim. Pertahankan keasrian alam juga kebersihannya. Semoga dalam waktu dekat dapat berkunjung kembali ke sana.
Terimakasih 🔥🤩 …"
Estu Dewi,1,setahun lalu,kecewa berat
Thaqif Maulana,1,setahun lalu,Sangat mengecewakan
Rafif Sava,1,setahun lalu,Kecewa banget soalnya perbaikan laaama banget katanya jam12.00 tapi malah di PHP
pradana irawan,1,setahun lalu,"Kecewa berat,tidak sesuai harapan katanya jam 12.00 selesai tapimalah di PHP. Pokoknya kecewa"
nadia bachmid,1,setahun lalu,Sangat mengecewakan
Andrian Wahyu Difa,5,setahun lalu,"Pemasangan CCTV
Pemasangan Jaringan
penyedia komputer, Laptop, Printer"
kyungso imut,5,setahun lalu,"kesini waktu weekday, tiket masuk 15ribu kemaren yang dihitung yang dewasa aja (gatau ya kalo biasanya) terus masuk ke kolam renang bayar lagi 15ribu per kepala (renang maupun ga renang tetep bayar) kolam renangnya bersih, airnya seger …"
Ani,2,setahun lalu,"Wkwkwkwkk... Banyol sih..
Jauh2 kesini euy tp ga sesuai expectasi..
Tiket masuk ga dpt apa2.mau ke wahana lagi jg byr.. sliding rainbow bayar..kolam …"
Hufron Rosidin,5,setahun lalu,Sangat cocok untuk berwisata petik duren
sugeng raharjo,5,setahun lalu,Nice place
