name,rating,date,text
ragenah blaz,5,seminggu lalu,pas buat camp acara pramuka
Antika,5,seminggu lalu,"bener bener bagus banget, memuaskan😋 …"
Eka Rahmania Putri,5,2 minggu lalu,"perjalanan 1 jam setengah, tiket worth it 11 ribu, jalannya 3,5 km an jadi sebelum kesini lebih baik olahraga yang matang dulu."
Eric Maulana,5,2 minggu lalu,"Kesini tahun 2024 bulan November

Pernah nyasar salah jalur karena panik hujan deres dan kehilangan kunci juga …"
Budi Delta,5,2 minggu lalu,"Waktu saya ksana gowes medanya penuh tantangan, seru banget"
DIVIA JOURNEY,5,3 minggu lalu,"Salah satu air terjun tertinggi di Jawa Timur 😵🌟🌿🏞
First time for us 😵‍💫😰😣🫩 tapi jadi salah satu pengalaman terseru kami 🤪😋🤩 untuk yg baru pertama kali hiking ini worth to try banget 🤩 view nya juga gokil, bangus banget!. cocok buat healing ♾️🥺✨️🫣🤩❤️‍🩹
- hnv …"
Angga,5,sebulan lalu,Surga tersembunyi di tengah belantara Jombang. Salah satu air terjun tertinggi di Jawa Timur merupakan objek wisata yang wajib dicoba untuk orang yang suka berpetualang.
wahyu ruli,5,sebulan lalu,Wisata yang murah meriah
abdul aziz,5,sebulan lalu,"Recomended bgt tmpatnya,, cm toilet yg di atas rusak,,"
Shanty Syaiful,4,sebulan lalu,"Baru pertma kali ke air terjun tretes,pngalaman yg mnyenangkn walau jln untk naik ke air terjun terjal melelahkn,tpi rasa lelah terbayarkn dgn pemndangan yg sngat indah,smg ttp terjga dn ttap lestari hutannya, untk petugas loket msuk ramahterima kasih bpk,sehat""slu bpk..."
Dewi Fitriana,5,sebulan lalu,"Air terjunnya bagus banget, sangat Worthy untuk perjalan yang melelahkan dan medan yang cukup extrim terutama setelah hujan. Siapkan uang sekitar 25rb untuk semua kebutuhan parkir & tiket wisata. Sungai di tempat parkir pun juga sangat …"
Nay Nayah,5,2 bulan lalu,"Bagus banget, cocok buat yang suka sama alam."
