name,rating,date,text
Dika Danny,4,1 hari lalu,bisa turun ga bisa naik 😭 …
Desty,5,Diedit 4 hari lalu,"Belakangan saya cuma nongkrong di warung,
Sangat melelahkan untuk turun ke lokasi air terjun"
budi kurniawan,5,5 hari lalu,"air terjun yg bagus di lereng gunung wilis, untuk menuju air terjun siapkan fisik dan mental karena harus naik turun  jumlahnya 1000 anak tangga infonya.pengalaman kemarin waktu tempuh santai sekitar 30 manit ,untuk tiket masuk kawasan …"
Budi Anto,5,2 minggu lalu,"Gowes tanpa rencana malah sampai sini...istimewa...!!!!
Next time balik maning son...!!!!"
Desi putri Surya Dewi,5,2 minggu lalu,kerennn bangettt bisa lama² disana ..
Rudolf Immanuel,1,2 minggu lalu,"JALAN NAIK TERUS, GIGI 1 BELUM TENTU BISA SAMPAI, MOBIL SAYA 4WD HAMPIR MATI TENGAH JALAN + OVERHEAT.
SAMPAI DI TEMPAT PARKIR MASIH HARUS TURUN TANGGA 3 KM UNTUK SAMPAI AIR TERJUN, NAIK TANGGANYA SETENGAH MATI."
Ulul Azmi,5,4 minggu lalu,BAGUSSS 👍🏻👍🏻👍🏻👍🏻👍🏻 …
Angga,5,4 minggu lalu,Air terjun hidden gem di daerah Kediri dengan pemandangan menakjubkan. Destinasi wajib bagi pecinta petualangan
Dwi Mahendra Putra,5,sebulan lalu,"Air Terjun Dolo sangat sejuk! Perlu usaha ekstra menuruni ratusan/ribuan anak tangga, tapi pemandangan air terjun gagah dan eksotis di bawah sana terbayar lunas. Wajib dikunjungi!"
richy chandra,4,sebulan lalu,Cukup bagus pemandangan disana. Air terjunnya indah. Udaranya bersih dan sejuk.
Megantara,5,sebulan lalu,"Saya mengunjungi Air Terjun Dolo pada tanggal 12 Juni 2025. Saya berangkat berdua bersama teman, menggunakan sepeda motor. Akses jalan menuju lokasi menurut saya cukup menantang, karena jalannya berkelok-kelok, naik turun, dan di beberapa …"
Nova Rahayu Ardianto,5,Diedit sebulan lalu,"Tempatnya bagus dan bersih
ada musholanya dan toiletnya juga bersih
harus melewati banyak tangga …"
Pachi Kooki,5,sebulan lalu,"Tempat yang bagus untuk dikunjungi. Terletak di pinggiran Kediri dan membutuhkan waktu sekitar 20 menit untuk berjalan kaki turun, sedikit lebih lama untuk mendaki naik. Air terjunnya megah, dan area sekitarnya sejuk dan nyaman. Kami …"
Nadia Rahma,5,sebulan lalu,"GACORRR sih viewnya, aku kesana pas musim hujan ya gais, pas pulang kondisinya kabut bangettt dan dingin. but i love so much that's vibe <3"
Cecel Kiyut,5,sebulan lalu,seger
Siti Yulaikah,5,2 bulan lalu,"Kalau mau uji nyali boleh dehh🤣🤣 mana ketemu ular berbisa untung garcep lari😭 turun ke tempat air terjun boleh lah, kalau untuk naik? bisa sediain lift kali ya🤣. Bagus sih cuma kurang terawat aja👍 …"
Febriana Levia,5,2 bulan lalu,cape gapapa yang penting 1x seumur hidup😭🖤 …
Riski Saputra,5,2 bulan lalu,pelayanan nya ramah
Java Ageng Prayogo Suntoro,5,Diedit 2 bulan lalu,"Dolo.. Air terjun yang turunnya full anak tangga, siapkan fisik jika belum siap jangan memaksakan diri.. Tempatnya sangat ramai nan bagus.. Banyak pengunjung di hari libur"
Sasha,5,2 bulan lalu,"Karena saya sudah lama di sini, bagi kalian yang suka alam, ini adalah tempat yang tepat! 😉👍🏻 …"
fiha hanifah,4,3 bulan lalu,"Pemandangannya bagus, adem sejuk
Kesini pas weekend rame banyak acara
Tiket masuk 10rb per orang + parkir motor 3rb
Makanan standar harga juga standar"
Rikha allail,5,3 bulan lalu,"Sangat menantang, selama perjalanan view hutan, gunung, sangat indah 👍👍👍👍 …"
Yolandha Sephiani,3,3 bulan lalu,"jalanan menuju parkir medannya oke, masih mudah ditempuh. jalan menuju ke air terjun juga aman, ada tangga. ada mushola dan kamar mandi …"
Rm Pancolo Rupo,5,4 bulan lalu,Tim Cakra adventure pi malang
Herry Chrisnantoe,2,Diedit 4 bulan lalu,Air terjun yg lerletah di bawah kaki gunung. Berangkat happy pulang nelongso 😂. Tangganya minta ampun. Air nya dinginnnnn (tahun baru 2022) …
Rizki Satria Herlambang,5,5 bulan lalu,"lestari alam nya , semoga tetap seperti ini
dan saran untuk pemerintahnya beri banyak tempat sampah supaya area tidak kotor dan tetap bersih …"
Mochamad Maldini,5,5 bulan lalu,Air terjun paling bagus. Aksesnya lumayan bikin dengkul capek 😅. Kesini pas weekday enak ga ramai. Saran mending beli minum saat mau turun ke area air terjun. Sampahnya jangan lupa dibawa balik ya gaes …
Surya Putra,5,5 bulan lalu,Tempat yang bagus
10_ Farelio Ramadhan,4,5 bulan lalu,pada track anak tangganya berlumut sehingga menjadi licin dan dibeberapa titik track banyak yang hilang besi pegangan anak tangganya. tetapi sangat pemandangannya sangat memuaskan
Alfarejel R.S.,4,5 bulan lalu,"air terjunnya sangat memuaskan tapi di tracknya terdapat beberapa sampah padahal sudah disediakan tempat sampah. pada track anak tangganya juga berlumut sehingga licin jika dilewati, dan pegangan tangan pada anak tangga juga banyak hilang."
rejel gntg,4,5 bulan lalu,"pemandangannya sangat memuaskan, tetapi dibeberapa titik terdapat pegangan tangan pada anak tangganya yang hilang, dan pada anak tangganya di track berlumut sehingga licin jika dilewati. dan ditrack menuju air terjunnya terdapat sampah dibeberapa titik padahal sudah disediakan tempat sampah oleh pengelola"
Rama Dhani,4,5 bulan lalu,"Pemandangannya sangat indah, tapi pada track anak tangganya berlumut sehingga menjadi licin, dan pada pegangan anak tangga banyak yg hilang, pada beberapa tracknya terdapat sampah padahal sudah disediakan tempat sampah yang sudah disediakan dibeberapa titik"
Gian Adinata,3,5 bulan lalu,"pemandangannya sangat bagus, tetapi track anak tangganya bannyak yang berlumut sehingga sangat berbahaya karena licin, dan banyak besi pegangan anak tangganya banyak yang hilang. dan juga masih banyak sampah yg terbuang sembarangan padahal sudah disediakan tempat sampah dibeberapa titik"
nando,4,5 bulan lalu,"untuk pemandangannya lumayan bagus tapi banyak pegangan tangannya yang hilang dan track anak tangganya banyak yg berlumut, bahaya tergelincir, sepanjang tracknya banyak yang membuang sampah sembarangan padahal sudah di sediakan tempat sampah di beberapa titik"
Fadensyah Muhammad Daffa Effendi,3,5 bulan lalu,sejauh ini pemandangannya sangat bagus tapi sayangnya banyak pegangan tangga yang hilang. selain itu juga anak tangganya seperti tidak terurus karena banyak lumut yang membuatnya licin dan rawan terjatuh
Farkhhann,5,5 bulan lalu,"viewnya bagus,tapi sangat disayangkan pegangan anak tangga banyak yang hilang berbahaya buat anak anak dan orang tua, dan anak tangga kurang dirawat banyak lumutnya jadi licin saat digunakan"
gino schretzmeijer,5,5 bulan lalu,"Jalannya masih panjang untuk sampai ke sana, tapi tempatnya keren banget 😍 …"
Malik Aziz,5,6 bulan lalu,"Kesana sendiri, gak ada orang sama sekali cuaca berkabut, niatnya healing malah jadi ujinyali😂. …"
NEW KLM BIRD FARM,5,6 bulan lalu,Tempat bagus nyaman
NUMBER9 Nine,5,6 bulan lalu,"Hidden gem=Track 1001 anak tangga,cocok untuk recovery healthy dengan udara yang clear 1000%,siapkan botol air mineral jika anda kesini 👍 …"
Dony wahyu,5,6 bulan lalu,"Persiapkan lutut kalo mau ke air terjun ini
.. 😁 …"
Afifah Nur aeni,5,6 bulan lalu,Sangat menakjubkan
Dimas Heru Prasetyo,5,7 bulan lalu,Sepi asri sangat dingin berkabut  sering hujan
Sendal Terbang,5,7 bulan lalu,Pernah hitung anak tangganya kisaran 950an.. ayo tes kaki dan pernapasan kalian. 🤣 …
Muhammad Akhyar,5,Diedit 7 bulan lalu,Sebaiknya kesana pagi hari dan sebelum senja harus sudah keluar.
Mella Fariza,5,7 bulan lalu,"bagus airterjunnya, pas perjlanan turu enjoy gak kerasa capek. beeehhh Pas naik istighfar² karena ga pernah olahraha tiba tiba harus menaiki 1000 tangga"
ab Cinema,4,Diedit 8 bulan lalu,ada camping ground dibawah sebelum air terjun tempatnya lumayan
MMF,5,Diedit 8 bulan lalu,"Berikut adalah review dari kunjunganku ke Air Terjun Dolo, Kediri.

Kelebihan : …"
fdlyyaa,5,8 bulan lalu,kecantikan
Mumtadzah 358,5,8 bulan lalu,Bagus
AKU GALANG,5,8 bulan lalu,"Tempat masih sangat asri, hawanya dingin, air terjun lebih dari 10 meter, bisa dibuat foto foto, sebelum nyampe di air terjun harus turun lewat ratusan anak tangga, naiknya juga sama, tetapi terbayar dengan keindahan air terjun dolo"
Irwan Prayogi,5,8 bulan lalu,Adem
nicky minaj,5,8 bulan lalu,"Parkirannya ada di puncak air terjun, terus kita harus menuruni ratusan anak tangga, ada yg bilang jumlahnya 900 anak tangga, bayangkan kalo pas pulang naik nanti, jadi fisik harus benar2 bagus ya, kalaupun kuat naik turun, besoknya pasti …"
Master Burger Kebab Baba Ali,5,8 bulan lalu,Tempat yang menarik
Iko Muhammad,4,9 bulan lalu,Sangat menyenangkan
"Surabaya Travel Kediri PP & CARTER,DROP JUANDA",5,9 bulan lalu,Tempat nyaman dannsejuk
Bety Triwahyuni,5,Diedit 9 bulan lalu,"Seru.. anak saya Alhamdulillah kuat. Namun jika anak tidak terbiasa lewat 1000 tangga jangan di lakukan.
Sebaiknya datang lebih pagi, agar tidak terjebak hujan atau jika kesorean saat melewati tangga, penjual2nya sdh tutup. #1000tangga"
Irfan Mahfudzi,4,Diedit 9 bulan lalu,Tempat yang bagus
Little Aura,5,9 bulan lalu,"Wkwkwwk worth to try. Cobain aja deh... seruuu, trek yang begitu challenging, aowkwowkwok. Temenku gabut ngitung anak tangganya ada sekitar 900+ wwkwk. Buat yang bawa anak dan orang tua sangat tidak disarankan buat ke tempat air terjunnya …"
Antonius Sumarah1,4,9 bulan lalu,"Air terjun alam dengan sarpras yang bagus baik tangga toilet, tangga yang tinggi lumayan untuk olahraga pagi. Air jernih dan dingin dan suasana alam yg asri dan dingin"
beli masker,5,9 bulan lalu,Air terjunya bagus suasananya adem
hongky Jo,4,9 bulan lalu,"adem...
siapkan stamina untuk lewat tangga"
hasam Widjojo15,5,10 bulan lalu,Senam jantung turun dan naik ke air terjun
Wiwin Dwi,5,Diedit 10 bulan lalu,"Tempatnya asri
Tanjakannya terlalu curam
Ada cafe sblm lokasi"
Sindhu Utama,5,10 bulan lalu,"Pemandangan bagus
Siapkan kaki yang kuat"
M. Afiah,5,10 bulan lalu,Naik turun tangga cukup makan banyak stamina hehe
nurul hidayah,5,Diedit 11 bulan lalu,"Air terjun Dolo pemandangan indah sekali, alami, sejuk, segar, buat foto-foto bagus. Tangga menuju air terjun Dolo banyak sekali,  kalau wisata ke Dolo harus dipersiapkan tenaga yang fit karena pulangnya tangga menanjak, dan juga …"
Abdullah Isnaini,5,11 bulan lalu,"Untuk perjalanan naik motor di saat musim hujan harus hati² sih soalnya jalanan jadi licin apalagi di tanjakan.
Dari parkiran menuju ke air terjun normal jalan kaki sekitar 20-30 menitan …"
iPhone 15 promax,5,11 bulan lalu,"Bila sudah sampai di gerbang masuk, siapkan kamera. pemandangan indah sepanjang jalan sampai di lokasi parkiran air terjun.
Suara kicauan burung akan terdengar sepanjang tangga turun ke air terjun.
Yang punya masalah dgn lutut, berat badan, jantung saya sarankan jangan turun ke air terjun."
Mohamad Nasrullah,5,setahun lalu,"Sejuk, jalan kaki naik turun tangga"
ADMEDIA BLITAR,5,setahun lalu,olah raga naik turun tangga yang sangat tinggi
x,5,setahun lalu,dingin
piki,2,setahun lalu,Suasananya keren tapi kamar mandinya kotor dan jalanannya berlumut.
Wisnu Tri Ananda,5,setahun lalu,"capek..tp seneng
suasana terasa sejuk"
Moch ibnu Suwandi,5,setahun lalu,Sangat menarik untuk dikunjungi ingin kesana lagi
DE ID,5,setahun lalu,DINGIN
sandi bagus,5,setahun lalu,Bagus   akses   jalan  nya...tapi  tolong  dibuat  jalan  alternatip  naik turun  tangga  nya
Abdurrohman Addakhil,5,setahun lalu,"untuk mencapai air terjun, kita harus menuruni banyak anak tangga yang cukup menguras tenaga. …"
Yuli Kiraf,4,setahun lalu,"Bisa membakar  kalori dan membuat encok kaki ...tangganya yg curam smpai 1000 tangga .air terjunnya lumayan bagus ...daerah extrim TDK cocok untuk bumil,dan lansia"
Agustina Sutanto,5,setahun lalu,"Setelah perjalanan dari Surabaya yang smooth 2 jam lebih, terbayar sudah.  Aaahhh keren banget short trekking disini, stunning view, ada tambahan 2 fasilitas toilet baru di tengah  perjalanan dan di dekat air terjun, railing yg kokoh …"
Rizal Alfarozi,5,setahun lalu,"Tempat “yang tepat” untuk olahraga kaki. Tapi terbayarkan dengan air terjun yang indah. Terdapat 3 tingkat air terjun yang dapat dinikmati untuk main air atau sekadar mendinginkan kaki yang pegal. Di dekat air terjun, ada 2 warung untuk makan atau istirahat."
Hafidz Arnakhan Shan,5,setahun lalu,Yang mau nyoba lihat air terjun.. usahakan dalam keadaan prima dan fit.. karena setiap naik dan turun tangga menuju ke air terjun.. membutuhkan tenaga extra dan jangan coba² kalau tdk kuat..
Inggrid Zahirotul_,5,setahun lalu,"Bagus banget, yang suka hiking wajib kesini walaupun kram setelah kesini gak bakal kapok karena air terjunnya sebagus itu✨"
Oger Ep,1,setahun lalu,"mushola ada teleknya, mau bantu nyapu, sapunya gak ada.
pengelolanya kemana ya, jgn pos retribusi aja yg dijaga!"
N,5,Diedit setahun lalu,"Kawasan wisata besuki, air terjun dolo. Aku rutin jogging hampir 2 bulan ini, sering keluar kota juga sendirian sat set gitu selama 1 th lebih, sampai sini, aduh lutut agak geter dikit, gak ngaruh, btw ini tiket masuknya 13 rb, fasilitas …"
THE NEXT GENERATION,4,setahun lalu,Tempatnya ke4en owngen kesana lagi
Tembu Xiao,5,setahun lalu,Objek wisata air terjun yg rekomended untuk menguji tingkat daya tahan lutut 🤣 walaupun memang view suasananya tiada dua 🤙 …
Yuan Deraa,5,setahun lalu,Sangat dingin
