name,rating,date,text
Totok Sunanto,5,2 minggu lalu,"Keren tempatnya tapi pas ke aie terjunnya jauh ,nafas mengkis2"
Khrisna wahyu,5,2 minggu lalu,"Dulu salah satu tempat destinasi terbaik di Kediri, akses mudah , tempat dingin dan camping ground luas, tp"
Dini Ainun Fatma,4,sebulan lalu,"Air terjun Irenggolo cocok sekali buat alternatif rekreasi alam bersama anak2, karena treknya pendek jadi anak2 ngga akan kecapekan, air terjunnya juga bukan tipe yg deras, untuk main air di bawahnya masih aman, saran sih berangkat di pagi …"
ASSIDIQI,3,sebulan lalu,"ada salah satu warung yang paling kecewa, karena tempatnya kotor sampai semua gelasnya kayak terbengkelai, kotor + menjijikan, paling mending warung yang deket pintu masuk mushola itu bagus banget. dan tempat air terjun nya bagus, tapi …"
Donny Harmanto,4,Diedit 2 bulan lalu,"Bagus..lumayan jauh dari kota...
Sekarang sudah banyak perubahan untuk jalan menuju air terjun yang sudah bagus dan aman karena ada pagarnya"
Tiara Nur Anisa,5,2 bulan lalu,"Rekomended banget sih untuk warga Kediri yang mau jalan2 dan sukanya sama alam, hawanya dingin, enak, airnya juga dingin, bagus buat fto juga estetik gitu tempatnya, banyak yang jual makanan sama minuman juga parkirnya juga termasuk luas"
Herry Chrisnantoe,4,4 bulan lalu,HTM gratis karna sudah byar di gapura kawasan wisata Besuki. Hari biasa 8 rb parkir 3 rb. Sabtu minggu 10 rb + 3 rb parkir
Raden Dafirizki,5,4 bulan lalu,"152 tangga menuju air terjun
Bagus cocok untuk wisata keluarga"
Adimas Ario Afrilando,5,4 bulan lalu,"Setelah turun dr cafe prongos, nyoba iseng masuk kesini krna kirain bayar lagi. Eh gataunya engga, skalian deh hahaha. …"
Rizqi Ramadhani,5,5 bulan lalu,"Seru sih, libur nasional tiket 10 ribu per orang. Parkiran 3 ribu. Cuma sangat di sayangkan kolam renang sudah tidak terpakai dan banyak daun2 di sekitar kolam air terjunnya. Coba klo di tingkatkan lagi antara pengembang dan warga sekitar. Pasti lebih bagus dan banyak pelancong wisata balik kesitu lagi."
Bupreh Akun,5,6 bulan lalu,Bagus tempat nya
Hendra arlon Arlon,5,6 bulan lalu,"Seger ,suasananya enak"
