name,rating,date,text
Fairuz,5,2 hari lalu,Enak saat masuk gua ada anomali muncul kaget saya
Ahmad Afandi,5,3 hari lalu,tempat nyeni ini
Agung Wirayoga,5,seminggu lalu,Tempat yang baik untuk wisata spiritual
PUTRA OYONG WIRAYOGA,5,2 minggu lalu,Tempat wisata religius yang cocok untuk para pelaku spritual.
Alvi Khoirotin,1,sebulan lalu,"Kecewa,semua fasilitas sudah tidak layak"
Eko Rahayu,5,sebulan lalu,Minimnya generasi z  yg ingin tahu tentang peninggalan sejarah .membuat tempat wisata goa selomangkleng semakin lama - semakin kurang pengunjung nya
Clarisna Nur rahayu,5,sebulan lalu,aku kapan pernah ikuti kunjungan pada irsyadila kak anandaleo kak kurang bahagia malah pulang udah oke bos tujuan kab.kediri!?
Asa Fauzan,4,sebulan lalu,"Harga mahal, nasi goreng agak pahit. Tapi begitu kmplai diganti. Pelayanan bagus."
Shibon Looss,5,sebulan lalu,Sipp
Mey Saphira,5,sebulan lalu,"Ada museum,
ada warung-warung,
ada goa bersejarah, …"
Duwi Setiana,1,2 bulan lalu,Sayang nya sudah tidak terawat  dan jadi nganggur semua wahana rusak
Sugik Sugianto,5,2 bulan lalu,Bagusss
Mira Sanjaya,3,2 bulan lalu,"terlalu sepi dan biasa aja sii,gk terlalu menarik jg,kesini pas nemenin anak piknik"
Mohammad Miftah Fauzi,5,4 bulan lalu,Meniti kembali jejak sejarah tokoh masa lalu di kediri
Papa Ori,3,4 bulan lalu,Lestarikan budaya...
Ari Dwi Pratama,5,5 bulan lalu,selain wisata bersejarah.. cocok juga untuk wisata spiritual
Blue Sky,5,Diedit 5 bulan lalu,sejuk
Gangga Resti Wahyuni,5,5 bulan lalu,Sejuk cocok untuk menyendiri 😅 …
Aprilia Dwi Vitasari,5,5 bulan lalu,Biasa kesini untuk olahraga jalan - jalan. Tempat luas dan cocok untuk olahraga. Suasananya sejuk dan masih rindang. Ada beberapa penjual kalau nanti butuh makan atau minum.
Mega Permata,5,Diedit 6 bulan lalu,Aura mistis
PUGUH WAHYU WIDODO,4,6 bulan lalu,Menyenangkan
Bahad Alwi,5,6 bulan lalu,"Tempat peninggalan sejarah yang ada di Kediri, tempatnya sejuk, nggak terlalu rame, cocok buat rekreasi keluarga atau hanya sekedar kepo tentang sejarah di Kediri."
Danti C,4,7 bulan lalu,Cukup sepi. Entah siapa yang ngasih rokok ke reco pentung ini 😤 …
David Harfiansyah,5,7 bulan lalu,"Tempat bersih rapi bagus
Tempat sejarah di kota Kediri, terletak di kaki klotok
Ayo jangan lupa berkunjung ya kalau ke kota Kediri"
Dewa Laut,5,8 bulan lalu,"tempatnya tenang dan damai, ya memang karena sepi, tidak ada yg bisa dilakukan di sana kecuali kamu datang untuk berenang"
Muhammad Syaiful Anwar,5,8 bulan lalu,Sayang banyak bangun yg tidak terawat....sayang potensi nya besar (buat wisata dan edukasi)
nicky minaj,4,8 bulan lalu,"Lokasi sangat dekat dengan pusat kota Kediri, Goanya gak terlalu besar, ada patung semacam arca kuno di dalam goa, di dindingnya juga ada ukiran2 bahasa dan gambar kuno. Goa ini biasanya buat sembahyang orang hindu. …"
Agung Setiawan,5,9 bulan lalu,Wisata Kediri murah meriah
Dewi Althair,5,9 bulan lalu,Banyak berubah setelqh sekian tahun tidak pernah kesini..kalau mau ke.gua jgn lupa pakai anti nyamuk ya..semoga bagian samping gua lebih di perbaiki lagi krna kesannya kayak agak terbengkalai eman banget
dedi ar,5,9 bulan lalu,"Selomangleng, lokasi luas,kolam renang, parkir,toilet,musola,taman, semua ada,
Saran: perlu pengembangan lagi, banyak tempat kosong yg mungkin kurang perhatian,."
Harry G.N.,5,10 bulan lalu,"Melihat dari dekat kejayaan leluhur bangsa indonesia, begitu indah, begiu cerdas, tak kalah dengan bangsa lain"
Bhogel Saja oke,5,10 bulan lalu,"Goa Selomangleng adalah goa / tempat wisata yang ada di kota Kediri
Tempat yang bagus dan sejuk menarik semua wisata WAN"
Rara Vellanieka,5,11 bulan lalu,Amazing
Digoal Anang,4,Diedit 11 bulan lalu,"Tempat wisata religi, petilasan, goa peninggalan zaman dulu"
aku sopo,5,11 bulan lalu,Penuh sejarah orang terdahulu dan semoga terawat sampai bisa di lihat oleh anak cucu dan generasi selanjutnya
