name,rating,date,text
Vicky Soun,5,17 jam lalu,Siip
hasan udin,5,23 jam lalu,Pemandangan indah dan sejuk.
Boediman Widjaja,5,seminggu lalu,"Pegunungan di wilayah Kediri dengan view yang amazing, pendakian di puncak Pelangi dan Puncak Welirang bisa untuk pendaki pemula (1500 mdpl),tetap berhati-hati karena kontur medan lumayan menanjak dengan permukaan bebatuan dan berpasir. …"
Arshaka Wijaya,5,seminggu lalu,Sangat dingin
Wahyu Tri Ananda,5,Diedit 2 minggu lalu,"Gunung berapi yang terkenal dengan keganasan erupsinya, meski begitu gunung ini sangatlah ramah wisatawan dibandingkan dengan gunung-gunung lainnya, karena wisatawan hanya memerlukan effort kecil untuk bisa menikmati pemandangan gunung ini. …"
our journey files,5,2 minggu lalu,our journey starts here..
ERWIN ZP,4,Diedit 2 minggu lalu,Mantap
Nia Martiasari,5,3 minggu lalu,Adem bagus pemandangan
roful watik,5,3 minggu lalu,"Pemgalaman ke gunung kelud apik, menyenangkan, spotnya indah banget, tapi ada yg bikin deg deg seeer pas di bonceng sama abang2...ya allloh ngeerrrri banget turun2 pengen muntaj rasa.ne...tapi untuk semua spot jos jis...kediri lagi lho iki..."
Nono Hary,4,4 minggu lalu,"Udaranya sangat sejuk...
Rekom kesini pagi sampai siang, menjelang sore kabut turun."
Rizky Wahyu,5,4 minggu lalu,Zeus bless you
Irvan Agus Setiawan,5,sebulan lalu,"Bagus banget tempatnya, bisa untuk maen keluarga. Untuk akses mudah jika via kediri terus ada juga ojek yang menunggu di parkiran jika tidak mau jalan namun bagus juga untuk latihan lari pemula gunung"
Affan Ansori,5,sebulan lalu,7 Desember aku ke situ sama ayah aku terus tinggi juga tapi kabut juga terus seperti raksasa tapi kawah indah banget
Vicky Eka,5,sebulan lalu,"Buat yang lewat ngantang viewnya kayak gini geys.... Bagus banget 👌.... Perkiraan waktu perjalanan kalau dari ngantang sampai kawah sekitar 5-6 jam ya .... Cman jangan lama lama ya di kawah, bau kawahnya gak sehat buat kesehatanmu 🥺 …"
Kristian Wibisono,5,sebulan lalu,"Untuk pemandangan nya jangan diragukan lagi..
Memeng cakep puol"
Rofian Qoyum Haq,5,2 bulan lalu,Our memories stay forever
Cfbn Magetan,5,3 bulan lalu,"Bersepeda ke Gunung Kelud mengesankan, malam semakin dingin."
`Bo _Oi` (Amira najiha),5,3 bulan lalu,"main tangga roblox di rl seseru itu ya, tpi sygnya klo jatuh gk bisa respon lgi 😔 …"
