name,rating,date,text
Reva Inara,5,6 jam lalu,Cerah ceria
Prisma Suganda,5,1 hari lalu,Tempat yang nyaman untuk bersantai
Arno Ochon,5,2 hari lalu,Sangat indah buat joging pagi hari
Kadarman Tmg,5,3 hari lalu,enak sepi pas hari biasa...klo weekend rame dan susah cari spot foto
Rosaline Anabeth,4,3 hari lalu,Nice spot
Chisna Aditya Dewa,5,3 hari lalu,Kota ini tak sama tanpamu
Rakai Pikatan,5,4 hari lalu,"Spontan aja main kesini padahal biasanya cuma lewat kalau mau ke tulungagung
Parkir standar, untuk motor 3 ribu rupiah
Suasana cukup ramai mungkin karena weekend yah"
Bejan Pujiantoro,5,4 hari lalu,"Tempat Bagus,,Bersih,, Sayangnya Mushola Sangat Kecil,, Parkiran 3 Sama juga Mushola Sangat Kecil bahkan tidak ada Kran untuk air wudhu,,Parkir Bus Medium 15rb,,kita Harap Pemkab Kediri Melebarkan Mushola Karena Sebelah Parkiran 3 ada …"
Hanifa Sabila,5,5 hari lalu,Enak buat family time sekedar duduk². Tempatnya jg super bersih dn ga penuh sama pedagang krna uddh ada spacenya sendiri.
Sukoco Slamet,5,5 hari lalu,Spot foto wajib jika ke Kediri
Berlin Sitepu,5,seminggu lalu,Tempatnya nyaman idah dan sejuk tapi banyak lampunya yang mati pada malam hari
Captain Mugiwara D,5,seminggu lalu,"Enak pol buat santai sama keluarga
Full AC alami .."
Santri Ban,5,seminggu lalu,Tempatnya menyenangkan
Mariana Luzardi,5,seminggu lalu,bagus bersih nyaman buat duduk santai sore2
Hanim Zuhraida,4,seminggu lalu,"Pertama kali kesini, mau ke toilet tapi toilet nya kotor."
nurrohmah abduljamil,5,seminggu lalu,"Ikon Kediri buat foto atau sekedar hiburan bisa lewat bawah tanah dari perkiraan ke area bangunan,angin sepoi2"
Tofan Ardiansah,5,seminggu lalu,Sungguh indah
Adhi Saputra,5,2 minggu lalu,"Simpang Lima Gumul (SLG) benar-benar ikon Kabupaten Kediri yang wajib dikunjungi. Arsitekturnya sangat megah, mirip dengan Arc de Triomphe di Paris, sehingga sering disebut sebagai 'Paris-nya Jawa Timur'. Tempatnya bersih, luas, dan gratis biaya masuk (hanya bayar parkir). Fasilitas umum seperti toilet dan mushola tersedia dengan baik."
lailya rani syahputri,5,2 minggu lalu,Cocok untuk beriwasata bersama keluarga
machimo sisna,5,2 minggu lalu,"Tempatnya bersih, tapi  gak ada orang jualan minum di dalem nya.."
Eko legok Transporter,5,2 minggu lalu,"Motoran santai sampai sini....
Jogja.. solo.. Karanganyar... Bandungan... Haurgeulis...
Semarang..."
Elisa Sari,5,2 minggu lalu,"Kesini pas anginya kenceng banget..
Kesini pas soree jadi bisa duduk2 di hamparan rumput ga terlalu panas 😅 …"
Misliani Amoy,5,2 minggu lalu,"Tempat yang cocok dikunjungi karena sangat iconic, bersantai sore disini enak karena tempat berada di tengah kota kediri"
KANG SANTO,5,2 minggu lalu,👌👌👌 …
Rudi Wahyu Antoko,5,2 minggu lalu,"Cocok untuk beristirahat, bersantai. Lokasi di tengah² perlibtasan jalan"
