name,rating,date,text
Henry Darmaputra,1,10 jam lalu,DI GERBANG SUDAH BAYAR PAKIR. EH DI PARKIRAN TUKANG PARKIR MINTA UANG LAGI WKWKWK. …
Rilly Jonamika,5,1 hari lalu,"top!. will be back here one day for camping dan naik boat, emg harus sharecost 5-8 biar dpt murah.
nah mode syahdu pol ya disini, dgr suara air, view bukit, kamar mandi bersih, …"
Agus Sudharnoko,4,Diedit 2 hari lalu,"Lebih dari 10x saya kesini, gak ada bosannya. Pemandangan alam yang indah dan dan udara sejuk membuat wisatawan betah disini. Fasilitas disini cukup lengkap, hotel untuk menginap pun ada. Mulai hotel melati sampai cottage yang nyaman dipinggir danau."
elva febrian,2,4 minggu lalu,"Pemandangannya bagus, bersih, petugasnya ramah, penjualnya juga luar biasa baik. …"
Lourena Spartanita,5,sebulan lalu,"Waduk dg view yg keren, pegunungan terhampar luas, udara sejuk, bersih, untuk yg suka foto2 recomended bgt."
adhi joko prastyo,1,sebulan lalu,Aku lagi s bel
Ainayya Rizky Savitri,5,sebulan lalu,"Pemandangannya sangat bagus dan teduh. Suasananya nyaman karena tidak terlalu ramai. Saya dan keluarga mencoba naik perahu yang didayung 2 orang, bapaknya yang mendayung lucu dan talkative sekali 😂 jadinya selama perjalanan rasanya asyik …"
yuyun 2.3,5,2 bulan lalu,seru sih tempatnya aku nyaman disana pemandangan nya juga bagus 🥰⭐⭐⭐⭐⭐ …
asmaraloka gandhis group,5,3 bulan lalu,Bagus
Iwan,5,4 bulan lalu,"Pemandangannya luar biasa! Udaranya sejuk dan suasananya tenang banget, cocok buat melepas penat dari hiruk pikuk kota. Wajib coba naik perahu keliling waduk, view perbukitan hijaunya benar-benar memanjakan mata. Fasilitas juga cukup lengkap dan terawat. Sangat direkomendasikan untuk liburan bareng keluarga atau pasangan!"
prisza adelia,5,4 bulan lalu,"wisata murah meriah deket sama rumaaaahhhh, makanan enak tempat sejuk✨"
Daniel Agus,4,4 bulan lalu,"Long weekend September 2025
Rute ke sini dr Kota Mojokerto via kandangan view nya sangat bagus. Kondisi jalan relatif bagus. Meski jalurnya berkelok kelok dan naik turun tp relatif aman …"
FIRMAN ALAMSYAH,5,Diedit 4 bulan lalu,"Waduk Selorejo bukan sekadar bendungan, melainkan destinasi wisata alam lengkap dengan panorama gunung elok, aktivitas seru (memancing, berperahu, jembatan gantung), fasilitas keluarga (lapangan, arena bermain, kolam renang), dan beragam …"
Desy Alvina,5,5 bulan lalu,"Senang sekali menjelajahi Waduk Selorejo! Tempatnya tenang dan indah, cocok untuk liburan singkat bersama teman-teman. Kami menghabiskan hari dengan berjalan-jalan, menikmati udara segar, dan bersantai. …"
R'dims Channel,4,5 bulan lalu,Kemarin kesana tgl 23 mencoba camping di waduk Selorejo. Untuk area camping bisa pilih sendiri. View-nya bagus banget . Bisa beli ikan mujaer di warlok terus digoreng buat makan malam di depan tenda. Untuk kamar mandi bagus bersih . Area …
RASS Strawberry,1,5 bulan lalu,Kalau yg pulang terlalu sore hati hati ada preman modus penitipan helem
Pu tt,1,5 bulan lalu,Untuk wisata seperti ini dapat dibilang tiket mahal (20k/orang + 2k/motor)  tapi di dalam masih ditarik parkir lagi
M Nashih Taufiqie,1,5 bulan lalu,"sekali aja banyak punglii, parkir 2x"
Jojok Sugito,5,6 bulan lalu,Ngopi
TOMY GUMILAR,5,6 bulan lalu,"Sering kesini. Kenangannya itu lho yang susah tergantikan. Kenangan masa kecil bersama ortu tahun 80 an. Kemudian kenangan saat bulan madu 1998, kenangan saat touring motor, kenangan saat bersama anak-anak, hingga sekarang saat sama cucu."
Lailina,1,6 bulan lalu,"suasana bersih cocok buat mancing dan sunset, tapi parkirnya ditarik 2 kali dan kurang puas soalnya seperti sudah terbengkalai"
M. Rizki Trianto,5,7 bulan lalu,"danau di kaki Gunung Kelud, view gunung hijau + sabana"
Mardiana Wahyuningtyas,4,7 bulan lalu,Lumayan nyaman tempatnya..
Rezky Qiuqiu,1,8 bulan lalu,tukang parkirnya yg tatoan banyak malakin duit 2000 buat tambahan padhal dr lokerlt udah dibayar ..... parahh
Ran Eln,5,8 bulan lalu,"Bersih bgt, pelayanannya ramah, parkirnya luas, dan makanannya worth it 👍🏻👍🏻 …"
MUHAMMAD MUZAKHI AWLIYA,4,8 bulan lalu,Pemandangan indah di buka untuk umum dan gratis bisa foto foto untuk yang suka foto bisa mancing untuk yang suka mancing
Alimathus Sa'diyah,5,9 bulan lalu,Tempat yang indah dan sejuk dengan suara air waduk yang menenangkan pikiran. Cocok buat tempat wisata dengan fasilitas yang cukup lengkap. Toilet bersih dan terdapat warung disekitar waduk. Harga makanan seperti di tempat wisata biasanya. Tiket untuk weekday 13k per orang dengan parkir 2k.
Dhike Ardhian,3,9 bulan lalu,Bisa lah agak dikembangin lagi
Ninik Sriwahyuni,5,9 bulan lalu,Waduk selorejo memiliki banyak perubahan. Jadi pilihan waktu bersantai bagi keluarga saat sore atau mengisi waktu libur.
Chris Arsen,5,9 bulan lalu,Tempat wisata danau/waduk yang cocok buat keluarga.
Andika 0,1,9 bulan lalu,GK juelas masuk 20k parkir 2x alasan keamanan hlem😃 …
I Ketut Ari Pegatariana,5,9 bulan lalu,"Terletak di tengah perbukitan dan pepohonan hijau yang rimbun di Kecamatan Ngantang, Kabupaten Malang, Waduk Selorejo menawarkan pengunjung pelarian yang tenang ke dalam pelukan alam. Danau buatan ini, yang terbentuk dengan membendung …"
Daffa Ilham Altafitri,5,10 bulan lalu,Tempat yang bagus
Wato Rino,2,11 bulan lalu,Basarudin
Rahmad hidayatulloh,1,setahun lalu,Hukuman tidak sepadan👎🏻 …
afif DS,5,setahun lalu,"tempat asri dan bersih, masuk bayar 20rb, parkir 2rb, titip helm 2rb. cocok untuk piknik dan bermain."
Hobi Apa saja,3,setahun lalu,"Harga tiket masuk mahal,
Fasilitas sedikit..
Tapi pemandangan danaunya sangat indah"
chamim93 1917,5,setahun lalu,"Waduk Selorejo wisata murah meriah
Sejuk udaranya
Ikan nila goreng nya mantap
Kebersihan waduk perlu ditingkatkan"
Kautsar Dicky,2,setahun lalu,"Masih terdapat Pungli di area parkir dengan alasan keamanan helm 2000, sudah bayar parkir namun di mintai lagi"
Yani Cantik,5,setahun lalu,Luar biasa  😇 …
Indah Yuliatin,5,Diedit setahun lalu,Agak ngeri lewat jembatan gantung yang di bawahnya ada waduk seluas itu. Untung saja aku bisa melewatinya meskipun agak merinding. Takut jatuh. Puas banget sama pemandangan waduk Selorejo.
M Dhafa Pradipta Susilo,3,setahun lalu,"Tambahan biaya 2000 (berasalan keamanan helm) di depan sudah 2000, tidak mempermasalahkan nilainya sebenernya.. entah ini langsung dari pengelola atau (akamsi) jadi pengelola tidak berani. Siang hari santai habis minum arak, ngomong mas 2000 nggeh buat helm nya"
Muhamad Dwijanto,5,setahun lalu,cocok buat yg pingin ngadem tanpa harus naik gunung/ke puncak.
Moza na,1,setahun lalu,"tadi sekitar jam 1 siang kesana, duduk² ber2 sama temen cewek di PLTA bawah, trs tiba² ada laki² dateng sendiri duduk dimotor gak jauh dari kami, pas aku sma temenku mau pergi dari sana tiba² orangnya berdiri sambil tunjukin kelaminny, hati² kalo ke PLTA bawah jangan sendirian, pdhl pakaian kita sopan gak ketat pake hijab juga."
Nurlailatul Hidayah,5,setahun lalu,"wisata murmer yang cocok buat nyore atau nge-chill di Ngantang, Kabupaten Malang. …"
Nauroh Albasyasyah,5,setahun lalu,"waktu kesini sepi bgt sore jam 4 an, mendung jadi ga dapet sunset
tiket masuknya kmrn saya cuman kena 43 rb 4 org
naik perahu 50k 4 org, kalo mau lama 80k …"
Yushee Ashary,4,setahun lalu,"Berangkat cerah, tiba di tempat cuaca mendung 😅, naik kapal nya lumayan lah, sambil menikmati rintik hujan …"
Ekojohan Dermawan,3,setahun lalu,Tempat mancing dan rekreasi air bisa sewa perahu keliling waduk
Afiko Ilham Akbar Maulana,5,setahun lalu,"Lokasinya jauh, namun cocok banget untuk healing dan menghilangkan penat
Udaranya sejuk dan banyak orang memancing di waduk ini"
Chalim Abdu,5,setahun lalu,"Bagus banget tempatnya
G bakalan nyesel kalau kesini (serius)"
Nurul Muqorrobin,4,setahun lalu,Lumayan lahhhh
Kenzo austin YT,5,setahun lalu,Kesini pas puasa.. sunyi sepi tapi kita justru puas menikmati view nya..
Ko San99,5,setahun lalu,"Tempat yang cukup bagus untuk rekreasi, makan dan naik perahu..."
hanif alwi,5,setahun lalu,Tempat bagus untuk healing dan bersantai
Irwan Syahputra,4,setahun lalu,"Bagus, tp harga tiket mahal"
Pentol Korek,4,setahun lalu,Indah
MUKTI JAYA Channel,5,setahun lalu,"Waduknya dari jalan raya kelihatan, lokasi strategis d kelilingi beberapa gunung.
Jalan menuju lokasi bagus, cuma rusak dikit gak ngaruh.
Jalan gak terlalu nanjak"
Ari Ananda,5,2 tahun lalu,Tdak mengecewakan
Regina,2,2 tahun lalu,"Biaya masuk 20K per orang, belum termasuk biaya parkir, tapi tidak worth it, kebetulan bulan Des waduk & bendungan mengering dan tidak ada info di depan pintu masuk. Tempat kurang terawat, tidak ada fasilitas lainnya. Jembatan gantung perlu …"
Muhammad Hamzah,1,2 tahun lalu,Tempat nya gk sesuai dengan tarif masuk nya
Yulliana rosieta Wati,1,2 tahun lalu,"View spot bagus , pengelolaan tempat dan wahana juga sudah mulai diperbaiki , harga tiket 20/orang dengan 2× parkir dan anehnya kenapa bisa dibuat sistem pembayaran seperti ini dengan alasan keamanan parkiran lagi . …"
Mareta,4,2 tahun lalu,Bagus
Budi Doremi,1,2 tahun lalu,"Bnyk pungli dan g worth it, mending g ush kesini"
Kurnia Fitri Sukma Effendy,1,2 tahun lalu,"tiket masuk mahal, blm lagi bayar kemanan parkir, makanan disana jg mahal-mahal, rasanya kek kripik kurang bgt, ga worth it"
Faizatu Zulfa,5,2 tahun lalu,enak buat piknik
soehendra a,1,2 tahun lalu,"Tiketmu parkir liar, bayar di loket aja, nggak papa aku nggak apa-apa. 20 ribu nggak masuk akal, Bro."
budi brilliantsyah,5,2 tahun lalu,Sore hari dg suasana yg syahdu
Nabil Lahdji,4,2 tahun lalu,"Pemandangan yang indah (kata ibu yang disitu waktu paling tepat untuk lihat pemandangan adalah pagi hari sebelum jam 7), ombak yang tenang, perahu nelayan2 di tengah waduk... Suasana yang cocok buat sejenak mengendapkan rasa, mundur satu …"
Zailudin Sesi,5,2 tahun lalu,"Wisata alam yg sejuk, berada di ketinggian pegunungan daerah Ngantang malang 👍 …"
Agus sujono,1,2 tahun lalu,"Kecewa banget deh, bendungan abgus tapi tak dirawat, kotor, jorok dan byk fasilitas yg rusak"
BAGAS ANANTA FIRJATULLAH,5,2 tahun lalu,"Eits, cerita gue tentang liburan seru di Waduk Selorejo ini belum selesai, geng! Nih, lanjutannya: …"
Anam Prianata,5,2 tahun lalu,"Indah banget waduknya, terutama pagi hari."
Debby Musfa,5,2 tahun lalu,Tempatnya bagus sekali dan cocok untuk healinh bersama teman dan keluarga adem dan nyaman sekali
Wiji Sri Astutik,5,2 tahun lalu,"viewnya bagus, tiket masuknya 13rb
lumayan ramai pengunjungnya meskipun hari biasa"
Yordan Nagara Y T,5,2 tahun lalu,"Waduk selorejo ternyata sejuk kalau pagi cocok untuk kegiatan liburan sambil mancing dan menikmati suasana hawanya yg dingin, cocok juga untuk foto"""
grandis ard,5,2 tahun lalu,Mampir 😁 …
nishyas mardiati,5,2 tahun lalu,Pemandangan bagus dan sejuk. Enak buat mancing.cottage bersih dan menu sarapannya enak
Saiful Arif,2,2 tahun lalu,"Air dalam kondisi surut, mahal2 makanan direst area"
Faiz Maulana Achsana,5,2 tahun lalu,"Sejuk, rindang, dan tenang"
Gucci Gang,2,2 tahun lalu,"masa tadi udah bayar tiket masuk + parkir di loket diminta lagi sama bapak"" tatoan katanya buat keamanan, keamanan apaan cuma sejam parkir bapaknya udah ngilang gada ditempat"
Achmad Zackky,1,2 tahun lalu,Harga sangat mahal untuk tempat yang gak begitu worth it. Masuk 20k parkir 2k dan ada pungli alasannya pengamanan helm. Sangat gak masuk akal. Tolong diperbaiki lagi baik yang mengelola.
Din Dinarti,5,2 tahun lalu,"Untuk menjadi Pede...nah, begitulah! Pak Bob adalah yang terbaik."
Nada Mega Setyowati,5,2 tahun lalu,"Tempatnya bagus, cocok buat healing atau outbond bareng temen/sodara. Pemandangannya bagusss bikin fresh, tiket masuknya 20rb (agak mahal sih menurutku) karna blm lagi biaya parkir motor dann kemarin sempet di minta uang penitipan helm …"
Surya Puja,5,Diedit 2 tahun lalu,tenang dan dingin
Ainun Zakiya,5,2 tahun lalu,Wort bgt sih liburan kesini hawanya sejuk . Naik perahu juga murah meriah . Udah dua kali kesini
Molif Rozaily,5,2 tahun lalu,Bagus sekali
HARUNESIA GROUP,5,2 tahun lalu,Bisa camping ngk dsni??
Namaku Bang_Ali,4,2 tahun lalu,Waduknya terlihat bagus ketika senja
Putri Zainudinn,5,2 tahun lalu,"Waduknya masyaallah cantik banget, jadi pengen kesana lagi. Tempatnya bagus buat foto""."
Tri Wahyu,5,2 tahun lalu,"Waduk selorejo dekat dengan rumah nenek. Sejak kecil selalu disempatkan main kesini setiap mudik lebaran. Sempat vakum karena musibah letusan gunung kelud, baru bangkit sebentar eh kena pandemi. Sepertinya baru rame lagi tahun kemarin. …"
ALONE BY MUST,5,2 tahun lalu,Waduk
AdistiaZairaArtanti AnshoriZaidanBimantara,3,2 tahun lalu,"Baru dr sana, HTM 20rb/org mobil 5rb, keliling waduk 100rb.. cuma sayang toilet gk ada airnya"
Sanca Faroga,5,2 tahun lalu,Pemandangannya sangat menakutkan....
Rizka Laila,4,3 tahun lalu,"Untuk tiket masuknya 20k, toilet bersih tapi untuk tempat duduk kurang memadai, dan kayak kurang terawat, cat jembatan mengelupas, semoga kedepannya ada pembaharuan"
Kulineryuk_ Makanjalan,5,3 tahun lalu,Salah satu waduk atau bendungan air terbesar di jawa timur tepatnya daerah ngantang kabupaten malang. Tersedia perahu bagi anda yg ingin berkeliling melihat area dari waduk selorejo. Saat berkunjung kesana anda akan menemukan banyak sekali pemancing ikan.
Jhe,1,3 tahun lalu,"Jangan kesini si dijamin nyesel

• Pintu masuk 20rb katanya include parkir pas pulang di semprit sama preman …"
M. Eko Aribowo,5,3 tahun lalu,Jalan alternatif dari jombang ke malang..jalannya mulus..tp tetap hati hati karena area pegunungan
Sisxxx.dw_,5,3 tahun lalu,Mantappp
Idam Davia,5,3 tahun lalu,"gratis kalo hanya lewat ke waduk, kalo masuk wisata bayar tiket"
