name,rating,date,text
Beryl Beryl Annanias,5,3 jam lalu,"Sudah 2x kesini, tempatnya enak, bersih juga"
MHCONCEPT__,5,17 jam lalu,Hasil bagus memuaskan
Famanda Prahara,3,2 minggu lalu,"Perlu penambahan wisata agar menarik pengunjung, karna lokasi cukup jauh dari pusat kota dan isinya hanya api abadi. Butuh perawatan banget. Butuh perhatian"
rifan fatkhurahman,5,2 minggu lalu,Bakar jagung mantab
Mermeid,5,3 minggu lalu,bagus adem juga tempat nya
Erna Wati,5,3 minggu lalu,Wisata alam
tommy twinslider,5,3 minggu lalu,Napak tilas secuil sejarah majapahit
Goldy Skuter,5,4 minggu lalu,one of the eternal flames in the world
Noeroel Hadie,5,Diedit 4 minggu lalu,Terlihat lengang di sore hari. Sore menjelang magrib terlihat tiga orang pemuja api sedang khusyuk memegang dupa di samping mata api / sumber api di Bojonegoro. …
Andini Ant,5,sebulan lalu,"Tempat piknik yg asyik, hanya kurang terjaga kebersihannya"
Taqi Abqori,5,sebulan lalu,Sore menjelang magrib bisa melihat penyembah api duduk bersila di samping mata api / sumber api sambil memegang hio.
Lutfi Hakim,5,sebulan lalu,bagus buat edukasi
Syam Hafil,4,sebulan lalu,"lokasi bagus dan Asri,cocok untuk rekreasi bersama keluarga."
Kopa Abrians,5,sebulan lalu,"tempat yang tenang, asri, sejuk. menjadi tempat terfavorit untuk sekedar menenangkan pikiran. gaada bosennya kesini ❤️"
Zavier Alfathir,4,sebulan lalu,"Tempatnya bagus,musholla ada dan toilet umum banyak di sediakan. . .
Tapi pas datang kesana sepi. . .akses jalannya juga mulus. . .harga tiket 8rb/orang"
moko racheal,5,sebulan lalu,Bagus wisata religi dan edukasi
Roe Hariyanto,5,sebulan lalu,Menyenangkan bisa bakar jagung
Pur Pur,5,2 bulan lalu,"Wisata sejarah dan geologi..ikon kabupaten bojonegoro, walau di hutan tapi fasilitas cukup lengkap, api nya gak pernah padam, mushola, toilet, kantin banyak …"
Fajar Chotibul Umam,5,2 bulan lalu,"Kayangan Api, situs alam unik di pedalaman hutan jati Bojonegoro. Menawarkan pengalaman yang berkesan bagiku, dengan perpaduan keindahan alam hutan jati, fenomena geologi dan nuansa mistis yang memikat. Sangat direkomendasikan untuk …"
Johan K. Siswoyo,5,2 bulan lalu,Wisata signaturenya Bojonegoro. Lokasi ke arah barat daya dari kota. Akses jalan masih bergelombang. Kabar baiknya lokasi wisata terawat dengan baik. HTM 8k/orang dan parkir motor 2k
suryo saputro,4,2 bulan lalu,"Tempat nya bagus, tertata rapih, tiket masuk 8 rb, parkir luas.
Api kayangan lebih bagus dilihat pada malam hari"
Sahrul Albukhori,5,Diedit 2 bulan lalu,Lokasinya nyaman n asyik buat nyantai SM kluarga
zahra kurnia,5,3 bulan lalu,"Kesana buat kerja kelompok sekolah, bagus"
Wisnu Satrio,5,Diedit 3 bulan lalu,"Tempat wisata yang unik dan menarik. Di sini ada api abadi yang tidak pernah padam walau hujan sekalipun. Suasananya tenang dan terasa sakral, cocok untuk yang ingin belajar tentang sejarah dan budaya lokal. …"
Susmiati Manis,5,3 bulan lalu,Tempat yang nyaman untuk sekedar melepas lelahnya pikiran
Dita Ayu rahmawati,5,3 bulan lalu,jossss
alfida ayu,5,3 bulan lalu,Bagus ada air blukuthuk nya
Luthfiy Irfanasruddin,5,3 bulan lalu,"Kesekian kalinya kesini, setelah hampir 10 tahun lebih, wkwkwkwkwk.....
Banyak sekali perubahan disini, sudah jadi GEO park di Bojonegoro, fasilitas Alhamdulillah sudah lengkap, hanya beberapa tempat jualan yang sepertinya perlu di …"
jembos,5,4 bulan lalu,Enak buat jogging gaes
Gund Couture,4,4 bulan lalu,Tempatnya bersih tenang
Dendy Fitra Lesmana,5,4 bulan lalu,"Mantap
Bersih
Aman dari pungli"
keyzaa,5,4 bulan lalu,Bagus ada
Hari Adi,5,4 bulan lalu,"Api Kayangan,suasana menenangkan sejuk asri."
Saiful Arifin,5,4 bulan lalu,Bagus banget
Afin Aufa,5,5 bulan lalu,"Dikelola yang baik, kalau perlu naikkan harga tiketnya, gak masalah, selagi untuk kenyamanan bersama. Sebagai wisata edukasi, perbanyak informasi sejarah, wawasan filosofis tertentu yang ingin disampaikan pihak terkait, hari ini masyarakat …"
Arif Fatahni,4,5 bulan lalu,"tempatnya nyaman, cocok untuk ajak anak2 main. fasilitas toilet yang cukup bersih  tersedia di banyak sudut."
zahrotul jannah,5,5 bulan lalu,"Tempatnya bersih dan bagus, banyak sport foto yang bagus"
Widia,5,5 bulan lalu,"Wisata alam yang unik, api abadi yang tak pernah padam jadi daya tarik utama. Suasananya sejuk, cocok untuk rekreasi sekaligus mengenal kearifan lokal Bojonegoro…"
Moh Muthohar,5,5 bulan lalu,Wonderful
Haris Salvia,5,5 bulan lalu,Amat exsotise bila mlm hari
Dwik Nur,5,6 bulan lalu,"Tempatnya luas, adem, banyak penjual makanan ada musholanya juga
Tiket masuk kemaren 8rbu"
Cahyo eko Priyono,5,6 bulan lalu,Sangat bagus untuk healing.
Wiji Ono,4,6 bulan lalu,Kang cuci hidrolish system
achmad maulan,5,6 bulan lalu,ok
YANTI AYU KEMBAR,5,6 bulan lalu,2x kesini
Sadi Efendi,5,6 bulan lalu,Bagus
Kai,3,6 bulan lalu,funny fire
Farid Bagas S,5,6 bulan lalu,"Tempatnya asri,  bersih, tiketnya lumayan mahal mnrt saya"
Adhiq Rachmadhuha,5,6 bulan lalu,Tiketnya murah sekali
Erni Setya,4,6 bulan lalu,"tempatnya bagus, bersih, spot poto juga banyak. pohon juga rindang. fasilitas lengkap termasuk toilet+ mushola"
Nanik Purple Core,5,6 bulan lalu,Rute gowes yg penuh tantangan
PUGUH WAHYU WIDODO,4,6 bulan lalu,Sudah rapi & bersih
Taufiqur Rohman,5,6 bulan lalu,"Sekitar 20 menit dari pusat kota, Geosite Kayangan Api merupakan ikon wisata dari bojonegoro. Menurut informasi api abadi lebih bagus ketika dilihat pada malam hari"
Poppi Stevani,4,6 bulan lalu,Icon dari Bojonegoro dari dulu sampai sekarang membuat orang terpukau dengan api abadinya. Suasana nyaman. Apalagi jika ada jaranan menambah daya tarik wisata. Untuk tempat bersih. Cocok untuk berkunjung dengan keluarga besar
Agus Riyanto,4,7 bulan lalu,Biasa saja harus dikembangkan lg agar lebih menarik
Atta Verin,5,7 bulan lalu,Historique Romance is in the air
Lus Lan,4,7 bulan lalu,Baru pertama kali...
Namira Nurma Anjani,5,7 bulan lalu,"Tempat wisatanya ternyata bagus juga! Area sekitar Kayangan Api rapi dan bersih, aku kira bakal sepi ternyata lumayan rame juga. Ternyata cukup menarik dan banyak yang datang. Suasananya juga adem, cocok buat refreshing sebentar. …"
Ahmad Sugianto,5,7 bulan lalu,Tempatnya asri dan nyaman cocok untuk merehat fikiran
Boedyz,5,7 bulan lalu,Salah satu tempat wisata alam di Bojonegoro (kebanggan warga yang punya api abadi)
Sersan matematika,5,7 bulan lalu,"Ada bukti keagungan ciptaan Allah
Ada semburan api abadi dari perut bumi"
Putri Agustina Nur Baiti,5,7 bulan lalu,menarikk ih semiga kerawat terus ya... menwrikbgt bangunan bangunan yg gubuk jadul gituuu
febry hargara,5,7 bulan lalu,Pengalaman sejarah yang menakjubkan. Indonesia memang kaya sejarah yang abadi.
Suigetsu Vertical,5,7 bulan lalu,Good
Yulia Fransiska,4,7 bulan lalu,Tempat tidak terlalu ramai.. Fasilitas hampir lengkap.. Rekomendasi untuk wisata keluarga
Sahlan Hazari,5,7 bulan lalu,Adeeeemm
Sugito Ronggolawe,5,7 bulan lalu,"Suasana alam yang asri , alami pas untuk dikunjungi bagi masyarakat mengenal untuk sejarah."
ganda liat,4,8 bulan lalu,Penuh sejarah
Ratna Yuwono,5,8 bulan lalu,Sumber api abadi 👍🏻 …
Hilyafarichar _10,4,8 bulan lalu,"sebenarnya bagus, tapi tolong ditingkatkan lagi ya.. klo saran saya musiknya di ganti musik keraton biar suasana nya terlihat lebih terasa sejarahnya bukannya musik dangdut, lalu tempatnya di perbaiki lagi ya pemerintah bojonegoro biar banyak pengunjung"
Dian Abdillah,5,8 bulan lalu,"Berkunjung ke sini saat hari libur nasional (waisak). Biaya masuk murah hanya 7500 rupiah/orang dan parkir 2000 untuk motor dengan parkir luas. Kondisi tidak begitu ramai, jalan masuknya jelas dengan gerbang yang besar dan gapura ikonik, …"
Ahmad Roziq,5,8 bulan lalu,Tiket masuk 19 rb. Sudah termasuk parkir Pakek motor 2 org . Makan nya jg murah2 10k untuk rujak
Pergi Jauh,5,Diedit 8 bulan lalu,Wisata yang unik. Api abadinya tidak pernah padam konon sejak jaman majapahit. Aku udah bikin videonya silakan tonton siapa tau bisa buat referensi
Nice D,5,8 bulan lalu,Tempatnya cocok buat santai pas lagi liburan
Roni Wijaya,5,8 bulan lalu,"Lebih bersih tempatnya, enak nyaman, toilet bersih, ada masjidnya yg paling penting, di banding jaman smk tahun 2013 😅 …"
missari,5,8 bulan lalu,Tempat wisata yg menarik
Shofi Nisak,5,8 bulan lalu,"Tiket masuk Rp. 7.500,- per orang
Parkir mobil Rp. 5.000,-
Tempat bersih, fasilitas ada yang sudah rusak seperti tempat bermain anak"
Befy Isbandono,5,8 bulan lalu,Sangan rindang dan adem tempatnya
Nur Aisyah Febriathie,5,8 bulan lalu,"Tempat bagus, pelayanan bagus dan ramah."
Yahe Nabil,5,8 bulan lalu,Keren banget
Afliq Amin,5,8 bulan lalu,"Asik,adem lebih enak bawa jagung untuk di bakar"
BeWee,4,9 bulan lalu,Apo abadi.. masuknya murah. Dapat gelang. Ga sampe 10rb. Didalam juga lumayan. Tapi ada beberapa infra seperti gazebo Dan mainkan anak di sisi air blukutuk yang miring Dan rusak membahayakan. …
Rabindra Surya,5,9 bulan lalu,"Kayangan api adalah api abadi (walaupun di dunia ini tiada yang abadi), dan apinya pernah dijadikan sebagai sumber api untuk acara Pekan Olahraga Nasional. …"
Yoko Setiawan,5,9 bulan lalu,"Wisata Geologi di Bojonegoro yaitu dimana ada Api Abadi yang tidak pernah mati karena ada aktivitas gas alam, Api disini pernah menjadi api obor untuk acara nasional"
Reihan fredy saputra,5,9 bulan lalu,wisata kayangan api abadi di kecamatan ngasem kabupaten bojonegoro
Moch Ainin,5,9 bulan lalu,Tempat wisata dan wawasan untuk anak2
Soraya art prodaksen,5,9 bulan lalu,Oke
Tri Sinta,4,9 bulan lalu,Menarik untuk di kunjungi
Irvan Kurnianto,5,9 bulan lalu,Bagus tapi lebih dikelola secara profesional lagi
christ tiyanto,5,9 bulan lalu,"Adem tempatnya , tiket masuk juga murah pada libur lebaran kmaren , banyak tempat istirahat dan kamar mandi tersedia"
Aaliyah Jordan,5,9 bulan lalu,Geopark👍🏻👍🏻 …
Danny Kurniwn,5,9 bulan lalu,"bagus, salah satu destinasi di bojonegoro yang wajib di kunjungi"
Rabika Farghob,5,9 bulan lalu,Seru bngtt cuma panas ajaa
zainal abidin,3,9 bulan lalu,"Tempat cukup strategis, jauh dari kebisingan kota, hanya saja sedikit sepi dari pengunjung, mungkin karna tempatnya kurang terawat dan kurang wahana untuk bermain anak."
andi kurniawan,5,9 bulan lalu,"Sangat bagus fasilitas dan infrastruktur jalan akses area, toilet mushola bersih, petugas parkir dan ticket ramah serta transparan dalam tarif. …"
Java Ageng Prayogo Suntoro,5,9 bulan lalu,"Tempatnya adem,bagus dari dulu pengen kesini pas pulang ke Blora dan ahkirnya keturutan di tahun ini...gak nyesel pokoknya 👍👍👍👍 …"
Aria Ganna,5,9 bulan lalu,"Subhanallah...Allah Maha Besar!
Eid Mubarak"
henry eka saputera,4,10 bulan lalu,"Asri dan bersejarah,  bagus untuk tujuan gowes tipis2"
eko edy subowo,3,10 bulan lalu,Tempatnya rindang dan tenang
Dwi Octaria Mekarsari (Ree),4,10 bulan lalu,"Kurang dikelola dengan baik. Tujuannya ya hanya nontonin api. Sama air mendidih. Mungkin kalau dibuatkan Playground akan lebih menarik. Oh ya, ada miniatur petilasan yang cukup menarik."
Nana reYna TOYOTA,5,10 bulan lalu,Sejuk....cocok untuk refreshing
