name,rating,date,text
Putri Agustina Nur Baiti,5,2 hari lalu,Yah ngunulah
M MASDUQI,5,4 hari lalu,Oke
Zhowam Show Channel,5,seminggu lalu,Beatifull..
Bumdes Sinar Baru Desa Bakulan,5,seminggu lalu,Tempat yang nyaman
Dimas Utama,5,3 minggu lalu,Tempatnya dingin.
Ida wara Harimurti,5,3 minggu lalu,Viewnya  sangat bagus dan cocok untuk yang suka alam . Dekatnya ada cafe cocok untuk yg suka nongkrong dengan teman teman atau kerabat..
Ahmad zainul Zainul,5,3 minggu lalu,Pemandangan bgus sekali
Galang Ahmadi,5,sebulan lalu,Ada tenda yang di sewakan ngga min?
dieto33,5,sebulan lalu,Tempat indah penuh kenangan
vina ade,5,sebulan lalu,"Mungkin meski tak seterawat dulu..
Pemandangan alam yg disuguhkan tetap luar biasaa"
Tasya,5,sebulan lalu,Bagusss. Tp kalo cuaca panas gk dulu xixi
Achmad Puguh,5,sebulan lalu,Recomended Banget
Siswadi sirlshes,5,sebulan lalu,Good
MUHAMMAD AL HAQ AT TAMAMI,5,sebulan lalu,"barang lengkap, penjualnya ramah"
Zaenal Arifin,5,2 bulan lalu,"View indah, udara lumayan sejuk"
baggunk dekilz,5,2 bulan lalu,Tempat yang cukup lumayan bagus untuk di kunjungi
Service AC Surabaya,5,2 bulan lalu,Siap melayani dengan senang hati
czee,1,2 bulan lalu,"naik dipalak turun dipalak mana toilet nya semua dikunci lagi, not recommended."
Sahrul Albukhori,5,2 bulan lalu,Sangat menyenangkn
Rizaedi Saputra,5,2 bulan lalu,Membawa suasana aduhayy
Andrianna Photo,5,4 bulan lalu,"Perjuangan banget gowes dari bojonegoro kota ke sini, tp terbayar lunas capeknya dengan view disini, …"
Sutik yes,4,Diedit 4 bulan lalu,"Ya wisata atas angin memang di atas angin hanya saja di saat musim kemarau spt ini kurang fresh, tapi kalo pas musim penghujan memang fresh bangett, tapi dampak dari cuaca musim hujan sangat perlu di waspadai,"
༺AhMaD༻,5,4 bulan lalu,bagus pelayanan nya oke kualitas terjamin
MH AGUS M'OK,5,4 bulan lalu,Wes Poko e jos jos KLOcuaca  cerah sangat indah.
Rehan Subastia,1,5 bulan lalu,Tukang parkir nya ngak sopan suka marah marah sendiri
Leyszzx calm,5,5 bulan lalu,kangen bangett pengenn kesitu lagii
Christian Gossweiler,4,5 bulan lalu,Pemandangan perbukitan di sekitarnya sangat indah
Agus K,5,5 bulan lalu,Good place for weekend refreshing
ALIFIA R.H,5,6 bulan lalu,"View-nya bagus banget... Kalau rezeki dapat lautan awan, tapi sayangnya kemarin saat aku udah turun baru ada lautan awannya huhuhuhu... Dan angin nya waw bgt wkwkwk... Serasa kek badai angin saat di puncaknya"
Arifin MZ,4,6 bulan lalu,Toilet diatas tdk berfungsi
basuki adisaputra,5,6 bulan lalu,Jualan
Reni Dermawanti,4,6 bulan lalu,MasyaAllah....Tempat wisata yang wajib kita kunjungi bersama keluarga atau teman-teman. Ada camping ground jg dan jangan dilewatkan untuk naik ke Bukit Cinta nya ya....Ga jauh kok tracking nya. 😉 …
bagus lukito,4,7 bulan lalu,"Sejuk klo sore hari , buat gowess mantul sampai pemancar tvri"
Kinanti Spa Bali,4,Diedit 7 bulan lalu,"Adem,enak untuk santai dan camping,jalan sudah bagus..minus air"
Dhika Fx,4,Diedit 8 bulan lalu,Lumayan pemandangan nya
Mochammad Aditya Mahendra,5,8 bulan lalu,Cukup jauh dari jalan utama
Setyo Margono,5,8 bulan lalu,Mempesona
Pusat Tanaman Durian dan jeruk Lestari Alam,4,8 bulan lalu,Bagus
Petty Wulandari,5,8 bulan lalu,View nya bagus👍 …
Cak Rondhi,5,9 bulan lalu,luar biasa pas pagi hari... 👍 …
Mudah Fg,5,9 bulan lalu,Bagus buat lihat Bojonegoro
LIBRA Channel,2,9 bulan lalu,"Sudah terbengkalai,sangat di sayangkan banget ini puncak yg indah padahal jalanan alternatif dari bojonego,ngambon sampai tembus ngawi sdh bagus smua mobil pun gk kan selip"
Arum Karunianti,3,9 bulan lalu,pas di sana oke aja sih tapi jalan menuju ke sini nggak ada penerangan (ada sih tapi banyak juga yang mati lampunya) jadi better ke sini pas masih terang: pagi siang sore
Azis Fakhrul,5,9 bulan lalu,oke
Ferdian Chrisdianto,5,9 bulan lalu,bagus masih sepi tiket per orang 5k
Rina Purnawati,5,10 bulan lalu,Sangat alami
Alexia Fara Carrissa,5,11 bulan lalu,"kalo pulang kampung halaman mamaku daerah sekar deling pasti lewat tempat itu dan gak pernah ada bosen""nya buat singgah dulu disana meskipun cuma sebentar"
Mohammad Kusen,3,11 bulan lalu,Jagung segunung bojonegoro
Akiyat Munadi,5,11 bulan lalu,Mantap
Lely Safitri,5,11 bulan lalu,"Wisata Negeri Atas Angin adalah salah satu wisata yang terletak di Dsn. Atas Angin Ds. Deling Kec. Sekar Kab. Bojonegoro. Wisata ini mempunyai pemandangan yang sangat bagus dan suasana yang sejuk, banyak sekali orang - orang yang berlibur …"
Friska febriani,4,11 bulan lalu,"Negeri atas angin sangat asri, dari atas pemandangannya indah, tapi kurang bersih"
Fuad Nur Anshory,5,setahun lalu,"Rehat tengah malam dalam perjalanan pulang, menembus dinginnya malam sambil liat pemandangan alam."
Farichatus Sholichah,5,setahun lalu,Baru kali ini main di daerah bojonegoro selatan yang lumayan jauh dari kota hihiw. Jalan menuju atas angin terlalu ekstrim menurutku. Tapi begitu sampai di atas bukit terbayar sudah dengan view yang indah .
eri yulianto,5,setahun lalu,Asik untuk sunrise an. Spot foto sunrise terbaik di bojonegoro. Tapi tolong di kondisikan kalau pengen pengunjung nyaman. Mobil parkir di kasih 10rb bilang e kurang akhirnya tak kasih 20rb walau jadi tidak nyaman. Waktu itu jam 4 pagi saya sampai sana. Malah dikirain orang mau ziarah. PARAH!!!
aneka blower,4,setahun lalu,Tempat kalau di kelola dengan baik pasti jadi bagus .sayang sekali kurang perawatan
Puguh Bayu Anggoro (Aang),5,setahun lalu,Sepiiiiii
Budi Ajja,5,setahun lalu,"Ada sebuah perjuangan , perjalanan hidup ,"
Gorlami Sugiono,5,setahun lalu,"Walaupun ketinggian hanya 650 MDPL (Meter di atas permukaan laut), tetapi pemandangan yang disuguhkan sungguh indah. …"
Lilik Aris,5,setahun lalu,Terima kasih alam sdh menyuguhkan pemandangan yang indah...
Mariyanto Wae,1,setahun lalu,Rusak parah...wis gk layak dkunjungi...
Dara Arga,5,setahun lalu,Menyenangkan
MUHSI AL QODRI,5,setahun lalu,Wui ngeri2 sedap naiknya coy
Agnisotya,1,Diedit setahun lalu,"Terakhir berkunjung sangat sepi padahal sya dtg jam 10
Memang saya tidak naik ke puncak karena dari gerbang tempat ini sdah tidak menarik lagi …"
Yudianto Yuan,5,setahun lalu,Semoga WISATA NEGERI ATASANGIN Banyak Pengunjung di Bojonegoro
Lialovers Official,5,setahun lalu,Indonesia banyak cerita
M. Saiful Ainun Rizal,5,setahun lalu,Hari kerja tempat wisata sepi bisa menikmati alas dengan santai & tenang
hendrawan ayik,5,setahun lalu,"Tempatnya sebenarnya bagus, secara view ok banget itu kalau anda mau sedikit menguras tenaga naik kebukit yg lebih tinggi diarea wisata ini, ada tempat permainan yg masih berfungsi , ada toilet umum hanya saya kurang paham apakah layak atau tidak karena saya tidak menggunakan fasilitas ini, yg bagus ya itu viewnya .."
Andhika Virgos,4,setahun lalu,"Bagus kalau hanya untuk berfoto"" puncak, tempat kurang terawat & tidak ada air bersih."
Siti Khotimah,4,setahun lalu,Tempatnya kurang terawat.
Imam Imam,1,2 tahun lalu,Sangat istimewa
Andika Adnan Suryasputra,4,2 tahun lalu,"View bagus, sayang kurang terawat fasilitasnya"
karetpecah,5,2 tahun lalu,Jalan mengarah ke sini seru
Alif Hamsi,5,2 tahun lalu,Tempat parkir luas pemandangan indah
Solikin,5,2 tahun lalu,"Bagus , hanya di lokasi parkir panas mungkin tanaman hijau lebih tinggi agar terkesan benar2 hutan"
Venusrentcar Surabaya,3,2 tahun lalu,Alami tapi kurang alam
Tedi Ardiatma,5,2 tahun lalu,Tmpt ngopi asik 😁👍🙏 …
Ahmad Najaa,5,2 tahun lalu,"Lokasi ini menjadi favorit wisatawan karena banyaknya spot indah dari bentangan alam Bojonegoro. Kondisi alam di sekitar Atas Angin memang memanjakan mata memandang. Hampir di sepanjang perjalanan menuju lokasi ini, wisatawan akan disuguhi …"
Mas BomBom,5,2 tahun lalu,Petani bawang merah
Parti Ningsih,5,2 tahun lalu,Sangat menakjubkan pemandangan ne
Eko Suparnoto,3,2 tahun lalu,"Musim kemarau,,,sangat gersang sekali"
nanda wibowo,5,2 tahun lalu,Makanan Seblak paling favorit dibojonegoro
Ria Qomariah,4,2 tahun lalu,Gak terlalu terawat untuk sekarang
Dyan Arie,5,2 tahun lalu,Pemandangan bukit yg bagus
Chodir Lano,5,2 tahun lalu,Lokasi nyaman utk menikmati keindahan alam dari ketingian
Yudi Agustiawan,5,2 tahun lalu,"View y sangat bagus,udara y segar...
Sangat rekomendasi buat keluarga"
Alex Candra,5,2 tahun lalu,"Jalur kesana indah pemandangannya, sarana toilet ga ada, harus di pikirkan oleh pemkab nya"
prima cell,2,2 tahun lalu,"Ya gimana ya....
Perjalanan jauh, medan berat naik turun
Nympe sana gk sesuai ekspektasi banget …"
TGHBDN Projek,5,2 tahun lalu,"Ngopi oke,"
Fkri Atth,5,2 tahun lalu,"Tempatnya bagus untuk foto... suasana angin semriwing
Foto2 lokasi bisa di check di ig @fikri_potret"
Jay Story,5,2 tahun lalu,Melihat pemandangan dari atas luar biasa keren
Muhamad Hamzah,5,2 tahun lalu,Pemandangan indah  ketagian kalo udh ke bukit cinta🥰 …
Bintang Kejora,1,Diedit 2 tahun lalu,"View bagus, sayang KOTOR, BANYAK SAMPAH!!  Duit restribusi diapain? Sampah aja dibiarin numpuk! Toilet JOROK! Gak ada papan petunjuk saat di lokasi, jalan ke puncak tertutup rumput, jadi gak jelas mau kemana. …"
Fahrur Rozi,4,2 tahun lalu,Perlu dirapikan rumput-rumput liar di sekitar parkiran maupun di atas bukit.
Eke Wahyu Ningsih,5,2 tahun lalu,"Pemandangan yang diatas memang bagus banget, akses ke atas bisa naik motor tapi jalannya kurang bagus, bisa juga jalan kaki lewat jalan paving. Banyak wahana bermain yang terbengkalai disini, sayang banget. …"
Budi Utomo,5,2 tahun lalu,"Tempat untuk healing, pemandangan yang menyegarkan mata"
Lia fitrotul Kamila,4,2 tahun lalu,Menikmati keindahan alam dari ketinggian itu sangat menarik dan indah. Aplagi saat sunset dan sunrise indah Banget bisa digunakan camping juga.
rio adidik,5,2 tahun lalu,sekedar buat ngabisin bensin. gasss...  dari perempatan karangkati sekitar 50 menit
Gus Alim,5,2 tahun lalu,Tempat indah tapi sayangnya kurang rawatan
Dwi Fajar Riyanto,1,2 tahun lalu,Tidak rekomended.. tidak dirawat sama sekali.. puncaknya kotor.. dgn biaya masuk 5k dan parkir 2k
Amoy Nyonpanda,5,2 tahun lalu,"Bagus tmpt nya aku suka bgt ,karna baru pertama kali bnr"" vibes nya alam semua aku suka 😻🥰 …"
Nur Samhadi,5,2 tahun lalu,👍👍👍 view sangat bagus.. …
Arul Arif,4,2 tahun lalu,Bagus cuy indah pemandangan nya
Staindyza Orz,1,2 tahun lalu,Tempat tidak sesuai ekspetasi
indro Mas indro,5,2 tahun lalu,"Sangat menarik
Senang"
Keira & Kenzo Channel,5,Diedit 2 tahun lalu,"Keren tempat nya, akses jalannya juga bagus"
Ǥнσsτ,4,2 tahun lalu,🏞️👍 …
Tri pras (Tri),3,2 tahun lalu,Siap rem
M Rafif Izzuddin (MRI),5,Diedit 2 tahun lalu,"Akses jalan ( tanggal 5 maret 2023 ) sedang diperbaiki kurang lebih sekitar 1,5 km dari titik tujuan, sedang tahap pengecoran jadi sangat hati hati buat yang mau kesini karena seringnya turun hujan membuat jalan licin. Tetapi view di tempat cukup bagus layaknya bukit bukit tinggi lainnya"
Intan Kusuma,5,2 tahun lalu,Sejuk
FARID ARIADY,5,2 tahun lalu,Pemandangan yang indah
Dikha Ariyanto,5,2 tahun lalu,"Semakin bagus, dan semakin berkembang tiap tahun. Wisata paling terjangkau dan sudah mendapatkan view yang menakjubkan pula."
A. Khoiruzzadit Taqwa,5,Diedit 3 tahun lalu,🤩 …
dany coboy,4,3 tahun lalu,"Akses jalannya bagus, meliuk liuk dan mulus"
Ubluk Utuk,1,3 tahun lalu,"Ga sama kaya di gambar,udah jauh jauh hampir 70KM malah beda"
zakky fathuddin,3,3 tahun lalu,Tdk terawat....
Clement Baik,5,3 tahun lalu,"Cobalah datang waktu malam, Kamu akan menemukan hal baru di pagi hari"
dayun sampang,5,3 tahun lalu,"View bagus, sarana masih kurang banyak tempat nyantai belum ada,tempat kuliner yg memadai perlu ada.tks"
Mei Yuliasari,5,3 tahun lalu,Masih ada beberapa jalan yg belum selesai dinperbaiki...masih proses perbaikan...
Dalimin Dalimin,5,3 tahun lalu,Keren pemandangannya mantap banget
Anto Purwanto,4,3 tahun lalu,"Namanya yg bgtu menarik di benak kita sempat trbayang sensasi sbuah tempat yg tak biasa,tp setelah sampai sana,trnyata tempatnya kurang ssuai,perlu adanya perawatan n penyediaan tempat di atas bukitnya,agar para wisatawan mndapatkan tempat …"
ratih dfy,5,3 tahun lalu,akses menuju kesana sangat mudah namun jalannya naik turun dan ada beberapa tikungan tajam harus ekstra hati-hati. untuk menuju ke puncak perlu berjalanan kaki. butuh effort karena menanjak. untuk fasilitas seperti toilet harus perlu di perhatikan lagi karena sedikit kotor. tempat parkirnya lumayan luas. overall oke buat healing
Qomariatun Nita,3,3 tahun lalu,Biasa² aja si
Sandi Ari Madiun,5,3 tahun lalu,Rute yang indah untuk bersepeda
Adi Nugraha,5,3 tahun lalu,"Dua dekade ... Pertengahan 90 an pertama kali kesini. Jalan kaki menyusur hutan jati dan rel lori.
Kini kembali kesini... Semua sudah berubah dan akses sangat mudah dengan jalan yang sudah halus. Keren..."
Rukmi Rukmini,4,Diedit 3 tahun lalu,Seru juga mendaki untuk sampai di puncak setelah sampai bisa menikmati pemandangan dan udara sejuk 😍 …
agus magetan,2,3 tahun lalu,jalan nya masih bergelombang
Januar Jack,4,3 tahun lalu,"Lokasinya Dari bubulan arah Saradan... Jalurnya asik naik turun dan banyak kelokannya.. jalannya juga sudah rabat beton.
Lokasi wisatanya asik di kunjungi kalau lagi sore hari, di puncaknya cuma ada 2 …"
thohier raspiado,5,3 tahun lalu,Serasa di atas angin....#Kec. Sekar Kab. Bojonegoro
Ali pustoko,5,3 tahun lalu,"Menyenangkan,  bisa melihat pemandangan gunung"
Gabrielle Rattu,5,3 tahun lalu,"Jalan kesini sudah bagus, semuanya sudah diaspal."
Yunias Pujianto,4,3 tahun lalu,dataran tinggi bojonegoro
Muhammad Aldi,5,Diedit 3 tahun lalu,Tempat untuk menikmati keindahan alam dan merefresh diri setelah menjalani hiruk pikuk kehidupan di kota.
Rustama Admaja,3,3 tahun lalu,letaknya diatas bukit namun sayang kurang terawat sehingga kurang menarik minat orang berkunjung
Xko TJM,5,Diedit 3 tahun lalu,"Pemandangannya sangat bagus, sayang tempatnya kurang perawatannya"
giant motor,5,3 tahun lalu,"medan seru
cocok untuk gowes"
AGUS SETIONO,5,3 tahun lalu,👍 …
Karyadi,3,3 tahun lalu,Semoga bisa dikembangkan lagi
Asyam Mulayyan Dary,3,3 tahun lalu,"Perjalanan ke sini dari Kota Bojonegoro lumayan jauh, jadi lebih baik persiapkan bekal (makanan dan minuman) sebelum ke sini karena nggak ada Alfam*art ataupun Indo*maret. Parkir cukup luas, bayar seikhlasnya. Waktu masuk ada loket tapi …"
Kiimi Kikhie,2,3 tahun lalu,Badekk agak kotor udah gk terawat
Subkhan Kholis,5,3 tahun lalu,Spot bagus
MUHADI -,2,3 tahun lalu,"Sesuai dengan namanya, lokasinya terletak diatas pegunungan, pemandangannya bagus, namun sayang...tidak terawat dengan baik, sampah banyak...makanannya juga terbatas dan relatif mahal...."
Bidayani,4,3 tahun lalu,Lumayan bagus.tapi Kurang terawat. Semoga kedepannya bisa di bangun waterpark di bawah.
Irwan Saputro,4,3 tahun lalu,Bisa istirahat sejenak untuk melepas lelah
Abbi Alif,5,3 tahun lalu,Good
Didha Fairus,3,3 tahun lalu,Kalo kamu jarang olahraga mending gak usah naik kepuncak karena pasti ngos ngosan dengan jalan setapak yang terjal. Sengketa Pengelolaan antara pemdes dan karang taruna membuat tempat Ini tidak terkelola dengan baik.
Galih Fidianto,5,3 tahun lalu,"Pemandangan yang bagus sekali, kapan kapan pengen kesana lagi. Kesana paling enak pagi atau sore hari biar gak kepanasan."
Dany Mitako,1,3 tahun lalu,Kurang bagus
Febri Tri Utomo,3,3 tahun lalu,untuk tempat wisatanya termasuk bagus dan keren tapi untuk perjalanan menuju lokasi kurang baik
Tri Hakni Putra,5,3 tahun lalu,jos tenan pokoke mazehhh
Hadi Sumartono,1,3 tahun lalu,Cuma hutan doang
Alex Turner Mayer,4,3 tahun lalu,Pemandangan indah dari atas bukit
