name,rating,date,text
budi wahyu,5,5 jam lalu,Sangat bagus_  memandang lautan samudera luas_ Tempat buat Melepas Lelah 👍👍 …
Artika,4,2 minggu lalu,Pantainya bagus.. tapi harus jalan kaki lumayan jauh buat sampai ke sini. Nggak direkomendasikan buat anak-anak dan lansia ya (pasti capek banget turun dan naiknya). …
bbbeeelllaaa _,1,2 minggu lalu,"saya keseret dan luka"" untung masih diberi selamat bisa pulang ke rumah"
Andriyo Edi,5,2 minggu lalu,Pemandangan sungguh memukau cuman untuk sampai ke spot Kedung tumpangnya.. jalur tangga luarrr biasa .. kalau tidak vit... Balik kanan saja
Luky Triawan,5,2 minggu lalu,Sangat bagus
Evi Yuliati,2,3 minggu lalu,"No sandy beach, just stairs leading to rocks and cliffs"
Ourpovjpg,5,sebulan lalu,"Waktu ke kedung tumpang tidak boleh turun ke bibir pantai karena ada yang baru saja terbawa ombak. Jadi yang mau kesini perlu hati2 ya kalau turun ke bibir pantai karena kata warga lokal walaupun lagi surut, ombak bisa tiba2 datang. Stay safe guys"
Septian Huda,5,sebulan lalu,Nice beach
Dbinti Binti,4,sebulan lalu,"Masuk ny free htm,hanya buat parkir.
Tempatnya lumayan nyaman buat istirahat dan melihat pantai dari atas.
Banyak warung2 menyediakan makanan dan aneka minuman minusnya minim toilet..kl pun ada kotor banget dan bau."
andi nugroho,4,sebulan lalu,Pantai dengan tipikal berbeda dengan pantai lainnya karena berbatu dan ada kedunh
ilmu praktek,5,sebulan lalu,View bagus sekali sayang banyak sampah plastik nya
Mohammad anwar,5,2 bulan lalu,Warga kompak
Ibnu Fauzie aka,5,2 bulan lalu,"2016 kesana masih alami, blm ada yg jaga, jalan masuk pantai masih terjal , turun ke pantainya pakai tali tambang mantapp 👍🏻👍🏻 …"
ki Bagus Sunardi,5,2 bulan lalu,Buat spiritual tempat yg cocok untuk penyatuan dengan Alam....
Evika Dwi,5,Diedit 3 bulan lalu,"bagusss bgtt, tp buat jalannya harus turun anak tangga mungkin beribu2 anak tangga wkwkwk sumpa cape poll, tp untuk pantainya ini indahh bgtt"
Richo Indarto,5,4 bulan lalu,Tempat sejuk...warung cuman ada 1. Perlu di tambah penjual makanan minuman
Nikity Wati,4,4 bulan lalu,"Cantik...
Apalagi ombaknya"
RAFAEL TURU,5,4 bulan lalu,What an experience!
anjayy mabarrr,1,4 bulan lalu,sangat berbahaya tidak cocok
ahmad hukama,5,4 bulan lalu,"Jangan terlalu khawatir, siram saja airnya di malam hari."
Rahman Abdurahman,5,5 bulan lalu,"Tracking untuk sampai ke bibir pantai sangat curam. Semua terbayar dengan keindahan batu karangnya. Buat yang gak mau turun, masih bisa menikmati dari parkiran, disediakan banyak tempat duduk dan gardu pandang.
Tiket masuk, kemarin saya satu orang pake motor. Bayar 5000."
fharel achmad,5,5 bulan lalu,seruu dan pemandangan nya indah
Mukhlis Mukhlis,5,5 bulan lalu,Menakjupkan
naufal tech,5,5 bulan lalu,"Pantai dengan view indah, dekat dengan jls prapatan mekah yang viral"
Dwi Agustin,5,6 bulan lalu,"bagus sih, perjalanan sempat nyasar gara* google maps . nyasar di hutan jati yang sempat nangis karena mobil gasruk jalan hancur😩 . tp Alhamdulilah pas pulang ikuti yang lain dapat jalan bagus . mending kalau ga ada plang nanya mawon geh …"
PRAYASA,5,6 bulan lalu,"tempatnya bagus banget, saran dari saya, untuk jalan menuju ke pantainya akan lebih baik jika di perbaiki demi keselamatan para pengunjung yang akan menuju pantai"
Krisbow Teknik,5,6 bulan lalu,"Warungnya makanannya enak, dan ibu2 nya ramah"
ihsan ridwan24,5,6 bulan lalu,"Sangat bagus pemandangannya dari atas, turun untuk olahraga"
Tatik Artatik,5,7 bulan lalu,Bagus tp agak mistis
Sumari 70,5,7 bulan lalu,Kedung tumpang.nusa dua nya tulungagung.rugi kalau ndak berkunjung ke sini.
Andi Widodo,5,7 bulan lalu,"Healing berdua sama istri, bahagiaku bersamamu"
Steven Bastian,5,7 bulan lalu,"Pantai indah, kebersihan oke, byk sport foto"
Ayub Uyeee,5,8 bulan lalu,"Cocok untuk tempat santai""+ngopi👍 …"
Widyasti Krustantov,4,8 bulan lalu,"Jalan nya lumayan agak melelahkan utk usia 50 keatas... Walaupun sudah lebih baik dr tahun2 dulu...
Sudah berbentuk tangga semen smp ke karang2"
Firguz,5,8 bulan lalu,kapan bisa kesini lagi
Gogo Raka Go,4,8 bulan lalu,"Pantai Kedung Tumpang ini keren banget! Letaknya agak tersembunyi di Tulungagung, tapi begitu sampai—langsung takjub. Ada kolam-kolam alami di antara batu karang, bagus banget buat foto-foto dan ngadem. Aksesnya memang agak ekstrem, harus …"
Mbah Singo,5,8 bulan lalu,kalo mandi hati hati pas ombak besar..
Fauzie Anas,5,9 bulan lalu,naik turun  tangga  tenaga  berkurang  50persen
Chesy Yelda syahdila,5,9 bulan lalu,Bagus
Indra Usmanhari,4,9 bulan lalu,👍 …
Daffa Daniel,5,10 bulan lalu,Parkiran sangat luas
Sol Ichah,5,10 bulan lalu,View bagus
Kristina Dameria,5,10 bulan lalu,"Salah satu tempat wisata kebanggan nya kota Tulung agung, darinkota jarak nya 1,5- 2 jam perjalanan menggunakan kendaraan roda empat, kalau kendaraan roda dua 1- 1.5 jam tergantung kecepatan membawa kendaraan. …"
Arya Pamungkas,5,10 bulan lalu,"Keren, pemandangannya bagus."
Rianti Rianti,4,11 bulan lalu,Be careful krn ini bukan pantai tapi laut lepas🙏🏻 …
BARA VINO WIDODO,1,11 bulan lalu,Wisata yang membahaayakan
Om Gusti CH,5,11 bulan lalu,Menikmati Sore Sambil Makan Mie Goreng dan Es Kelapa Muda.. Seger....
Mas Ruchin,5,11 bulan lalu,Pantai viral dengan prapatan Mekkah nya
Anang Prasetyo,4,11 bulan lalu,"Pantai karang dengan view yang keren, tapi harus melewati Medan yang cukup terjal dan melelahkan. Terbayar ketika sampai di bawah , dan ngos2x an ketika balik ke atas."
Bagus Oktoharyanto,5,11 bulan lalu,"Pemandangan cukup indah, jalur  cukup mudah"
Christopher Tjandra,5,11 bulan lalu,Good place to go. I was there 2021 Okt 24
Gagas Yoga Isranda,5,setahun lalu,Sangat bagus pemandanganya. Bisa menyaksikan laut lepas sejauh mata memandang.  Tapi untuk menuju spot bebatuan karang harus menuruni tebing yg sudah ada tangganya yg cukup curam. Tidak disarankan untuk yg jarang olahraga pasti 2 hari …
Nira Warsita,5,setahun lalu,Meski jalan menuju pantai sangat extrim... Tpi... Asli bagus pemandangan nya☺😍😍😍 …
Rivanza Rivanza,3,setahun lalu,Oke
Hamnda Bahcrudin,4,setahun lalu,Pantai memanjakan mata🔥 …
Ngalanglayung,5,setahun lalu,Ya bagus
Joy Cell,5,setahun lalu,"Pantai dengan pemandangan laut lepas yang cantik . Tapi tidak disarankan untuk mandi ya teman - teman , karna ombaknya cukup besar ~
Bisa dibilang jalan menuju kesini effort sekali hahaa tapi sepadan dengan keindahannya ✨"
018_Muhammad Iqbal Wiharto,5,setahun lalu,"Comforting both the place and the food. Sambal was so delicious, i insist you to come and try it."
Johan Jochems,5,setahun lalu,"If want swim in waterhole, place to be, but be very carefull when high tide"
Moch Basofi,5,setahun lalu,"Bagi yang tidak pernah bernapas panjang, jangqn coba2 turun tampa bekal. Setidaknya air minum botol. Extrem tangganya😅 …"
Benni Triyono,5,setahun lalu,"Pantai jam 4 sore sudah tutup, dan tidak boleh menuju kepinggir pantainya, ombak nya begitu besar"
heri andreas,5,Diedit setahun lalu,Panorama dr puncak bukit melihat luasnya lautan. Kalau mau turun sekitar 250 m akan bertemu dg kedung atau laguna. Ceruk2 karang yg terisi air laut. Bisa untuk mandi. Tapi hrs waspada. Krn ombak besar bisa datang kpn saja.
Al fatih,5,setahun lalu,Memiliki view yang indah tapi harus tetap hati hati terlebih lagi ketika cuaca di musim penghujan
Azis Djalil,4,setahun lalu,"Jalanannya masih belum ok 100%, tapi view tempatnya okelah"
