name,rating,date,text
TUAN Bengkel MOBIL,5,4 hari lalu,Luar biasa
Rentan scaffolding Ringlock,5,2 minggu lalu,Mantap
masykur alie,4,sebulan lalu,Pengelolaan kebersihan pantai masih kurang dan kurang terawat
Bilqis Inayatillah,2,3 bulan lalu,"Masuknya murah meriah 5000/orang
Kalau mau masuk krn penasaran dan pengen lihat2 aja it's okay to try"
Amir Abdullah Official,5,4 bulan lalu,Pantai yg cukup nyaman untuk keluarga
budi susilo,4,4 bulan lalu,Kurang terawat.
nuris 465,4,5 bulan lalu,"Pantai nya dibersihkan ya,buat para pengunjung jangan buang sampah sembarangan"
Kamil Lesmana,3,5 bulan lalu,butuh sentuhan renovasi yg profesional..biar gak gitu gitu aja
lely H nur fadila,3,6 bulan lalu,"Fasilatasnya kurang memadai, tidak ada air, kolam renang tidak terawat"
Moh rahman Rahman,5,6 bulan lalu,Sangat bagus
Nifi Maulidya,5,7 bulan lalu,"sebenarnya ini tempat wisata yaa, tapi karna ada tugas dari kampus jadinya tumbuhan bakaunya di jadikan sebagai edukasi, sangat bermanfaat
semoga saja ada edukasi ttg tumbuhan bakau di pantai talang siring"
Ririn Sugiarti,5,8 bulan lalu,pantai bagus
Ilur Saja,5,8 bulan lalu,Pantai yang indah
Evadatus Sholihah,4,9 bulan lalu,buatt tiketbmasuk yang seharga segituu meneurutt akuu worth bangett sihh
Gusti Azadi,5,11 bulan lalu,pantai dengan pemandangan bagus di talang siring
Anita Nurul,4,setahun lalu,"Tempat wisata yg indah nan eksotis, sy asli warga jember yg singgah dsini bnr2 merasa ckup puas dgn berwisata dsini,hamparan pantai yg indah cukup puas jg utk sy abadikan dn sy upload di channel youtube sy, Roshnita channel @anita-c85.. Smoga semakin maju kedepannya"
rudi ale,3,setahun lalu,Wisata pinggir jalan raya yang asik
Kamil Lesmana,1,setahun lalu,kurang terawat dan kotor
Par ʏᴏɴᴏ,3,setahun lalu,"untuk parkiran lumayan luas tapi untuk bus besar mungkin parkir di luar...
untuk vieu lumayan kami singgah saat air surut jadi buat anda dan kluargga ataupun rombongan singgah lah saat air pasang..."
Abigail Ulil Albab Affendi,4,setahun lalu,Terima kasih banyak tuan.
Eros Qiu Qiu,1,setahun lalu,Sudah gak asik untuk dikunjungi.
Has an,5,setahun lalu,Pantai Talang siring
Muh arsutil Adlah,5,setahun lalu,"Baguss, aksesnya gampang dari jalan raya, juga tempat nya indah, cocok untuk refreshing dari pekerjaan.."
Munasa,4,setahun lalu,"Datang sebelum jam 7 pagi tiket masih belum bukak, tapi toko dan warung sudah banyak yg bukak. Kebersihannya mohon di tingkatnya lagi ya"
Ribut Winaryo,5,setahun lalu,Mantap dan murah tiket masuk
Angga Sugiharto,5,setahun lalu,Pohon perundangan cemara udang
RANDEZvous GAMING,5,setahun lalu,Ok
Candra Suma,4,setahun lalu,Pantai yang tenang dengan ombak yang tidak terlalu besar.. dekat dengan jalan raya
D.Snipsnap,5,setahun lalu,DENI.Phfotography Wisata Pantai Talang Siring Madura 📸 …
Havidh Anas,5,setahun lalu,Tempat sudah tutup
Riez Adja,4,setahun lalu,"Punya potensi menjanjikan, sudah pernah menerima make over yang sangat bagus, namun entah kenapa mengalami penurunan dan tidak terawat sehingga sisa-sisa jembatan dan spot foto tampak berantakan"
Nur Baity,5,setahun lalu,Hiburan yang murah meriah
Bang al,5,setahun lalu,Bagus
Armanto Manto,4,setahun lalu,Alhamdulillah bagus ..untuk kmi yg wisata ala kadarny
Yusuf Zhiddiq,3,setahun lalu,Kalau dikelola lebih baik pasti sip 👍 …
